title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Very good as usual,"This is a regular restaurant that we visit and I consider it a good option. It has lots to offer including its Riverside location and an interesting and diverse menu.

Our seating was outside because it had to be but they’re done as good a job as possible really of making it a warm and cosy environment. Heaters were everywhere and it was quite sheltered.

The lamb in one of our dishes was very tough so I mentioned it to the waiter and it was swapped for an equivalent chicken dish with no fuss at all. I must say, the service throughout was excellent especially Emanuel who always really looks after us and is a lovely guy.

The rest of the food was really nice and contributed to a really nice evening overall.",May 2021,Scene Indian Street Kitchen,https://www.tripadvisor.com/Restaurant_Review-g187069-d8097496-Reviews-Scene_Indian_Street_Kitchen-Manchester_Greater_Manchester_England.html,"Manchester, United Kingdom",restaurants,4.0,4.0
Glad that normal service is resuming,"This is one of our favourite parts of Manchester and we had a great time on our first visit since this latest lockdown.

It was busy but coped with the crowd well and the bars and restaurants with dealing with the outside dining very well. We stayed at the lawn club which was great. Blankets and heaters provided (they were needed!) and very reassuring in terms of the Covid measures taken.

These are difficult times but Spinningfields certainly has made the best of them and it was just lovely to be out and about again.",May 2021,Spinningfields,https://www.tripadvisor.com/Attraction_Review-g187069-d5970826-Reviews-Spinningfields-Manchester_Greater_Manchester_England.html,"Manchester, United Kingdom",attractions,5.0,4.5
Enjoyable late afternoon,"We called in for an early dinner here and had a really nice time. Obviously, it isn’t cheap but that’s not what it aims to do. This place is all about class, feeling special and great food.

For the most part, it succeeded. My ribeye steak was really delicious but disappointing that £35 (including the 12 1/2% service charge) it didn’t come with any sides at all. Also, I have a thing about frozen chips in restaurants and these didn’t do the steak justice. The blackened cod was wonderful and I would probably have ordered that with hindsight. My wife loved hers.

The outdoor dining worked really well and we kept warm and dry throughout despite the Manchester rain. The service was particularly good – professional, friendly and not in the least bit stuffy.",May 2021,The Ivy Spinningfields,https://www.tripadvisor.com/Restaurant_Review-g187069-d15532592-Reviews-The_Ivy_Spinningfields-Manchester_Greater_Manchester_England.html,"Manchester, United Kingdom",restaurants,4.0,4.0
Something for everyone,"This is a place we’ve been to countless times over the years and you always see somewhere new whether it’s a bar, restaurant, history or music you will find it there.

We’ve seen several bands there and it makes a great natural amphitheatre for the sound. There really is something quite special about watching a band play in such beautiful surroundings with history all around it.

It is also a great place just to walk around and enjoy the boats and canals.",April 2021,Castlefield Bowl,https://www.tripadvisor.com/Attraction_Review-g187069-d14827272-Reviews-Castlefield_Bowl-Manchester_Greater_Manchester_England.html,"Manchester, United Kingdom",attractions,4.0,4.5
Busy for excellent,"This was our first trip into Manchester this lockdown and it was excellent. That was helped a great deal by this place which, from the moment we checked in, made you feel safe and secure.

The service throughout was superb. Our waitress from South Shields was great fun but professional and really cared about you having a good time.

Ordering through the app was easy and the food arrived very quickly. The steak puddings were excellent and the same comment applies to the burgers.

They have a great range of drinks and, although it was really busy, everything just flowed and that is to the wharfs great credit.",April 2021,The Wharf,https://www.tripadvisor.com/Restaurant_Review-g187069-d3327134-Reviews-The_Wharf-Manchester_Greater_Manchester_England.html,"Manchester, United Kingdom",restaurants,5.0,4.0
Good but expensive,"This was our first trip into Manchester since lockdown and we had a great time. The Sun was shining and our first port of call was impossible.

Although it was early on a Thursday we still had to queue for our booking. This wasn’t a problem though as we soon got in securely through the track and trace system.From when we checked into when we left the service was excellent and the seating area at the back a lovely place to soak up the weather.

The only downside was the price and the drinks. You order them through the app and they are expensive. The standard lager is £5.50 a pint which is enough anyway but I think it is a bit much to add a 12.5% service charge to that.",April 2021,Impossible,https://www.tripadvisor.com/Restaurant_Review-g187069-d12794001-Reviews-Impossible-Manchester_Greater_Manchester_England.html,"Manchester, United Kingdom",restaurants,4.0,3.5
Good but not cheap,"This was our first meal out after this latest lockdown and we had a nice time. The restaurant has done a great job of creating a comfortable, cosy yet Covid secure outdoor eating area and we felt we could relax there.

There are lots of heaters and blankets so keeping warm wasn’t a problem. The service throughout was excellent and was both professional and friendly.

The food was good rather than great but not cheap. With no starters, desserts or steaks involved our bill was over £120 for four people. No wine either just a few beers between us. We had a great time but the cost would probably put us off going again for awhile.",April 2021,"Retreat Grill, Bar and Restaurant",https://www.tripadvisor.com/Restaurant_Review-g187053-d1877485-Reviews-Retreat_Grill_Bar_and_Restaurant-Bolton_Greater_Manchester_England.html,"Bolton, United Kingdom",restaurants,4.0,4.0
Not cheap but really good,"We don’t use this place very often but, when we do, we always enjoy it. They deliver the food which is convenient and that service has always been really good.

It isn’t the cheapest – for example, we had two duck spring rolls to start and it was £6.50! They were really good though to be fair and overall the food was good value for money.

We have two different curries and a noodle dish and the portions are huge. They were made spicy as requested and it won’t be as long before we use them again.

One last point. You don’t get any complimentary items like some other places such as prawn crackers or even a bottle of wine from one of their competitors.",April 2021,Jarern Street Foods,https://www.tripadvisor.com/Restaurant_Review-g187053-d17387441-Reviews-Jarern_Street_Foods-Bolton_Greater_Manchester_England.html,"Bolton, United Kingdom",restaurants,4.0,5.0
"Very, very good indeed","We had never heard of this place before never mind used it. I’m so glad we have found it now as it has become our Indian takeaway of choice.

Ordering was easy and delivery quick and professional. Most importantly, the food was excellent. They offer a very wide range of standard dishes but also some interesting different ones as well.

The south Indian curry was as good as anything I’ve had from a takeaway and the other dishes were of a similar standard. It very much reminded me of a high class restaurant food rather than average stuff you get elsewhere.

Prices are fair, the quality great and big portions so definitely worth a try.",March 2021,Clay Cook Nation,https://www.tripadvisor.com/Restaurant_Review-g187053-d21375977-Reviews-Clay_Cook_Nation-Bolton_Greater_Manchester_England.html,"Bolton, United Kingdom",restaurants,5.0,5.0
Absolutely wonderful,"This is fantastic, authentic Cameroon takeaway is tucked away in the non-food section of Bolton market and should not be missed. It is a simple place but with fantastic, friendly service and amazing food. This was my first visit but it certainly won’t be my last as the quality was so good.

Don’t let the exterior put you off. I couldn’t see a menu board and the food in the glass fronted cabinet wasn’t easy to do identify. The helpful man who is a great character explained what things were and I sampled several of the dishes. The barbecued chicken was so succulent and tasty I’d love to know how they do it. We also had a goat stew which was fantastic, the chicken with lemon amazing and the ox cheek the same. All this served with jalof Rice and dumplings meant it was enough for two meals for two of us!

The cost is very reasonable and I cannot wait to revisit.

Highly recommended.",February 2021,Nkono,https://www.tripadvisor.com/Restaurant_Review-g187053-d7390217-Reviews-Nkono-Bolton_Greater_Manchester_England.html,"Bolton, United Kingdom",restaurants,5.0,5.0
Still going strong,"Despite all the difficulties that seem to conspire against it, Bolton market is still a great place to visit. Get what you need from the supermarket and then get everything else from the market as it is cheap and great quality produce.

There is a massive variety of fruit and vegetables as well from all over the world.

During this difficult time it needs supporting. it is doing its very best and they are giving everyone free parking all day at the moment. A really good idea indeed.",January 2021,Bolton Market,https://www.tripadvisor.com/Attraction_Review-g187053-d8093438-Reviews-Bolton_Market-Bolton_Greater_Manchester_England.html,"Bolton, United Kingdom",attractions,5.0,4.5
Consistently very good,"Every time we have a takeaway from here we have commented on just how good it is. Prompt and professional delivery service and authentic Thai food – what more can you asked for!

The portions aren’t the biggest but are delicious and still offer good value for money in my opinion. There is a great range in the menu and some things you don’t see very often.

We always try and have things we’ve not eaten before and have not been disappointed yet.",January 2021,Tonge Thai,https://www.tripadvisor.com/Restaurant_Review-g187053-d8093573-Reviews-Tonge_Thai-Bolton_Greater_Manchester_England.html,"Bolton, United Kingdom",restaurants,4.0,4.5
