title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Fun evening, great food!","We booked via the fork and were pleasantly surprised by this traditional restaurant located in the old town. The maitre D greets every guest dressed up as Mozart and is extremely fun and friendly. The food was great, the service prompt and the wine delicious (had the set menu with matching wines), thank you!",October 2020,Restaurante Mozart,https://www.tripadvisor.com/Restaurant_Review-g189167-d2176700-Reviews-Restaurante_Mozart-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
Authentic Madeiran food experience,"Our hotel recommended us this restaurant for dinner, located next to the Mercado dos lavradores. The restaurant is set in a basement but it didn't really matter since it was night time and we really enjoyed our dinner. The service was very friendly and the food really really good!!! Obrigado :)",October 2020,A Bica,https://www.tripadvisor.com/Restaurant_Review-g189167-d1494548-Reviews-A_Bica-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
Great find in the heart of Funchal,"Lovely dinner, stumbled upon this restaurant by mistake and loved having dinner there. The food was really good, the service was also rather friendly, thanks!",October 2020,Armazém do Sal,https://www.tripadvisor.com/Restaurant_Review-g189167-d1013222-Reviews-Armazem_do_Sal-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
Delicious dinner in great surroundings,"We booked this restaurant using the fork and what a nice surprise that was! The food was really delicious and the service very friendly. Set in an old salt factory, the ambiance was fun despite the current covid restrictions, and we just had a lovely experience, many thanks!",October 2020,Taberna do Capitao,https://www.tripadvisor.com/Restaurant_Review-g189167-d17741203-Reviews-Taberna_do_Capitao-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,5.0
Fantastic dinner experience!,"We booked via the fork and were happily surprised with everything Principal Bistro has to offer! From the service to the food, the whole experience was fabulous!!
The restaurant and its terrace are very well appointed and the service is impeccable. The food was nothing short of a Michelin star, I had the best seared foie gras ever, cooked to perfection! The whole meal was simply delicious and I would recommend it to anyone visiting Madeira, just fantastic! Obrigado :)",October 2020,Principal Bistrô,https://www.tripadvisor.com/Restaurant_Review-g189167-d12151966-Reviews-Principal_Bistro-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
Superb experience with amazing views of Funchal!,"We booked via the fork and got to spend a glorious lunch on a Sunny Sunday at the 'fort' design centre! The welcome and attention to detail were great, the food divine!! Many thanks for a fab culinary experience, not to be missed when in Madeira",October 2020,Design Centre Nini Andrade Silva Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189167-d8773667-Reviews-Design_Centre_Nini_Andrade_Silva_Restaurant-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
Lovely boutique hotel in the heart of Funchal!,"The location was great, on a quiet side street in the heart of town, walking distance to all the restaurants, with parking facilities available just outside the hotel for 6 Euros a day.

Our room had a nice balcony overlooking Funchal and its hills, comfy bed, power shower, couldn't fault it.

We stayed for 7 nights and what made it special for us was the team. Everyone we dealt with (from reception, housekeeping to the breakfast ladies) were just super friendly and genuinely nice!

Special thanks to Marcelo and Tania who did a superb job at making us feel welcome and at home, super informative, nothing was too much trouble and we really appreciated all your efforts during our stay, thank you so much!",October 2020,Hotel do Carmo,https://www.tripadvisor.com/Hotel_Review-g189167-d254086-Reviews-Hotel_do_Carmo-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",hotels,5.0,4.0
Fab Italian restaurant in the heart of Soho,"What a nice surprise in the heart of Soho! We had a delicious meal on a cold Friday night, the service was impeccable and the food really fresh and tasty! The Vermouth bar was fun, we discovered a few new ones before dining. Despite the street level bar being empty, there was a nice ambiance in the restaurant downstairs which was nearly at capacity. Grazie mille!",October 2020,Mele e Pere,https://www.tripadvisor.com/Restaurant_Review-g186338-d2587658-Reviews-Mele_e_Pere-London_England.html,"London, United Kingdom",restaurants,5.0,4.0
"Hell in 'super paradise', avoid at all costs!!!","Overrated and overpriced, badly managed staff with a lot of attitude.

With such rates one would expect a posh club where clients are treated like royalties... Quite the opposite sadly, they never apologised nor expressed any form of empathy for ruining my 40th birthday!

Five of us spent the last full day of our 2 weeks holiday there in the hope to spend a relaxing day in beautiful surroundings. Unfortunately, soon after our arrival, we realised it was going to be a journey to hell!

First, they tried to overcharge us for sunbeds (235€ in total!), all sunbeds were in the shade by 3pm,no comment. Instead of having a 3 course birthday lunch in the restaurant (I did book a table) we were forced to eat mediocre food on our laps by the sunbeds as they wouldn’t let 5 of us eat at the same table in the restaurant!
We never had a problem finding a table for 5 in over 2 weeks, but they claimed they were only following COVID government guidelines, really? A third of your staff didn't even wear face masks when talking to us, get a reality check please.

The rounds of drinks weren’t cheap at 25€ a cocktail, plus if you wish to see the Drag Show there is a minimum spend of 50€ per person, even if you’ve already spent 100s of Euros at the Club all day long, what a joke!

We witnessed dodgy deals in the toilets, male escorts by the pool, other unhappy customers complaining to a so called ‘store manager’ who has no clue about customer service, that's Jackie O for you in a nutshell!

Extremely poor management response, instead of easing the situation they stood for nearly 30min by our sunbeds, arguing in Greek with my friend, causing a scene, a total disgrace! It put us off our food and ruined the whole day for us. We ended up leaving before the show as we couldn’t bear being taken for fools any longer. I wanted to treat my friends for my birthday and instead was made to pay 600€ for a horrid experience. Tavernas offer better food and service for a fraction of the price!

I contacted them by email the next day, they refused to give me the details of senior management and stopped communicating with me. I've been chasing that 'store manager'for 3 weeks via email now, I'm giving up!

Tip: try Scorpios or SantAnna instead, much nicer clubs with proper service!

Jackie Oh no, never again!",September 2020,Jackie O' Mykonos,https://www.tripadvisor.com/Restaurant_Review-g6581364-d4813583-Reviews-Jackie_O_Mykonos-Plintri_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,1.0,4.5
Amazing day in Piraeus,"We spent the day at Pisina, lounging on sunbed, in and out of the pool, sipping cocktails! We enjoyed a great lunch, service was good and we loved the pool overlooking the super yachts of Piraeus harbour. If too hot in Athens, here's a great place to spend the day at!",August 2020,Pisina,https://www.tripadvisor.com/Restaurant_Review-g189403-d7826478-Reviews-Pisina-Piraeus_Piraeus_Region_Attica.html,"Piraeus, Greece",restaurants,5.0,4.0
Funky neighbourhood,"We spent an evening in Plaka and really enjoyed it. We first had cocktails in the many bars that line the main square and eventually had al-fresco dining at a rood top restaurant, great area!",August 2020,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
WOW,"A must see, once in a lifetime experience not to be missed! You won't be disappointed, it's very humbling walking in the middle of these temples, still standing up after over 2,000 years",August 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
One of the best capital museums I visited,"Very modern, only 10 years old, this museum is breath-taking! The gallery and art displayed are out of this world, so well done and kept clean. Very easy to navigate too, great terrace for a coffee underneath the Acropolis",August 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Fantastic dinner overlooking the Acropolis!,"So glad my friend recommended this place, a must when in Athens! The food is Greek fine dining, the service was great and most importantly the views of the Acropolis did not disappoint. We got there just before sunset and loved the roof terrace. We were amazed as the sun started setting over the Parthenon - wow
The food was a show stopper and even if a bit pricey, I would definitely recommend it!",August 2020,Kuzina,https://www.tripadvisor.com/Restaurant_Review-g189400-d1092052-Reviews-Kuzina-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
"Fantastic location, great beach bars and restaurants!","What a beauty! The place is insane, we absolutely loved it! So many restaurants to choose from, so many bars, a great vibes. One can also do some water sports and many other activities around the beach. The Canal d'amour itself is stunning, a dream for all the Instagramers out there! Highly recommend it :-)",August 2020,Canal D'Amour,https://www.tripadvisor.com/Attraction_Review-g676295-d2469814-Reviews-Canal_D_Amour-Sidari_Corfu_Ionian_Islands.html,"Corfu, Greece",attractions,5.0,4.0
Greek hospitality at its best!,"We stopped by during the day for drinks as we noticed canary birds in separate cages dotted around the terrace, named after Pavarotti, Elton John and the likes, such a nice touch! It was my birthday and Mr Spiros offered us some aperitifs. We had a lunch reservation elsewhere on that day but promised to come back another time. A couple of nights later we went back for dinner and experienced sumptuous Greek food and Greek hospitality at its best! Mr Spiros is certainly the host with the most; while his wife and her team prepare delicious meals in the kitchen, Spiros entertains guests with such authenticity and humour, a true legend! We shared a few Uzos and hope to be back for more soon! Efcharisto :-)",August 2020,Mr. Spiros Taverna,https://www.tripadvisor.com/Restaurant_Review-g776025-d7136274-Reviews-Mr_Spiros_Taverna-Benitses_Corfu_Ionian_Islands.html,"Corfu, Greece",restaurants,5.0,4.5
"Fabulous beach, great scenery, good vibes!","Fabulous beach, rather peaceful, great scenery - had lunch at The Ark which was AMAZING! On the beach, a good mix of families and friends' gatherings, would definitely recommend, beautiful sunset too!",August 2020,Agios Gordios Beach,https://www.tripadvisor.com/Attraction_Review-g1191902-d7160653-Reviews-Agios_Gordios_Beach-Agios_Gordios_Corfu_Ionian_Islands.html,"Corfu, Greece",attractions,5.0,4.5
"Fabulous birthday lunch, great service, highly recommend The Ark!","I was travelling the Greek islands for my 40th birthday and stumbled upon The Ark while looking for recommendations on Corfu and its beaches. I contacted the restaurant via Facebook to reserve a table and they immediately offered to make a birthday cake for me which was really sweet. On the day, the service was impeccable, we had a 3 hour lunch (great cocktails, delicious food and a fantastic birthday cake indeed) followed by some relaxing time on the beach before watching the sun set from the terrace. An amazing experience, made all the more special by Yorgos and the fabulous team who looked after us so well all day long! Thanks once again, I will never forget this special day, we'll be back one day ;-)",August 2020,ARK Kitchen Bar,https://www.tripadvisor.com/Restaurant_Review-g1191902-d2588250-Reviews-ARK_Kitchen_Bar-Agios_Gordios_Corfu_Ionian_Islands.html,"Corfu, Greece",restaurants,5.0,4.5
Fabulous day out!,"This day was just amazing, one of the highlights of my trip to Thailand. I was picked up from my hotel and an hour later or so, after driving through the jungle, arrived at Camp 6 where the whole team made us feel so welcome. There were 8 females and 1 baby elephant (male), Lufy, the star of the show! The elephants are so well cared, free to roam, go as they please. After feeding them bananas and bamboo shoots, we pampered them, gave them a mud bath and went into the nearby riverbed with them before having a delicious meal overlooking the valley. It was magical, thank you so much for such a great, lots of fond memories!!",February 2020,Chiang Mai Elephant Sanctuary,https://www.tripadvisor.com/Attraction_Review-g293917-d8638599-Reviews-Chiang_Mai_Elephant_Sanctuary-Chiang_Mai.html,"Chiang Mai, Thailand",attractions,5.0,4.0
