title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent £11.95 lunch,"A safe environment as far as distancing was concerned. A small, but nicely balanced lunch menu at a standard price of £11.95. The Squash risotto and the Chinese style noodle salad with pork were both great and a good size. Nice service in a very pleasant, relaxed, environment. Our friend, who lives locally said she would definitely be back!",September 2020,Bow Belles Express,https://www.tripadvisor.com/Restaurant_Review-g528774-d21192221-Reviews-Bow_Belles_Express-Marlborough_Wiltshire_England.html,"Marlborough, United Kingdom",restaurants,4.0,3.5
Great 'up market' Indian food with great service,"We took advantage of the Chancellor's 'Eat out to help out' offer and ate here a couple of weeks ago. Safety was well observed, the food was great and the service was first class, very friendly and efficient. Price wise it is about 50% more expensive than a 'standard' Indian restaurant, but offers a much nicer environment and way better service. Be aware that a service charge is added, as a routine. Around £35/head for two courses with a drink making it more of a 'special occasion' venue in our book. We'd go back even at full price!",August 2020,GupShup,https://www.tripadvisor.com/Restaurant_Review-g2142551-d19768141-Reviews-GupShup-Hale_Greater_Manchester_England.html,"Hale, United Kingdom",restaurants,4.0,4.0
The best place to watch the sun setting over the Petronus Towers,"A Strange combination of a swimming pool and a bar. The couch areas aren't particularly comfortable but the views from the right-hand side of the pool are just great as the sun goes down over the towers opposite. Moderately expensive, but for that view it was worth it!",January 2020,SkyBar,https://www.tripadvisor.com/Attraction_Review-g298570-d2627610-Reviews-SkyBar-Kuala_Lumpur_Wilayah_Persekutuan.html,"Kuala Lumpur, Malaysia",attractions,3.0,4.0
Nice change from the city,After climbing down from the Batu caves there is nothing quite like a soothing paddle in the lake at the bottom of these waterfalls. The locals clearly love the place and splash about happily in the agreeably cool waters. Watch out for the monkeys!,January 2020,Kanching Rainforest Waterfall,https://www.tripadvisor.com/Attraction_Review-g298570-d1438257-Reviews-Kanching_Rainforest_Waterfall-Kuala_Lumpur_Wilayah_Persekutuan.html,"Kuala Lumpur, Malaysia",attractions,4.0,4.0
Not the best,"Maybe we didn't see this restaurant at its best, as we were part of a large group having dinner there. The ambience as you walk in, in the evening, is great and the Balinese construction really enticing. The food was fine, but was slow in coming, and there just weren't enough servers to keep our party happy. May be a different experience if you were coming in ones or twos. On this showing, couldn't recommend it.",January 2020,Tamarind Springs By Samadhi,https://www.tripadvisor.com/Restaurant_Review-g298570-d785561-Reviews-Tamarind_Springs_By_Samadhi-Kuala_Lumpur_Wilayah_Persekutuan.html,"Kuala Lumpur, Malaysia",restaurants,3.0,4.0
A public hot spring,"This place isn't designed as a tourist draw, its somewhere the locals go and relax. Well, that is if you can relax in water up to 40 degrees! Experience all of the different temperatures available, but don't immerse yourself in the hotter pools, they are just far too hot. Also try jumping up and down on the pebble shelf pool. That gives your feet a proper pummelling!",January 2020,Hot Springs Selayang,https://www.tripadvisor.com/Attraction_Review-g298310-d15239667-Reviews-Hot_Springs_Selayang-Selangor.html,"Selangor, Malaysia",attractions,3.0,3.5
A long climb,"If you are into Hindu mythology there is loads to regale you here, a temple to Ganesh and the third largest religious statue in the world to Lord Murugan. You get a bit of exercise climbing up, with the devotees, to the caves beyond the statue and get a great view down. Watch all the monkeys, including their babies in the inner cave. Need to take care on coming down the steps - its a long fall!",January 2020,Batu Caves,https://www.tripadvisor.com/Attraction_Review-g3198092-d317520-Reviews-Batu_Caves-Batu_Caves_Selangor.html,"Batu Caves, Malaysia",attractions,4.0,4.0
Banana leaf experience,"Were taken to Devi's after a hot day travelling around the site. It is what it is, an experience if you've never eaten off a banana leaf before! As much rice, veg and chutney as you can eat with a protein - we shared a squid between the two of us and it was plenty for lunch. The price was just amazing at around £3.50 a head! I guess, they save on the washing up!",January 2020,Devi's Corner,https://www.tripadvisor.com/Restaurant_Review-g298570-d1062404-Reviews-Devi_s_Corner-Kuala_Lumpur_Wilayah_Persekutuan.html,"Kuala Lumpur, Malaysia",restaurants,4.0,3.5
Great Malaysian food,"We were a big group and were recommended to come here for a Malaysian treat, and that is precisely what we got. Great food and drinks at a sensible price for a fantastic spread of starters and fish and meat mains. Around 325/head including a generous tip and plenty of beer!",January 2020,Bijan,https://www.tripadvisor.com/Restaurant_Review-g298570-d1020629-Reviews-Bijan-Kuala_Lumpur_Wilayah_Persekutuan.html,"Kuala Lumpur, Malaysia",restaurants,5.0,4.0
Great seafood street food,"Went with a whole bunch of mates down Alor Street and were impressed by the number of people dining here and the turn over, which is usually a good indication of quality. We weren't disappointed by the fantastic selection of dishes available, which were served rapidly and were absolutely delicious. The stingray was a stand out meal. Absolutely recommend this for the £14/head we paid to fill our boots and without stinting on the beers!",January 2020,Meng Kee Grill Fish,https://www.tripadvisor.com/Restaurant_Review-g298570-d7156293-Reviews-Meng_Kee_Grill_Fish-Kuala_Lumpur_Wilayah_Persekutuan.html,"Kuala Lumpur, Malaysia",restaurants,4.0,4.0
