title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Acropole,It is the heart of Acropole. An impressive temple that has lasted for millennia and that continues to amaze us with his greatness,November 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Wonderful,"A special stadium, made entirely of marble. Also here you can find the museum of the Olympiad, where you can admire the Olympic torches from the beginning",November 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Do not miss,"You cannot go to Athens without visiting the Acropolis. The experience will be unforgettable: history, romance, great views and a positive energy. The entry is cheap (10eur) and you only need a comfortable shoe.",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great view,It is a very beautiful place with a dream view. I recommend you to walk not by cable car. It is easy to reach and there are many places you can take great pictures.,November 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Fascinating,I recomand a walk to each side of the canal but also a boat trip. This way you will have the possibility to see Canal Grande in all splendor.,April 2019,Canal Grande,https://www.tripadvisor.com/Attraction_Review-g187870-d191172-Reviews-Canal_Grande-Venice_Veneto.html,"Venice, Italy",attractions,5.0,4.5
Relaxation,"I visited the islands very easy and quite cheaply. I bought a 24h ticket for vaporeto and it cost 20eur/person. This way I made my own scheduel. Do not miss this tour, is very interesting and romantic. You will go back in time and understand better everything.
You can see glass factories, multicolored houses and wild nature",April 2019,"Murano, Burano & Torcello Half-Day Sightseeing Tour",https://www.tripadvisor.com/Attraction_Review-g187870-d12415432-Reviews-Murano_Burano_Torcello_Half_Day_Sightseeing_Tour-Venice_Veneto.html,"Venice, Italy",attractions,5.0,4.0
Romantic,"I like the place for the great view. Doesn't matter what you do, but you always see Acropolis. Here is my favorite place to eat. Good price, sufficient and varied food and also the restaurants have local muzic.",October 2018,Monastiraki,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
An extraordinary experience,I stay in this place 3 hours. The vibe is special and your imagination flies right away. It's not a place to be missed.,October 2018,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Relaxing,You can relax by going down the narrow streets of souvenir shops. Here you will find everything you want.,October 2018,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Extraordinary,"It is a perfect way to start visiting Athen. I buy the all area ticket with 30eur. The ticket is available for many days and includes other main archaeological sites ( Hadrian's Library, Ancient Agora, Roman Agora, etc.)",October 2018,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
