title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Unique and wild,"Great place to visit to see the amazing blue water, ruggared rocks, whitest sand and not crowded. Isolated so bring what you need",January 2020,Fitzgerald River National Park,https://www.tripadvisor.com/Attraction_Review-g488329-d485548-Reviews-Fitzgerald_River_National_Park-Bremer_Bay_Western_Australia.html,"Bremer Bay, Australia",attractions,5.0,4.5
Amazing,Great place to visit. Saw heaps of orcas. Make sure you take tablets if prone to seasick. Ocean is rough even on a good day. Lots of food included for yhose who eat! No flash but wholesome and plentiful. Cost is high but it is a long way off sure.,January 2020,Naturaliste Charters,https://www.tripadvisor.com/Attraction_Review-g488329-d12263023-Reviews-Naturaliste_Charters-Bremer_Bay_Western_Australia.html,"Bremer Bay, Australia",attractions,5.0,5.0
Personal Tour at our pace,Having your own driver was not much dearer than taking a tour bus for two people. it made it flexible and at our pace. We had a driver who was as good as a tour guide,December 2019,"Private Day Trip to Canal,Ancient Corinth,Myceane and Nauplion",https://www.tripadvisor.com/AttractionProductReview-g562627-d18935257-Private_Day_Trip_to_Canal_Ancient_Corinth_Myceane_and_Nauplion-Spata_East_Attica_R.html,"Spata, Greece",activities,5.0,5.0
One of the Better Dams in WA,"Canning Dam is pretty large. Sadly we dont get enough rain to make it exciting. If you want the classic WA dam with the best interests, go to Mundaring Weir. not as big but more historic and spectacular.",January 2020,Canning Dam,https://www.tripadvisor.com/Attraction_Review-g671366-d4227705-Reviews-Canning_Dam-Armadale_Greater_Perth_Western_Australia.html,"Armadale, Australia",attractions,3.0,4.0
Best in Winter,This man-made regatta center is something WA can be proud of in that is does its functions well. however there is no natural flow of water so in summer it is a getting a little on the stagnant side.,January 2020,Champion Lakes Regatta Centre,https://www.tripadvisor.com/Attraction_Review-g671366-d2500562-Reviews-Champion_Lakes_Regatta_Centre-Armadale_Greater_Perth_Western_Australia.html,"Armadale, Australia",attractions,4.0,4.0
Amazingly Clean and well cared for,I love a good reptile encounter and this one is great. The place has a very high standard of care and cleanliness. The animals are great. Dont forget the birds too!,January 2020,Armadale Reptile Centre,https://www.tripadvisor.com/Attraction_Review-g671366-d7054841-Reviews-Armadale_Reptile_Centre-Armadale_Greater_Perth_Western_Australia.html,"Armadale, Australia",attractions,5.0,4.5
Fascinating history,if you like history its worth a visit. The country had telegraph relay stations to help transmit messages - this was one of the more interesting remote area places.,January 2020,Alice Springs Telegraph Station Historical Reserve,https://www.tripadvisor.com/Attraction_Review-g255063-d256787-Reviews-Alice_Springs_Telegraph_Station_Historical_Reserve-Alice_Springs_Red_Centre_Northe.html,"Alice Springs, Australia",attractions,3.0,4.5
Nice views if not a dust bowl,In Summer if it is windy the dust is bad. On calm and clear day work the sunset or sunrise tour if you can make it.,January 2020,Anzac Hill,https://www.tripadvisor.com/Attraction_Review-g255063-d3564027-Reviews-Anzac_Hill-Alice_Springs_Red_Centre_Northern_Territory.html,"Alice Springs, Australia",attractions,3.0,4.5
Short walk good but not in Summer,Had a work trip so wanted a walk. Even in the morning it was pretty hot. Pick your time but the place is pretty impressive.,January 2020,The Larapinta Trail,https://www.tripadvisor.com/Attraction_Review-g255063-d256887-Reviews-The_Larapinta_Trail-Alice_Springs_Red_Centre_Northern_Territory.html,"Alice Springs, Australia",attractions,4.0,5.0
Comprehensive Breakfast,Good breakfast if you are staying at the crowne hotel. big spread for an Australian hotel. All tastes covered!,January 2020,Tali,https://www.tripadvisor.com/Restaurant_Review-g255063-d5009963-Reviews-Tali-Alice_Springs_Red_Centre_Northern_Territory.html,"Alice Springs, Australia",restaurants,4.0,3.5
"Nice hotel, bit tired","The hotel is on the other side of the Todd River to the township. In its day it was probably a grand resort, now its good. They try hard to make it comfortable. It was clean and breakfast was pretty good for a hotel. If you have a hire car it is a good location.",January 2020,Crowne Plaza Alice Springs Lasseters,https://www.tripadvisor.com/Hotel_Review-g255063-d279436-Reviews-Crowne_Plaza_Alice_Springs_Lasseters-Alice_Springs_Red_Centre_Northern_Territory.html,"Alice Springs, Australia",hotels,4.0,4.0
A Pretty Good Harbour,"I like harbours and this one with the old battlements, international sailors, and ferries was pretty good. loved the old guys fishing and the cats on the rocks.",November 2019,Mandraki Harbour,https://www.tripadvisor.com/Attraction_Review-g635613-d8099471-Reviews-Mandraki_Harbour-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,4.0,4.5
Unique,Fascinating to walk down the street of knights where for 200 years the knights of ST John operated for the crusaders. beautiful architecture.,November 2019,Street of the Knights,https://www.tripadvisor.com/Attraction_Review-g635613-d11797224-Reviews-Street_of_the_Knights-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,4.0,4.5
Interesting but not exceptional,There are many acropolis in Greece and this was not the most exciting one to visit. A quick trip was interesting.,November 2019,The Acropolis of Rhodes,https://www.tripadvisor.com/Attraction_Review-g635613-d243158-Reviews-The_Acropolis_of_Rhodes-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,3.0,4.0
Wow a real castle,The knights of St John were here for 200 years helping the crusades. The history is interesting and you get to see a real castle!,November 2019,Medieval City,https://www.tripadvisor.com/Attraction_Review-g635613-d254498-Reviews-Medieval_City-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,5.0,4.5
Great Piece of History,It was fascinatiing to this site and museum due to the mix of Roman and Greek influence with a touch of earlier history present. Worth the trip if you like hisotry,November 2019,Ancient Corinth and Daphni Monastery Half-Day Tour from Athens,https://www.tripadvisor.com/AttractionProductReview-g189400-d11895982-Ancient_Corinth_and_Daphni_Monastery_Half_Day_Tour_from_Athens-Athens_Attica.html,"Athens, Greece",activities,4.0,5.0
Sad and tired,I love fish but this place needs a serious overhaul. Half the creatures were covered in slime. It was fish prison. I came out depressed.,December 2019,Old Town Aquarium,https://www.tripadvisor.com/Attraction_Review-g635613-d6898723-Reviews-Old_Town_Aquarium-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,1.0,3.0
Good for summer,Being Australian we have beaches. This was good for Greece but I wouldn't want to be here in simmer. You could not move!,December 2019,Paralia Elli,https://www.tripadvisor.com/Attraction_Review-g635613-d1554833-Reviews-Paralia_Elli-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,3.0,4.0
