title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Magnificent,Amazing to see a bridge made by nature. We took the time to walk around and absorb the beautiful scenery as well as the bridge. All of the off road sites show what a gorgeous island Aruba is with its many wonders.,June 2017,Natural Bridge,https://www.tripadvisor.com/Attraction_Review-g147250-d147625-Reviews-Natural_Bridge-Arikok_National_Park_Aruba.html,Aruba,attractions,5.0,4.0
Beautiful Sea,"A chance to see the ocean waves crashing on the shore. Definitely nature at its finest. For an ocean lover, its paradise as you can just relax to the sound of the magnificent waves hitting the shore.",June 2017,Andicuri Beach,https://www.tripadvisor.com/Attraction_Review-g147250-d4022325-Reviews-Andicuri_Beach-Arikok_National_Park_Aruba.html,Aruba,attractions,5.0,4.5
Paradise,This beach is absolutely gorgeous with white sand and green water. There are numerous water activities offered or you can just relax on a float and enjoy chilling. I can't wait to return.,June 2017,Eagle Beach,https://www.tripadvisor.com/Attraction_Review-g147249-d150447-Reviews-Eagle_Beach-Palm_Eagle_Beach_Aruba.html,Aruba,attractions,5.0,4.5
Best Clam Chowder,We visit Newport frequently and our favorite meal is a delicious bowl of clam chowder from the Black Pearl. Dining is inside or outside on the wharf. A must have!,May 2017,Black Pearl,https://www.tripadvisor.com/Restaurant_Review-g60978-d443119-Reviews-Black_Pearl-Newport_Rhode_Island.html,"Newport, Rhode Island",restaurants,5.0,4.0
Gorgeous Scenery,"A beautiful ride along the shore. You can stop at anytime and just take a walk on the beach, the rocks, or search the beach for beautiful shells. The beach is never crowded and it's very serene just to watch the waves go over the rocks.",June 2017,Ocean Drive,https://www.tripadvisor.com/Attraction_Review-g60978-d105223-Reviews-Ocean_Drive-Newport_Rhode_Island.html,"Newport, Rhode Island",attractions,5.0,4.5
Gorgeous Resort,"The resort is beautiful. Very lush with birds, fish , pelicans , waterfalls. The beach is pristine with white sand and green water. There is so much to do. There are a number of water sport activities. Resort is very convenient to Main Street for shopping or dining.",June 2017,Hyatt Regency Aruba Resort Spa and Casino,https://www.tripadvisor.com/Hotel_Review-g147249-d149892-Reviews-Hyatt_Regency_Aruba_Resort_Spa_and_Casino-Palm_Eagle_Beach_Aruba.html,Aruba,hotels,5.0,4.5
Absolutely Gorgeous Beach,"Beach is pristine! The water is a beautiful green and very calm. You can relax on a raft for hours or just enjoy the scenery. Plenty of water sports to enjoy including parasailing, snorkeling, etc.",June 2017,Palm Beach,https://www.tripadvisor.com/Attraction_Review-g147249-d539183-Reviews-Palm_Beach-Palm_Eagle_Beach_Aruba.html,Aruba,attractions,5.0,4.5
The Best Restaurant for Spareribs,Restaurant conveniently located on the strip. The speciality is spare ribs although you can order other dishes. Portions are a good size and price is very reasonable. Great restaurant for couples or families.,June 2017,Smokey Joe's,https://www.tripadvisor.com/Restaurant_Review-g147249-d1046486-Reviews-Smokey_Joe_s-Palm_Eagle_Beach_Aruba.html,Aruba,restaurants,5.0,4.0
The Most Magnificent Tour,"We took this UTV tour and saw 11 attractions! Our tour guides Toto and Alex were great! Very knowledgeable, fun, and helpful. The sights were breathtaking. We were so excited about this tour that we were referring people at our hotel. This is a must do while in Aruba.",June 2017,Around Aruba Tours,https://www.tripadvisor.com/Attraction_Review-g147249-d12183382-Reviews-Around_Aruba_Tours-Palm_Eagle_Beach_Aruba.html,Aruba,attractions,5.0,5.0
Food Galore!,"A meat lovers dream. They kept coming to the table with chicken, lamb,pork, and steaks. Everything was cooked to perfection. I do not eat red meat so I just eat from the salad bar. I could not believe the selection! There was such a huge selection. I have never seen such an amazing salad bar. Something for everyone.",June 2017,Texas de Brazil Aruba,https://www.tripadvisor.com/Restaurant_Review-g147249-d2188478-Reviews-Texas_de_Brazil_Aruba-Palm_Eagle_Beach_Aruba.html,Aruba,restaurants,5.0,4.5
