title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Underwhelming at best,"Hi,

This is one of my very few bad reviews about anything. Ordered a simple beef and shrimp soup with a side beef rice wraps. I had asked for the soup to be spicy as I did not have the menu on me and was driving. The soup broth is not spicy and taste like 80% fish sauce. The rice wraps we already ripped opened as well. I am rarely disappointed especially with a Vietnamese soup but it would be my advice to consider another location. It might be just a today issue as other people seemed to had positive experiences but I give my meal a 1.5/5",March 2021,Pho 99 Beef Noodle Soup Restaurant,https://www.tripadvisor.com/Restaurant_Review-g155004-d4893294-Reviews-Pho_99_Beef_Noodle_Soup_Restaurant-Ottawa_Ontario.html,"Ottawa, Canada",restaurants,2.0,4.5
I am a big fan of middle eastern,I am a big fan of middle eastern food and I have to say that I have tried plethora of restaurants in the Ottawa Gatineau region. Amiral is a stand out among the mere mortals. Not only is the meat portion very generous at around 900 grams but the the items are overall are tastier than the competition. The generous portion and amazing taste makes it a no brainer at a price lower than the completion! Big fan and you should give it a shot. Like this post of you agree!,February 2021,Amiral Restaurant,https://www.tripadvisor.com/Restaurant_Review-g182166-d4262990-Reviews-Amiral_Restaurant-Gatineau_Outaouais_Region_Quebec.html,"Gatineau, Canada",restaurants,5.0,4.0
Worth going for half a day,The ocean was rough when we were there and the beach vendors were everywhere but the experience was still good. I would recommend spending an afternoon here but nothing more. The water is beautiful and so is the sand but the lack of tranquility brings you back to earth. The best way to visit this beach is to make it part of an organised tour that stops here for a couple of hours.,February 2020,Playa Blanca,https://www.tripadvisor.com/Attraction_Review-g1507145-d2627873-Reviews-Playa_Blanca-Isla_Baru_Cartagena_District_Bolivar_Department.html,"Isla Baru, Colombia",attractions,4.0,3.5
Peaceful island with plenty of restaurants!,We loved Lipe. Two main streets going across the island are occupied by restaurants and shops. You will find every cuisine on this island. All bars close at around 11:00 pm to midnight which permits you to have a peaceful sleep. There are nice bungalows on the north east of the island north of sunrise beach. It is so easy to walk around the island and the island is extremely cozy. There are natural a lot of day trips to be done and luminescent plankton can be seen of shore at night when splashing the water on shore. Make sure to go to the Rockstones Bar in the middle of the island for a special treat ;).,December 2019,Ko Lipe,https://www.tripadvisor.com/Attraction_Review-g1024140-d2514150-Reviews-Ko_Lipe-Ko_Lipe_Satun_Province.html,"Ko Lipe, Thailand",attractions,5.0,4.5
Views for a great price,Great spot at affordable prices. Cant beat the view! Other reviews have covered all the basis. Don't hesitate just go.,December 2019,Happy Home Restaurant,https://www.tripadvisor.com/Restaurant_Review-g294256-d16920317-Reviews-Happy_Home_Restaurant-El_Nido_Palawan_Island_Palawan_Province_Mimaropa.html,"Palawan Island, Philippines",restaurants,5.0,5.0
"Thursday ""Night"" Football","Was there for the Thursday Night NFL game on Nov. 7 2019. It was lovely to have access to the game with your feet in sand. I was the only person there since it was 10 am but the pints were delicious. The manager came out and said it was rare that people request NFL games and told me she also had Philip Rivers in her pool but that's a different story!

No the cheapest spot on the island but love the set up of the bar with tables, lounging areas and bar stools. Overall I was very satisfied and rode my bicycle out of there with a smile.",December 2019,Tir Na Nog Bar,https://www.tripadvisor.com/Attraction_Review-g664666-d8491662-Reviews-Tir_Na_Nog_Bar-Gili_Trawangan_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara.html,"Gili Trawangan, Indonesia",attractions,5.0,4.0
Average course at professional prices,The course originally established in 1907 as a 9 hole is now converted into an 18 hole course. The course in very green since water is close buy and this helps with irrigation. Some holes are very nice but a lot of them leave something to be desired. I would probably play again for a green fee closer to the $65 mark instead of the $82.50 we paid.,September 2020,Picton Golf & Country Club,https://www.tripadvisor.com/Attraction_Review-g183797-d4481128-Reviews-Picton_Golf_Country_Club-Picton_Prince_Edward_County_Ontario.html,"Picton, Canada",attractions,3.0,4.0
1 year anniversary dinner,The restaurant has high ceilings and is not too crowded. The scallop dish was out of the world and the other dishes were nice as well. We were a tad disappointed with the oysters but they were still ok. The BYOB really makes the value of this restaurant skyrocket. We will be coming back.,August 2020,O'Thym,https://www.tripadvisor.com/Restaurant_Review-g155032-d783513-Reviews-O_Thym-Montreal_Quebec.html,"Montreal, Canada",restaurants,4.0,4.5
Great spot for a date,Great spot for a date and sushi lovers. Thick and tender sashimi and fantastic sushi. You will not be disappointed. Very chic yet laid back. Loved every minute of it,August 2020,Kyoto Sushi Bar,https://www.tripadvisor.com/Restaurant_Review-g155032-d815887-Reviews-Kyoto_Sushi_Bar-Montreal_Quebec.html,"Montreal, Canada",restaurants,5.0,4.5
Good poutine and classic pogo,Good poutine and classic standard pogos. If you are hungry and passing by you will not be disappointed. Ive had better but also much worse.,August 2020,Restaurant Jean Burger,https://www.tripadvisor.com/Restaurant_Review-g681182-d773818-Reviews-Restaurant_Jean_Burger-Wakefield_Outaouais_Region_Quebec.html,"Wakefield, Canada",restaurants,4.0,4.0
