title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Very well done,"I went here many years ago and they've certainly upped their game for the tourists! The displays are superb and informative, the lay out and way to walk around the complex easy to follow and they are magnificent testimony to Roman ingenuity as many of their drains are in use and working today. The audio devices (included in the ticket price) are extremely comprehensive in their descriptions. A family ticket for 2 adults and 2 children is around £43 and allow around 2-3 hours to explore. Regular footwear is all you'll need, though some surfaces are uneven.",November 2019,The Roman Baths,https://www.tripadvisor.com/Attraction_Review-g186370-d187743-Reviews-The_Roman_Baths-Bath_Somerset_England.html,"Bath, United Kingdom",attractions,5.0,4.5
Absolutely delicious,"We loved this shop - free tastings are available and it is absolutely THE best cheddar we have ever tasted. A large round, around 600grams will set you back £16.99, but so worth it. The cheese is actually matured in Gough's cave so you definitely know you're getting true local produce!",November 2019,The Cheddar Gorge Cheese Company,https://www.tripadvisor.com/Attraction_Review-g186371-d297200-Reviews-The_Cheddar_Gorge_Cheese_Company-Cheddar_Somerset_England.html,"Cheddar, United Kingdom",attractions,5.0,4.0
Something for everyone,"These caves have really been marketed up heaps since I was last here. The tickets you purchase gets you into the whole complex: Gough's Cave, Dreamhunters Cox cave, the prehistory Museum and Jacobs Ladder. The Dreamhunters cave has a display every half hour on the hour and half hour mark. To be honest, this was the least enjoyable of the gorge experience. Flashy lights and a whole lot of nothing....Gough's Cave, however runs you through the history of the place and since we went around Christmas, has loads of Christmas displays throughout the cave. The prehistory museum was pretty brief, but covered most aspects of humanity from Cheddar Man's time (approx 10000 years ago). Jacobs ladder is accessed as you exit Cox's cave and at the top of the 274 steps you can elect to climb the tower with awesome views of the area and then do a walk across the gorge (allow 2 hours). You'll need to allow a full day if you want to experience everything. Parking is a premium and costs everywhere you go (around £5) while entry for a family (2 adults, 2 children) is around £60 and includes entry to all I've mentioned.",November 2019,Cheddar Gorge & Caves,https://www.tripadvisor.com/Attraction_Review-g186371-d212457-Reviews-Cheddar_Gorge_Caves-Cheddar_Somerset_England.html,"Cheddar, United Kingdom",attractions,4.0,4.0
Worst service and coffee EVER,"We thought it hard pressed to get a poor coffee anywhere in Italy, but this place wins hands down. The service is shocking and staff are rude. We ordered 2 capuccino and they were COLD. When we took them back it was like WE were the rude ones. They simply reheated the ones the made and flung them across the counter at us. Do yourselves a favour and eat at McDonalds. If I could give this place a zero rating, I would.",November 2019,Briciole Dolci e Salate,https://www.tripadvisor.com/Restaurant_Review-g656615-d10283329-Reviews-Briciole_Dolci_e_Salate-Fiumicino_Province_of_Rome_Lazio.html,"Fiumicino, Italy",restaurants,1.0,2.0
Best food in Italy!!,"Okay, best food in Italy may be a slight overstatement, but the food is superb. It's rolls with filling of your choice and it's FRESH and FLAVOURFUL. The prices are moderately reasonable for a fancy sandwich - $6-10 euro, but the staff are very friendly and accommodating. Open long hours and definitely worth a visit if you're tired of the, frankly, very ordinary pasta found in restaurants around Italy.",November 2019,Lost Food Factory,https://www.tripadvisor.com/Restaurant_Review-g187791-d8003949-Reviews-Lost_Food_Factory-Rome_Lazio.html,"Rome, Italy",restaurants,5.0,5.0
One incredible view,Get there early or go there late for best photo opportunities. Crowds are often huge. Entrance to the Basilica is to the right hand side and free to see. The walk to the Vatican museum is the the direct right when looking at the square and Basilica.,November 2019,St. Peter's Square,https://www.tripadvisor.com/Attraction_Review-g187793-d191109-Reviews-St_Peter_s_Square-Vatican_City_Lazio.html,"Vatican City, Italy",attractions,5.0,4.5
Magnificent,There's not much that I can add to the thousand of reviews. This is singularly spectacular. The Sistene Chapel is down a couple of rows of stairs and is a quiet and reflective zone. There are actually bench seats provided along the sides of the chapel where you may sit and reflect on the magnificent artworks from Michaelangelo. Be advised that no photos or videos are permitted in the chapel.,November 2019,Sistine Chapel,https://www.tripadvisor.com/Attraction_Review-g187793-d190130-Reviews-Sistine_Chapel-Vatican_City_Lazio.html,"Vatican City, Italy",attractions,5.0,4.5
Catholic church at its most decadent,"This Basilica is both impressive and a bit sickening, exemplifying the hypocritical nature and incredible wealth and power of the Catholic church. The Basilica is HUGE and has dedicated prayer sections, but also manages to have a few areas whereby you need to pay to see (including the museum within the basilica...) Outside the Basilica, not more than 50-100m and on the path to the Vatican museum,you can find, any given day, beggars, many of whom are amputees. The Basilica itself is free, so don't be scammed by all the ticket sellers lurking, offering 'cheap' tickets to get inside the Basilica and queue jump - there is no such thing.",November 2019,St. Peter's Basilica,https://www.tripadvisor.com/Attraction_Review-g187793-d631111-Reviews-St_Peter_s_Basilica-Vatican_City_Lazio.html,"Vatican City, Italy",attractions,3.0,5.0
Incredible collection,"The Vatican museum and Sistene Chapel is definitely something to see when in Rome if you can afford it. For Aussie or kiwi travellers book in your overtime because it's 17 euro to just get in. The collection of art is extensive, though, and they boast a huge Egyptian and Greek collection pilfered centuries ago, including a real mummy!! The art by Michaelangelo (Sistene Chapel)and other artists of the era are spectacular and well worth seeing though you're not allowed to photograph in the Sistene Chapel. The statues, Greek or Roman (Greek inspired) are unparalleled.",November 2019,Vatican Museums,https://www.tripadvisor.com/Attraction_Review-g187793-d191000-Reviews-Vatican_Museums-Vatican_City_Lazio.html,"Vatican City, Italy",attractions,5.0,4.5
Another must see,"The Spanish steps are easy to find and are a free attraction for the enthusiastic tourist! Grab a photo on the steps which were originally built for ease of access to the church above them. There are 135 steps and they've been restored many,any times since they were first built in the early 1700's!",November 2019,Spanish Steps,https://www.tripadvisor.com/Attraction_Review-g187791-d197717-Reviews-Spanish_Steps-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.0
May as well!,"This is also included in your ticket price to the Colosseum and is worth the hike up. Believed to be Nero's garden area, it offers great views of the Colosseum and the forum.",November 2019,Palatine Hill,https://www.tripadvisor.com/Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Utterly superb,"Do not miss this after you see the Colosseum - it's included in the ticket price. From Nero to Augustus, Romulus' and Caesar, this ruin covers everything. Allow yourself 3 hours at least to explore this ancient wonder and wear super comfortable shoes....the cobblestones are a killer after a long day! Be sure to check out the views from the palace and Nero's vineyard as the latter provides great photo opportunity of the Colosseum. You can just imagine how grandiose the whole scene would have been a couple of thousand years ago! Be aware, if you want to do the museum there or the palace tunnel, there are significant additional costs. 6 euro each for the museum and the same for the tunnel, which can add up for a family, making the initial ticket price almost 30 euro. Not worth it in my opinion and smacks of greed.",November 2019,Roman Forum,https://www.tripadvisor.com/Attraction_Review-g187791-d2154770-Reviews-Roman_Forum-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Beautiful,"The Pantheon is spectacular. It has enjoyed many careers over the century and enjoys beautifully preserved architecture. Open long hours and accessible outside by night it is not to be missed. There's lots of good shopping around this precinct too, as well as some nice restaurants. It's also only 450m from the Trevi fountain so it's easy to combine the two!",November 2019,Pantheon,https://www.tripadvisor.com/Attraction_Review-g187791-d197714-Reviews-Pantheon-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Beautiful day and night,"I highly recommend you visit this both day and night. It's not too far of a walk from the pantheon (450m) or the colosseum. It's always crowded, but people are quick once they take their photos. Throw a coin over your shoulder and make a wish! A beautiful spot showing off the vast water supply the ancient Romans enjoyed!",November 2019,Trevi Fountain,https://www.tripadvisor.com/Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
A must,"If you're in Rome, the Colosseum is a must! Tickets are 16euro which includes entry to the forum. The history of the colosseum is rich and interesting - even it's name was not meant to be the Colosseum, named Amphitheatre Flavium originally, but because it was located near a statue of a colossus...the nickname stuck. Beware of rip off merchant's promising you queue jumps and the like. Tour guides also promise a full tour of all 3 sites around the Colosseum, but take your money and only pay for a group pass to the Colosseum,doing a runner at the end, so make sure if you book a tour, to be sure your ticket covers the forum too. There are men walking up and down the queues selling water and souvenirs at extremely inflated prices so beware. As well, scammers thrust bracelets and other bits of rubbish at you and then demand money. Do not stop for these people. Lastly, if you don't want to wait hours and hours in frustration in the entry queues, book your tickets in advance. When numbers in the colosseum reach 3000, the entry of further tourists comes to a virtual stand still. Wear comfy shoes and pack lots to drink, especially if you go in summer.",November 2019,Colosseum,https://www.tripadvisor.com/Attraction_Review-g187791-d192285-Reviews-Colosseum-Rome_Lazio.html,"Rome, Italy",attractions,4.0,4.5
Great to experience,"We decided this would be be the perfect wet day activity. If you're staying anywhere near the train station, it's only a short walk, approximately 1km to Napoli Sotterranea. English speaking tours are conducted every hour on the hour and groups are taken in groups of about 60-65. The tour costs 10euro and lasts for 1.5 hours exactly. Be aware the front of house people taking payment are rude and angry, getting short and annoyed with tourists who are expected to queue in a tiny, stuffy area which would comfortably accommodate 20 people, NOT 60. The rules change depending upon which minute you show up. Pre-payment required prior to the tour, next minute, pay as you begin....who knows. The tour guides are nicer than the front of house people and somewhat knowledgeable on the topic they're presenting, though know very little actual fact about Italy's role in WWII and their allegiance to Germany and swapping to the allied forces side! The underground tour was interesting in that it was Greek ingenuity that saw 400km of aquaduct constructed to supply hundreds of thousands of Italians with potable water. The tour includes a walk through very narrow aquaduct tunnels so I don't recommend this if you're claustrophobic and obviously, no bulky bags or backpacks.Naturally, in Italy, there are many, many stairs to climb, so wear comfortable shoes. It gets very hot and stuffy down there, so wear layers that you can easily take off. The tour also incorporates a 30 second church walk through with zero explanation (why even bother?) and the Roman theatre that has been built over with 40 odd houses, but discovered 8 years ago and partially excavated those areas accessible or bought off residents. They rush people through and often several groups end up in the same place making it impossible to hear the information given by your guide. The whole process is executed poorly and it feels like they just want your money and care little about your experience. However, it's a worthwhile diversion and history lesson if you don't mind the utterly rude staff who seem like they'd rather be anywhere than where they are.",November 2019,Underground Naples,https://www.tripadvisor.com/Attraction_Review-g187785-d2466778-Reviews-Underground_Naples-Naples_Province_of_Naples_Campania.html,"Naples, Italy",attractions,3.0,4.5
Best pizza in Italy,"This place is the bomb for pizza. Dine in or takeaway, service is fast and efficient, staff nice (albeit flat out) and prices reasonable. Wha more could you ask for?",November 2019,Da Donato dal 1956 Antica Trattoria e Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g187785-d8449548-Reviews-Da_Donato_dal_1956_Antica_Trattoria_e_Pizzeria-Naples_Province_of_Naples_Campania.html,"Naples, Italy",restaurants,5.0,4.5
Incredible service,"We booked this on Expedia and we're thrilled with this gorgeous hotel. The staff were incredible - went above and beyond, especially Lalit (multi lingual and all-around awesome). Breakfast was included which was incredible with a massive selection of foods it kick started our days beautifully. Our room, while small, was spotlessly clean. There is also a key lockable safe box in the rooms. There is no elevator so bring your muscles to lug your cases up the steps if you're an international traveller. The entrance is one of the most charming in all of Venice and the foyer is welcoming and charming. The staff make this hotel utterly worthwhile and they are knowledgeable and give good tips on how to avoid being ripped off by greedy businesses. Highly recommend this hotel.",November 2019,Albergo Marin,https://www.tripadvisor.com/Hotel_Review-g187870-d260782-Reviews-Albergo_Marin-Venice_Veneto.html,"Venice, Italy",hotels,5.0,4.0
Escape the crowds,"After spending 2 days in the total hustle and bustle of Venice tourist hotspots, it was a refreshing relief to escape to the Ghetto. Most locals live around here and this is evidenced by the markedly cheaper shops and restaurants. We ate one of our best meals along a canal and it cost 17 euro for both of us!! The buildings are older and the bridges less ornate, but it is easy to access on foot and well worth a stroll through if you want some peace and good value dining.",November 2019,Campo del Ghetto,https://www.tripadvisor.com/Attraction_Review-g187870-d195001-Reviews-Campo_del_Ghetto-Venice_Veneto.html,"Venice, Italy",attractions,5.0,4.5
