title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Experience on its own,"There's so much to do in the hotel grounds alone that you barely need to leave at all! There are several types of activities ranging from workshops and animal encounters to karaoke. There's a miniature ""zoo"", outdoor pools, and a fantasy park. You can put a lot of time in just exploring the grounds for all the novelties they have at place and it's all very interesting. It's a great place for families with children!

The rooms are quite big, which was impressive and the decor is very simple but functional. However the plumbing seems to be quite out of date as it was very noisy, at least that was the case in our specific vila. It was also quite weird that the doors had one actual, physical key, so if you are travelling with other people you are pretty much glued to each other whenever out and about.

The breakfast and every other dining experience is held at the same place, a restaurant in the middle of the grounds. It has a very nice rustic decor and delicious food, however on a busy night it gets incredibly hot inside and there's no air conditioning.",October 2019,Club Vila Bran,https://www.tripadvisor.com/Hotel_Review-g608956-d2399187-Reviews-Club_Vila_Bran-Bran_Brasov_County_Central_Romania_Transylvania.html,"Bran, Romania",hotels,5.0,4.0
Halloween 2019,"First of all, I visited the castle during the annual Halloween party that is hosted there, so my experience does not extend to regular operating hours.

It's a fantastic castle with an air of history to it, might be bit hard to navigate and I imagine gets crowded really quickly. There are various exhibits around the castle, ranging from the history of Vlad Tepes and Dracula myth to medieval torture devices. It's certainly a touristy location but well worth the trip if you are even little bit of a Dracula-nut!

On the downside, the castle is not accessible to those with mobility issues. There are restrooms but they are quite poorly marked, and the gift shop is very poor selection.",October 2019,Bran Castle (Dracula's Castle),https://www.tripadvisor.com/Attraction_Review-g608956-d318167-Reviews-Bran_Castle_Dracula_s_Castle-Bran_Brasov_County_Central_Romania_Transylvania.html,"Bran, Romania",attractions,5.0,4.0
My first synagogue visit,"Beautiful synagogue with a holocaust memorial right next to it, this was a lovely introduction to synagogues to me. There's a small fee to enter but it's well worth it to see the details of the inside decor. There are restrooms on the outside of the synagogue, on the opposite side of where the memorial is.

Have to admit I'm not entirely sure about the opening hours as the synagogue seemed to be closed when we first arrived, then open a little bit later, and closed as soon as we left it.",October 2019,Sinagoga Neologa,https://www.tripadvisor.com/Attraction_Review-g295394-d5565566-Reviews-Sinagoga_Neologa-Brasov_Brasov_County_Central_Romania_Transylvania.html,"Brasov, Romania",attractions,5.0,4.0
Pretentious,"While the exhibits are interesting, the museum itself is quite expensive and not really worth it. It's also rather peculiar for them to require you to wear coverings over your shoes in order to enter. Photography is allowed but you have to pay for it, as if the entry fee wasn't enough already!",October 2019,The Museum of Urban Civilization,https://www.tripadvisor.com/Attraction_Review-g295394-d12674034-Reviews-The_Museum_of_Urban_Civilization-Brasov_Brasov_County_Central_Romania_Transylvan.html,"Brasov, Romania",attractions,2.0,4.0
Well preserved history,"This fortress is pretty much in the middle of nowhere so it might be tricky to get to. Once there, the only thing to really see is the fortress itself, which is surely amazing but might not be enough for every traveller. The ruins are interesting but there is basically no information about them as you walk among them. There are restrooms outside of the ruins themselves, so be prepared for that and do your business before entering.",October 2019,Cetatea Rupea,https://www.tripadvisor.com/Attraction_Review-g6582310-d7199473-Reviews-Cetatea_Rupea-Rupea_Brasov_County_Central_Romania_Transylvania.html,"Rupea, Romania",attractions,4.0,4.0
Great stay,"Beautiful quality hotel by the river, you'll be doing bit of uphill walking to get to the centre of the town from here. The rooms are clean and had good amount of amenities, very comfortable beds as well. The breakfast has a wide selection of different offerings for every taste.

You'll either be getting a town or a river view, both of which are quite nice. On the other side of the river is a lovely church you might want to go take a closer look at.",October 2019,DoubleTree by Hilton Sighisoara - Cavaler,https://www.tripadvisor.com/Hotel_Review-g311309-d10467560-Reviews-DoubleTree_by_Hilton_Sighisoara_Cavaler-Sighisoara_Mures_County_Central_Romania_Trans.html,"Sighisoara, Romania",hotels,5.0,3.5
Tourist trap,"There's no doubt about it, this place is more of a tourist trap than a historical exhibit. It's almost tacky and the souvenirs are definitely overpriced to match. However the service and food were both excellent, so it's not a loss for a Dracula lover to come here. Would not recommend going to Sighisoara only to see this place though.",October 2019,Casa Vlad Dracul,https://www.tripadvisor.com/Attraction_Review-g311309-d10310346-Reviews-Casa_Vlad_Dracul-Sighisoara_Mures_County_Central_Romania_Transylvania.html,"Sighisoara, Romania",attractions,3.0,2.5
Very narrow,"You won't miss the clock tower when in the town and it is worth taking the time to visit inside of it. Just be ready that the stairs are quite narrow, which will make it bit of a trick to pass others. On your way to the top, there are several rooms that hold historical objects for you to look at but there are no English texts available. From the top the view is great over all of the town.",October 2019,Sighișoara Clock Tower,https://www.tripadvisor.com/Attraction_Review-g311309-d558448-Reviews-Sighisoara_Clock_Tower-Sighisoara_Mures_County_Central_Romania_Transylvania.html,"Sighisoara, Romania",attractions,3.0,4.5
Historical area,"You'll likely be coming by the famous stairs that lead up to the church and if you have time to spare, might as well go all the way up. The church and the adjacent cemetery are quite beautiful, however the church's charm is mostly on its outside as the decor is quite plain. I'll also give this church a lot of respect for having informational pamphlets available in a lot of languages, the selection was the most inclusive I've seen in any other attraction to date.",October 2019,Church on the Hill,https://www.tripadvisor.com/Attraction_Review-g311309-d2646883-Reviews-Church_on_the_Hill-Sighisoara_Mures_County_Central_Romania_Transylvania.html,"Sighisoara, Romania",attractions,4.0,4.0
Didn't actually see inside the cathedral itself,"The cathedral was undergoing renovations during my visit, so I only saw a small exhibition area and the clocktower. There was no English text available but the tower itself was pretty interesting to visit.",October 2019,Lutheran Evangelical Cathedral & Tower,https://www.tripadvisor.com/Attraction_Review-g295393-d600436-Reviews-Lutheran_Evangelical_Cathedral_Tower-Sibiu_Sibiu_County_Central_Romania_Transylvan.html,"Sibiu, Romania",attractions,2.0,4.5
