title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nice property if not the right one for us this time,"Lovely location and rooms as well appointed and clean if a little small for a junior suite. As mentioned by other there are a lot of stairs, however this is in keeping with the other hotels in this area. Milen and Argiro on reception are excellent and very professional. Milen in particular suggested and booked yacht and car hire for us and is a credit to the Dana.
In my opinion this hotel should be classed as adult only as we had our daughter (15) with us and whilst we were never made to feel awkward by the staff we were the only travellers who were not in a couple. By way of illustration the loungers by the pool are joined in the middle and fold together and all tables are set up for two. All other guests were polite, however the majority seemed obsessed with taking selfies presumably to post on Instagram.
The pool staff are polite, however they wear their masks under their chins as some kind of fashion accessory and never covering their face as you would expect, this was the same throughout our 4 days at the Dana.
One final mention must go the the porters who are heroic in collecting and carrying you cases (plural) up and down the stairs for you and to our car - they were magnificent and deserve every tip that they get.
The Dana Villas and Suites is a lovely property but one that I would suggest if for adults only, especially if you like selfies.",September 2020,Dana Villas & Infinity Suites,https://www.tripadvisor.com/Hotel_Review-g635607-d196091-Reviews-Dana_Villas_Infinity_Suites-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,4.5
Nice restaurant with good menu,Nice restaurant with good selection on the menu and great service from the staff. If I’m Santorini I would visit again.,September 2020,Vanilia,https://www.tripadvisor.com/Restaurant_Review-g482942-d1105737-Reviews-Vanilia-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,4.0
Semi private platinum day cruise,"We were recommended and booked with Vista Yachting by our hotel. Our party of 3 included our daughter and we wanted to ensure that we did not end up on a booze cruise. We decided on the semi private platinum day cruise as we were advised that would be the most appropriate and it was a great experience. There were 12 people including another family of 3 on our boat and it was a fun classy environment. Maria was our main host backed up by Eddie and Christou and they were all very attentive with Maria full of amusing commentary throughout. The food was a really good standard especially when you consider a good portion was cooked fresh onboard on a bbq at the back of the boat.
Hats of to Vista Yachting for providing a super trip.",September 2020,ViSta Yachting,https://www.tripadvisor.com/Attraction_Review-g189433-d12603570-Reviews-ViSta_Yachting-Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,5.0
Lovely service and atmosphere,"Lovely service and atmosphere at this family run restaurant. Throughout our travels in Greece we have eaten out at least twice a day and this place is the quaintest, most relaxing place we have eaten.
The food was good and even though it is a little way of the strip my advice is make the effort and you will be rewarded with a charming atmosphere and good food.",September 2020,Parea Local Cuisine,https://www.tripadvisor.com/Restaurant_Review-g642171-d10714986-Reviews-Parea_Local_Cuisine-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",restaurants,4.0,5.0
Lovely stay,"We stayed her for 3 nights and had a great stay at a lovely property with nice gardens. We stayed in a superior sea view room with a lovely sized balcony with great views of the harbour. The path to the beach is right on your doorstep and makes access to Marcello beach really easy.
The food at breakfast is good with plenty of variety and the restaurant which we ate at twice in the evenings had some of the best food we ate on our trip.
There is a complimentary bus into the town however it is quite infrequent and in my opinion could do with being more frequent as I see no reason for it not to run hourly in the morning till 12 and again later in the day 4pm until 12.
We visited during the covid pandemic and it is understandable and expected that there would be certain restrictions in place to keep both guests and staff safe. All the notices were present and the staff always wore masks, however that’s more than could be said for some of the guests. It must be a difficult balancing act for the resort to maintain safety for all guests whilst ensuring that they do not impose too much on their guests. However for me there is room for improvement at Agnanti as whilst there are notes on the doors to the breakfast area about using the hand sanitisers (provided on all tables) , wearing masks indoors in common areas and no more than 6 people in the breakfast serving area at any time these are not enforced nor are guests politely reminded to improve adherence. I would say that the 50% of the guests complied, however there were a number of families and couples who either through ignorance or choice did not follow the advice regarding masks, sanitiser and numbers which I would suggest could be fixed by a gentle reminder to all tables as they are seated of the rules to keep everyone safe. The service for drinks can also be a little slow, which is frustrating waiting for 20 minutes for 2 cocktails when all appears to be quiet, however if ordered at the pool bar during the day they take 5 mins. The pool is lovely with great loungers and the young lady serving was excellent. It is not too crowded and loungers spaced out to give you some privacy.
I used the gym whilst there which was perfectly adequate for my holiday needs.
Overall I would recommend the Agnanti if you like a quiet stay and do not want to be in the hubbub and a little isolated. If visiting Paros again I would be happy to stay at the Agnanti as my lasting impression is of a
nice room, great terrace/balcony and attentive if sometimes slow staff.",August 2020,Paros Agnanti Resort,https://www.tripadvisor.com/Hotel_Review-g642171-d241776-Reviews-Paros_Agnanti_Resort-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",hotels,5.0,4.5
Exceeded expectations,"I’ve just finished a trip to Mykonos staying at the Aeolos resort and feel more than ever the need to review our experience.
We are travelling through Greece for a few weeks and don’t often do summer beach trips and were somewhat apprehensive about visiting Mykonos as we felt it may be too busy for us especially with a young daughter.
From being collected at the port, checked in with a warm welcome from the owner Panos we were definitely looked after superbly.
We were offered the choice of the room being upgraded from our original booking to a family room if we wanted to have the extra space.
However our initial fears disappeared as Panos and his team made our stay wonderful; It has been mentioned in many of the reviews that the service here is good, however I would go further and say that the service exceeds the star rating the property has. Panos and his team always seemed to anticipate what you were thinking or wanted, be it walking over with a towel for your lounger, collecting your cases, offering a lift to town, recommending a trip for the day to arranging car hire - simply put this is 5 star service but never overbearing, there is a lot that other owners could learn from Panos and his team. The service here is better than some 5 star hotels we have stayed in and Panos should be very proud of what he has achieved.",August 2020,Aeolos Resort,https://www.tripadvisor.com/Hotel_Review-g662620-d529847-Reviews-Aeolos_Resort-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",hotels,5.0,5.0
WOW - You only Live Twice,"Been here twice and it didn’t disappoint either time. My wife and family were sceptical when I suggested a trip having been before on a ski trip with friends. However the place won them over and was a highlight on our family ski trip to neighbouring Obergurgl.
I can’t imagine how much they must have spent on this place but it feels like going into a Bond villains top secret lair, all highly polished concrete and spectacular views across the mountain range.
Definitely somewhere I will visit again in the future and the attached restaurant is also great.",February 2020,007 Elements,https://www.tripadvisor.com/Attraction_Review-g608679-d14929084-Reviews-007_Elements-Solden_Tirol_Austrian_Alps.html,"Solden, Austria",attractions,5.0,4.5
Great atmosphere,"Great fun and typically cheesy atmosphere.
The music is cheesy, the dancing generational and wholehearted with typical good quality Tyrollean food.",February 2020,Nederhuette,https://www.tripadvisor.com/Restaurant_Review-g608674-d2054819-Reviews-Nederhuette-Obergurgl_Tirol_Austrian_Alps.html,"Obergurgl, Austria",restaurants,5.0,5.0
Wonderful stay,"Modern contemporary hotel that manages to pull off a homely feel.
We stayed here during the busy February half term (UK) and the staff were at all times never too busy to help answer a query or provide help.
Special mention must go to Peter in the restaurant who looked after us all so well during the week and made our daughter feel special by always anticipating what she would and wouldn’t want to provide alternatives to the a la carte menu.
The spa is a good size whilst not huge and benefits from having an adults only section as well as one for families which we used.
Great trip and we will be back again.",February 2020,Hotel Gurglhof,https://www.tripadvisor.com/Hotel_Review-g608674-d497733-Reviews-Hotel_Gurglhof-Obergurgl_Tirol_Austrian_Alps.html,"Obergurgl, Austria",hotels,5.0,4.5
Stunning,"We had wanted to see this for some years and when we finally got to visit it did not disappoint.
There is no denying it is HOT however well worth a couple of hours sweat and toil walking up for the views that await.
We were advised to use the south entrance as it is less busy and the views are the same, also to avoid late mornings as that’s when most of the organised tours are there. We were fortunate that Athens was quiet when we visited, however the guides told us that up to 26,000 people a day visit at peaks times.",August 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
