title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Wonderful retreat,Located on a quiet alley very close to the center and within walking distance to all the local attractions and all the restaurants. Spotless clean and bright large room with a whirlpool bath. We were pampered with a full mini fridge woth soft drinks. There's a lovely rooftop terrace to sip a coffee with lovely views of the churches and mountains. Definitely recommend it,November 2020,Flora Valley Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g293983-d21509107-Reviews-Flora_Valley_Boutique_Hotel-Jerusalem_Jerusalem_District.html,"Jerusalem, Israel",hotels,5.0,5.0
Noisy good food but not so good service,"The ace is big and noisy
Margaritas wede great. Food was also very good. Service however was very slow and inattentive. We also had to ask for new cutlery as it was not really clean. Prices are moderate.",February 2020,Rosa Mexicano - Los Angeles,https://www.tripadvisor.com/Restaurant_Review-g32655-d1531959-Reviews-Rosa_Mexicano_Los_Angeles-Los_Angeles_California.html,"Los Angeles, California",restaurants,4.0,4.0
Very nice stay,"This is a business hotel. Everything is punctual and orderly. Location is excellent for the convention center, LA Live and the Staples center. Room was large and tidy and modern. Wi fi worked great. There is a small coffee place in the lobby which serves Starbucks. There is also a pantry with all the essentials. There are lots of restaurants around so no problems to go out and grab a bite or a drink. The only thing I would recommend is to increase the water pressure on the high floors. I would probably stay here again next time I come to the convention center.",February 2020,Courtyard by Marriott Los Angeles L.A. LIVE,https://www.tripadvisor.com/Hotel_Review-g32655-d6434667-Reviews-Courtyard_by_Marriott_Los_Angeles_L_A_LIVE-Los_Angeles_California.html,"Los Angeles, California",hotels,5.0,4.5
Lovely tourist traps,Very touristic and filled with stores trying to sell the usual souvenirs. But still has a good vibe and some fine dining options sonits a must see both during the day and night.,October 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent food,Very lively place with lots of locals and tourists alike. Food was very good and service excellent. Very good for lunch in the center a short 2 minutes from Syntagma. The Yaurtkebab was excellent as was the chicken salad.,October 2019,Barbadimos Syntagma,https://www.tripadvisor.com/Restaurant_Review-g189400-d12641648-Reviews-Barbadimos_Syntagma-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Nice music mediocre food,Wentbfor dinner. The place is lovely with an island Taverna atmosphere. They have live Greek music which is nice. We liked some of the food like the musaka and the eggplant salad butbthe taramasalata was mediocre and the mixed grill plate got mixed reviews I'm afraid. The lamb chop and the chicken breast weew fine but the beef and pork were overdone and dry. Prices are very moderate and the portions are generous. I guess if you stick to the lamb and traditional dishes like musaka gyros ans souvlaki you will be fine. Combined with the live music and good service its a good deal.,October 2019,Grill House Aischylou,https://www.tripadvisor.com/Restaurant_Review-g189400-d6740452-Reviews-Grill_House_Aischylou-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Intresting,Located in the ancient agora this temple is very well preserved. It is a shame they don't let you go inside but you can still inspect it from very close by. If you can close your eyes and imagine what it might have looked like at its prime and then add all the noises from the busy Agora market you can imagine old Athens from 450 BC... Strongly recommend for history buffs and it is included in the pricenof the combo ticket andbis very close to Monastriaki square so definitely go.,October 2019,Temple of Hephaestus,https://www.tripadvisor.com/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Touristic but decent food,Had a muosaca and a souvlaki which were both a little dry but tasty. Atmosphere was nice and seating was not too crowded. Mediocre food but I guess it was to be expected.,October 2019,O Thanasis,https://www.tripadvisor.com/Restaurant_Review-g189400-d929471-Reviews-O_Thanasis-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Awe inspiring,Short visit only but a memorable one. You can run a lap and pretend to be in the first Olympic games... You can even go on the podium. Qute....,October 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Pinnacle of Athens,Ehat elese can we say that hasn't been said. Its the center piece of the city and a must see attraction. I recommend to get the combo tickets at 30 euro each. they are valid for 5 days. Get them at the Agora or the Hedrian library as the lines there are much shorter to non existant. Also go either early morning or later in the afternoon as there are less people and it mat be less warm. There is very little shade...,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
