title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Two activities - Via ferrata and canyoning, both fantastic!","Adam and I completed both the via ferrata and canyoning with Billy and Costino.
They are fantastic and knowledgeable guides. You will never feel unsafe but your will feel the adrenaline!
The via ferrata is extreme, a high and tough terrain but it's well worth it. You'll feel a sense of achievement.
We did the dry canyon, the rappells where high, how we like them.
I'm not gonna lie, I hurt. Two days of hard physical activity but I feel good for it.
This company does many other activities so just ask them. Great communication with Nicki.",November 2020,B.O.A - Base Outdoor Activities,https://www.tripadvisor.com/Attraction_Review-g189400-d14543457-Reviews-B_O_A_Base_Outdoor_Activities-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
"Fantastic food, great TripAdvisor find","Great food, tasty, quick and very reasonable. We found this on TripAdvisor and the reviews are correct. We really enjoyed it.",November 2020,Zaxos,https://www.tripadvisor.com/Restaurant_Review-g562634-d10512685-Reviews-Zaxos-Varkiza_East_Attica_Region_Attica.html,"Varkiza, Greece",restaurants,5.0,4.0
"The reviews are correct, excellent hamam!","We had the Ali Mama which was great value at €45 each. The facilities are fantastic, hygiene is superb throughout the spa and the staff are lovely.
I came out feeling like a new person, relaxed, refreshed and very clean.
Book a place especially after a walking trip or hot day.
Communication with the spa was easy and quick.",November 2020,Hammam Baths,https://www.tripadvisor.com/Attraction_Review-g189400-d2054930-Reviews-Hammam_Baths-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Good hotel, very reasonable, average area.","I found this hotel to be clean with a good shower which is as must for me. Bedding clean and I can't fault the hotel.
Breakfast was basic but plentiful.
I didn't realise the area it is in and the comments are negative about the area.
I've travelled all over the world and I didn't find it to be particularly unsafe. I didn't go in into the main area as the hotel is near the metro. We walked everywhere (my son and I). We weren't approached or asked for money by anyone. I'm always aware of my surroundings and it felt like Le Rambla in Barcelona on a night time, a bit run.
My advice would be to keep to the main streets as we did. Be careful of the gallery side walks as you would everywhere.
I'd book here again easily.",October 2020,Ambrosia Suites,https://www.tripadvisor.com/Hotel_Review-g189400-d8411997-Reviews-Ambrosia_Suites-Athens_Attica.html,"Athens, Greece",hotels,4.0,3.5
"Great find, be sure to visit when in Athens","We'd been walking past this restaurant for several days before we had lunch here. Should have gone there sooner!
The pork and chicken souvlaki were the best we'd had whilst in Greece. Tasty, plenty of meat and salad and super value. The wine was cheap and very drinkable.",October 2020,Enteka,https://www.tripadvisor.com/Restaurant_Review-g189400-d15360058-Reviews-Enteka-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
"Disappointed, I felt we were ripped off.","It's hard to write a negative review but I was really disappointed with the service and therefore the meal we received.
I ordered chicken skewers or souvlaki but it came with 3 skewers instead of four as advertised, no salad or fries and I was still charged the same price.
My son found his meal tasty and it did come with fries.
Asked for chips and cheese and received fries and sauce. All I can say is that I felt we were treated differently and rushed.
All the other service we have received has been supurb in Greece but I wouldn't recommend here.",October 2020,Zaxos Grill,https://www.tripadvisor.com/Restaurant_Review-g562635-d2588162-Reviews-Zaxos_Grill-Vouliagmeni_East_Attica_Region_Attica.html,"Vouliagmeni, Greece",restaurants,2.0,4.0
"Beautiful, tasty food at very reasonable price, super find!","Found through TripAdvisor and the reviews are spot on.
The found was delicious and generous. I don't like to describe food as simple as I think it doesn't recognise the chefs skills. So the food is flavoursome and uncomplicated (if it's on the plate, it's necessary).
Very reasonable in price and the staff were good. Please go, you won't be disappointed.",October 2020,Atlantikos,https://www.tripadvisor.com/Restaurant_Review-g189400-d7176555-Reviews-Atlantikos-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
"Good food, great service","Stopped to look and not hassled. Liked it immediately. Food was tasty, the teenager loved the shrimps. Wine was plenty, delicious and reasonable. Service was outstanding and welcoming, would definitely recommend",October 2020,Pame Tsipouro Pame Kafeneio - 31 Aiolou str.,https://www.tripadvisor.com/Restaurant_Review-g189400-d14760477-Reviews-Pame_Tsipouro_Pame_Kafeneio_31_Aiolou_str-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Impressed with this accidental find,"We both enjoyed this temple and building complex site. Walk freely amongst the ruins and enjoy the story of this area.
For people under 25, take id for free entrance.",October 2020,Temple of Hephaestus,https://www.tripadvisor.com/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Expectations did not meet reality,"Unfortunately, the expectation did not meet the reality. Although beautiful you were unable to go near the buildings (yes I understand conservation) but you were unable to connect.
As UK citizen, we support the return of stolen cultural artifacts from Greece and the Acropolis buildings from the British Library.",October 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Our pizza was delicious.....,"Our pizza was delicious. Really glad we chose to come here. Really tasty, thin pizza with fresh ingredients. Would easily recommend.",October 2020,Masters Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d12696213-Reviews-Masters_Bar-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Beautiful house and gardens.,"I visited after seeing someone else's pictures. It is a truly beautiful place, the house and gardens. We enjoyed the various sculptures within the gardens. A fantastic idea and great setting to display.",September 2020,Doddington Hall & Gardens,https://www.tripadvisor.com/Attraction_Review-g186336-d1224332-Reviews-Doddington_Hall_Gardens-Lincoln_Lincolnshire_England.html,"Lincoln, United Kingdom",attractions,5.0,4.5
The fish is simply wonderful...,"A small wait but we'll worth it. This is a popular restaurant for a reason.
Garlic shrimp were simple and delicious. The monkfish and sea bass were tasty and large in portion. Very good value for money.",August 2020,A Taberna do Pescador,https://www.tripadvisor.com/Restaurant_Review-g189112-d2079553-Reviews-A_Taberna_do_Pescador-Albufeira_Faro_District_Algarve.html,"Albufeira, Portugal",restaurants,5.0,4.0
"Fantastic pizzas and cocktails, worth a visit.","Visit here twice as so good. Pizzas are large and delicious. Made with fresh product, straight from the stone oven.
Service was good and no issue with time.
Cocktails are reasonable on price and good serving and alcohol content.",August 2020,Urban Pizza Old Town,https://www.tripadvisor.com/Restaurant_Review-g189112-d6507284-Reviews-Urban_Pizza_Old_Town-Albufeira_Faro_District_Algarve.html,"Albufeira, Portugal",restaurants,5.0,4.0
Super tasty pizza and quick service.,"After travelling all day, we stopped to order a pizza from here. The review are correct, the pizzas are super tasty and fresh.
Good value, large in size and quick service.",July 2020,Pizzeria Filippone,https://www.tripadvisor.com/Restaurant_Review-g187861-d4882931-Reviews-Pizzeria_Filippone-Trento_Province_of_Trento_Trentino_Alto_Adige.html,"Trento, Italy",restaurants,4.0,4.0
We enjoyed our stay here at Pension Zeder,"Close to Bolzano and easy to get too, our room was spacious, super clean and had a beautiful mountain view.
Breakfast was plentiful, fresh and change daily so variety.
There was plenty of parking and the swimming pool and gardens were very well maintained.",July 2020,Pension Zeder,https://www.tripadvisor.com/Hotel_Review-g945333-d4892352-Reviews-Pension_Zeder-Andriano_Province_of_South_Tyrol_Trentino_Alto_Adige.html,"Andriano, Italy",hotels,4.0,4.0
"Nice surprise find, good food.","We stopped here after taking a quick peek at others meals. We weren't disappointed. My beef was good well, my partners pasta was tasty and the wine was reasonably and drinkable. A lovely meal and would have returned if it had been open on a Sunday.",July 2020,Paulaner Stuben,https://www.tripadvisor.com/Restaurant_Review-g187857-d1056994-Reviews-Paulaner_Stuben-Bolzano_Province_of_South_Tyrol_Trentino_Alto_Adige.html,"Bolzano, Italy",restaurants,4.0,4.0
"We got to tunnel 12, we'd go back to explore the others","After seeing these tunnels on a Discovery programme, we wanted to go and explore. Make sure you have plenty of time as we ran out of time.
There are some fun tunnels to explore with off shoots on some. Take a torch if you can and wear good footwear as some tunnels are slippery and wet.",July 2020,Road of 52 Tunnels,https://www.tripadvisor.com/Attraction_Review-g2151333-d3398548-Reviews-Road_of_52_Tunnels-Valli_del_Pasubio_Province_of_Vicenza_Veneto.html,"Valli del Pasubio, Italy",attractions,4.0,4.5
Via Ferrata in the Dolomites - fantastic and scary all at the same time!,"Randomly came across Rich through Facebook Bigtime Aventura. After messaging him, turned out he was in the Dolomites. He kindly agreed to be a guide for a via ferrata, making sure of our experience and what experience we were looking for and to achieve.
Fantastic, easy guy to get on with, who'll give you confidence to push your limits.
Rich does hut to hut hiking, climbing, canyooning and more activities. His passion really rubs off on you, inspiring you.
If your looking for a fun, exciting, adrenaline pact day, book Rich! It's guaranteed.",July 2020,Bigtime Aventura,https://www.tripadvisor.com/Attraction_Review-g187529-d10004882-Reviews-Bigtime_Aventura-Valencia_Province_of_Valencia_Valencian_Country.html,"Valencia, Spain",attractions,5.0,5.0
Simply fascinating,"I was surprised to discover Otzi in Bolzano and wanted to go after remembering his discovery.
The museum is informative with English, Italian and German information boards.
Although I felt sad for him being displayed. His equipment and belongings have been preserved and are remarkable both in technology but people's clear understanding of their environment and equipment for survival. It's truly amazing and I felt humble to realise, this individual had more knowledge than what we hold now, with all our 'technology'. Great place to visit.",July 2020,South Tyrol Museum of Archaeology,https://www.tripadvisor.com/Attraction_Review-g187857-d232296-Reviews-South_Tyrol_Museum_of_Archaeology-Bolzano_Province_of_South_Tyrol_Trentino_Alto_Ad.html,"Bolzano, Italy",attractions,5.0,4.5
"Fantastic museum, surprised at variety of the museum.","We thought a couple of hours would be needed to visit this museum but we're surprised at the quality of various exhibitions.
Interesting mountaineering history information, the history of the building and surrounding area which was fascinating.
Art installations and display items all within the beautiful castle. The building has been restored and blended with modern materials which are balanced to each other. The architectural design is fantastic and is very well throughout.
So 5 hours later and after visiting the cafe, we can highly recommend this museum.",July 2020,Messner Mountain Museum MMM Firmian,https://www.tripadvisor.com/Attraction_Review-g187857-d1820154-Reviews-Messner_Mountain_Museum_MMM_Firmian-Bolzano_Province_of_South_Tyrol_Trentino_Alto.html,"Bolzano, Italy",attractions,5.0,4.5
Fantastic trial for hiking or bike.,"Completed this with a teenager. He enjoyed it! (miracle for a teenager). Well maintained, plenty of places to stop and rest and good signage.
We began at Sutton in Hull and cycled the 11 miles each way.
Free parking in Sutton, use HU4 7PD for parking.
No shops on way so take plenty your own food and drinks, have fun :-)",May 2020,Hornsea Rail Trail,https://www.tripadvisor.com/Attraction_Review-g635677-d20942149-Reviews-Hornsea_Rail_Trail-Hornsea_East_Riding_of_Yorkshire_England.html,"Hornsea, United Kingdom",attractions,4.0,5.0
Beautiful handcrafted pizzas,"As title says, we had 2 beautiful handcrafted pizzas. Quality ingredients, thin base (how we like it) and delicious. A great find in these times.
Booked slot required and social distancing observed. Full recommendation given.",April 2020,Yellowbelly Pizza Co,https://www.tripadvisor.com/Restaurant_Review-g656897-d17803129-Reviews-Yellowbelly_Pizza_Co-Brigg_Lincolnshire_England.html,"Brigg, United Kingdom",restaurants,5.0,5.0
