title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Amazing,"Long walk, but worth it. Gigantesque. An early morning walk to the Acropolis is better as there is less tourists and queue for tickets",January 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent Indian Food,"Value for money, good portions, very good service. Small, but cosy. For muslim travelers looking for halal options, this place is great. You have a broad veg menu, prawn and their lamb is halal.",January 2020,BabaJi Indian Food,https://www.tripadvisor.com/Restaurant_Review-g189400-d10700222-Reviews-BabaJi_Indian_Food-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Outstanding Stay,"Excellent stay at Electra Athens Hotel. The hotel is lively, rooms are clean and well maintained, with deluxe amenities. The breakfast buffet is on the last floor, providing nice view of the Acropolis. Staff are polite and cheerful. Fofi at the reception and Eric at the breakfast resto were just amazing. They make your stay special. Eric even accommodated us earlier for the breakfast due to our flight schedule. Thank you Eric and Fofi.

The location on Ermou street is a plus for travelers. Ermou is the pedestrian shopping street of Athens, and you have a variety of dining options. If you are looking for halal options, Babaji Kitchen is around the corner. The hotel is walking distance to the main tourist attractions: Acropolis, Monastiraki, Syntagma Square, Panathenaic Stadium and Plaka. Staying there, you save time and transport costs.

Keep up the standard, we will definitely come back.",January 2020,Electra Hotel Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d228883-Reviews-Electra_Hotel_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Nice cadre terrible food,Beautiful decor but that’s it about Le Bosphore. Small portions and too long waiting period. Mezzeh not tasty at all.,December 2019,Le Bosphore,https://www.tripadvisor.com/Restaurant_Review-g1370031-d18378426-Reviews-Le_Bosphore-Moka.html,Mauritius,restaurants,1.0,2.5
The Amazing Cave Hotel Experience,"The best choice we could have made for our winter stay in Capadoccia. The hotel gives you a wonderful feel of a rustic lifestyle with all the comfort you may get from a 4-star hotel. Great beddings, amenities and rooms with wonderful views. The hotel is 5-10 mins walking distance to the sunset view (uphill walk) and 5 mins to all the restaurants. The breakfast spread is reasonable with some typical turkish breakfast options. The staff are very friendly. Ilhan, the guest relations manager is excellent and always ready to answer our queries from our reservation date (note we booked via booking.com). We booked our tours via the Ilhan.",January 2019,Anatolian Houses,https://www.tripadvisor.com/Hotel_Review-g297983-d622284-Reviews-Anatolian_Houses-Goreme_Cappadocia.html,"Goreme, Turkey",hotels,5.0,4.5
The Trojan Horse at the Canakkale Waterfront,Enjoy a walk at the Canakkale waterfront (the Dardanelles) and take some photos of the trojan horse. Free access and there are some very interesting facts regarding the history.,January 2019,Canakkale Truva Heykeli,https://www.tripadvisor.com/Attraction_Review-g297979-d9698528-Reviews-Canakkale_Truva_Heykeli-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html,"Canakkale, Turkey",attractions,5.0,4.5
"Excellent Cafe, friendly staff","Mado Cafe in Canakkale is amazing. Excellent range, from french pastries, savouries and desserts to Turkish specialities. We have been to the other Mado in Istanbul, but the one in Canakkale is special, calmer with better customer service. Highly recommended.",January 2019,Mado,https://www.tripadvisor.com/Restaurant_Review-g297979-d8259901-Reviews-Mado-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html,"Canakkale, Turkey",restaurants,5.0,4.0
Informative tour,We booked a truva tour from the hotel. Lasts about 3 hrs alltogether. Be sure to book a guide who will inform you of the history behind the trojan civilisations,January 2019,Troy (Truva),https://www.tripadvisor.com/Attraction_Review-g297979-d324415-Reviews-Troy_Truva-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html,"Canakkale, Turkey",attractions,5.0,4.0
Nice little bazar,Cheap little market to buy souvenirs and gifts. Do not forget to bargain. There are also many shops around for some more deals,January 2019,Aynali Carsi,https://www.tripadvisor.com/Attraction_Review-g297979-d8704408-Reviews-Aynali_Carsi-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html,"Canakkale, Turkey",attractions,5.0,3.5
"Excellent hotel, central location","Best place to stay in Canakkale. The hotel is only 5 mins drive from the airport and 2 mins walk to the ferry port. There are eateries close to the hotel. The staff are very friendly, kind and helpful. The breakfast spread is good. The Mado resto attached to the hotel is a definite plus point.",January 2019,Artur Hotel,https://www.tripadvisor.com/Hotel_Review-g297979-d667674-Reviews-Artur_Hotel-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html,"Canakkale, Turkey",hotels,5.0,4.5
