title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
An Enjoyable Ride,"Some of my family came for a visit and said the only thing they really wanted to do was to go on the 2 hour horseback ride through Garden of the Gods. In the 25 years of living in Colorado Springs, I had never done it. I lived on a farm and rode horses throughout the years so I never had any interest in a trail ride. Though this is a typical trail ride where everyone is single file and the pace is a walk, the scenery and people definitely makeup for it. I saw areas of the GOG that I had not hiked through before and there were fantastic views along the way. Academy Riding Stables is well-run, everyone is friendly, professional, and they put the safety of their riders first. The horses were well taken care of and happy. Maggie, our wrangler, could be clearly heard as she talked about the history of the park and shared stories. There were 5 of us on the ride. We booked the morning ride, which I suggest because the sun here is very intense (wear sunscreen, drink water) and afternoon storms sometimes roll in during the summer months. A couple of us forgot to bring hats, and the gal signing us in kindly found spares. They also offered small bottles of water that were gratefully accepted. I wore a fabric backpack to carry water and sunscreen as there are no saddlebags. After the ride, we all agreed the 2 hour ride was worth it and we would gladly go again. We would also be very interested in an early morning ride, if offered. Many of the other reviews cover the fact a novice rider would feel comfortable and experienced riders (with the right expectations) would enjoy seeing GOG on horseback. This was a very enjoyable way to see the natural beauty of the area!",May 2020,Academy Riding Stables,https://www.tripadvisor.com/Attraction_Review-g33364-d560621-Reviews-Academy_Riding_Stables-Colorado_Springs_El_Paso_County_Colorado.html,"Colorado Springs, Colorado",attractions,5.0,4.5
Great Stay,"There's nothing like being greeted with a smile. The entire staff was friendly and professional. The room was very clean, spacious and had everything one could need. I only had minutes before departing so the hostess in the restaurant gave me a to go box for the breakfast buffet. There was a good variety of hot items and food was great. Because of a great night's sleep, great food, smiles and kindness I had a great day.",December 2019,DoubleTree by Hilton Grand Junction,https://www.tripadvisor.com/Hotel_Review-g33450-d83250-Reviews-DoubleTree_by_Hilton_Grand_Junction-Grand_Junction_Colorado.html,"Grand Junction, Colorado",hotels,5.0,4.0
A Gem in Wichita Falls,"Even after a long day of driving the attention to detail was evident as we walked toward the lobby. Gas lanterns were ablaze as we walked into a spacious and welcoming reception area. The staff greeted us warmly, were professional and efficient and we were on our way to our room in minutes. Our king room was large, very clean with nice amenities. I appreciated the quality of the bedding as I drifted off to sleep. The breakfast area had plenty of seating. The free breakfast was standard, good, but the gal working there made the experience great with the welcoming greeting and smile. The previous reviews were correct, this is an excellent property with a fantastic staff.",November 2019,Holiday Inn Express Hotel & Suites Wichita Falls,https://www.tripadvisor.com/Hotel_Review-g56891-d816771-Reviews-Holiday_Inn_Express_Hotel_Suites_Wichita_Falls-Wichita_Falls_Texas.html,"Wichita Falls, Texas",hotels,5.0,4.5
Fun Workout,"I surprised my friend for her 40th birthday with a Dragonfly Paddle Yoga session. It was a terrific experience and a great workout. Neither one of us has done much yoga and we had never been on a stand up paddle board. Christine clearly explained everything we needed to know about both and was very encouraging. She made us feel comfortable and confident while making sure we used correct form and balance. We didn't fall in! Our attention and focus was engaged the entire time. Again, it was a really wonderful experience and we plan to incorporate Dragonfly Paddle Yoga into our regular workout.",November 2019,Dragonfly Paddle Yoga,https://www.tripadvisor.com/Attraction_Review-g33364-d12613880-Reviews-Dragonfly_Paddle_Yoga-Colorado_Springs_El_Paso_County_Colorado.html,"Colorado Springs, Colorado",attractions,5.0,5.0
"Beauty, Comfort & a Free Workout","As you walk up and down cobblestone walkways with your luggage after traveling all day just imagine the view that awaits you. It is well worth the effort! (The hotel will send staff to help with luggage.) The view of the Caldera is spectacular from every area of Tzekos Villas. The staff is very hard-working, helpful, friendly and professional. Breakfast is simple, but good. Our balcony had a hot tub where we enjoyed watching the incredible sunsets. Our room was simple, spacious, had everything we needed and a view that I will always remember. Yes, there are stairs...a lot of stairs, but it truly was fine. Again, it was well worth the effort in order to call this property home while in Fira.",October 2019,Tzekos Villas,https://www.tripadvisor.com/Hotel_Review-g482942-d294162-Reviews-Tzekos_Villas-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
An Enjoyable Stay,"The location of this property is ideal. It's quiet with restaurants nearby and only a 10 minute walk away from the old town and the port. My husband and I traveled with a group and we walked everywhere.  It is an interesting and lovely city to explore. We found restaurants near and away from the center by the fountain that were all wonderful.  The hotel has an excellent staff, comfortable, clean rooms, and a beautiful pool area. The breakfast buffet had the best food and variety of any hotel at which we stayed. Plus, there was an added bonus of drying racks on the balconies.",October 2019,Galaxy Hotel Iraklio,https://www.tripadvisor.com/Hotel_Review-g189417-d244469-Reviews-Galaxy_Hotel_Iraklio-Heraklion_Crete.html,"Crete, Greece",hotels,5.0,4.5
Fantastic Hotel & Friendly Staff,"This is a fantastic hotel! The location is perfect with the beach, bars and restaurants within a few minutes walk. Still, it's quiet. The architecture and grounds are beautiful. Our room was very clean, tastefully decorated and very comfortable. Housekeeping does an excellent job. We were thrilled to find the hotel laundry service was reasonably priced and the clothes left in the morning were neatly folded and placed in our room by afternoon! The entire staff was wonderful with a friendliness and professionalism that was impressive and exceeded expectations. We were a group of 30 people, all friends and loud at times. Those who worked there were kind and always made us feel welcome. The staff truly made our stay outstanding.",October 2019,Galaxy Hotel,https://www.tripadvisor.com/Hotel_Review-g580192-d235753-Reviews-Galaxy_Hotel-Naxos_Town_Naxos_Cyclades_South_Aegean.html,"Naxos, Greece",hotels,5.0,4.5
Incredible History & Beauty,"At breakfast a couple of older gentlemen asked my husband if it there was an elevator to the top. When he said no they said they'd pass. Later we saw them strolling to the Plaka. Take the walk to the top and see artful beauty in these ancient and historic temples! The walk is not long, just be prepared - go early, wear shoes with traction (the marble can be slippery), bring water, wear a hat or bring an umbrella if the heat is extreme and read about the incredible history of the Acropolis and Athens...even if only an overview of what was happening in Athens during the time of Pericles realizing his dream of building the temples. It is awe inspiring.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"History, Beauty & Fun","My husband, our friend and I booked a two day private tour of Delphi and Meteora. Eleftheria, who answered all of my questions and requests, was patient (there were many questions) and very helpful throughout the booking process, as well as the entire trip. The tour was fantastic. Our excellent driver, Yannis, promptly picked us up in Athens at our hotel. He was professional and knowledgeable and shared history and stories of the area during the drive. The scenery and terrain were both beautiful and interesting. We walked down to the temple of Athena and up to Delphi and the stadium. When we were finished Yannis took us to a nearby restaurant for lunch then onto the village of Kastraki at the edge of Meteora. After checking into our hotel Yannis drove us through Meteora to see the sunset. Though clouds hindered the sunset it was absolutely beautiful. Dinner in the town of Kastraki was delicious.The next day was spent with a private tour guide, Giorgio, found by Olive Sea Travel. He was terrific and made the experience more complete. After seeing and learning about a few of the monasteries we stopped at Thermopylae, the location of the Spartans last battle. We also stopped at a seaside restaurant for a late lunch on the way back to Athens. The two day tour was relaxing and very enjoyable.",October 2019,Olive Sea Travel,https://www.tripadvisor.com/Attraction_Review-g189400-d12858625-Reviews-Olive_Sea_Travel-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Great Hotel,"One of the best Hampton Inn & Suites! Clean, quiet and very comfortable with a great fresh breakfast. The entire staff was excellent. Dillon went above and beyond to help when I made a mistake doing a prepaid booking. He had excellent communication and customer service skills rarely seen these days. We will be very happy to stay at this property again.",October 2019,Hampton Inn & Suites Pittsburgh-Meadow Lands,https://www.tripadvisor.com/Hotel_Review-g53922-d676095-Reviews-Hampton_Inn_Suites_Pittsburgh_Meadow_Lands-Washington_Pennsylvania.html,"Washington, Pennsylvania",hotels,5.0,4.5
