title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Super setting restaurant,A good set restaurant with a great ambience. Good food and enjoyable place. Highlight are the swings and the overall feel good settings.,March 2021,Oak Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1509087-d17713432-Reviews-Oak_Restaurant-Riffa.html,"Riffa, Bahrain",restaurants,4.0,4.0
Excellent gateaway,"A few kilometers away from the main city, this is an excellent gateaway resort with a good view and beach. The villas are well maintained and spacious. The kitchen has fridge, oven, stove so that you can cook too. We did not order the main course but ordered dessert which was good. Just a short walk and you can reach the private beach (dont miss the swing in the middle of water). On the whole highly recommend for a short trip especially in this restricted travel time.",May 2021,Jaw Resort and Spa,https://www.tripadvisor.com/Hotel_Review-g293997-d21338921-Reviews-Jaw_Resort_and_Spa-Manama.html,"Manama, Bahrain",hotels,5.0,5.0
Excellent food and service,"Fir 3 years now we have been visiting Rasoi for our anniversary and the staff is always pleasant and make us feel special. Excellent food, great ambience and yes all precautions due to the present conditions...and since it is India's Republic day we always get the tri colours on our plate...simply awesome.",January 2021,Rasoi by Vineet,https://www.tripadvisor.com/Restaurant_Review-g293997-d7398447-Reviews-Rasoi_by_Vineet-Manama.html,"Manama, Bahrain",restaurants,5.0,4.5
Just a view,This place is near the Acropolis/Acropolis Museum. You can view it from outside as the entrance ticket of EUR 6/- is not worth it. There is nothing much to see what you cannot view from outside.,October 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.0
A great place to visit,"We visited this place as a day tour from Athens. It is a full day tour. But the place is worth the visit. On the way the guide explained to us the history of the place. Note that it is a good walk and you should wear comfortable clothes and shoes and also take water with you. Visit the place where the 1st Olympic games was held. That's way at the top.
On the whole, worth the trip.",October 2019,Delphi,https://www.tripadvisor.com/Attraction_Review-g189408-d523823-Reviews-Delphi-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,5.0,5.0
Nice visit & Shopping too,"A nice place to walk around with myriad of shops selling lots of souvenirs and local items too. Something like an old souk where you can walk around and feel the atmosphere.
This place is near to the Acropolis and Acropolis museum.",October 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A sure visit site in Athens,A site which is rich in heritage of Greece and a must visit place. Take 2 to 3 hours to leisurely visit the place. Try a guide and if you dont find an app (such as Rick Steves) which can describe to you the place and its history. Have a look at the city of Athens from the top. The view is awesome.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Good stay,"The hotel is centrally located. Walk able distance to Monastiraki Square and also to Placa. Close to lots of restaurants and eat outs too. Rooms are okay and the staff is also courteous. Quite a night life at Monastiraki square.
Ensure to have your reservations properly checked out before you arrive. We included our b/f but were forced to pay as the hotel received the booking w/o b/f. (Even though we claimed the amount back from the travel agent, we surely lost in forex conversion).",October 2019,Attalos Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d235705-Reviews-Attalos_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Great place to stay with an awesome view,"This hotel is a great place with a splendid views. I visited with a group of friends and this was just the right place. Staff was very courteous and very helpful. Special mention to Thanos and Anastasia for being very helpful.
The place is also walk-able distance from some good restaurants. Also, the bus stops right outside the hotel - so the commute is easy. However, the wifi was not working very well. We were told it is the service provider's problem.
Apart from that, on the whole, if in Santorini, I would highly recommend to stay here.",October 2019,Goulielmos Hotel,https://www.tripadvisor.com/Hotel_Review-g1189834-d655488-Reviews-Goulielmos_Hotel-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
Nice ambiance and great food,"A very nice restaurant with good ambiance of food. Courteous staff. Every item brought to the table was tasty and delicious. Generally the chat items out of India does not taste good, but here it was very good and tasty.
We went to eat at this place twice during our london trip. Very close wakable distance to the Earl Court Underground station.
Highly recommend.",August 2019,Masala Zone Earls Court,https://www.tripadvisor.com/Restaurant_Review-g186338-d1017388-Reviews-Masala_Zone_Earls_Court-London_England.html,"London, United Kingdom",restaurants,5.0,4.0
