title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Stunning Views/Wonderful Food,Everything we were told about this beautiful waterfront restaurant was true. The views are simply stunning. The service was excellent. The food was mouthwatering. We truly could not have asked for a better evening.,October 2019,Apaggio Restaurant,https://www.tripadvisor.com/Restaurant_Review-g667488-d6499099-Reviews-Apaggio_Restaurant-Ornos_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,5.0,4.5
Total Letdown,"Just some context before the review. I booked and arranged our itinerary for Greece a full 8 months in advance which included researching restaurants and making reservations. Naoussa, because of the excellent view of the Caldera, was recommended and it’s a Greek Restaurant so why not.

For our final night, we chose to dine here, but it was such a huge disappointment. No live music but the views are stunning. That’s the only highlight. The waiter took our order, delivered our food and forgot about us the rest of the night. Another reviewer had a similar experience. The meals were not good and about two hours later, I had thrown up all the food. I had the lemon chicken with potatoes and my husband had the souvlaki that he said was poorly seasoned. He did not get sick from his meal.

I didn’t eat the full dinner because something tasted off which I was right about. After 15min of eating, we wanted to leave. It took another 30min just to get our bill. I think the restaurant could not keep up with the two large groups they had because they didn’t have enough staff. That so much wouldn’t bother me if the food was great.",October 2019,Naoussa Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482942-d1067977-Reviews-Naoussa_Restaurant-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,2.0,4.0
Great Location/Room....,"I booked this particular premise because it is located in the heart of Fira. I love the fact that I can walk to all the restaurants, shops, and the 24 hour bakery. The actual place isn’t all that great for a couple of reasons.

Similar to another reviewer, our room was located off the back alleyway. We did not feel comfortable walking back there at night. While the entry way was lit, there are other accommodations that don’t belong to San Giorgio along that same alleyway, and they do not light their entry way.

Secondly, the washroom is super tiny with the sink located in front of the bed. The shower is adjacent to the toilet which is only separated by a glass that is the length of the toilet. Everytime you shower water gets on the floor. Thankfully, they have daily housekeeping. The washroom was always damp as the exhaust fan is poor quality. There is a green light located in the bedroom that we associated with some sort of fire detector (we could be wrong). Imagine sleeping with a green light in your face all night. My husband had to cover it with his shirt.

Lastly, be prepared to haul your luggage along the cobblestone alleyway. It’s a bit of a steep hill but we managed.

I do love the fact that they have a shuttle service and check in/check out was seamless.",October 2019,San Giorgio Villa,https://www.tripadvisor.com/Hotel_Review-g482942-d590947-Reviews-San_Giorgio_Villa-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,3.0,4.5
Stunning View,"My husband and I visited Argo a few days ago and it was everything we expected, stunning view, excellent service, and fabulous food. It truly doesn’t get any better.

We had the Santorini salad, shrimp pasta, and spinach and ricotta ravioli. What made the ravioli special was the honey, cream, and walnut sauce. That combination is mouthwatering.",October 2019,Argo Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482942-d1105505-Reviews-Argo_Restaurant-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Beautiful History,"This is really the main attraction aside from Little Venice and I’m glad we got to see it in person. Don’t waste your money getting an organized tour to see it. You can take the bus into town and it’s short, 5-10min walk away.

The Windmills itself are beautiful and a must see. After that though, there really isn’t much else to it.",October 2019,The Windmills (Kato Milli),https://www.tripadvisor.com/Attraction_Review-g662620-d669289-Reviews-The_Windmills_Kato_Milli-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,5.0,4.0
Modern and Excellent Beach Access,"My husband and I stayed here, and it was everything that we wanted: excellent and quick access to the beach, modern amenities, and excellent service.

Because of the strike in Athens that delayed our ferry, we lost one night out of four. I called the receptionist in a panic and she was so reassuring that it was ok and we wouldn’t lose our room. We checked in seamlessly and a staff member helped us to our room carrying our luggage. We had a double room with a sea view. Our room had its own patio with tables so you could sit and admire the view while having a drink. The room itself is modern with grey oversized tile, large shower, separate room for the toilet.

The restaurant on site is convenient while seating is limited. That’s ok because there is endless seating outside. Just across the street is Paradise Beach. Because of the quick access to the beach is why this hotel was chosen out of the many.

There is a bus stop just a 2 minute walk away that takes you directly into Mykonos Town. The bus ride is about 10 to 15 minutes.

The shuttle service is such a wonderful service to provide to your guests. We used it to and from. Thank you!",October 2019,Tropicana Hotel Mykonos,https://www.tripadvisor.com/Hotel_Review-g662620-d2658055-Reviews-Tropicana_Hotel_Mykonos-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",hotels,5.0,4.5
Excellent Food and Staff,"My husband and I were stuck in Athens for an extra night because the strike delayed our ferry. We stayed at a nearby hotel and were looking for somewhere to eat. We found Porto Grill and all the reviews were great.

We were immediately greeted with a smile and seated at a table. The waiter engaged in conversation with us that made us feel welcomed. The food was divine and mouthwatering. If you are in the area, then check it out. You won’t be disappointed.

We started off with a salad and the best falafel I’ve EVER had. We had the chicken portion gyros that we ate even before I remembered to take a picture; it was that good.",October 2019,Porto Grill Piraeus,https://www.tripadvisor.com/Restaurant_Review-g189403-d10665372-Reviews-Porto_Grill_Piraeus-Piraeus_Piraeus_Region_Attica.html,"Piraeus, Greece",restaurants,5.0,4.5
Excellent Service!,"We booked our ferry to Mykonos and used Blue Star Ferries. Unfortunately, due to the strike in Athens which halted our ferry, we were stranded. The staff at the office were as helpful as can be even with the limited information they had. They changed our ticket for the next day.

The next day, the ferry departed on time. We were able to store our luggage in the luggage room so we could roam free without being hindered. The hot meals and drinks for sale were great! The staff are helpful.",October 2019,Blue Star Ferries,https://www.tripadvisor.com/Attraction_Review-g189403-d8703917-Reviews-Blue_Star_Ferries-Piraeus_Piraeus_Region_Attica.html,"Piraeus, Greece",attractions,4.0,3.5
Short Stat,"This was a last minute booking because of the strike in Athens that resulted in our ferry to Mykonos being delayed 24 hours. The hotel is about a 5min walk from the Port which is why we chose it. The area surrounding the hotel is undesirable, but it’s close to the Port.

I was able to book a triple room in Expedia because that’s all that was left but we ended up getting a double. I don’t even care that I paid more money for a room I didn’t get; I’m just grateful that the receptionist displayed empathy to our highly stressful situation and got us into a room way prior to the check-in time.

The hotel itself is clean and has a breakfast option that starts very early in the morning (5:30am) for 9 Euro.",October 2019,Hotel Triton,https://www.tripadvisor.com/Hotel_Review-g189403-d285929-Reviews-Hotel_Triton-Piraeus_Piraeus_Region_Attica.html,"Piraeus, Greece",hotels,4.0,3.5
Scenic,It was very nice to finally see it in person after all these months of planning our Greece vacation. It doesn’t compare to the real Venice but I still appreciated it nonetheless. Take a minute to enjoy the scenery.,October 2019,Little Venice,https://www.tripadvisor.com/Attraction_Review-g662620-d519760-Reviews-Little_Venice-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,4.0,4.5
