title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent sculptures,Impressive collection of Greek sculptures staring with pieces from 3000 b.c.e. Come early as the ticket line is long and moves slowly.,February 2020,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Parthenon,Main reason for visiting Athens not crowded in February. We enjoyed views from different parts of the city.,February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Good service, not an Atelier","I ate lunch twice these last few days. The serve was excellent and the food good, but not with the finesse we experience in the old London Atelier or in other Robuchon restaurants. However, the prices here are also lower. The Sunday roast special offers too much food for a single person. The shank was good but the two sides were uninteresting and the few specks of truffles on the macaroni with cheese did not justify the £10 surcharge. The desert was OK. Overall good value but not exceptional.",February 2020,Le Comptoir Robuchon,https://www.tripadvisor.com/Restaurant_Review-g186338-d19381841-Reviews-Le_Comptoir_Robuchon-London_England.html,"London, United Kingdom",restaurants,4.0,4.5
"Nice terrace, good food, too long a wait for lunch","At 11:30 we told the waitstaff when ordering that we had to leave by 12:40 and please ensure that we could do so. We waited 45 minutes for the grilled cheese sandwiches and for me the fish and chips to arrive. The fish was good, lots of batter, the chips were bland and uninteresting. Overall, the food was what one might expect for the price. If we were not in a rush, the leisurely pace would have been fine. The terrace setting is very nice and a good place to spend time, if you have it to spend.",August 2019,The Waterfront River Pub and Terrace,https://www.tripadvisor.com/Restaurant_Review-g609115-d4564363-Reviews-The_Waterfront_River_Pub_and_Terrace-Napanee_Lennox_and_Addington_County_Ontario.html,"Napanee, Canada",restaurants,3.0,4.0
"Nice fish pie, quiet place",I enjoyed the fish pie and the quiet place. Looked like a restaurant catering to local people a s well as tourists. Three cheese salad excellent,May 2019,Timothy,https://www.tripadvisor.com/Restaurant_Review-g187104-d1878653-Reviews-Timothy-Saint_Malo_Ille_et_Vilaine_Brittany.html,"Saint-Malo, France",restaurants,4.0,4.0
"Fresh seafood, enjoyable presentation",Good and fresh. Regret they didn’t have crab as the sea spiders were too much work. I enjoyed the splashy presentation and good beer.,May 2019,Les Relais d'Alsace,https://www.tripadvisor.com/Restaurant_Review-g196641-d1638611-Reviews-Les_Relais_d_Alsace-Alencon_Orne_Basse_Normandie_Normandy.html,"Alencon, France",restaurants,4.0,3.5
"Stale bread, over cooked veal, rude","The oysters, fries and ice cream were good. The veal chop was hard, over cooked I assume. My friend had tasteless mussels. I pointed out that the bread was old and was told rudely they got it that day. We had just bought a baguette from the same bakery across the road and it was fresh. I repeated this when paying the bill, showed them my fresh baguette and was told their bread was not a baguette but a longer one. Still, I can tell a two or three day old bread when I tear it apart. Dry...",May 2019,Hotel Restaurant Le Beauvoir,https://www.tripadvisor.com/Restaurant_Review-g1065824-d1339815-Reviews-Hotel_Restaurant_Le_Beauvoir-Beauvoir_Manche_Basse_Normandie_Normandy.html,"Beauvoir, France",restaurants,2.0,4.0
"Dried ribs, dry chicken, good bread",Really disappointing meal that was also overpriced. The beef ribs over noodles $27 were dry and noodles uninteresting. My wife’s open chicken sandwich $17 was also dry and half was left on the plate.,May 2019,Maison Kayser,https://www.tripadvisor.com/Restaurant_Review-g60763-d3457715-Reviews-Maison_Kayser-New_York_City_New_York.html,"New York City, New York",restaurants,2.0,4.0
"Wonderful, good preparation, excellent service","We enjoyed a quiet afternoon dinner staring with a selection of raw fish appetizers, then a set of cooked ones and finally the baked snapper. We had wanted the monk fish but they had only one that was too large and one too small. We will try to go back next week when in Tirana. Highly recommend this restaurant. Very good value for westerners.",June 2018,Delicatezze Di Mare,https://www.tripadvisor.com/Restaurant_Review-g294446-d4361914-Reviews-Delicatezze_Di_Mare-Tirana_Tirana_County.html,"Tirana, Albania",restaurants,5.0,4.5
"Ok, nice mosque",Nice but nothing special when compared to the great mosques in turkey and Iran. Restaurant around the corner is great.,August 2017,Mosquée de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d232120-Reviews-Mosquee_de_Paris-Paris_Ile_de_France.html,"Paris, France",attractions,3.0,4.0
