title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Indian Food at Dhaka,"Nice place for an Indian good in Dhaka. Though in Dhaka I always prefer Bangladesi food, but for some taste of Naan or Paneer Tikka masala, this place is a must. Nicely decorated and very professional staff.",February 2020,Kurry Accent,https://www.tripadvisor.com/Restaurant_Review-g293936-d15780943-Reviews-Kurry_Accent-Dhaka_City_Dhaka_Division.html,"Dhaka City, Bangladesh",restaurants,5.0,4.5
Great Hotel. As usual,"RB is a great hotel chain and it's CTG property is no exception. Good staff, good food bla bla bla. This facility was inaugurated by the PM Sk Hasina.
Room decor was good. One would get a great city view from the restaurant at 20th floor.",February 2020,Radisson Blu Chattogram Bay View,https://www.tripadvisor.com/Hotel_Review-g319837-d8003395-Reviews-Radisson_Blu_Chattogram_Bay_View-Chittagong_City_Chittagong_Division.html,"Chittagong City, Bangladesh",hotels,5.0,4.5
What A Great Beach,"Calangute has changed in last 3 years. It was neat and clean. In the evening the place was amazing, one can stay here in any of the shacks for hours. Thanks to the Government for maintaining Calangute so well.",February 2020,Calangute Beach,https://www.tripadvisor.com/Attraction_Review-g306995-d1208998-Reviews-Calangute_Beach-Calangute_North_Goa_District_Goa.html,"Calangute, India",attractions,5.0,4.0
One Needs to be Careful and must bargain Hard,"Prices are higher, so one needs to be careful. No point in buying Silver jewelry from road side shops. Sometimes they don't show much interest for indian buyers, as Indians do hard bargain. Comparatively they prefer Europeans, whom they can fool easily. A Lion faced lock, which was priced at Rs.1500 was finally given to me at Rs.750. Quoting prices with such high margin is not a good biz practice. More importantly, these are not products from Tibet, but mostly from Nepal and Ladakh.",February 2020,Tibetan Market,https://www.tripadvisor.com/Attraction_Review-g306995-d7927732-Reviews-Tibetan_Market-Calangute_North_Goa_District_Goa.html,"Calangute, India",attractions,3.0,4.0
Taxi stand behind Tibet Market,"Quality Taxis, but Goa taxi rates are always high. Only thing is that you get quality service. Drivers are normally friendly.",February 2020,Taxi Booking Goa,https://www.tripadvisor.com/Attraction_Review-g306995-d19249255-Reviews-Taxi_Booking_Goa-Calangute_North_Goa_District_Goa.html,"Calangute, India",attractions,4.0,4.0
"The Place known for Panipuri, Chat Masala etc",This place always used to be crowded for Panipuri and Chat Masala. This time is no exception. But they have vacated the place just outside on the road side. Not sure why.,February 2020,Sai Sagar Restaurant,https://www.tripadvisor.com/Restaurant_Review-g306995-d7359464-Reviews-Sai_Sagar_Restaurant-Calangute_North_Goa_District_Goa.html,"Calangute, India",restaurants,4.0,4.0
Good Place to be here,"It was 2 minutes walk from Ticlo hotel, where we stayed. It was a good place to visit and we enjoyed it.",February 2020,The Chocolate Room,https://www.tripadvisor.com/Restaurant_Review-g306995-d7714198-Reviews-The_Chocolate_Room-Calangute_North_Goa_District_Goa.html,"Calangute, India",restaurants,4.0,4.0
"My Fav place in Goa, but need improvement","I have stayed in this place 5 times in last 10 years. Biggest plus is Location, right on Calangute - Baga road.
But I will suggest few improvements, if they really care for their guests.
1. No complimentary water. Water was made available at 50% higher price, which is illegal ans someone can take them to court.
2. Breakfast need better spread.
3. They can maintain own fleet of taxis for Airport drop and pick up, though Taxis were easily available just outside the hotel.
Nevertheless, will stay here again.",February 2020,Ticlo Resorts Goa,https://www.tripadvisor.com/Hotel_Review-g306995-d638305-Reviews-Ticlo_Resorts_Goa-Calangute_North_Goa_District_Goa.html,"Calangute, India",hotels,4.0,3.5
The best mall in Navi Mumbai,"It is undoubtedly the best mall in Navi Mumbai, unfortunately without a Movie theatre. All big brands are available here. Another plus is this place is within 2 minutes walk from my home.",February 2020,Seawoods Grand Central Mall,https://www.tripadvisor.com/Attraction_Review-g1532344-d12674379-Reviews-Seawoods_Grand_Central_Mall-Navi_Mumbai_Maharashtra.html,"Navi Mumbai, India",attractions,5.0,4.5
Superb Chicken Matka Biryani,"Ordered Chicken Matka Biryani thru Zomato. Taste was just awesome. Far than many other Biryani available in the locality.
A must have.",January 2020,Malvan Tadka,https://www.tripadvisor.com/Restaurant_Review-g1532344-d10357836-Reviews-Malvan_Tadka-Navi_Mumbai_Maharashtra.html,"Navi Mumbai, India",restaurants,5.0,4.0
