title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Delicious fresh food,"Booked an outdoor table for lunch, initially in the 'marque', but we chose to sit outside on one of the picnic tables.

Excellent prompt service from a delightful friendly waitress.

Quite a limited menu, but this wasn't a big deal, particularly due to the circumstances.

I had the Thai squid salad, which was perfection. So delicious and tasty. My husband had a burger with bacon and cheese, this too was excellent.

Can't wait to return.",May 2021,The Exeter Inn,https://www.tripadvisor.com/Hotel_Review-g1419801-d12791878-Reviews-The_Exeter_Inn-Bampton_Devon_England.html,"Bampton, United Kingdom",hotels,4.0,4.0
Good views but a little busy,"Stunning views. Unusually popular with people converging at the beacon from all directions.

Included the beacon on a long Exmoor hike. Was planning a mountain bike route but the ground was too icy and snowy.",December 2020,Dunkery Beacon,https://www.tripadvisor.com/Attraction_Review-g504137-d4067878-Reviews-Dunkery_Beacon-Porlock_Exmoor_National_Park_England.html,"Porlock, United Kingdom",attractions,4.0,4.5
Beautifully rugid,"Stunning clapper bridge across the River Barle in the Exmoor National Park, Somerset, England.

Great place for a picnic, visit to the pub or an ice-cream ) coffee stop during a hike.

Can get a bit busy at weekends.",April 2021,Tarr Steps,https://www.tripadvisor.com/Attraction_Review-g186255-d3417216-Reviews-Tarr_Steps-Exmoor_National_Park_England.html,"Exmoor National Park, United Kingdom",attractions,4.0,4.5
Great cycle/hiking stop off,"Stopped by here during a four hour walk, detouring slightly to hit the village of Withypool.

Good selection of drinks, we didn't eat.

Service a little slow.",April 2021,Withypool Tea Rooms,https://www.tripadvisor.com/Restaurant_Review-g315990-d5267166-Reviews-Withypool_Tea_Rooms-Withypool_Exmoor_National_Park_England.html,"Withypool, United Kingdom",restaurants,4.0,4.5
"Great setting, excellent service","What a pleasure to return here after pubs have been closed for so long. Obviously we ate outside as the inside is closed due to Covid restrictions.

Service was very friendly and prompt.

Food is very much pub grub. Starter was prawn cocktails which was passable. Not a lot of flavour, particularly the frozen prawns.

The steak was fair.",April 2021,Fishermans Cot,https://www.tripadvisor.com/Restaurant_Review-g551627-d789266-Reviews-Fishermans_Cot-Bickleigh_Devon_England.html,"Bickleigh, United Kingdom",restaurants,2.0,4.0
Delicious homemade food,"Managed a lunchtime visit hours before lockdown.

Sat in a lovely cosy little room at the far end of the pub. Excellent service.

Good menu. I had the fishcake starter which was Fabulous, and my husband had the bacon brioche, which he thoroughly enjoyed.

Will be coming back as soon as possible.",December 2020,Exeter Inn,https://www.tripadvisor.com/Restaurant_Review-g551696-d2050070-Reviews-Exeter_Inn-Tiverton_Devon_England.html,"Tiverton, United Kingdom",restaurants,5.0,4.0
Superb food,"Are outside in the tent, do that we could meet with others iutsyour household.

Great extensive menu. Amazing delicious food, served piping hot, inspite of cold temperature outside.

Dress appropriately in the tent, as it was prry old, even though there were large heaters.",December 2020,Puffing Billy,https://www.tripadvisor.com/Restaurant_Review-g4332418-d733890-Reviews-Puffing_Billy-Exton_Devon_England.html,"Exton, United Kingdom",restaurants,4.0,4.5
Great location,"Just popped in for a quick coffee stop with the family after s meeting. Very good central location.

Great coffee and tea, good Covid measures. Felt very safe.

Prompt and friendly service.
Recommended.",December 2020,The Crown at Wells,https://www.tripadvisor.com/Hotel_Review-g186374-d210014-Reviews-The_Crown_at_Wells-Wells_Somerset_England.html,"Wells, United Kingdom",hotels,3.0,3.5
Superb meal,"Had a bit of a wait whilst are table was been thoroughly cleansed. Waited in one of the tented heated areas. As the wait was longer than expected, we were kindly given complimentary glasses of mulled wine.

All our meals were beautifully presented, using local quality ingredients. My cheese souffle starter was delicious. The wild sea bass with Bombay potato, chargrilled fennel,
cauliflower & saffron purée, greens, squid & cheese croquette, Thai-spiced
mussel & coconut broth was simply out of this world, and very generous portion.

Covid measures strictly in place, and we felt very safe.

Highly highly recommended.",December 2020,The Cott Inn Restaurant,https://www.tripadvisor.com/Restaurant_Review-g735763-d1884983-Reviews-The_Cott_Inn_Restaurant-Dartington_Totnes_Devon_England.html,"Dartington, United Kingdom",restaurants,5.0,4.5
Idyllic,"Beautiful secluded canal with tow path running beside it for its 11 mile length.

Super for walkers, runners, cyclists (dismount please when approaching bridges to avoid cycling into walkers!).

Great birdlife, including sighting kingfishers on several occasions just before dusk.

Pubs in route too, many benches, and great views.",December 2020,Grand Western Canal,https://www.tripadvisor.com/Attraction_Review-g551696-d3384310-Reviews-Grand_Western_Canal-Tiverton_Devon_England.html,"Tiverton, United Kingdom",attractions,5.0,4.5
