title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Large dated grandur,"This hotel is well located, and has lots of the comforts of a grand old European hotel; amazing staff, large grand rooms, a good breakfast and a small spa.

The rooms are large, comfy and have more than just a bed with space for luggage, a writing table and ample places to sit (something newer hotels seem to lack). However they are dated and showing their age a little. Outlets to charge your phone are plentiful, just not convenient and on the hottest days of summer the AC might just not get the room cool.

The bathrooms are spacious and clean with great products.

Breakfast was ample and the staff were attentive (there during COVID so they had to serve us - but it was a buffet with plenty to choose from). The staff did put health first and would greet customers at the restaurant with an invitation to wear a mask (provided) and hand sanitizer. Staff at reception were also very friendly and helpful.

The hotel is very well located. Close to everything and a great place to start your exploring of Vilnius. Also there is a small spa which is a great way to spend a late afternoon hour or two after exploring all day. The spa area is clean (and the hotel rooms have bathrobes to make accessing the spa more comfortable).

I would stay here again.",August 2020,Artis Centrum Hotels,https://www.tripadvisor.com/Hotel_Review-g274951-d290833-Reviews-Artis_Centrum_Hotels-Vilnius_Vilnius_County.html,"Vilnius, Lithuania",hotels,4.0,4.0
An amazing addition to the Riga dinning scene,"This place has it all, amazing staff, friendly head chef, and of course food that is out of this world.

Everything is local and fresh, and the decor features photos of many of the suppliers, so fresh and delicious is the key here. Everything is so well thought out in terms of the food, from presentation to flavour combinations, and knowing that everything comes from Latvian farmers makes it an even more enjoyable experience.

And of course the food is just WOW. Everything was perfectly cooked and delicious. The Chef really honours the ingredients! We ordered the meat plate and it was stacked with a little bit of everything. Possibly the best rotisserie chicken I have ever had along with the best ribs in Riga (these were literally falling off the bone). And the burgers are amazing. And nothing is forgotten, with sauces to complement the meat plate and some the tastiest bun for the burger!

The staff are attentive, helpful and friendly. They also really know their stuff making recommendations on dishes to order based on our preferences, and helping with wine pairings. The head Chef is delightful and so keen to share the concept behind this restaurant.

This might also be one of the nicest patios in Riga now. It is large with ample space between tables. Right in the heart of the Old Town, so people watching while eating steak is an added bonus.

We will be going back. A lot!",August 2020,Cock and Bull,https://www.tripadvisor.com/Restaurant_Review-g274967-d21223661-Reviews-Cock_and_Bull-Riga_Riga_Region.html,"Riga, Latvia",restaurants,5.0,4.0
Nest sushi in the Baltics!,"If I could give Narushi a six point rating I would!

This is a hidden gem of a Japanese restaurant with fresh fish, amazing flavours, attentive staff and artistic presentations. Everything a world class sushi restaurant should be, without being too pretentious.

Al fresco dining is very rustic, but it doesn't matter when you try the food. Would go back to Vilnius just to eat here again!",July 2020,Narushi,https://www.tripadvisor.com/Restaurant_Review-g274951-d17433214-Reviews-Narushi-Vilnius_Vilnius_County.html,"Vilnius, Lithuania",restaurants,5.0,4.5
"Fine - just fine, not great.","Wanted a fresh salad for dinner, nothing fancy, and Talutti delivered; a fresh salad but nothing fancy. Low key, casual dining, decent food. Good for kids in need of food the recognize.

Starter was very cheesy and delicious. Arrived hot and quickly. Salads were large and served with dressing and a bun. Drinks were tasty. And the al fresco dining lead to some amazing people watching.

Staff didn't seem too passionate about what they were doing. Tables that had finished were left for pigeons to attack and homeless people were not discouraged from stopping and asking diners for money.",July 2020,Talutti - Bakes 'n' Shakes City,https://www.tripadvisor.com/Restaurant_Review-g274951-d12805584-Reviews-Talutti_Bakes_n_Shakes_City-Vilnius_Vilnius_County.html,"Vilnius, Lithuania",restaurants,3.0,3.5
"Delicious and healthy, but not fast!","We had the falafel wraps to go which were delicious and fresh - but took over 20 minutes.

The plates here look amazing and the food is definitely fresh and very healthy. A great stop for lunch or a low-key dinner.",July 2020,Zatar,https://www.tripadvisor.com/Restaurant_Review-g274951-d8649271-Reviews-Zatar-Vilnius_Vilnius_County.html,"Vilnius, Lithuania",restaurants,4.0,4.5
A great patio to watch the world go by with BBQ,"Hard to get a table but worth it!

A great place to sit by the lake, watch the world go by with a cold beer, some kibinai and BBQ shashlik. The food was good, and plentiful.

Note that the BBQ shashlik is only available on the weekends!",July 2020,Kavine-Baras Markizas,https://www.tripadvisor.com/Restaurant_Review-g277802-d4223984-Reviews-Kavine_Baras_Markizas-Trakai_Vilnius_County.html,"Trakai, Lithuania",restaurants,4.0,4.0
Fairytale castle on its own island,"This is a picture perfect little town with a fairytale inspired castle. Pictures do not do the site justice and it is pretty open to wander around in (including explore the rooms and chapel of the inner castle, crossing a draw bridge and wandering around what wold have been the main square).

Don't rush this one, take your time to see it.

Warning: the last Sunday of the month access is free so the whole town can be a total zoo. Parking will be hard to find and lines for the restaurant can be long.",July 2020,Trakai Island Castle Museum,https://www.tripadvisor.com/Attraction_Review-g277802-d1196580-Reviews-Trakai_Island_Castle_Museum-Trakai_Vilnius_County.html,"Trakai, Lithuania",attractions,5.0,4.5
"Peaceful today, but with a horrific past.","This is worth the trip - but make sure the museum is open because the people who work there are passionate about sharing what really happened in this spot.

It is a beautiful and peaceful park, take your time to walk around and really think about what happened here and the memorials that have been put in place to remember the 100,000 people who lost their lives here.",July 2020,Paneriai (Ponar),https://www.tripadvisor.com/Attraction_Review-g274951-d290804-Reviews-Paneriai_Ponar-Vilnius_Vilnius_County.html,"Vilnius, Lithuania",attractions,5.0,4.5
Good value for money,"This hotel is very well located, close to Old Town, the market and the bus / train station.

The rooms have all been recently renovated and feel clean and bright. Good lighting (to read in bed) and clean fresh bathrooms - and good water pressure even on the top floor. However, the rooms were hot and so sleeping was hard. There was very little ventilation in our room (59 - the windows face into a covered sunroom which heats up resulting in no breeze).

Staff were very friendly and accommodating.

This hotel does not have a lift, so you will be walking up stairs. The reception is on the second floor. The steps are wide and well lit.

Breakfast didn't have a huge selection, but good bread and coffee. Enough to set you up for a day of exploring. Lovely to be able to eat outside on the deck.

Parking: You have to pay extra and they don't have many spots so pre-book.

If I were on a budget and travelling in the fall, winter or spring where AC isn't needed, I would stay here again.",July 2020,Park Hotel Vilnius,https://www.tripadvisor.com/Hotel_Review-g274951-d9040782-Reviews-Park_Hotel_Vilnius-Vilnius_Vilnius_County.html,"Vilnius, Lithuania",hotels,4.0,4.0
Worth the detour,"This is a must-see stop in the middle of no-where. Not one hill, but two little hills completely covered and surrounded by thousands and thousands of crosses.

I thought this would be a quick stop, but we really took our time walking (even in the pouring rain) and looking at the different crosses. Fascinating, and we are not religious at all.

Park in the parking lot not along the road. Police were ticketing cars on the road, and the small free you pay goes to maintaining this (free) monument.",July 2020,Kryziu Kalnas,https://www.tripadvisor.com/Attraction_Review-g12620099-d577370-Reviews-Kryziu_Kalnas-Jurgaiciai_Siauliai_County.html,"Jurgaiciai, Lithuania",attractions,4.0,4.5
