title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Fab farm stall,"Every time we visit Cape Town, we make our first stop the Peregrine Farm Stall for their fabulous pastries and biltong.
Over the years, this superb stall has grown both in size and popularity and the last time we visited, the queues were quite long (a coach had arrived) but the service is always excellent and the food is worth waiting for!
We also took my in-laws on our last visit (I managed to get 3 trips to the Peregrine in 2 weeks!) and my MIL loved it - we had a look at all the delicious offerings in the shop and bakery, plus at the more recently added stands that sell other wares such as leather goods.
There is loads of parking, plenty of seating and space to stretch your legs if you've just got off a long flight. I would never land in CT and not visit the Peregrine. The staff are so friendly, particularly at the bakery/ hot food area. I would highly recommend their fabulous apple turnovers (probably the best I've tasted and I can never resist them) and my husband particularly likes their biltong, but everything we have bought from there has been excellent and fresh.
If you're in the area, a trip to the Peregrine Farm Stall is a must.",March 2020,Peregrine Farm Stall,https://www.tripadvisor.com/Restaurant_Review-g1931831-d8441722-Reviews-Peregrine_Farm_Stall-Grabouw_Overberg_District_Western_Cape.html,"Grabouw, South Africa",restaurants,5.0,4.5
Ground with a view,"We visited Newlands for an England v South Africa match and had a fantastic afternoon... and the view was just incredible!
Watching England at Newlands has been on my 'bucket list' for years so last year, we booked tickets and had a mini break in Claremont (20mins walk from the ground). We decided to upgrade to a shared box and despite the facilities being basic, thought the extra was money well spent for the meal, view and extra protection from the searing heat (it was 33°).
We arrived as early as we could and were only the 3rd group in the box which holds around 20, decided where to sit (I seem to recall we could sit anywhere so chose the frow) and went inside to get a drink. All drinks (alcoholic and non) were included as was a 3 course meal of buffet style hams, samosa style snacks (which were amazing), cheese, fruits etc, a choice of 2 or 3 full on hot meals and lovely chocolate cake. Although seating inside the box was limited, there was plenty outside.
As mentioned, the facilities are quite basic and the toilets are on alternate levels, so we had to go up a level to use the toilets, but everything was clean (the toilets were cleaned after each use) and tidy and the staff were excellent.
The game we watched was very close, and the atmosphere in the ground and amongst our fellow fans - both Brits and South Africans - was superb. It ran over time and watching the sun set over the extraordinarily beautiful view was amazing. Definitely worth a visit, and if you can afford to, upgrade to a box for something a little special without losing the atmosphere.",March 2020,PPC Newlands Cricket,https://www.tripadvisor.com/Attraction_Review-g312582-d6750786-Reviews-PPC_Newlands_Cricket-Newlands_Western_Cape.html,"Newlands, South Africa",attractions,4.0,4.5
Cool cafe,"A group of 4 of us visited Wester Cafe as the meeting point for our trip with Those Dam Boat Guys and we had a fun couple of hours in the small cool cafe.
We arrived early as it was a short walk over the canal from the Anne Frank House so we thought we'd grab a drink before our trip - we managed to have quite a few between us, along with some cake before setting off.
The lady behind the bar was great and friendly and the service was pretty good. We were lucky to get a table right in the window as it was quite busy - mainly with people waiting for the boat trips and just sat and enjoyed the chilled out atmosphere.
We visited pre Covid and seating was very cosy, but at the time it added to the atmosphere.
Great little place",February 2020,Wester Cafe,https://www.tripadvisor.com/Restaurant_Review-g188590-d2659949-Reviews-Wester_Cafe-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",restaurants,4.0,4.0
Dam great trip,"We visited Amsterdam with friends (another couple) who had seen Those Dam Boat Guys on Richard Ayoade's Travel Man programme and thought it looked pretty cool.... and they weren't wrong. We booked our tickets about 3 weeks ahead as we wanted an early evening cruise to watch the sun set over the canals and turned up at the recommended bar over an hour ahead of our booked time, so enjoyed 3 beers each - very nice indeed. When it came to getting on the boat - this was pre covid times - there were about 12 of us. The seating arrangements are quite 'cosy' but very comfortable and as they're small boats, everyone gets an opportunity to see all the stunning sights Amsterdam's canals have to offer - there's not a bad seat in the house!
Those Dam Boat Guys let you take your own food and drink onboard so we got some snacks, a couple of bottles of prosecco and some beer for the journey which we cracked open as soon as we set off.
Our guide was Michael who was absolutely brilliant - he was informative, funny and happy to answer any questions. Anything goes and there's no topic off limits - though we had 2 young children 10 & 13 on board so may have been toned down.
We started before sunset and watched the lights come out on the stunning canals - we were very lucky with the weather as it was very cold (but they give everyone a blanket to wrap up in) but dry. There are plastic sides that can be taken down when it rains though. Michael literally talked for the whole tour, pointing out all the usual tourist attractions and some other, more quirky sights. They advertise the tour as 90 minutes but ours lasted for almost 2 hours and there was nothing rushed about it. Those Dam Boat Guys run tours for the more relaxed tourist - if you want an organised tout with an itinerary, this isn't for you. But if you want a fantastic trip that shows you the main sights and goes where the captain fancies that evening, this is perfect - it's a more liberal, laid back tour but all the better for it.
Fortunately we were on a trip where noone smoked but I believe they also allow that - in fact we were the only ones drinking and were quite merry at the end of the almost 2 hour tour so possibly the annoying tourists.
Whilst I'm sure they guides get paid well, please tip them as their inside knowledge and fun facts make this a brilliant value tour.
Our tour with Those Dam Boat Guys was the highlight of our trip to Amsterdam - Michael was brilliant and it was a brilliant way to see this beautiful city.",February 2020,Those Dam Boat Guys,https://www.tripadvisor.com/Attraction_Review-g188590-d8064405-Reviews-Those_Dam_Boat_Guys-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,5.0
Wonderful canals,"Amsterdam's canals are legendary but when I saw them for the first time on our mini break I just loved them immediately. There are so many different areas you can walk around all connected by canals and it feels safe during the day and romantic walking cobbled streets at night. We walked for about 5 hours in 1 day whilst at Amsterdam and could have done more if time had permitted - most of it along the maze of canals - so take comfy shoes and start exploring. Even better, take a boat trip and enjoy Amsterdam at night- simply stunning.",February 2020,Amsterdam Canal Ring,https://www.tripadvisor.com/Attraction_Review-g188590-d8609333-Reviews-Amsterdam_Canal_Ring-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.5
Heart of the city,"It's impossible to visit Amsterdam without seeing Dan Square and though it's crowded, there's so much to see and do - beautiful architecture everywhere, lovely streets, fab shopping areas and easy to find. The whole of Amsterdam is easily negotiable and well signposted - we just selected the streets we liked the look of and wandered around.",February 2020,Dam Square,https://www.tripadvisor.com/Attraction_Review-g188590-d189381-Reviews-Dam_Square-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.0
Great pizza and beer,We visited the Pizzeria Steakhouse as 2 couples for lunch and thoroughly enjoyed a great pizza with a couple of beers each. Tha staff seated us straight away and brought our beers quickly and the food was pretty quick also. It was all piping hot and served with a smile. Tasty and pretty good value.,February 2020,Pizzeria Steakhouse Amsterdam,https://www.tripadvisor.com/Restaurant_Review-g188590-d1835774-Reviews-Pizzeria_Steakhouse_Amsterdam-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",restaurants,4.0,2.5
Stunning split,"Old Split is absolutely stunning with little streets to wander down with restaurants, bars, cafes and shops - there's something for everyone and you feel like you're stepping back into history. It's just a very short walk from the harbour which is nice in itself - then just duck along a side street and you're in another world.",February 2020,Old Split,https://www.tripadvisor.com/Attraction_Review-g295370-d548054-Reviews-Old_Split-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",attractions,5.0,4.5
Lovely palace,"While the whole of Split is beautiful, the Palazzo di Diocleziano is absolutely stunning. Fabulous street to walk around with lovely views everywhere - we spent most of a day wandering around and taking in the scenes. We didn't go inside and there's no fee to go in the main outside complex which has an array of shops, restaurants and street sellers to look at. Beautiful place.",February 2020,Palazzo di Diocleziano,https://www.tripadvisor.com/Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",attractions,5.0,4.5
Ruins in lovely city,"The Forum in the centre of S
Zadar is a lovely and interesting place to walk around. There is nice architecture and ruins to look at and we were told they run events during the evening in the summer. Allowing an hour to walk around would be plenty of time.",February 2020,The Forum,https://www.tripadvisor.com/Attraction_Review-g295374-d4463421-Reviews-The_Forum-Zadar_Zadar_County_Dalmatia.html,"Zadar, Croatia",attractions,4.0,4.0
