title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Wonderful Meal - excellent for pre-show audience,"We had the Filet, Schezwan Long Beans, Asparagus and Mashed Potatoes. Everything was perfect. We probably ordered to much as the portions are a decent size but it is so hard to choose. I will say my favorite was the long beans but as noted before EVERYTHING was wonderful.

We dined here before going to the Ahmanson and it is an easy walk between the two if you are so inclined.",February 2020,Nick & Stef's Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g32655-d364770-Reviews-Nick_Stef_s_Steakhouse-Los_Angeles_California.html,"Los Angeles, California",restaurants,5.0,4.0
Loved this museum,The quality and presentation of the items here is well executed. You will see many classic pieces (including the pieces that have been repatriated from the Getty Museum. Plan on spending some time here.,October 2019,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Nice airline - but watch for the carry-on requirements,This was a great airline but their carry on restrictions are strict. When checking into my flight they checked the weight and you guessed it I was overweight so I ended up paying the $60.00 checked bag fee. While I saw may passengers that had bags that were siimilar size and weight they did not have the same issue - it does make you wonder why some people are picked out and others are not (I was not alone in having to go and pay),October 2019,Swiss International Air Lines [SWISS],https://www.tripadvisor.com/Airline_Review-d8729160-Reviews-Swiss-International-Air-Lines-SWISS,World,flights,3.0,4.0
Tight quarters,The leg room is a tight but that is true of most airlines now if you are flying economy. I was not surprised the flight was crowded but I am sure most of the others on my flight probably booked as I did for the lowest price offered on a flight to Athens. Given what I paid I have not complaints.,October 2019,Air Canada Rouge,https://www.tripadvisor.com/Airline_Review-d8808634-Reviews-Air-Canada-Rouge,World,flights,3.0,3.0
Beautiful setting,The main reason to go here is how beautiful the setting is. One side of this restaurant serves food the other side is for drinks. The food is good but not exceptional but it is so nice to sit here under the trees and enjoy your meal or drinks.,October 2019,Diogenes,https://www.tripadvisor.com/Restaurant_Review-g189400-d1880932-Reviews-Diogenes-Athens_Attica.html,"Athens, Greece",restaurants,4.0,3.0
Iconic,"This is a must see on any visit to Athens. The acropolis is currently under renovation to preserve this historic site but that does not diminish the overall experience by much. The Temple of Athena Nike, The Parthenon, The Odeon, and Theater are all part of this site. As you can expect this to be crowded I recommend coming either first thing in the morning or later in the afternoon (closes at sunset).",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Amazing museum,This very modern museum is a real treat. The items are so beautifully displayed and well thought out. You not only have the museum but below is the old city they are still excavating which you can walk through. Make the effort to come here - you will not be disappointed.,October 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Exceeded expectations for a quick meal,The atmosphere may a little lacking - but the food is great! My friend and I really enjoyed everything we every ordered here. The food is fresh and delicious. There are so many options it can be hard to choose. I came here every morning of my stay here to get a coffee and pastry of some type. They have both sweet and savory options. I tried and like both options. But because the breakfast items were so good we also came here to get dinner a couple of times and were not disappointed! The articoke hearts with potatoes were amazing!!! I also enjoyed the Moussaka. The prices here were extremely affordable so if you want some delicious food at a great price this is a great place to go.,October 2019,Bread Factory,https://www.tripadvisor.com/Restaurant_Review-g189400-d11816586-Reviews-Bread_Factory-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Beautiful,While the bus trip is not short going to Delphi was worth it. I enjoyed hearing more about the history of the various items located at the site in addiion to the information I already knew about Delphi. The views from here are spectacular especially if you hike all the way up to the stadium. The museum is also worth a visit. The items on display are well displayed in a modern building to show them in their best light.,October 2019,Delphi day tour,https://www.tripadvisor.com/Attraction_Review-g189408-d5568551-Reviews-Delphi_day_tour-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,4.0,4.5
Exceeded All Expectations,"This trip was one of the best trips I have ever taken! The side hikes off the river show the diversity of the area and lead to beautiful waterfalls, vistas, and just cool places to hang out and listen to music provided by our guides! If you can I would ask to have Cliff and Oliver (both musicians) and have so much information about the canyon that you will be amazed. You experience both peaceful moments and exciting rapids on this trip. You have the option to sit in the front portion of the boat (the wet zone) or towards the rear for a little more comfort and much drier. The meals provided are cooked at camp by the guides and are of good quality with an excellent variety. They also accomodate for vegetarian and vegan rafters if you advise them in advance.

Our group all got along which made the experience even better - you could not ask for more. This trip is good for couples, singles, friends, and families.

I highly recommend this outfitter!

If you want to see the entire canyon from beginning to end in 7 days in the motorized raft. If you have more time you may want to consider the 14 day raft trip - but I found the 7 day trip to be just the right amount of time.",September 2019,Canyoneers,https://www.tripadvisor.com/Attraction_Review-g60971-d14132852-Reviews-Canyoneers-Flagstaff_Arizona.html,"Flagstaff, Arizona",attractions,5.0,5.0
