title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Best of Athens,"I was a tiny bit disappointed in the food we had in Athens - nothing really struck me as that one memorable meal. Then, on our last meal in Greece, we found Rosalia. This place was so good. The food was great and the prices were very reasonable. It is a short walk from the National Archeological Museum, which will take you through an... interesting... neighborhood. No one gave us any trouble, the food is worth it.",February 2020,Rozalia,https://www.tripadvisor.com/Restaurant_Review-g189400-d814501-Reviews-Rozalia-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Something different - so much fun,"I am not sure I learned much about cooking, but it was a really memorable experience. The process of working together to prepare a meal got people talking and interacting. By the time we sat down to eat the dinner conversation flowed naturally. Sophia (our teacher) really had a knack for getting people involved, then letting interactions develope naturally. This is not your same old tour, I really recommend you give it a try.",February 2020,Athens Cooking Day Tours,https://www.tripadvisor.com/Attraction_Review-g189400-d3602683-Reviews-Athens_Cooking_Day_Tours-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Experience the rest of Athens,"Our guide Georgia, was fantastic. She took us away from the tourist mainstays, for a look at how the city appears to Athenians. She was energetic and clearly passionate about her city. We saw (and tasted) things we would have otherwise missed. Time is valuable on a vacation, but this tour is definitely worth the half day.",February 2020,Athens Food Tours,https://www.tripadvisor.com/Attraction_Review-g189400-d3198860-Reviews-Athens_Food_Tours-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
A nice but unremarkable restaurant,"The food was good and the servers were friendly, but it was noisy. Overall, it is a fair choice if you are near Syntagma Square, but not worth a trip from some other area.",February 2020,Athinaikon Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1045564-Reviews-Athinaikon_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Must see,"I don't know if it is really necessary to write this review. I can't imagine anyone travelling to Athens and not seeing the Acropolis, but if you are considering skipping it - don't. It is more impressive than any picture can convey and the view of the city is amazing. Get a good guide who can explain what you are looking at.",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Best castle ever,"In all fairness, I have only been in a half dozen castles so I am probably not qualified to present the “Best Castle Ever” award. Blackness is, however, everything I thought of castles as a child. It has towers, a draw bridge, battlements, a dungeon and is just generally cool. Pay to go inside and wander around.",September 2019,Blackness Castle,https://www.tripadvisor.com/Attraction_Review-g186590-d2365244-Reviews-Blackness_Castle-Linlithgow_West_Lothian_Scotland.html,"Linlithgow, United Kingdom",attractions,5.0,4.5
Lunch deal was amazing,"This place was recommended by the concierge, so I hadn’t checked the reviews on trip advisor before eating there. The meal was fantastic. When I found it here to write this review I was surprised to se it ranked 84th - I thought it would have been much higher. I read through the bad reviews and they did not match our experience at all. Servers were friendly and the food was delicious. Definitely try this place for lunch (before 4:00) since the prices are lower but the portions are still large. The venison pie is a must try and the muscles are worth the £1 up charge.",September 2019,Ardnamurchan Scottish Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g186534-d12421745-Reviews-Ardnamurchan_Scottish_Restaurant_Bar-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.5
Learn a lot in a short time,"I really liked this place. There is not a lot of depth to the information given; but, it is a great overview. It gives you a little bit of context to think about the economy, history and people of Iceland as you see the country. Every video was well made.

Of course, as mentioned by so many others, there is free coffee.",September 2019,Tales from Iceland,https://www.tripadvisor.com/Attraction_Review-g189970-d12846551-Reviews-Tales_from_Iceland-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",attractions,5.0,5.0
Great seafood,"The food here was really top notch. The flavor and presentation were both impressive. The serving size wasn’t huge, but was reasonable and the price seemed completely fair. It is hard for me to comment on service. Our waiter was friendly and attentive, but we were eating at an odd time and were one of two tables - not a real test.",September 2019,Reykjavík Kitchen,https://www.tripadvisor.com/Restaurant_Review-g189970-d14156798-Reviews-Reykjavik_Kitchen-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",restaurants,5.0,5.0
A lot of small disappointments,"There was no one thing I can point to on why I would not return this hotel. The room was clean and the staff was reasonably friendly. Unfortunately, there were multiple things that all added up to an unpleasant experience so I will just list the main ones:

-the room had no fan and the neighborhood is way too loud all night to open a window
-the mattress was very hard and uncomfortable
-the vent in the bathroom was stuck shut and I had to prop it open with a Q-tip (I hoped that would circulate some air, but it didn’t help.)
-There is no safe to store valuables in the room.
-since there was no safe, we left the “do not disturb” sign out all day but the cleaners entered anyway and did their room service (nothing was stolen or gone through, but still that was not ok.)
-by 7:00 there was enough loud noises to wake us up one day (the other day was quieter, so this could have been singular incident.)

I feel like this hotel made a half-hearted effort to be higher end. The facade and lobby are nice enough, but once you enter the elevators it feels a lot mor budget.",August 2018,Fitzwilton Hotel,https://www.tripadvisor.com/Hotel_Review-g186638-d622902-Reviews-Fitzwilton_Hotel-Waterford_County_Waterford.html,"Waterford, Ireland",hotels,2.0,4.0
This is what a hotel should be,"If you check my other reviews you will see I don’t give hotels 5 stars very often, but this one earned it. I won’t waste time listing everything I liked about this hotel, just know they hit all the high notes on room, service, amenities, and accessibility. If I am ever in Dublin again, this is the hotel I will stay at.",August 2018,Ashling Hotel,https://www.tripadvisor.com/Hotel_Review-g186605-d212690-Reviews-Ashling_Hotel-Dublin_County_Dublin.html,"Dublin, Ireland",hotels,5.0,4.5
Great for self-guided tour,"This is a fantastic museum. It gives a walkthrough of Irish history with plenty of placards and videos to put everything into context. We had only planned an hour here, but ended up doubling that. Even then we only left because we had a scheduled tour. If you love history this is a half day attraction as you read and inspect all the exhibits. Even if you are not that interested in history, the bog-mummies alone are worth the time.",August 2018,National Museum of Ireland - Archaeology,https://www.tripadvisor.com/Attraction_Review-g186605-d274489-Reviews-National_Museum_of_Ireland_Archaeology-Dublin_County_Dublin.html,"Dublin, Ireland",attractions,5.0,4.5
Just like Italy,"I try to stick to local cuisine when traveling (why come to Ireland to eat Italian food?), but we made an exception based for Emiliano’s based on reviews. I am glad we did. The food, the atmosphere, everything reminded me how much I loved eating in Italy. My cod was really good, but my wife’s beef linguini was fantastic.",August 2018,Emiliano's,https://www.tripadvisor.com/Restaurant_Review-g186638-d2317809-Reviews-Emiliano_s-Waterford_County_Waterford.html,"Waterford, Ireland",restaurants,5.0,5.0
Interesting tour,Seeing how Waterford Crystal pieces are made was fun. The tour takes less than an hour and is worth the time.,August 2018,House of Waterford Crystal Guided Factory Tour,https://www.tripadvisor.com/AttractionProductReview-g186638-d11475462-House_of_Waterford_Crystal_Guided_Factory_Tour-Waterford_County_Waterford.html,"Waterford, Ireland",activities,4.0,4.5
A short tour but I learned a lot,"The tour is about an hour. I would strongly recommend taking it instead of just wondering through on your own. Our guide was great, he was engaging and knowledgeable. The vestments were the highlight. It is amazing they survived.",August 2018,Waterford Treasures Medieval Museum,https://www.tripadvisor.com/Attraction_Review-g186638-d319005-Reviews-Waterford_Treasures_Medieval_Museum-Waterford_County_Waterford.html,"Waterford, Ireland",attractions,4.0,4.5
"OK, but not quite must see","This was an interesting tour, but if you must skip something don’t feel too bad about not seeing this.",August 2018,Bishop's Palace,https://www.tripadvisor.com/Attraction_Review-g186638-d2657129-Reviews-Bishop_s_Palace-Waterford_County_Waterford.html,"Waterford, Ireland",attractions,3.0,4.5
Small room but very nice,"The small room didn’t bother me, but might matter to some. The rooms were clean and the staff was friendly. The location was great - the neighborhood is walkable with plenty of pubs and restaurants. You will have to pay to park. There are two garages, one is cheap but may not be appropriate for large vehicles while the other is quite expensive. I would recommend contacting the hotel before your arrival for parking instructions.",August 2018,The George Limerick,https://www.tripadvisor.com/Hotel_Review-g186621-d630895-Reviews-The_George_Limerick-Limerick_County_Limerick.html,"Limerick, Ireland",hotels,4.0,4.0
"Meh, just a pub","The food was mediocre and the service was lackluster. To be fair they did have a “help wanted” sign in the window and an extra server or two might have helped on that side of things. There was nothing wrong with the food, but neither was it memorable. I had a cod and scampi gratin, really the only flavor it had was the lemon juice and salt that I added. The potatoes were plain and the vegetables tasted straight out of the freezer isle. My wife said the fish and chips were typical. I can’t help but think there might be better seafood in a fishing town.",August 2018,Paudie's Bar,https://www.tripadvisor.com/Restaurant_Review-g211861-d1875807-Reviews-Paudie_s_Bar-Dingle_Dingle_Peninsula_County_Kerry.html,"Dingle, Ireland",restaurants,3.0,4.0
"Try this, you’ll be glad you did","It is not surprising there so many awards decorating the walls of this establishment - the food really is that good. Appetizer through desert, our meal was outstanding. The service was exemplary and prices were reasonable. If you are in Waterford, you really should try this.",August 2018,Momo Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186638-d7297875-Reviews-Momo_Restaurant-Waterford_County_Waterford.html,"Waterford, Ireland",restaurants,5.0,4.5
The restoration makes this castle interesting,"There are a lot of castles in Ireland; however this one has been restored to show its Victorian state. It gives a sense of what it would have been like to live at that time. I am not certain I would make a trip from Dublin just to see it, but if you are in the area it is worth the stop.",August 2018,Kilkenny Castle,https://www.tripadvisor.com/Attraction_Review-g186616-d190064-Reviews-Kilkenny_Castle-Kilkenny_County_Kilkenny.html,"Kilkenny, Ireland",attractions,4.0,4.5
Much more than expected,"When we decided to travel to Ireland it was for castles and scenic countryside. I never thought it would be a “food trip”, but wow! When I saw the prices (around €15 per entree) I assumed a mid-range quality; however, this place was better than a lot of more expensive restaurants is Italy. The food and the atmosphere were great and our server, Leah, hit the sweet-spot between friendly and non-intrusive.",August 2018,House Limerick,https://www.tripadvisor.com/Restaurant_Review-g186621-d11832456-Reviews-House_Limerick-Limerick_County_Limerick.html,"Limerick, Ireland",restaurants,5.0,4.5
Cathedral was impressive; but the cemetery was the attraction,"It is free to enter the grounds and doesn’t take long to see. If you are in the area, there is no reason not to stop and look. There are placards with a bit of history on the crypts and graves that really give a sense of how old this place is. The area around is also very walkable, with plenty of coffe shops and pubs.",August 2018,Saint Mary's Cathedral,https://www.tripadvisor.com/Attraction_Review-g186621-d191031-Reviews-Saint_Mary_s_Cathedral-Limerick_County_Limerick.html,"Limerick, Ireland",attractions,4.0,4.5
Something different,"I had never tried Salvadoran food, so I did not know what to expect. The pupusas were very good and the prices were fair. The food was flavorful without being too spicy. The corn tamale was also worth trying.",May 2018,Pupusas Paradise,https://www.tripadvisor.com/Restaurant_Review-g29144-d12694185-Reviews-Pupusas_Paradise-Aurora_Colorado.html,"Aurora, Colorado",restaurants,4.0,4.5
I don’t understand the hype,"There is nothing wrong with Sam’s, but there is nothing special either. There is a wide selection and the food is better than Denny’s (a very low bar to clear), but it is still just a mediocre diner. People seem to love it though.",January 2018,Sam's No. 3,https://www.tripadvisor.com/Restaurant_Review-g29144-d381540-Reviews-Sam_s_No_3-Aurora_Colorado.html,"Aurora, Colorado",restaurants,3.0,4.5
