title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Sit down coffee!,Mid-morning and Warren Street was fairly quiet so we were pleased to be able to get a free table outside. We very much enjoyed sitting out with our lovely coffees and an oh so tasty fitzroy bun. A definite find just down from busy Tottenham Court Road.,April 2021,Honey & Co.,https://www.tripadvisor.com/Restaurant_Review-g186338-d3224508-Reviews-Honey_Co-London_England.html,"London, United Kingdom",restaurants,4.0,4.5
Lovely food and setting,"We had excellent cheese and onion toasties plus coffee at this place in the attractive Bocking gardens, just outside Braintree Town centre.

Everything was so fresh and tasty and made for a nice lunch in the park. Definitely recommended.",April 2021,Coffee House in the Gardens,https://www.tripadvisor.com/Restaurant_Review-g503772-d8805838-Reviews-Coffee_House_in_the_Gardens-Braintree_Essex_England.html,"Braintree, United Kingdom",restaurants,5.0,4.0
Great trip out,"As we inch out of lockdown, a nice outing was had to this National Trust owned site. Parking by the Mill Hall, it's a short walk up the stepped path - steep in parts but manageable - just be careful if it's muddy.

It was so quiet on Easter Sunday with just one or two people about. A nice view from the top and we enjoyed sitting on the bench by the pond having a picnic. Don't forget to check out the windmill nearby, from the outside at least, until lockdown lifts. Coffee from the nearby High Street rounded off a very pleasant day out.",April 2021,Rayleigh Mount,https://www.tripadvisor.com/Attraction_Review-g858504-d4355162-Reviews-Rayleigh_Mount-Rayleigh_Essex_England.html,"Rayleigh, United Kingdom",attractions,4.0,4.0
Good takeaway coffee,"Good to see they were still open for takeaway, even on the first day of the tier 4 restrictions.

We very much enjoyed our coffee and hot chocolate. Plenty of space to wait for your drinks whilst keeping social distancing. Definitely recommended overall.",December 2020,The Larder Wanstead,https://www.tripadvisor.com/Restaurant_Review-g186338-d2441101-Reviews-The_Larder_Wanstead-London_England.html,"London, United Kingdom",restaurants,4.0,3.5
Excellent lunch,"We only had to wait a few minutes to get a table, even on a busy post-lockdown Saturday lunchtime. We very much enjoyed our poached eggs with toast, halloumi and patatas bravas plus a halloumi wrap. The eggs could have been a little warmer but it really didn't make much difference.

We also very much enjoyed a cappuccino and latte and it was no problem for us to request a mulled wine to take away.

Overall very highly recommended in the very pleasant Leigh town centre. We'll definitely try and come back.",December 2020,The Brunch Co.,https://www.tripadvisor.com/Restaurant_Review-g1138967-d13867328-Reviews-The_Brunch_Co-Leigh_on_Sea_Southend_on_Sea_Essex_England.html,"Leigh-on Sea, United Kingdom",restaurants,4.0,4.0
Stunning church,"Simply walk along the main Christchurch High Street to the far end and you'll come to the Priory.

A terrific place to walk around with parts dating back as far as the Norman era. A shop and small cafe plus attractive gardens make for an excellent addition to any visit to Christcurch.",November 2020,Christchurch Priory Church,https://www.tripadvisor.com/Attraction_Review-g190800-d218196-Reviews-Christchurch_Priory_Church-Christchurch_Dorset_England.html,"Christchurch, United Kingdom",attractions,4.0,4.5
Great - went twice!,"We called in for some lovely coffees and, having failed to find anywhere that looked a better bet, returned for a late lunch.

We both found the Welsh rarebit so tasty as we sat in the window looking out on lovely Christchurch High Street. A toasted tea cake was also very nice.

All in all a highlight of our day in Christchurch.",October 2020,Coast Coffee,https://www.tripadvisor.com/Restaurant_Review-g190800-d3388578-Reviews-Coast_Coffee-Christchurch_Dorset_England.html,"Christchurch, United Kingdom",restaurants,5.0,4.5
Excellent dinner,"We actually saw this place mentioned in passing as a better option in a review of another place in Bournemouth. We sat upstairs and very much enjoyed the paintings and other decor throughout the restaurant. I should mention there's a lift available.

We very much enjoyed our halloumi burger and mac and cheese with a ciabatta. Also one of their cocktail variations was very pleasant.

This was our first visit to a Cosy Club and we'd definitely recommend it if you're in the Bournemouth area.",October 2020,Cosy Club Bournemouth,https://www.tripadvisor.com/Restaurant_Review-g186262-d8802724-Reviews-Cosy_Club_Bournemouth-Bournemouth_Dorset_England.html,"Bournemouth, United Kingdom",restaurants,4.0,4.0
Great spot in Bournemouth,"Stayed here for 3 nights at this well located place almost opposite the Pavilion Theatre. The sea front and tourist information centre is only 5 minutes walk away and the town centre the same in the opposite direction. Only the station would probably need a bus or taxi to get to.

We stayed in a premier plus room which was great overall - spacious with a coffee machine, ironing board etc. For some reason these don't have a balcony or sea view which was a bit disappointing.

We had breakfast each morning at the hotel which was fine though it's best to book this in advance given the social distancing.

All in all a very good base for our break in Bournemouth.",October 2020,Premier Inn Bournemouth Central Hotel,https://www.tripadvisor.com/Hotel_Review-g186262-d1133897-Reviews-Premier_Inn_Bournemouth_Central_Hotel-Bournemouth_Dorset_England.html,"Bournemouth, United Kingdom",hotels,4.0,4.5
Unheralded gem,"Excellent visit here to this house on the cliff top next to the Royal Bath hotel. As with many attractions these days it's best to book your timeslot/ticket on line beforehand.

There's an interesting 10 minute film on the first floor about the couple who owned both the house and hotel.

On the next floor up (a lift is available) is a lovely cafe which is well worth a stop prior to going into the main house. A guide to the rooms can be downloaded onto your phone and each is packed with art works and objects of interest.

Plenty of volunteers on hand to ask questions of as well. Also tremendous sea views from some of the rooms.

A nice souvenir shop rounded off an excellent visit.",October 2020,Russell-Cotes Art Gallery & Museum,https://www.tripadvisor.com/Attraction_Review-g186262-d286490-Reviews-Russell_Cotes_Art_Gallery_Museum-Bournemouth_Dorset_England.html,"Bournemouth, United Kingdom",attractions,5.0,4.5
Very good pizza,"Wanting somewhere nearby for supper on our first night in Bournemouth, we happened upon this very nice place. We were seated without having made a reservation and very much enjoyed the salad, margherita pizza and potato wedges that we had.

Everything was promptly brought up by the friendly staff. All in all, a very good start to our Bournemouth break.",October 2020,The Bournemouth Stable,https://www.tripadvisor.com/Restaurant_Review-g186262-d10743883-Reviews-The_Bournemouth_Stable-Bournemouth_Dorset_England.html,"Bournemouth, United Kingdom",restaurants,4.0,4.0
Ok but could be better,"The hotel did a job for us overall as we were in the area for an overnight stay. Paid parking is available at the hotel and there was no problem finding a space.

We had an accessible room on the first floor of the annexe building. The shower had been left in far too high a position to be accessible but otherwise the room was fine and of a good size.

We booked for breakfast but were still told on arrival at the restaurant that there would be a 15-20 minute wait before they took our main order. Whilst we appreciate the problems caused by the pandemic, this seemed odd and why take reservations at all if that's the case?

The food was fine when it came.

Overall ok but we've had better experiences in other premier inns.",August 2020,Premier Inn London Edgware hotel,https://www.tripadvisor.com/Hotel_Review-g1646063-d287840-Reviews-Premier_Inn_London_Edgware_hotel-Edgware_Greater_London_England.html,"Edgware, United Kingdom",hotels,3.0,4.0
Ok but could be better,"We sat outside in Wanstead's pleasant High Street. Our frappe and latte took a little while to come. Latte was find but the frappe mocha tasted a bit powdery.

Not bad overall but other places in Wanstead are probably preferable for coffee.",August 2020,Cafe Chicchi,https://www.tripadvisor.com/Restaurant_Review-g186338-d11885694-Reviews-Cafe_Chicchi-London_England.html,"London, United Kingdom",restaurants,3.0,3.5
Excellent,"We enjoyed a very nice snack lunch here sitting outside in the High Street.

We had a very tasty mozzarella toastie and nice cake plus lovely coffee.

A very good spot in Hornchurch's pleasant High Street.",August 2020,Le Moulin Patisserie and Boulangerie,https://www.tripadvisor.com/Restaurant_Review-g503784-d4084907-Reviews-Le_Moulin_Patisserie_and_Boulangerie-Hornchurch_Greater_London_England.html,"Hornchurch, United Kingdom",restaurants,4.0,4.5
Excellent coffee,"Popped in here mid-morning and had no problem waiting whilst the polite lady behind the counter caught up with her orders.

I took a seat inside as it was still fairly hot out and received an excellent latte within no more than 5-10 minutes.

A very nice cafe all round.",August 2020,Woodland Coffee Shop,https://www.tripadvisor.com/Restaurant_Review-g503773-d19844895-Reviews-Woodland_Coffee_Shop-Brentwood_Borough_of_Brentwood_Essex_England.html,"Brentwood, United Kingdom",restaurants,5.0,5.0
Attitude?,"I wandered in and ordered a coffee and was told in a rather surly way to take a seat. A pity as it has a nice conservatory part at the back and could be nice.

Coffee was good and served promptly in fairness.",August 2020,Cafe Arena,https://www.tripadvisor.com/Restaurant_Review-g186338-d8614460-Reviews-Cafe_Arena-London_England.html,"London, United Kingdom",restaurants,3.0,3.5
Excellent lunch,"A rare opportunity to go out for lunch midweek and this proved an excellent choice. We had booked but, due to covid/recession/people working from home, had the place virtually to ourselves.

We very much enjoyed the small plates of bread, olives, patatas bravas and cheese balls. Great coffee also.

Service was very good and attentive. Hopefully they will get busier again as time goes on.

Definitely recommended if in the Kings Cross/Bloomsbury area.",August 2020,Norfolk Arms,https://www.tripadvisor.com/Restaurant_Review-g186338-d698038-Reviews-Norfolk_Arms-London_England.html,"London, United Kingdom",restaurants,5.0,3.5
Welcome back!,"My first visit since the refurbishment undertaken during lockdown. Nice decor and a slightly extended menu but still the same high quality food and service. We enjoyed all our dishes - excellent poached eggs, shepherd's pie and salad. Also lovely juice and coffees.

A warm welcome back to the High Street!",August 2020,Rowans,https://www.tripadvisor.com/Restaurant_Review-g580420-d10284788-Reviews-Rowans-Ilford_Greater_London_England.html,"Ilford, United Kingdom",restaurants,5.0,4.5
Coffee stop in Shoreditch,"We all very much enjoyed this place which is near the Old Street roundabout. It was quiet on a Sunday afternoon so we had no trouble finding a table outside.

We enjoyed both iced and hot coffees as well as a pastry and an excellent focaccia served warm.

A definite find in this part of London with friendly serving staff as well.",August 2020,Di Stefano Coffee,https://www.tripadvisor.com/Restaurant_Review-g186338-d15290465-Reviews-Di_Stefano_Coffee-London_England.html,"London, United Kingdom",restaurants,5.0,5.0
Coffee break,"We stopped off here to break our journey to Maldon. Only a small car park but the pub was quiet at the time so that wasn't a problem on a Saturday afternoon.

The pub was open for sit down customers, despite the sign outside giving a slightly different impression?

In any case, we enjoyed the decor and atmosphere of the pub very much as well as our coffee and soft drinks. A nice stop off from our journey.",August 2020,The Bakers Arms,https://www.tripadvisor.com/Restaurant_Review-g2154462-d2631584-Reviews-The_Bakers_Arms-Danbury_Essex_England.html,"Danbury, United Kingdom",restaurants,4.0,4.5
Great lunch,"Lovely sandwiches, toasted bagel and drinks here on a hot Saturday afternoon. Friendly staff and good covid protocols with not just the tables but also the menus being regularly cleaned.

Would definitely recommend this place even against all the competition in Maldon's High Street.",August 2020,Sophie's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g681388-d12789864-Reviews-Sophie_s_Kitchen-Maldon_Essex_England.html,"Maldon, United Kingdom",restaurants,5.0,4.5
Lovely goods and tea room,"A very enjoyable visit here in lovely Dedham, looking through the three floors of antiques and independent goods as well as enjoying coffee and ice cream in the centre's lovely tea room.

Definitely worth a stop if you're in Dedham.",August 2020,Dedham Art & Craft Centre,https://www.tripadvisor.com/Attraction_Review-g186279-d2461192-Reviews-Dedham_Art_Craft_Centre-Dedham_Colchester_Essex_England.html,"Dedham, United Kingdom",attractions,4.0,4.0
Great coffees,"We enjoyed a very nice coffee stop at this heritage building just off Colchester's busy High Street.

They have put in plenty of Covid protocols so you can sit in the pretty courtyard or inside. We enjoyed lovely coffees and they were only too happy to box up a couple of scones for us to take with.

A nice way to end our break in Colchester.",August 2020,Tymperleys,https://www.tripadvisor.com/Restaurant_Review-g190735-d6695084-Reviews-Tymperleys-Colchester_Essex_England.html,"Colchester, United Kingdom",restaurants,5.0,4.0
Excellent takeout,We enjoyed excellent pizzas and dipper sides delivered to our hotel in Colchester. The website took a little bit of working out but the food was excellent.,July 2020,DOUGH&co Woodfired Pizza Colchester,https://www.tripadvisor.com/Restaurant_Review-g190735-d15245448-Reviews-DOUGH_co_Woodfired_Pizza_Colchester-Colchester_Essex_England.html,"Colchester, United Kingdom",restaurants,4.0,4.5
Great coffee,"Stopped in here for coffee and cold drinks after a visit to the castle, the gate for which is almost opposite here.

Very nice drinks served by the friendly staff completed a very nice morning's visit.",July 2020,No 10 Museum Street,https://www.tripadvisor.com/Restaurant_Review-g190735-d16815087-Reviews-No_10_Museum_Street-Colchester_Essex_England.html,"Colchester, United Kingdom",restaurants,4.0,4.5
Nice spot,"A very pleasant park in central Colchester. As well as visiting the castle, we enjoyed taking time on the grass and just chilling out. A nice oasis in the centre of town.",August 2020,Castle Park,https://www.tripadvisor.com/Attraction_Review-g190735-d3314119-Reviews-Castle_Park-Colchester_Essex_England.html,"Colchester, United Kingdom",attractions,4.0,4.5
Very good visit,"The museum had been massively modernised since I visited around 20 years ago and had just reopened following lockdown. Only very small areas were unavailable and they will take groups down to see the prison cells which are themselves definitely worth seeing.

The museum is fascinating and details the whole history of the town. The I-pads you are given free of charge took a bit of getting used to in terms of where to use them but we enjoyed being able to view a clip of a bbc history programme where they were examining Roman jewellery that is in fact on display just in front of you.

We booked in advance (by phone) although it looked like you could just walk up and enter when we were there.

A definite must do if you're in Colchester.",July 2020,Colchester Castle Museum,https://www.tripadvisor.com/Attraction_Review-g190735-d519595-Reviews-Colchester_Castle_Museum-Colchester_Essex_England.html,"Colchester, United Kingdom",attractions,4.0,4.5
Good choice for a break,"Our first post lockdown hotel stay and this proved a very good choice. The hotel enjoys a good location in a quiet residential street very close to the entrance to Castle Park and is no more than a 10 minute walk from the High Street.

Our room was very clean - important in these difficult times of course. All printed material had been removed bar a useful sheet explaining the cleaning and hygiene processes at the hotel.

Breakfast was available at the Thyme restaurant but the buffet is no longer unfortunately. The good news though is that everything is cooked fresh to order now. On our second morning at least, they left the orders in the middle of the restaurant and beckoned you over to collect it yourself. Presumably the idea was to further reduce close contact between staff and customers and we soon got used to it.

There a fair size car park at the hotel and you pay on reception.

We were delighted the hotel was back open and very much enjoyed our stay.",July 2020,Premier Inn Colchester Town Centre,https://www.tripadvisor.com/Hotel_Review-g190735-d8679172-Reviews-Premier_Inn_Colchester_Town_Centre-Colchester_Essex_England.html,"Colchester, United Kingdom",hotels,4.0,4.5
Excellent meals,"We each enjoyed a good meal here sitting outside on a Sunday evening. Our steak, sea bass and borek options were each thoroughly enjoyed. Nice tiramisu for dessert too.

It seems you can also order pizzas from the building immediately next door so that widens the choice even further.

Definitely recommended if near Hackney's Victoria Park.",July 2020,The Chambers Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d2535808-Reviews-The_Chambers_Restaurant-London_England.html,"London, United Kingdom",restaurants,4.0,4.0
Fish and chips,We picked up cod goujons and chips from the apparently new takeaway kiosk. It was extremely tasty and nicely presented. Just had to wait a few minutes and I was called over by the friendly staff to collect it. A very good option on a busy summer Sunday in Leigh.,July 2020,The Boatyard Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1138967-d1016575-Reviews-The_Boatyard_Restaurant-Leigh_on_Sea_Southend_on_Sea_Essex_England.html,"Leigh-on Sea, United Kingdom",restaurants,4.0,3.5
Great Coffee,We sat in for coffee which was excellent and I even returned later in the day for another cup. Also an excellent range of stuff in the food store. We'll have to return and have a meal there,July 2020,Gourmet Deli Co,https://www.tripadvisor.com/Restaurant_Review-g1138967-d17327842-Reviews-Gourmet_Deli_Co-Leigh_on_Sea_Southend_on_Sea_Essex_England.html,"Leigh-on Sea, United Kingdom",restaurants,4.0,4.5
Nice takeout drinks,"Stopped here after searching Billericay High Street for somewhere open for a takeway hot drink on a Sunday. We were quickly served by the friendly staff and very much enjoyed our regular and iced lattes. Full marks also for being offered hand sanitser whilst I was waiting. As things hopefully return to normal, we'll have to come back and try the food.",June 2020,French Martini,https://www.tripadvisor.com/Restaurant_Review-g1022655-d15666621-Reviews-French_Martini-Billericay_Essex_England.html,"Billericay, United Kingdom",restaurants,4.0,4.5
Pre-Raphaelites,"I only had time to visit part of the museum located in the Council House. Good collection of pre-Raphaelite paintings and I also enjoyed learning about the Staffordshire Hoard of Anglo-Saxon artefacts.

A nice shop, cafe and tea room are on site. The lack of any admission charge was also a bonus.",March 2020,Birmingham Museum & Art Gallery,https://www.tripadvisor.com/Attraction_Review-g186402-d188935-Reviews-Birmingham_Museum_Art_Gallery-Birmingham_West_Midlands_England.html,"Birmingham, United Kingdom",attractions,4.0,4.5
Nice pizza,"Popped in here early on a Saturday lunchtime and easily found a table by the large windows.

I enjoyed a good value pizza and garlic bread which, as promised by the staff member, arrived within 10 minutes or so.

Don't be put off by the metro works immediately outside in Broad Street - the pub is open as normal and definitely worth seeking out.",March 2020,The Soloman Cutler - Lloyds No1 Bar,https://www.tripadvisor.com/Restaurant_Review-g186402-d3556947-Reviews-The_Soloman_Cutler_Lloyds_No1_Bar-Birmingham_West_Midlands_England.html,"Birmingham, United Kingdom",restaurants,4.0,3.5
Fresh pizza,"We enjoyed our freshly made pizza and pasta at this place at one end of busy Roman Road.

The service was a little slow at times and the hot chocolate seemed to be less thick and creamy than on a previous visit.

Still enjoyed the meal overall though.",March 2020,Pizza Brixton @ Bow,https://www.tripadvisor.com/Restaurant_Review-g186338-d18931392-Reviews-Pizza_Brixton_Bow-London_England.html,"London, United Kingdom",restaurants,3.0,4.0
Excellent,"We enjoyed an excellent late lunch here with so fresh toasted sandwiches and nice tea and coffee. We took some scones and cake home as well which were also very nice.

We looked round the informative museum just off the restaurant (no extra charge) and found the video about the history of the company and its factory very interesting. A well stocked shop showcasing not just Wilkin but products from other local producers rounded off a very nice day out.

We'll try and go again.",March 2020,Tiptree Jam Museum & Tea Room,https://www.tripadvisor.com/Attraction_Review-g186278-d1862637-Reviews-Tiptree_Jam_Museum_Tea_Room-Essex_England.html,"Essex, United Kingdom",attractions,5.0,4.0
Excellent meal in Romford Market,"We finally got round to trying the food here having been in for coffee many times. We enjoyed an excellent late lunch. Our pizza, curry and garlic bread were all so fresh and tasty and quickly served. More nice coffees rounded off an excellent meal. Highly recommended all round.",February 2020,HEART & SOUL,https://www.tripadvisor.com/Restaurant_Review-g580427-d19598097-Reviews-HEART_SOUL-Romford_Greater_London_England.html,"Romford, United Kingdom",restaurants,5.0,5.0
Enjoyed it,"Whilst the Rotunda is completely encased in scaffolding, the National Trust have sought to make the most of this by setting up a new exhibition that can run in semi darkness. Although it takes a little getting used to, we felt this did work overall.

We very much enjoyed the house and strolling in the Italianate gardens. There are also two very nice cafes and a good Trust shop on site. Also a second hand bookshop upstairs in the west wing.

We'll have to return and see the house when all the work has finished.",February 2020,Ickworth,https://www.tripadvisor.com/Attraction_Review-g315932-d218341-Reviews-Ickworth-Horringer_Bury_St_Edmunds_Suffolk_East_Anglia_England.html,"Horringer, United Kingdom",attractions,4.0,4.5
Really very nice!,"We very much enjoyed our visit here to the shop which is just on the corner as you enter Abbeygate Street.

We enjoyed a really excellent soup and cheese on toast plus lovely coffee and hot chocolate. Everything was brought up promptly by the friendly staff. No complaints at all.",February 2020,Really Rather Good,https://www.tripadvisor.com/Restaurant_Review-g186383-d2515228-Reviews-Really_Rather_Good-Bury_St_Edmunds_Suffolk_East_Anglia_England.html,"Bury St. Edmunds, United Kingdom",restaurants,5.0,4.5
