title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Best vacation ever👍🏻,"From the moment you arrive at the lobby you know that it will make a good experience for the attention of its staff, the hotel its facilities are very clean and the rooms are also very comfortable, in the buffet you can find a good variety of food and desserts and if they are served by Ivan and Adrian will see that they are very well trained to give the best service they can offer, in the Italian restaurant they can find very good food and a variety of wines to eat with them and if Rogelio attends them, say hello from me because he is an excellent waiter That people like him will not disappoint you. They make business a success . Here I share a few photos and I hope you enjoy your stay as I did.",March 2021,Grand Park Royal Cancun,https://www.tripadvisor.com/Hotel_Review-g150807-d154413-Reviews-Grand_Park_Royal_Cancun-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",hotels,5.0,4.5
Nice for a walk 👍🏻,Walk from my hotel to the Cancun Sign was very nice stop by xoxo buy a beer a keep walking through the Avenida and see the sunset omg,September 2020,Avenida Kukulkan,https://www.tripadvisor.com/Attraction_Review-g150807-d2536680-Reviews-Avenida_Kukulkan-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",attractions,4.0,4.5
Delicious Food 👍🏻,"We went to this restaurant in the heart of Cancun and the food was so delicious fresh and the ambient the guy with the margaritas in his head awesome,the mariachis singing all night I recommend this place for a good time and delicious food.",September 2020,Mextreme,https://www.tripadvisor.com/Restaurant_Review-g150807-d1506829-Reviews-Mextreme-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",restaurants,5.0,4.5
Beautifully Beach,We spend all day at Holbox island and the experience was so fun and the beach so clean we visit 3 island that day and all the expectation that we want was over the top I recommend this tour you never going to get bored .,September 2020,Holbox Island,https://www.tripadvisor.com/Attraction_Review-g616319-d14049683-Reviews-Holbox_Island-Holbox_Island_Yucatan_Peninsula.html,"Holbox Island, Mexico",attractions,5.0,4.5
Excelent service,For us the punctuality is the most important and this company for sure is I recommend this transportation clean cars good driver willing to help you good communicator.,September 2020,Canada Transfers,https://www.tripadvisor.com/Attraction_Review-g150807-d3909552-Reviews-Canada_Transfers-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",attractions,5.0,5.0
Window shopping,"For a nice walk between al de aisle and see store or buy something good bars nice aquarium,and security is strong",September 2020,La Isla Shopping Village,https://www.tripadvisor.com/Attraction_Review-g150807-d538158-Reviews-La_Isla_Shopping_Village-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",attractions,4.0,4.5
Nice Resort,"After read all review I decide to make reservation to this hotel and I can complaint the service was so good the food is yummy people always willing to help you,Pool warn and nice to swimming room clean and best Beth can you find in all Cancun.",September 2020,Hotel NYX Cancun,https://www.tripadvisor.com/Hotel_Review-g150807-d154403-Reviews-Hotel_NYX_Cancun-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",hotels,5.0,4.5
All about History,a spectacular site its ruins full of history a very pleasant place to walk and see everything there is a lot of information for the tourist that you can use as a guide,November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Good for the price,"Hotel is well located near bars and restaurants that you can find everything like Acropolis and other attractions, the hotel is clean, good breakfast and its employees are always attentive to always help.",November 2019,Philippos Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228893-Reviews-Philippos_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Awesome attraction,a unique attraction where you can travel part of the history of Ferrari and ride your main attraction reaching super fast speeds,November 2019,Ferrari World Abu Dhabi,https://www.tripadvisor.com/Attraction_Review-g294013-d1940985-Reviews-Ferrari_World_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,"Abu Dhabi, United Arab Emirates",attractions,5.0,4.0
Paradise,excellent resort with its turquoise water beaches its staff always well attentive and willing to help in all its buffet restaurants with its always fresh and good meals the pool area is awesome to hang out late night,November 2019,Kandima Maldives,https://www.tripadvisor.com/Hotel_Review-g3612500-d10717754-Reviews-Kandima_Maldives-Dhaalu_Atoll.html,Dhaalu Atoll,hotels,5.0,4.5
Best of AbuDhabi,One of the most beautiful places I have visited the mosque makes you feel peace inside. Its structure is to admire its marble corridors with its unique terminations make it super.,November 2019,Sheikh Zayed Grand Mosque Center,https://www.tripadvisor.com/Attraction_Review-g294013-d1492221-Reviews-Sheikh_Zayed_Grand_Mosque_Center-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,"Abu Dhabi, United Arab Emirates",attractions,5.0,5.0
Perfect Holidays!!,"Excellent Hotel good breakfast ,with the best location you can have in Dubai, the lobby staff always very attentive and willing to help in everything you need they give us the opportunity to check in early That’s a plus overall I recommend this hotel 100%",November 2019,TRYP by Wyndham Dubai,https://www.tripadvisor.com/Hotel_Review-g295424-d12525526-Reviews-TRYP_by_Wyndham_Dubai-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",hotels,5.0,4.5
Good to see,"Dubai fountains are the best I've seen anything compared to them, not Las Vegas are to nice to but not like Dubai one",November 2019,The Dubai Fountain,https://www.tripadvisor.com/Attraction_Review-g295424-d1936354-Reviews-The_Dubai_Fountain-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",attractions,5.0,4.5
