title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great flight,"We flew economy from Atlanta to Athens via Frankfurt and returned the same in reverse. The Airbus 340 seemed to be more comfortable than previous flights on a 767. Lufthansa does a great job with meals, snacks and drinks. We were able to see two new released movies during the flight and time seemed to fly. A great trip!",November 2019,Lufthansa,https://www.tripadvisor.com/Airline_Review-d8729113-Reviews-Lufthansa,World,flights,5.0,4.0
Mask of Agamemnon,"We visited on a Sunday when the entrance fee is waived. There were many fantastic sculptures and artifacts. We were impressed with the gold jewelry on display. The workmanship was incredible. The golden mask of Agamemnon on display was a reproduction, I believe. This was one of the best museums we visited while in Greece and should not be missed.",November 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Acropolis,We visited in early November. The weather was a pleasant 73 degrees but of course we packed for cooler temperatures. The site is quite large and there is a great deal of uneven and slippery marble underfoot so good walking shoes are a must. The Parthenon is incredible. This is an absolute MUST to visit when in Athens.,November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Stockholm to Atlanta Via Heathrow,"My third crossing with British Airways. All pretty much the same. Economy seating has NO AIR, cramped seating. We have always had seating on the side (3 abreast) so it wasn't as bad as center seating. The food was edible and the complimentary wine made things tolerable. I believe KLM does a better job but I have flown with them only once.",May 2019,British Airways,https://www.tripadvisor.com/Airline_Review-d8729039-Reviews-British-Airways,World,flights,3.0,3.5
The Hermatige General Staff Building,"This vast building features works of art from many of the true masters. We saw paintings by Monet, Renoir, Van Gogh, Matisse and Picasso just to name a few. There are also many other forms of are such as carvings, sculptures, etc.",May 2019,The State Hermitage Museum,https://www.tripadvisor.com/Attraction_Review-g298507-d300071-Reviews-The_State_Hermitage_Museum-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,5.0,4.5
A beautiful onion domed cathedral,"This is a magnificent cathedral with a vast amount of gold leaf inside. A truly breathtaking experience. This cathedral was built to honor the Emperor Alexander, as this site was where he was assonated,",May 2019,Church of the Savior on Spilled Blood,https://www.tripadvisor.com/Attraction_Review-g298507-d300133-Reviews-Church_of_the_Savior_on_Spilled_Blood-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,5.0,5.0
Beautiful Restored Fortress,This large complex was a base for the city garrison of troops. Political prisoners were also kept there in one of the buildings. The fortress has been well maintained and appears very much as it was when it was built.,May 2019,Peter and Paul Fortress,https://www.tripadvisor.com/Attraction_Review-g298507-d300830-Reviews-Peter_and_Paul_Fortress-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,5.0,4.5
Da Vinci (Genius!),"The Da Vinci museum was a true learning experience for us. We had no idea that he had so many different inventions! There are many (copies) of his original inventions e.g. aircraft, helicopters, industrial machines, optical instruments, weapons of war, underwater breathing equipment, astronomical instruments, etc. A must for all ages.",December 2018,Museo Leonardo da Vinci - Piazza del Popolo,https://www.tripadvisor.com/Attraction_Review-g187791-d2561921-Reviews-Museo_Leonardo_da_Vinci_Piazza_del_Popolo-Rome_Lazio.html,"Rome, Italy",attractions,5.0,3.5
Baptistry,The water for the baptistry drops from a hole in the ceiling (rainwater) thought to be good because of its purity. The acoustics are remarkable!,December 2018,Battistero di San Giovanni,https://www.tripadvisor.com/Attraction_Review-g187899-d243043-Reviews-Battistero_di_San_Giovanni-Pisa_Province_of_Pisa_Tuscany.html,"Pisa, Italy",attractions,5.0,4.5
The Square of Miracles,"We visited the Piazza Dei Miracolo as part of a Viking Ocean cruise in December 2018. Within these walls you have the Leaning Tower of Pisa, the Baptistry and the Pisa Cathedral. The Baptistry is beautiful! An employee there with a deep voice sang a few lines from a hymn to show the acoustics...impressive! The tower is STILL leaning but we were not allowed to go up the stairs. The Cathedral is breathtakingly beautiful.",December 2018,Piazza dei Miracoli,https://www.tripadvisor.com/Attraction_Review-g187899-d2210804-Reviews-Piazza_dei_Miracoli-Pisa_Province_of_Pisa_Tuscany.html,"Pisa, Italy",attractions,5.0,4.5
