title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great food great view,Really high quality food for reasonable prices. This is a must visit if you go to Lisbon. The scallops were great!,May 2019,Atira-te ao Rio,https://www.tripadvisor.com/Restaurant_Review-g189158-d697214-Reviews-Atira_te_ao_Rio-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",restaurants,5.0,4.5
Stunning quiet beach,We spent 2 weeks in the Greek islands and this was the best beach experience we had. Quiet beach warm clear water and plenty of loungers. Don’t go later than early October though as it is the very end of season,October 2019,Kini Beach,https://www.tripadvisor.com/Attraction_Review-g1925453-d8537570-Reviews-Kini_Beach-Kini_Syros_Cyclades_South_Aegean.html,"Syros, Greece",attractions,5.0,4.5
Probably the best hotel I've ever stayed in,"We stayed at this hotel shortly after it opened and it was amazing. The hotel used to be a palace and many of the original features have been kept. The inside of the hotel has been completed to the highest standard, the bed was very comfortable and the room was decorated very tastefully. Only problem was the downstairs bar was really quiet which made it feel a little strange.",May 2019,The One Palacio da Anunciada,https://www.tripadvisor.com/Hotel_Review-g189158-d15133217-Reviews-The_One_Palacio_da_Anunciada-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",hotels,5.0,4.5
Overrated bar,"We went to this bar with high expectations but were disappointed by the food and drink. The burger was very dry and, food and drinks were both expensive and the service was slow",October 2019,Mammo Wine And Food Bar,https://www.tripadvisor.com/Restaurant_Review-g189435-d3461223-Reviews-Mammo_Wine_And_Food_Bar-Syros_Cyclades_South_Aegean.html,"Syros, Greece",restaurants,3.0,4.0
Best coffee shop in Athens,"We had a really good coffee, cake and sandwich on a hot day before we visited the acropolis. The shade was much needed and the service was really friendly.",October 2019,Little Tree Books & Coffee,https://www.tripadvisor.com/Restaurant_Review-g189400-d10868423-Reviews-Little_Tree_Books_Coffee-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Lots of better places locally,"Overall disappointing meal, the food was cheap but the quality of what we were served was disappointing. The moussaka, in particular, was not good and was served lukewarm with a white sauce on top with a jelly consistency. warm",October 2019,Stin Ithaki tou Ai,https://www.tripadvisor.com/Restaurant_Review-g616163-d4881530-Reviews-Stin_Ithaki_tou_Ai-Hermoupolis_Syros_Cyclades_South_Aegean.html,"Syros, Greece",restaurants,2.0,4.5
Nice Italian,"Good Italian food, the chicken dish was particularly nice. The service was excellent with a friendly waitress. The main downside was the number of cats around the outside tables.",October 2019,Ousyra Restaurant,https://www.tripadvisor.com/Restaurant_Review-g616163-d12347584-Reviews-Ousyra_Restaurant-Hermoupolis_Syros_Cyclades_South_Aegean.html,"Syros, Greece",restaurants,4.0,4.5
Beautiful room with a great view,Hotel was a 10min walk from the town centre and really handy for the ferry port. The room we had was on the first floor with a balcony overlooking the sea. The room itself had a 4 poster bed and an ornate high ceiling. The only thing that could have been better were the breakfasts although these were served on a great terrace overlooking the sea,October 2019,Syrou Melathron hotel,https://www.tripadvisor.com/Hotel_Review-g616163-d259732-Reviews-Syrou_Melathron_hotel-Hermoupolis_Syros_Cyclades_South_Aegean.html,"Syros, Greece",hotels,5.0,4.0
Must see in Athens,Best to do early in the morning as there is a lot of walking to do but if you're going to Athens you can't miss it,September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Great view from the rooftop,"Everything about the stay was excellent, easy to get to the hotel on public transport with the nearest station about 2 minutes away. The room was large, clean and well equipped with a coffee machine. The highlight of was the view from the rooftop bar which is one of the best in Athens with sunset views of the Parthenon and a really nice pool.",September 2019,Wyndham Grand Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d10961869-Reviews-Wyndham_Grand_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
