title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
By the Water Front,This place was by the waterfront where there is a statue and a small Chapel nearby. Great place to take a stroll and people watch.,January 2020,Parque Los Fundadores,https://www.tripadvisor.com/Attraction_Review-g150812-d8046438-Reviews-Parque_Los_Fundadores-Playa_del_Carmen_Yucatan_Peninsula.html,"Playa del Carmen, Mexico",attractions,4.0,4.0
The Shopping Street,"This is a long stretch of street and where you can find lots of cafes, restaurants, souvenir shops. A must visit when in town.",January 2020,Quinta Avenida,https://www.tripadvisor.com/Attraction_Review-g150812-d3320138-Reviews-Quinta_Avenida-Playa_del_Carmen_Yucatan_Peninsula.html,"Playa del Carmen, Mexico",attractions,5.0,4.0
Infested by Iguanas,"This is a pretty beautiful site as it is located by the sea. Other than the ruins, the key attractions are the blue waters as well as the many iguanas onsite. This was a very popular site and hence very touristy but pretty nice place to stroll around.",January 2020,Tulum Archaeological Site,https://www.tripadvisor.com/Attraction_Review-g150813-d153186-Reviews-Tulum_Archaeological_Site-Tulum_Yucatan_Peninsula.html,"Tulum, Mexico",attractions,4.0,4.5
Close Encounter with the Sharks,This was an excellent place for snorkeling as the sharks are really close by. There were also lots of other marine life.,January 2020,Hol Chan Marine Reserve,https://www.tripadvisor.com/Attraction_Review-g291962-d300164-Reviews-Hol_Chan_Marine_Reserve-San_Pedro_Ambergris_Caye_Belize_Cayes.html,"Ambergris Caye, Belize",attractions,5.0,4.5
Beautiful but very Touristy,This is a beautiful island and is a definite must visit when in Belize which was probably why it was so touristy.,January 2020,The Split,https://www.tripadvisor.com/Attraction_Review-g291963-d7382003-Reviews-The_Split-Caye_Caulker_Belize_Cayes.html,"Caye Caulker, Belize",attractions,5.0,4.0
Lovely Place,"Stayed here for a couple of nights and loved walking along the beach. From here, you can take a flight over the blue hole, go boating, swimming and snorkeling or simply just relax and enjoy the some fresh seafood.",January 2020,Caye Caulker,https://www.tripadvisor.com/Attraction_Review-g291963-d2385006-Reviews-Caye_Caulker-Caye_Caulker_Belize_Cayes.html,"Caye Caulker, Belize",attractions,5.0,4.5
Not too difficult to hike,This was just one of the cascading pools in the park and a great place to take a dip and have a bit of thrill while at it.,January 2020,Cascada de Roberto Barrios,https://www.tripadvisor.com/Attraction_Review-g249851-d3263589-Reviews-Cascada_de_Roberto_Barrios-Palenque_Southern_Mexico.html,"Palenque, Mexico",attractions,5.0,4.5
Amazing Mayan Ruins,Enjoyed the visit to this Mayan site which was somewhat different from Chichen Itza. There's more opportunities to climb up the ruins here. Also saw some howler monkeys up in the trees. Best to visit early in the morning to avoid the crowd and the heat.,January 2020,Zona Arqueologica de Palenque,https://www.tripadvisor.com/Attraction_Review-g249851-d4074608-Reviews-Zona_Arqueologica_de_Palenque-Palenque_Southern_Mexico.html,"Palenque, Mexico",attractions,5.0,5.0
A Must Visit,Visited this site from Cancun which was approx. 3 hours' drive away. This is definitely one of the key sites in the country and a must visit. Learnt a lot about the past civilization as well as the kind of games they used to play. Was pretty crowded and hot. Needed a hat to shield from the strong sun.,January 2020,Chichen Itza,https://www.tripadvisor.com/Attraction_Review-g150808-d153407-Reviews-Chichen_Itza-Chichen_Itza_Yucatan_Peninsula.html,"Chichen Itza, Mexico",attractions,5.0,4.5
Where the Sound of Music Wedding was Held,Came here as part of the Sound of Music tour. This is a pretty small church and not as elaborate as Salzburg Cathedral but is the film location of the movie where the wedding was held.,January 2020,Basilika St. Michael,https://www.tripadvisor.com/Attraction_Review-g608656-d1758215-Reviews-Basilika_St_Michael-Mondsee_Upper_Austria.html,"Mondsee, Austria",attractions,4.0,4.5
