title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Bland Gyro Plate,"We visited the Olympia Ancient Ruins and the Olympia Museum on 2/27/2020. In early afternoon, the rains came. Many tourists had the same idea to get out of the rain by having lunch. Ambrosia Garden restaurant seems to be the closest eatery. With others going in, we followed. The restaurant was filling up quickly. We got a cramp table upstair in the loft area. We chose their gyro lunch plate special for around 10 euros each along with ten ounce Fanta soda & Sprite soda bottles for around 2.5 euros each. Gyro meat was laid on top of a bed of potato fried with a flat pita bread underneath both. Meat was on the dry side and the sauce bland. The side salad was nothing to rave about either. We were expecting tastier Greek food when eating in Greece. Service was hurried as if they want you to leave ASAP.",February 2020,Ambrosia,https://www.tripadvisor.com/Restaurant_Review-g1588218-d13336603-Reviews-Ambrosia-Amaliada_Elis_Region_West_Greece.html,"Amaliada, Greece",restaurants,2.0,4.0
The Gates of Hercules in Ephesus,We visited the Ephesus ruins on 3/6/2020. On the pedestrian street is the Gates of Hercules. Reliefs of Hercules are carved on them on one side. The back side of the gate have not been found yet. Supposedly eighty percentage of the Ephesus ruins are still buried. The relief shows the strength of Hercules God thrusting his hand into the lion’s head. Amazing these are still standing for almost 2000 years.,March 2020,Heracles Gate,https://www.tripadvisor.com/Attraction_Review-g293976-d295959-Reviews-Heracles_Gate-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html,"Selcuk, Turkey",attractions,4.0,4.5
The Temple of Hadrian in Ephesus,We visited the Ephesus ruins on 3/6/2020. One of the must stop on the main street is the Temple of Hadrian. This beautiful structure is well preserved and still has many of the original exquisite vine leaves and human figurines carvings on facades. The Medusa ornament is over the center arch. The inscriptions on the side columns in from of the temple remains empty as the original statues on them have not been found yet. Supposedly eighty percentage of the Ephesus ruins are still buried.,March 2020,Temple of Hadrian,https://www.tripadvisor.com/Attraction_Review-g293976-d294510-Reviews-Temple_of_Hadrian-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html,"Selcuk, Turkey",attractions,5.0,4.5
"Ancient City of Ephesus, Turkey","We were extraordinarily delighted to have an opportunity to enjoy this site on 3/6/2020 before Covid-19 virus exploded worldwide and foreign tourism halted. A spectacular classical Greek ancient ruin city, only discovered in the mid 1800’s, is being excavated, preserved and restored even now. Over the eons, the city has been attacked, conquered and rebuilt by Romans. There was so much to see that you need a day there. Much of the ruins, estimated 80%, are still buried. Most impressive was the famed Library of Celsus built in 123 AD. Also don’t miss the amphitheater where St. Paul preached, the gates of Hercules and the stone relief of victory goddess Nike which inspired the Nike swoosh. Uncovered were paved streets, houses, plumbing, courtyards, baths and not to be missed “communal toilets.”",March 2020,Ancient City of Ephesus,https://www.tripadvisor.com/Attraction_Review-g293976-d548950-Reviews-Ancient_City_of_Ephesus-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html,"Selcuk, Turkey",attractions,5.0,5.0
Panathenaic Stadium,"This stadium has been rebuilt over existing stadium several times and is the only one built with marble. This was used as an Olympic venue in 2004 and also for the Olympic flame handover ceremony. Just a quick look is all you need here, not much more.",March 2020,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Old Medieval City of Rhodes,"We were very fortunate to have an opportunity to enjoy this medieval city on 3/5/2020 before Covid-19 virus contagion exploded worldwide and foreign tourism got shut down. We participated in a 30 minute walking tour and this wall city. The Guns of Navarone was filmed here. There are 219 streets inside. The streets are narrow and prevent those on the street from seeing the sun. So in ancient time, when invaders came, they get disorientated as to North-South-East-West. Also the street are lined with small cobble stones which prevent invaders using horses. Horses loose tractions on these cobble stones surface. Today, you have to be very careful because cars and motorcycles whizz through these narrow streets as this is still a working town. We saw the Castles of the Grandmaster, headquarter for the Knights of St. Johns, and the Great Hospital.",March 2020,Medieval City,https://www.tripadvisor.com/Attraction_Review-g635613-d254498-Reviews-Medieval_City-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,4.0,4.5
Acropolis of Lindos on the Island of Rhodes,"We were immensely fortunate to have an opportunity to explore this acropolis on 3/5/2020 before Covid-19 virus contagion exploded worldwide and foreign tourism halted. The massive temple area can be reach by foot after a steady steep climb to the top. On the way up, you have magnificent views of the Lindos town below with all the white color houses. This acropolis was built around 300 - 500 BC and is the second most visited Greece archeological site to the one in Delphi. It contains ruins from different cultures who built upon it over the millennia. You can see the ancient war ship that is carved into the rocks. When at the top, you'll see a spectacular view of the Bay of St. Paul and the turquoise Mediterranean.",March 2020,Acropolis of Lindos,https://www.tripadvisor.com/Attraction_Review-g227884-d621960-Reviews-Acropolis_of_Lindos-Lindos_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,5.0,4.5
Limassol Castle,"We were hugely fortunate to have an opportunity to see this castle on 3/4/2020 before Covid-19 virus contagion exploded worldwide and foreign tourism shut down. Castle was rebuilt on top of another with the walls strengthen to resist invaders. Also legend has that Richard the Lionheart on way to the Holy Land crowned his wife to be the Queen of England here. There were exhibits of Medieval potteries, tombstones and cannons. There was a neat display of an olive oil press on the castle grounds.",March 2020,Limassol Castle,https://www.tripadvisor.com/Attraction_Review-g190382-d527729-Reviews-Limassol_Castle-Limassol_City_Limassol.html,"Limassol City, Cyprus",attractions,3.0,4.0
"Ancient Theatre of Kourion, Limassol, Cyprus","We were extremely fortuitous to have an opportunity to enjoy this ruins on 3/4/2020 before Covid-19 virus contagion exploded worldwide and foreign tourism shut down. We were able to visit ancient ruins in the hills of Kourion which were believe to be around 1000 BC, though there were evidence of humans inhabitants were there way back to 5000 BC. Our first stop was the complex of Eustolios where we saw rooms and courtyard of a bath establishment. We can still see mosaic murals on the floors. Then we proceeded over to the Kourion amphitheater which overlooked the Mediterranean. It is an impressive structure where gladiators once fought. It has been repaired somewhat over the millennia. There is a divot mark on the amphitheater floor where if you stand there, the acoustics are perfect. Just say something and your voice will echo throughout the entire amphitheater. Be sure to try this during your visit.",March 2020,Kourion,https://www.tripadvisor.com/Attraction_Review-g190382-d527735-Reviews-Kourion-Limassol_City_Limassol.html,"Limassol City, Cyprus",attractions,3.0,4.5
"Kolossi Castle, Cyprus",We were highly lucky to have an opportunity to see this on 3/4/2020 before Covid-19 virus contagion exploded worldwide and foreign tourism shut down. This castle is not one of architectural beauty but rather one designed for war. The structure offered excellent sight-line to detect oncoming enemies. Protectors can pour hot oil from the top onto perpetrators assaulting the entryway below. The crusading King of England. Richard the Lionheart married his fiancee at Kolossi Castle who later became the Queen of England.,March 2020,Kolossi Castle,https://www.tripadvisor.com/Attraction_Review-g190382-d313647-Reviews-Kolossi_Castle-Limassol_City_Limassol.html,"Limassol City, Cyprus",attractions,3.0,4.0
