title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Great Wines, Amazing People","An amazing experience, great wines, the local red varieties are exposed perfectly and it’s a great way to get familiar with them. The whole Villa Melnik Family is amazing, the wine tours and tastings are something You should not miss if in the Melnik Region.",February 2020,Villa Melnik Winery,https://www.tripadvisor.com/Attraction_Review-g3463609-d3460062-Reviews-Villa_Melnik_Winery-Harsovo_Blagoevgrad_Province.html,"Harsovo, Bulgaria",attractions,5.0,5.0
Best wine bar in town.,"One of the bestest places in Sofia. The best wine bar for sure, more than 300 wines?!? Wow, this is truly amazing.
You wonder where to brunch on Saturdays? This is your place! Croque monsieur/ Croque Madame, just exceptional!",February 2020,Grape Central,https://www.tripadvisor.com/Restaurant_Review-g294452-d5552678-Reviews-Grape_Central-Sofia_Sofia_Region.html,"Sofia, Bulgaria",restaurants,5.0,4.5
Unglaublich!,"Amazing place!
Happy that we were able to visit, every now and then we wish to be taken back to this amazing place. We had a blast!",February 2019,Bateau Ivre,https://www.tripadvisor.com/Restaurant_Review-g187323-d795410-Reviews-Bateau_Ivre-Berlin.html,"Berlin, Germany",restaurants,5.0,4.0
The Martian 👌🏻,"Excellent service provided by Reni
I had the Martian, which was actually really, really good.
Always great food.
Damn, I forgot to take a picture.",January 2020,SKAPTO-ISKAR 11A,https://www.tripadvisor.com/Restaurant_Review-g294452-d5859517-Reviews-SKAPTO_ISKAR_11A-Sofia_Sofia_Region.html,"Sofia, Bulgaria",restaurants,5.0,4.5
"Amazing AvoChicken Burger, Awful service","We visited the place with a friend, a lot of hype in here.
The avoburger with chicken was amazing. The avoiolli was disappointing.
The person who was serving was above rude and we were friendly if I could say anything.
Really upsetting.
Interior is also nice.",October 2019,AvoJoy,https://www.tripadvisor.com/Restaurant_Review-g294452-d14971106-Reviews-AvoJoy-Sofia_Sofia_Region.html,"Sofia, Bulgaria",restaurants,3.0,4.5
"Very good place interiorly-wize. Good food, a bit pricey.","Visited the place twice already. I think that there was a price rise in between the visits.
It’s tasty, but not amazingly good. Will probably visit again.",October 2019,Cafe1920,https://www.tripadvisor.com/Restaurant_Review-g294452-d18454656-Reviews-Cafe1920-Sofia_Sofia_Region.html,"Sofia, Bulgaria",restaurants,4.0,4.5
"Simply amazing, a must see","What can you say about the Acropolis? Greatness and majesty. No need of explanations.
20 € is a bit high, a water might come with it. :)",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Just Amazing Food, gyros and service","We randomly selected the place after a quick beach visit. The portions were huge, the fried zucchini amazing, the compliment and the service really good.",October 2019,Laos kai Kalamaki,https://www.tripadvisor.com/Restaurant_Review-g562630-d7626181-Reviews-Laos_kai_Kalamaki-Glyfada_Attica.html,"Glyfada, Greece",restaurants,5.0,4.0
Spontaneous Dinner,"After a long tourist day we decided to have something close to the place where we stayed.
The chosen restaurant was To Mavro Provato which was 5 minutes away. We needed to wait 20 minutes for a table at around 22:00 which was a sign that the place was good.
We waited and it was totally worth it. The food and service were amazing. We totally forgot to take pictures of our food ;)",October 2019,Mavro Provato,https://www.tripadvisor.com/Restaurant_Review-g189400-d3397800-Reviews-Mavro_Provato-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Amazing Food,"Great everything, literally, amazing eggs, amazing club sandwich, amazing pancakes, wine, cocktails and service. It was a blast.",October 2019,Harvest Coffee & Wine,https://www.tripadvisor.com/Restaurant_Review-g189400-d3935972-Reviews-Harvest_Coffee_Wine-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Backpack drinks before leaving Athens,"We really wanted to visit the place while in Athens, however couldn’t make it until our last day. We had an argument of entering the place because of the backpacks and everything.

We entered and we were stoked. Amazing place amazing drinks and interior. The staff is a bit cold but it suits this perfect place.",October 2019,The Clumsies,https://www.tripadvisor.com/Attraction_Review-g189400-d8020407-Reviews-The_Clumsies-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Random dinner on our first day in Athens,"We randomly found the place, while walking around and searching something for a dinner.
Decided to give Mories a chance and we loved it.
Great fried zucchini, nice staff, awesome feta.
Recommend.",October 2019,Mouries,https://www.tripadvisor.com/Restaurant_Review-g189400-d7082782-Reviews-Mouries-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
"Amazing place for breakfast, lunch or a random eat. Καταπληκτικός!","Just amazing, σας ευχαριστώ πολύ. We will come back for sure!
The hot sandwiches were exceptional and the oven baked Feta as well. Everything was tremendous!",October 2019,Kostarelos Dairy,https://www.tripadvisor.com/Restaurant_Review-g189400-d10158005-Reviews-Kostarelos_Dairy-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
