title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Main objective to see in Athens,"Great archaeological site to visit. If there can be only one objective you see in Athens, this should be it.

Be prepared with water, sun screen and clothing that protects you against the sun. And go in the morning - first entrance is at 8 AM. We visited this in September and it was scorching hot on the plateau.

If you cannot, be prepared for huge crowds up on the Acropolis as there are several bottlenecks that are typically very crowded.

Enjoy the site once you get there!",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Chill atmosphere with not too many tourists,"Place is nice and big, lots of tables and also a terrace, good for warm spring and summer evenings. Plenty of menu options especially Chinese food. Staff is usually friendly and service is fast.",March 2019,The Open,https://www.tripadvisor.com/Restaurant_Review-g188644-d1949696-Reviews-The_Open-Brussels.html,"Brussels, Belgium",restaurants,3.0,3.5
Regular stop for locals,"This is usually a weekly visit for myself and my partner as it is one of the better restaurants in the neighborhood. Plenty of food options depending on what you prefer - cooked food, small bites like cheese, olives, onion rings, fries etc. I particularly enjoy the cordon bleu and the burgers are not bad either. Plenty of beers to choose from as well.

There was a recent change in staff (and probably ownership) and have not yet got accustomed with the new staff, but will get there.

Recommended if you are in the Merode area and you are looking for a quiet, not full of tourists place to eat or drink.",April 2019,Brasserie Le Coach,https://www.tripadvisor.com/Restaurant_Review-g188644-d1917306-Reviews-Brasserie_Le_Coach-Brussels.html,"Brussels, Belgium",restaurants,4.0,3.5
Nice trendy cafe with friendly staff,"A nice stop if walking around the Montmartre area and you venture downhill on the other side. Good coffee, nice staff and a nice location. Have not tried any of the food/brunch options but from what we saw they looked great.",April 2019,All Good Things,https://www.tripadvisor.com/Restaurant_Review-g187147-d15690962-Reviews-All_Good_Things-Paris_Ile_de_France.html,"Paris, France",restaurants,4.0,4.5
Do not miss the artist alleys around,"The artist alleys around the Montmartre area are the real attraction in my opinion. Full of painters and sketch artists, small art shops and souvenir shops the atmosphere is really vibrant and nice. Pay attention that the narrow streets are not pedestrian only and you will see cars driving past every now and then.",April 2019,Basilique du Sacre-Coeur de Montmartre,https://www.tripadvisor.com/Attraction_Review-g187147-d190685-Reviews-Basilique_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html,"Paris, France",attractions,3.0,4.5
Not there for the Mona Lisa,"Although not an art fan I enjoyed the setup of the museum and found a few art pieces that I really liked (to name a couple: the Lady of the Revolution or the Victory sculpture right at the top of the monumental stairs leading into the Italian paintings area). The highlight of the trip for me was the Egyptian part of the museum which even though I felt it was less imposing than the British Museum it was still a great gallery.

We entered through the Pyramid with a fixed hour ticket (9 AM). The waiting time was around 30 mins but the queue behind was significantly longer. My suggestion if possible is to go there at the opening time.

As you go past the Mona Lisa room there is a coffee corner if you want to stop and rest a bit - the quiche there is amazing and the coffee is good too. Highly recommended especially since there are not that many other break opportunities (other than sofas around the museum).",April 2019,Louvre Museum,https://www.tripadvisor.com/Attraction_Review-g187147-d188757-Reviews-Louvre_Museum-Paris_Ile_de_France.html,"Paris, France",attractions,4.0,4.5
Feeling ripped off after watching movie in theater 13,"Theater 13 is one of the worst modern movie theaters I've been in. The theater is extremely small (around 70 people) and a screen to match. That is definitely not the screen size you would expect in a modern theater (maybe 1/3 of the normal movie screens). The placement of the screen and the poor chairs which are much too low to the ground but with a normal back angle (instead of a steeper angle allowing you to sink in) gave me a back and neck pain and it was the same for my girlfriend.

I felt ripped off! That is definitely not worth 11 EUR. Beware as this is not advertised at all so people do not know what to expect. Avoid at all costs screenings in theater 13 if you want to enjoy a modern movie experience!",November 2018,UGC Toison d'Or Cinema,https://www.tripadvisor.com/Attraction_Review-g188644-d7272177-Reviews-UGC_Toison_d_Or_Cinema-Brussels.html,"Brussels, Belgium",attractions,2.0,2.5
Tasty & fun,"This is a chocolate workshop, as described in the title. What you should expect is to play with chocolate, learn how to make pralines from it and then make them yourself. The instructions are straight-forward and easy to follow even if you aren't particularly skilled in the kitchen.

Our instructors and hosts were Catalina and Teach (probably ruined his name) and they were very helpful and friendly.

Towards the end of the experience, part of the leftover chocolate will be used to make a bit of hot chocolate which is extremely tasty. Other than that bring some water and be prepared to stand up for the whole duration - in the end it's a workshop not a cafe/restaurant :).",October 2018,Belgian Chocolate Workshop,https://www.tripadvisor.com/Attraction_Review-g188644-d11639442-Reviews-Belgian_Chocolate_Workshop-Brussels.html,"Brussels, Belgium",attractions,4.0,4.5
Unexpectedly amazing food,"Decided to drop by this restaurant while on a day trip to Mechelen. It was never planned but we happened to be in the area while starving and the smell drew us in.

The restaurant is on the premises of the brewery and it serves all of the beers (Gouden Carolus) and the whiskies. Yes, the beer brewery is also a whiskey distillery.

I had tasted the whiskey before and I now wanted to try the beer. As a fan of dark beer I was not disappointed by the Gouden Carolus Classic. A strong beer (8% if I remember correctly) with a very nice taste and a smooth finish. Looking forward to trying it again in the future but I definitely see this as climbing in the top three of Belgian beers. I also tried Ambrio (their amber beer) but that was not as good.

For food I decided on the pork ribs and although I am not a connoisseur I had my fair share of ribs in the past 5 years. These beat all the standards I had in my mind. First and foremost the plate was huge - containing 2 large pork ribs and a coleslaw salad. The ribs had a good mixture of meat and fat and they literally melted in your mouth. As a side I ordered some fries which were tasty as well - but in the end fries are fries.

The staff was nice and friendly and most, if not all, spoke English so that was a plus.

Extremely glad to have found this place and I will for sure visit again whenever I have a craving for pork ribs or willing to try some other quality food.",June 2018,Het Anker,https://www.tripadvisor.com/Restaurant_Review-g188637-d740515-Reviews-Het_Anker-Mechelen_Antwerp_Province.html,"Mechelen, Belgium",restaurants,5.0,4.0
Steampunk atmosphere,"Great setting in the Old City centre of Bucharest. The theme of this restaurant is based on Jules Verne's novels and it definitely stands out among other bistros. Nice and laid back atmosphere with some very tasty food options make it a great place to meet friends and spend some quality time. Also, the beer, it is one of the few places in Bucharest where I found Grimbergen Amber - very tasty Belgian beer.",December 2017,Joben Bistro,https://www.tripadvisor.com/Restaurant_Review-g294458-d12881026-Reviews-Joben_Bistro-Bucharest.html,"Bucharest, Romania",restaurants,5.0,4.0
