title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Went on a Harry Potter tour it ended here wonderful stop,I loved seeing a store at Kings landing tube stop backed go early in the morning so your not outside waiting to get in.,November 2019,Platform 9 3/4,https://www.tripadvisor.com/Attraction_Review-g186338-d2350633-Reviews-Platform_9_3_4-London_England.html,"London, United Kingdom",attractions,4.0,3.5
friendly employee's beautiful sculptures,"I absolutely glad I did this I have wondered what an ice bar looks like, and it had wonderful sculptures it was beautiful and the girls there super duper friendly.",May 2020,Magic Ice Bar Tromsø,https://www.tripadvisor.com/Attraction_Review-g190475-d14149252-Reviews-Magic_Ice_Bar_Tromso-Tromso_Troms_Northern_Norway.html,"Tromso, Norway",attractions,4.0,4.5
loved going hands on science museum with a show of the northern lights,I totally enjoy places like this I am a child at heart and I came here to see the northern lights so I had to see the show.,November 2019,Northern Norwegian Science Center,https://www.tripadvisor.com/Attraction_Review-g190475-d3518639-Reviews-Northern_Norwegian_Science_Center-Tromso_Troms_Northern_Norway.html,"Tromso, Norway",attractions,4.0,4.5
small and homey,"I enjoyed walking through the museum but I am a museum person, if you expect something big grand you will be disappointed I wasn't.",November 2019,The Polar Museum,https://www.tripadvisor.com/Attraction_Review-g190475-d297203-Reviews-The_Polar_Museum-Tromso_Troms_Northern_Norway.html,"Tromso, Norway",attractions,4.0,4.0
I didn't go inside but beautiful on the outside,"Many people outside of this establishment, it was to expensive to me to go inside and eat a meal but we loved the movie so we had to go at least see it from outside.",October 2019,Moulin Rouge,https://www.tripadvisor.com/Attraction_Review-g187147-d189283-Reviews-Moulin_Rouge-Paris_Ile_de_France.html,"Paris, France",attractions,3.0,4.0
so blessed to have seen this in real life,"I am telling you if you out of shape like me it isn't the easiest climb but the 80 year old lady I saw climbing embarrassed me to the top!!!! I can imagine how amazing this once was, high on a hill overseeing their city.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
So close to the wolves you could touch them,I am crazy about wolves so this was perfect for me. I think they should have a way to get up and down the hills though if your older like I am it was a trek.,November 2019,Polar Park,https://www.tripadvisor.com/Attraction_Review-g2416521-d2622319-Reviews-Polar_Park-Bardu_Municipality_Troms_Northern_Norway.html,"Bardu Municipality, Norway",attractions,4.0,4.0
Gorgeous place due to delayed transport I missed my tour time and was told too bad by female staff,It was awful for me because I was late for my tour and their was NO flexibility. The hill was tough to climb and the horses were very slow. I waited in line over an hour for horse thinking it was plenty of time it was night. It was the saddest part of my trip as I went very far out of my way to get here and at great expense. It was the number 1 thing I was looking forward too. I met a tour guide who I hoped would just let me join her she said late too bad.,February 2019,Neuschwanstein Castle Skip-the-line Ticket,https://www.tripadvisor.com/AttractionProductReview-g198564-d11462652-Neuschwanstein_Castle_Skip_the_line_Ticket-Schwangau_Upper_Bavaria_Bavaria.html,"Schwangau, Germany",activities,1.0,4.0
We went to see Alladin paid 400.00 for 4 seats in the nose bleeds still worth it!,I wanted to make sure this visit that I went to a play I wanted to see I had 2 of my grandchildren with me 13 and 9. We chose Alladin because it was a 50.00 a person cheaper but we all totally loved it. My granddaughter is interested in acting so I thought what a way to experience it. Great choice. Loved the Genie and Jafars sidekick. The flying carpet scene was heavenly.,June 2017,Broadway,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,"New York City, New York",attractions,5.0,4.5
We took an electric bike ride/a person was guiding us it was 50.00 for 45.00 mins,"I am so happy we did this as central park is a huge place and we had already been walking so much I was happy to pay for a break and some direction. Only sad thing for me is I didn't see alice in wonderland and didn't get to drive the sailboats :( The guides were from Tajikistan working their ways through college and were wonderful, I wish I remembered their names I am horrible but it was totally worth it. We were 4 each had 2 and it was a total of 100.00",June 2017,Central Park,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,"New York City, New York",attractions,5.0,4.5
Granddaughter the pizza connoisseur had to have the best and I was told this was it.,"We had to find the best pizza join in Manhattan to make my granddaughter happy she is 13. We had a couple of other pizza's all to horrible reviews, this place made the whole family happy. They are friendly and the same price as every other pizza place 22.00 for a large cheese.",June 2017,Joe's Pizza - Carmine St,https://www.tripadvisor.com/Restaurant_Review-g60763-d457157-Reviews-Joe_s_Pizza_Carmine_St-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
Friendly workers crappy tour,"I have to tell you they are friendly and nice. However they have a terrible route, they drop you off far from the attractions, the gps recording doesn't give enough information was very disappointing. Also they had many attractions missing from their tour. The map showing attractions was no where near as detailed as other hop on off tours I have been on in the past. Pick Grayline or Bigbus. Oh and for rain or heat no roof, we roasted like chickens.",June 2017,TopView Sightseeing,https://www.tripadvisor.com/Attraction_Review-g60763-d3533829-Reviews-TopView_Sightseeing-New_York_City_New_York.html,"New York City, New York",attractions,1.0,3.0
We went to the Met for the Mummies and art 9 and 13 year olds with us,I think we all totally enjoyed the museums I wasn't sure I was going to come here until I was at the Natural Museum and they wanted 100.00 for 4 of us to see their Mummy exhibit. I knew the Met had its own and its pay as you wish. I wished 4.00. And we got to see master's art and the Mummies to make my grandson happy. Wish I had more time in it gorgeous place,June 2017,The Metropolitan Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,"New York City, New York",attractions,5.0,5.0
