title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The Dino beach,"As you all know this is the famous, most Instagram-ed icon of Bali and Indonesia... the beach that looks like a dinosaur head. Though we didn't get the chance to trek down to the beach itself the view from above was just mind-blowing.
One of the most beautiful places in Bali, this beach is still to be developed as most roads are bad and the trail down is dangerous, but still its beauty is unmatched. A must visit stop in Bali!",March 2019,Kelingking Beach,https://www.tripadvisor.com/Attraction_Review-g2538506-d12396108-Reviews-Kelingking_Beach-Nusa_Penida_Bali.html,"Nusa Penida, Indonesia",attractions,5.0,4.5
One of the most beautiful sites in the world!,"I'd heard a lot about the acropolis and was always on my list of places to visit and last year we finally made it there. what a majestic structure, as we walked up the stairs towards the main gate the imposing greek columns just makes you stare in disbelief.

We walked up to the main temple premises and spent more than an hour walking across the complex and taking in the magnificent view of Athens from the top. There were a lot of tourists and the environment was so nice. We enjoyed every moment of it. The temple and its history was amazing and the still standing columns just makes one wonder about the might of the ancient Greeks!",June 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
The best beaches I have ever been to,"This is a fantastic beach. The sand is so fine it just slips through your fingers and pulls you in. The waves are mild and the water is crystal clear. One can see right through to the sea bed and the fishes swimming around.
The beach is relatively small, may be less than a km in length but the view is just amazing. We reached there when it was raining and in an hour there was clear sunlight and the beach just lights up, the white sand and the blue sea with the rocks at the end and the hills behind is a sight not to miss. The crown is global and the shack on the beach serves good food.

A must visit at Seychelles!",October 2017,Anse Lazio,https://www.tripadvisor.com/Attraction_Review-g297799-d472367-Reviews-Anse_Lazio-Praslin_Island.html,"Praslin Island, Seychelles",attractions,5.0,4.5
A very nice stay with a great view,"We came for our honeymoon and stayed for four nights. The best part of the resort is the view, we had the front seat view of the sunrise on the Indian Ocean straight from the bed. The second best thing was the bathroom, huge, spacious and just loved the shower. The room is quite spacious with a huge balcony where we had a couple of dinners.
The staff is very friendly and the breakfast was awesome, lot of items and all really good. A very nice stay and we just loved the pool and the room.",October 2017,DoubleTree By Hilton Seychelles - Allamanda Resort And Spa,https://www.tripadvisor.com/Hotel_Review-g3803319-d3204699-Reviews-DoubleTree_By_Hilton_Seychelles_Allamanda_Resort_And_Spa-Anse_Forbans_Mahe_Island.html,"Mahe Island, Seychelles",hotels,5.0,4.0
A magnificent castle providing one of the best views of Lisbon,"First of all you need to walk a little uphill to reach the place.
But once you are in, the first thing you encounter is the courtyard with a cafe on one side and a great view of the city on the other. You can see entire Lisbon from here.

The castle is quite big with a grand entrance and multiple inner walls. One can go to the top of the walls and walk around. You get a nice view of the castle and the grounds along with that of the city. Definitely a great place to start your lisbon trip.",June 2016,Castelo de S. Jorge,https://www.tripadvisor.com/Attraction_Review-g189158-d195107-Reviews-Castelo_de_S_Jorge-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,4.0,4.0
A small beautiful church in Copenhagen,The marble church is so called as it is made completely out of marble and the white look is gorgeous. It is a small church with very high ceiling but really beautiful.,October 2016,Frederiks Kirke (Marmorkirken),https://www.tripadvisor.com/Attraction_Review-g189541-d197740-Reviews-Frederiks_Kirke_Marmorkirken-Copenhagen_Zealand.html,"Copenhagen, Denmark",attractions,4.0,4.5
The best view in Dubai,"After some hassle at the Dubai Mall, we finally found our way to the entrance to Burj Khalifa. The best part of the whole thing was the lift. 125 floors in under a minute...amazing!

Then the view. You can see the entirety of Dubai from up there. The view is just amazing. You can also move out at an area as a balcony and get some awesome pics of the city below.",October 2016,Burj Khalifa,https://www.tripadvisor.com/Attraction_Review-g295424-d676922-Reviews-Burj_Khalifa-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",attractions,4.0,4.5
Beautiful deserted Island in faro,"This place is just amazing. An island with a fantastic beach and deserted.
I walked for more than an hour on the beach, half way through there was one lady ahead of me and then there was no one around. Not a soul in sight. The peace and quiet and the splashing waves are just amazing. If one wants some alone time, this is the place to be.",June 2016,Animaris Ilha Deserta,https://www.tripadvisor.com/Attraction_Review-g189116-d3672317-Reviews-Animaris_Ilha_Deserta-Faro_Faro_District_Algarve.html,"Faro, Portugal",attractions,4.0,4.5
A must visit place in Portugal,"This place is like the best in Portugal. A ferry ride from lagos port, you get to enter these beautiful water caves, they just take your breath away.
There are a lot of small beaches along the way and one can choose to do the entire trip by kayaking. I choose the traditional motor boat and our Captain was a jolly fellow who have us a running commentary on the caves and how some of them looked like Elephants and Horses.
The best part is when they take the boat right in the cave and you can see the greenish blue hue in the water. Its just awesome. A must for everyone!",June 2016,Ponta da Piedade,https://www.tripadvisor.com/Attraction_Review-g189117-d1755231-Reviews-Ponta_da_Piedade-Lagos_Faro_District_Algarve.html,"Lagos, Portugal",attractions,5.0,5.0
The most beautiful place in Seville,"This cathedral is not just a historic monument but an everlasting piece of art. First of all the city itself is very beautiful and the people and the streets all around you just makes the place some alive.
And right in the middle of it is this beautiful monument. The entrance is not that amazing but once I stepped in, my mind was blown. The arches and the ceiling is some 5 floors high with intimate decoration. There are small chapels all around the periphery and on the right of the main alter is the tomb of Christopher Columbus!
The tomb is so beautifully made, it shows the significance this discoverer has in Spain. The main alter itself is huge and bared by gates. Its beauty is like no other. There are these huge organ pipes and tall doors, all of these comes together to create sucha magnificent effect!",June 2016,Catedral de Sevilla,https://www.tripadvisor.com/Attraction_Review-g187443-d191137-Reviews-Catedral_de_Sevilla-Seville_Province_of_Seville_Andalucia.html,"Seville, Spain",attractions,5.0,4.5
The must go place in Barcelona,"The Sagrada Familia is the top place of attraction in Barcelona. The towers that cover both sides are a sight for the sore eyes. There are always a lot of people and one needs to book the tickets online for a specific time-slot. The tickets are a little expesive but worth it.
The Cathedral itself is huge with high ceilings and a mix of both old and modern architecture. The Cathedral has been in construction for many years now and still not complete. The entire place is made to be acoustically sound, so when the choir plays, you the audience gets to really hear the chords.
The main attraction here is that they take you up on the towers, on one side via a lift and one needs to walk down from there. You get an awesome view of the entire city and the walk down also gives you good glimpses of the cathedral itself. A beautiful monument!",July 2016,Basilica of the Sagrada Familia,https://www.tripadvisor.com/Attraction_Review-g187497-d190166-Reviews-Basilica_of_the_Sagrada_Familia-Barcelona_Catalonia.html,"Barcelona, Spain",attractions,4.0,4.5
One of the best palaces in Spain,"This place is awesome, its a shame they do not allow pictures inside.
Each room is specifically designed for a purpose and in a unique style. There is the porcelain room, where the walls are covered with Spanish green porcelain, no paint no other decoration. The great dining hall has a table that can seat more than 50 people and the chandeliers are so huge, one can sleep inside one.
really beautiful place, gives you an idea of the immense wealth of the Spanish empire.",July 2016,Royal Palace of Madrid,https://www.tripadvisor.com/Attraction_Review-g187514-d190146-Reviews-Royal_Palace_of_Madrid-Madrid.html,"Madrid, Spain",attractions,5.0,4.5
A beautiful park to hang out,"First of all the park is huge. It has these beautiful gardens and running tracks and a huge lake right in the middle of it.
The statues in the far bank of the lake give an awesome view and some nice pics. People usually take their time out and spend a lazy afternoon here. Very nice place to chill.",July 2016,Parque del Retiro,https://www.tripadvisor.com/Attraction_Review-g187514-d191050-Reviews-Parque_del_Retiro-Madrid.html,"Madrid, Spain",attractions,4.0,4.5
One of the best palaces ever!,"The Alhambra is just breath-taking. The Gardens are the most amazing site, you just walk through them like a maze. There are small pools and gateways made with the plants.
There are 2 palaces and a fort within the premises. The architecture is Islamic and adorned with texts and arches. The walls have intricate designs and are a work of sheer beauty. The view of the city down below is another site to look out for. One is speechless when she enters the main courtyard, the pool and the buildings on both sides make an amazing site.
One of the top places in Spain to go.",July 2016,The Alhambra,https://www.tripadvisor.com/Attraction_Review-g187441-d191078-Reviews-The_Alhambra-Granada_Province_of_Granada_Andalucia.html,"Granada, Spain",attractions,5.0,4.5
The awesome Gardens of Alhambra,"Once you enter the premises, the first thing you notice are the beautiful palace gardens and the way to the adjoining palace.
The gardens are mesmerising. You have these huge arches and gateways created by the plants and the small pools in the way. The sound of running water and the view of the palace just takes your breadth away. The adjoining palace has a staircase up for a fantastic view of the city below and the water again flowing beside you at the stairs up.
Amazing place.",July 2016,Generalife,https://www.tripadvisor.com/Attraction_Review-g187441-d243693-Reviews-Generalife-Granada_Province_of_Granada_Andalucia.html,"Granada, Spain",attractions,5.0,4.5
Food food and food...all you can eat!,"This place is a paradise for foodies. A glass enclosed square with food stalls all over. You have everything here, from traditional Spanish food, Turkish baklava, pizzas, amazing collection of sea food, shushi, beer and wine stalls. Everything!

The prices are a little high but I am not complaining. So much food in under one roof is like heaven,. This is the place to be for anyone. The place is buzzing with conversation and people looking at with awe and amazement. The quality of food is very good...",July 2016,Mercado San Miguel,https://www.tripadvisor.com/Attraction_Review-g187514-d1520183-Reviews-Mercado_San_Miguel-Madrid.html,"Madrid, Spain",attractions,5.0,4.5
The amazing Pena Palace,"A beautiful palace in at the top of the hill in Sintra. The first thing to notice as you walk up to the palace are these huge tall trees swaying in the morning wind. Then one notices the fog which blocks your view of the palace and the hill-side.

Once you reach the top, the sheer yellow colour of the palace catches your eye and never lets go. The architecture is amazing, there is this huge sculpture of a monster just above the gateway and the entrance is to he right. One can even walk along the walls of the palace and enjoy the mesmerising view of the fog rolling along the tree tops.

The interior of the palace is a little less amazing than the front but beautiful nonetheless. This is the summer palace of the king of Portugal and once can see it in every hall and room. The most beautiful room is the hall where the king entertained his guests. It has custom made chandeliers, furniture and even the window glass.

This a great place to be.",June 2016,Park and National Palace of Pena,https://www.tripadvisor.com/Attraction_Review-g189164-d195785-Reviews-Park_and_National_Palace_of_Pena-Sintra_Sintra_Municipality_Lisbon_District_Centra.html,"Sintra, Portugal",attractions,5.0,4.5
National Palace in Sintra,"This is the National Palace of Sintra. I landed up here from the Pena Palace and that may be te reason that I didi not like it that much. The Pena palace is amazing with its location and the architecture.
Compared to it the National palace was quite bland. Some of the views like that of the ceiling of the hall and the view of the prince's garden was damn good. The view from up top looking down on the Sintra city, now that is an amazing view. A god place to start, recommended to see before the Pena palace.",June 2016,Sintra National Palace,https://www.tripadvisor.com/Attraction_Review-g189164-d1198741-Reviews-Sintra_National_Palace-Sintra_Sintra_Municipality_Lisbon_District_Central_Portuga.html,"Sintra, Portugal",attractions,3.0,4.0
The tower at the end of Lisbon,"The Belem tower is right at the end of Lisbon. The tower looks beautiful and the view of the city from the top is just amazing. You can see the monastery, the bridge and the ships in the water; the whole thing.

They allow only 120 people at a time in the tower and they do it in batches. There is just one staircase up, with steep stairs some 200 of them. Once you reach the top, there is a small landing to enjoy the view and click as many pics as one wants. Nice place and a must see.",June 2016,Torre de Belém,https://www.tripadvisor.com/Attraction_Review-g189158-d524074-Reviews-Torre_de_Belem-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,4.0,4.0
A fantastic stay in Raintree,"First of all the hotel looks amazing. The water falling in front of the place and the grand lobby are just wow. The place is very well designed with so mush light but nothing hurts your eye.
We had our rooms on the 2nd floor. We had a nice view of the street, though a bit restricted. The rooms were big and the spacious, well lit and very clean.The wash rooms were equally good. The breakfast and wifi were complimentary.
We had a very nice stay.",April 2016,The Raintree Hotel Anna Salai,https://www.tripadvisor.com/Hotel_Review-g304556-d1840696-Reviews-The_Raintree_Hotel_Anna_Salai-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Chennai (Madras), India",hotels,4.0,4.5
One of the best places in Lisbon,"The monastery is divided in to 2 sections, the church and the Monestary itself. The church entry is free and it costs 10 euros for the monastery entry.

The church is amazing, high arches and beautiful walls adorned with statues. There are also 2 tombs of famous Portuguese citizens. The main alter is huge and s beautiful.

After the tickets I entered the Monastery and it was just breathtaking. One enters on the first floor and there is this beautiful square in the middle with hallways on all four sides. The most beautiful thing is the view of the dome from the square and next comes the arches in the hallway. One just gets lost in time.

Magnificent.",June 2016,Mosteiro dos Jeronimos,https://www.tripadvisor.com/Attraction_Review-g189158-d195318-Reviews-Mosteiro_dos_Jeronimos-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,5.0,4.5
The highest and most beautiful point in the city,"I have been to the Birla mandir multiple times in the last few years and went there this January. It was 2nd of Jan and as expected, there were a lot of people going to the temple. After a short walk up the hill, through the market, we left our shoes and mobiles at the clock room and proceeded up the steps.

The thing I like the most is the fact that it is completely made of white marble and the lighting is so good that you can see the temple from miles around. Amidst the shouts of 'Govinda' we entered the premises and paid our homage to Lord vishnu and then settled down on the open spaces to enjoy the view of the Hussain Sagar lake and necklace road along with the cool breeze. The view from up there is really beautiful, something that draws a lot of people here.

A very well maintained and beautiful place.",January 2016,Birla Mandir,https://www.tripadvisor.com/Attraction_Review-g297586-d1021934-Reviews-Birla_Mandir-Hyderabad_Hyderabad_District_Telangana.html,"Hyderabad, India",attractions,5.0,4.5
The oldest catholic church in Rome!,"The first thing I remember of the Pantheon is from the novel Angels and Demons and the movie of the same name. When we landed up there, a crowd was gathered as the church was closed for some dignitaries. After a 15 mins wait we finally entered the Pantheon.
The first thing to notice was the obelisk at the top and the beautiful walls that surround you. The atmosphere is pleasant and calming. A really beautiful church.

We visited in October 2013.",October 2015,Pantheon,https://www.tripadvisor.com/Attraction_Review-g187791-d197714-Reviews-Pantheon-Rome_Lazio.html,"Rome, Italy",attractions,4.0,4.5
The place of the Gladiators,"The best attraction Rome has to offer is the Colosseum.
This remarkable and beautiful monument was constructed during the Fabian dynasty by its three emperors. The place is huge, and i mean huge. After a 30 min wait in the queue we bought our tickets with a guide and reached the designated place for the tour. Then a lady took our group of some 20 people to the centre of the Colosseum and told us its entire history. We also went to the 3rd floor which gives a great view of the entire pace and Rome nearby.

One of the best places I have ever been to. We went in Oct 2013.",October 2015,Colosseum,https://www.tripadvisor.com/Attraction_Review-g187791-d192285-Reviews-Colosseum-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Towering...Stunning...Beautiful!,"Eiffel Tower needs no Introduction.
It is an engineering marvel and one of the must visit places in the world. We went there via the metro, came out of the station and I was just blown. The place is beautiful, you have the open green fields that just keeps on going and this huge tower above you. It makes you feel small. Plus when the lights go up, you just fall in love with it.

We went there in Oct 2013.",October 2015,Eiffel Tower,https://www.tripadvisor.com/Attraction_Review-g187147-d188151-Reviews-Eiffel_Tower-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.5
The underground water tunnels,"One of the best attractions in Istanbul and just beside the Hagia Sophia are the Basilica Cisterns.
During the eastern roman empire, it functioned as the underground water reservoir for the city and the water was brought in from a nearby lake. The best part of this place are the stone columns that support the reservoir. Out of them there are two columns that are supported on the heads of Medusa; one is sidewise and the other is upside down.

Really nice place to have cool walk and nice pics.",August 2015,Basilica Cistern,https://www.tripadvisor.com/Attraction_Review-g293974-d294555-Reviews-Basilica_Cistern-Istanbul.html,"Istanbul, Turkey",attractions,5.0,4.5
A nice cozy chic place to put up,"The hotel is in the lime colour. One part of the room is green in colour even the bathroom basin is green, but the contrast with white is damn good. The rooms are decently big and bathrooms are very clean.
You have the breakfast buffet at the ground floor near the reception. Great looks, good budget and very well located.",September 2015,The Lime Boutique Suites,https://www.tripadvisor.com/Hotel_Review-g297586-d7277458-Reviews-The_Lime_Boutique_Suites-Hyderabad_Hyderabad_District_Telangana.html,"Hyderabad, India",hotels,4.0,4.0
A damn good hotel,"Well the first good thing was the complimentary pick up and drop to the airport. The security is a little tight but I am not complaining. The lobby is huge and the staff are really helpful.

We got a nice room at a good discount from one of the online sites. The bed was huge and the view was really nice. The bathroom was a little small but clean and well maintained.

A good option to stay near the Airport.",February 2015,ibis New Delhi Aerocity,https://www.tripadvisor.com/Hotel_Review-g304551-d2590189-Reviews-Ibis_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"New Delhi, India",hotels,5.0,4.0
A happening place in Istanbul,"We stayed in the Sultanahmet district during our visit and the place is amazing. First of all 4 of the best attractions in Istanbul are in Sultanahmet - Blue Mosque, Hagia Sofia, Basilica Cisterns and The Topkapi Palace. Plus there is a huge market just stone's throw from the Blue Mosque.
Sultanahmet is the perfect blend of history and modern age. One one hand you have the monuments that are hundreds of years old; telling the rich story of Istanbul while just at walking distance you have a Burger King.
A very nice place to stay, shop and enjoy!

We visited in August 2014.",August 2015,Sultanahmet District,https://www.tripadvisor.com/Attraction_Review-g293974-d294656-Reviews-Sultanahmet_District-Istanbul.html,"Istanbul, Turkey",attractions,5.0,4.5
