title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A fabulous experience,"We were treated to a truly special evening of food and wine at The Lyle. Great atmosphere and what a change from how it was. All the staff were professional, attentive and engaging and it was truly the best food we've had in a long time. We'll be returning as soon as we can.",October 2020,The Lyle,https://www.tripadvisor.com/Restaurant_Review-g186315-d21311790-Reviews-The_Lyle-Royal_Tunbridge_Wells_Kent_England.html,"Royal Tunbridge Wells, United Kingdom",restaurants,5.0,5.0
Great lunch with friends in a COVID safe environment,"Having booked well in advance we had the nervous among us taking their first trip out since March. The staff clearly explained their one way system, all diners are outside under the new gazebo and all the staff wore face masks or visors. Our lunch was a pleasure from beginning to end. All the waiting staff were friendly, professional and attentive, with a good dose of humour thrown in, every one went to extra lengths to make our lunch a great experience.
The food and wine were all great and the menu is less restricted that some more recently opened restaurants. I have no hesitation in recommending.",July 2020,The Mount Edgcumbe,https://www.tripadvisor.com/Restaurant_Review-g186315-d752735-Reviews-The_Mount_Edgcumbe-Royal_Tunbridge_Wells_Kent_England.html,"Royal Tunbridge Wells, United Kingdom",restaurants,5.0,4.5
Jail breaking fun,"What a fantastic time, lots of clue cracking to do, there were 6 of us, everyone enjoyed it and played their part. We were all escape room first timers and will be recommending to others and coming back again next year. Added bonus to get to eat at The Shuffle House afterwards to dissect the previous hour's entertainment.",October 2019,Clue Cracker,https://www.tripadvisor.com/Attraction_Review-g186315-d17594989-Reviews-Clue_Cracker-Royal_Tunbridge_Wells_Kent_England.html,"Royal Tunbridge Wells, United Kingdom",attractions,5.0,5.0
Iconic place,"It was a great place to see, went early as found out you can run there, sadly not on the track but around the top. Unfortunately the building is looking a bit neglected in places but still worth a visit.",October 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Clever sympathetic restoration.,"The restoration of the Parthenon is almost complete, it's breathtaking in its size and dominance. The restoration is great, they have chosen to only restore to the height of any original pieces left, a clever idea and makes you understand and appreciate its history more.",October 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A guided tour is essential,Obviously the top place to visit in Athens but to appreciate it a guided tour is essential as are sensible shoes and a bottle of water. Lovely to see the sun setting over it.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
What a museum!,"This is a must, great museum and architecturally amazing, there are glass floors and wide easy routes around. Recently opened ruins beneath which demonstrate again how fantastic the design is.",October 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Great location, helpful staff, rooftop bar and restaurant","This hotel is well located as an easy walk to many attractions. The breakfast was great and the staff really friendly and efficient, they were always happy to seat our group together. Reception staff were helpful too. Room was neat and shower room was small but all working well. Lighting in the room could have been better but that's a minor point.
The view of the Acropolis from the roof was fabulous.",October 2019,Electra Hotel Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d228883-Reviews-Electra_Hotel_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
"Wine tour, tasting and lunch",We had booked a wine tour and tasting and were fortunate that the timing allowed us to stay and have lunch in this fantastic restaurant. The wine tour was informative and the tasting of 4 wines was well tutored and informed - the 2014 Nerello Mascalese from Etna was my star of the show. Our host was exceptional and it was particularly helpful to me as I'm a WSET student. The food was superb and all set in a stunning location overlooking some to Gulfi's vineyards where the harvest was in full swing.,September 2019,Locanda Gulfi,https://www.tripadvisor.com/Restaurant_Review-g1079945-d2212791-Reviews-Locanda_Gulfi-Chiaramonte_Gulfi_Province_of_Ragusa_Sicily.html,"Sicily, Italy",restaurants,5.0,4.5
Great place,"This place is very popular and for good reason, great food, great service. Don't miss out, it's worth a visit and a short wait for a table. ...",July 2019,Casa Italia,https://www.tripadvisor.com/Restaurant_Review-g186337-d5244456-Reviews-Casa_Italia-Liverpool_Merseyside_England.html,"Liverpool, United Kingdom",restaurants,5.0,4.5
