title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Dinner under the stars,"A lovely outdoor place, you sit under the stars, feet in the sand as ocean breeze keeps you fresh and cool. The chef karthick is amazing, the nandu curry and the fish curry exceptional. Frederick was an awesome host, The pastry and dessert chef Murugeshan was brilliant too, esp the creme brulee. On the whole an unforgetable experience. Thank you Club mahindra",March 2021,Finz,https://www.tripadvisor.com/Restaurant_Review-g659792-d12822290-Reviews-Finz-Pondicherry_Union_Territory_of_Pondicherry.html,"Pondicherry, India",restaurants,5.0,5.0
amazing food and beautiful ambience,"Amazing french dishes, finger licking sauces, great desserts, fabulous service, they have rooms too, they offer french and indian dishes",March 2021,Villa Shanti,https://www.tripadvisor.com/Restaurant_Review-g659792-d2313189-Reviews-Villa_Shanti-Pondicherry_Union_Territory_of_Pondicherry.html,"Pondicherry, India",restaurants,5.0,4.5
"Scrumptiuous, extremely good - but expensive","We were absolutely blown away with the variety and tastiness of all the items here, we went both the days of our visit, The Chocolate chocolatini is a MUST HAVE, do try the veg and non veg croissant.",March 2021,Baker Street,https://www.tripadvisor.com/Restaurant_Review-g659792-d3896829-Reviews-Baker_Street-Pondicherry_Union_Territory_of_Pondicherry.html,"Pondicherry, India",restaurants,5.0,4.0
Hot in the day but lovely,Beautiful to walk up and down the promenade...There are lovely cafes and shops to pass time and have a meal or snack,March 2021,Seaside Promenade,https://www.tripadvisor.com/Attraction_Review-g659792-d2677433-Reviews-Seaside_Promenade-Pondicherry_Union_Territory_of_Pondicherry.html,"Pondicherry, India",attractions,5.0,4.0
Lovely canopy of trees,Its a beautiful outdoor cafe with tasty food and its self service. Lovingly made chaats and quite an extensive menu.,March 2021,Cafe at NGMA,https://www.tripadvisor.com/Restaurant_Review-g297628-d10477029-Reviews-Cafe_at_NGMA-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",restaurants,5.0,4.0
my favourite resort in India,"Absolutely AWESOME resort, you can see the beach even as you drive in!! The rooms are excellent, tasteful, well thoughtout, bright and airy. The beach is just a 2 min walk away, maintained neatly and they have chairs for senior citizens so that they can sit with their feet touching the waves...A very thoughful and admirable gesture. Staff and house keeping is fantastic, I even love the store here, they have good stuff, SHaranya the hostess is very attentive and sweet hostess, Thank you sharanya and team club mahindra for making our stay memorable",March 2021,Club Mahindra Puducherry,https://www.tripadvisor.com/Hotel_Review-g659792-d1231058-Reviews-Club_Mahindra_Puducherry-Pondicherry_Union_Territory_of_Pondicherry.html,"Pondicherry, India",hotels,5.0,4.0
Excellent location and property,"Mysore is a lovely city and grand Mercure adds to it, it's in a broad boulevard close to the palace and r k Narayan house which is a special museum now, it's a wonderful place to walk around, breakfast sitar is enjoyable and tasty, fresh filter coffee is served.",January 2020,Grand Mercure Mysore,https://www.tripadvisor.com/Hotel_Review-g304553-d10065306-Reviews-Grand_Mercure_Mysore-Mysuru_Mysore_Mysore_District_Karnataka.html,"Mysuru (Mysore), India",hotels,5.0,4.5
touching but a story of bravery,We understood from our passionate Walkative guide Andrei about the symbolism behind this statue. During the war this was a symbol of courage and inspired soldiers to continue their fight.,November 2019,Statue of the Little Insurgent,https://www.tripadvisor.com/Attraction_Review-g274856-d544347-Reviews-Statue_of_the_Little_Insurgent-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",attractions,5.0,4.5
A street with style,"A long connecting street, Nowy street is full of restaurants, bus stops, shops....A walk down this street will be an interesting stroll.",November 2019,Nowy Swiat,https://www.tripadvisor.com/Attraction_Review-g274856-d293063-Reviews-Nowy_Swiat-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",attractions,5.0,4.5
Moving and a history lesson,This is one of the most moving monuments in Warsaw. We understood more only after we took a walking tour with walkative. Our guide Andrei was a passionate story teller and he had us spell bound with the story of how 5300 Polish residents organised an uprising and escaped from Warsaw during the war. This monument has a continuining sclupture right next to it to show soldiers and people escaping from the severs of warsaw. A must visit to pay homage to the spirit of humanity.,November 2019,Monument to the Warsaw Uprising Fighters,https://www.tripadvisor.com/Attraction_Review-g274856-d582507-Reviews-Monument_to_the_Warsaw_Uprising_Fighters-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",attractions,5.0,4.5
fantastic facilities,"what a fantastic venue, we attended a global conference at PGE, really impressive facilities, very very nicely maintained, many many rest rooms so that there were no lines to go to the loo :)",November 2019,PGE National Stadium,https://www.tripadvisor.com/Attraction_Review-g274856-d2235986-Reviews-PGE_National_Stadium-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",attractions,5.0,4.5
Beautiful during the day and night,"Lovely place to hang out, very calm and peaceful, full of restaurants, little shops with arty interesting things, most walkative free tours stat from this square, the guys with the yellow umbrella, There is a Chopin concert in the evenings at the museum in this square.",November 2019,Castle Square (Plac Zamkowy),https://www.tripadvisor.com/Attraction_Review-g274856-d274987-Reviews-Castle_Square_Plac_Zamkowy-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",attractions,5.0,4.5
calm soothing peaceful beautiful park,"Its a very beautiful, quite a large space with many trees and a palace on the lake.
Must visit, kids will have a wonderful time running and playing in the huge green spaces.",November 2019,Łazienki Królewskie w Warszawie,https://www.tripadvisor.com/Attraction_Review-g274856-d284409-Reviews-Lazienki_Krolewskie_w_Warszawie-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",attractions,5.0,4.5
Tasty traditional Polish dishes,"The interiors are warm and friendly, service is with a smile and a little greeting with information about the dishes, Tasty food. Many many varieties to choose from, some vegetarian options as well",November 2019,Specjaly Regionalne,https://www.tripadvisor.com/Restaurant_Review-g274856-d3643848-Reviews-Specjaly_Regionalne-Warsaw_Mazovia_Province_Central_Poland.html,"Warsaw, Poland",restaurants,5.0,4.5
