title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great food!,This is the best restaurant we went to in Athens. Ive lived in New Orleans for 2 years and this is as close as you'll get to New Orleans food. Drinks are great also and the prices are very affordable.,February 2020,Po' Boys BBQ,https://www.tripadvisor.com/Restaurant_Review-g189400-d13803455-Reviews-Po_Boys_BBQ-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Great view,We went to this place on our food tour and the coffee was great with nice kick. The view was amazing so we came back that night to see the acropolis at night and had a drink. Drink tasted good but didn't have any kick. I highly recommend A for Athens for their coffee and the view,February 2020,A for Athens Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d2665318-Reviews-A_for_Athens_Cocktail_Bar-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Well worth the walk,Seeing the acropolis was a great experience it took us about 20 minutes to get up there but it was worth it and the view of the city below was breathtaking.,February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Best tours,I definitely understand why this company has 5 stars our tour was so great we stayed longer by upgrading our tour to see the red wood trees. Our guide adam was so informative and funny. Next visit I'll definitely will be taking a tour with this company it was the highlight of our trip A+++,February 2019,Dylan's Tours,https://www.tripadvisor.com/Attraction_Review-g60713-d1444435-Reviews-Dylan_s_Tours-San_Francisco_California.html,"San Francisco, California",attractions,5.0,5.0
Nightlife!,This was definitely the highlight of our trip. I did the behind the scenes tour. We got to see everything up close and personal. We also got to witness one of the scientists skinning a cat. If your in san Francisco on a Thursday night make sure you go to the nightlife event it's very unique and fun fun fun!,February 2019,California Academy of Sciences,https://www.tripadvisor.com/Attraction_Review-g60713-d117078-Reviews-California_Academy_of_Sciences-San_Francisco_California.html,"San Francisco, California",attractions,5.0,4.5
Best views,If you want the best view of the city this is where you want to be. We were taken to twin peaks during our tour with Dylands tours,February 2019,Twin Peaks,https://www.tripadvisor.com/Attraction_Review-g60713-d105363-Reviews-Twin_Peaks-San_Francisco_California.html,"San Francisco, California",attractions,5.0,4.5
Fun,We walked down Lombard street it looked exactly like the pictures and was packed with tourist. It was pretty cool but I definitely understand why the neighbors are trying to make the street a toll street,February 2019,Lombard Street,https://www.tripadvisor.com/Attraction_Review-g60713-d106232-Reviews-Lombard_Street-San_Francisco_California.html,"San Francisco, California",attractions,5.0,4.5
Alcatraz,We did the Alcatraz audio tour and it was great and very informative and easy to follow. Shuttle to and from the island was smooth and well organized. We spend about 2 hours on the island. One of the correction officers kids that grew up loving on Alcatraz was there signing books,February 2019,Alcatraz Island,https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html,"San Francisco, California",attractions,5.0,4.5
Great Atmosphere,"Me and my wife loved this bar. Strong drinks, great music, and great atmosphere. I originally thought that everyone had to pay a cover charge to get in the Tonga room but I found out when I got there you only have to pay cover if you wanted a seat. I didn't plan on eating here I just wanted a drink. Drinks were strong I definitely will be back here during my next visit to San Francisco. It was expensive but all the restaurants and bars were expensive in San Francisco.",February 2019,Tonga Room & Hurricane Bar,https://www.tripadvisor.com/Attraction_Review-g60713-d4097815-Reviews-Tonga_Room_Hurricane_Bar-San_Francisco_California.html,"San Francisco, California",attractions,5.0,4.0
Great Fun,My kids 2 and 3 loved this pirate cruise it was very entertaining. We will definitely be back during the summer months. We were running a lil late due to being confused about the location I didn't know they moved so it was a 34min ride vs a 7min ride we expected. They waited on us to get there we definitely will be back,April 2018,Blackbeard's Pirate Cruise,https://www.tripadvisor.com/Attraction_Review-g54371-d8311351-Reviews-Blackbeard_s_Pirate_Cruise-North_Myrtle_Beach_South_Carolina.html,"North Myrtle Beach, South Carolina",attractions,5.0,5.0
