title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A mini-chain with several locations on Mykonos,"Well-prepared souvlaki at a reasonable price. The quality of the meat was very good, and service was fast. I think that the owners found a successful formula. I'd certainly go back.",April 2019,Souvlaki Story Taverna,https://www.tripadvisor.com/Restaurant_Review-g662620-d14122748-Reviews-Souvlaki_Story_Taverna-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,4.0,4.5
Nice place with outstanding service,"This attractive hotel is located just ""above"" Mykonos Town. The hotels slogan is that you arrive as a guest and leave as a friend. Before I arrived, the hotel contacted me and told me that they would pick me up at the airport if I provided my flight information - and so they did. They also will drive you back to the airport on departure.

The owner, Panos, greeted me on checkin, and introduced me to two members of his staff. It seemed that he was almost always at the counter or nearby, helping out with one thing or another. Does he sleep?

The lobby extends to a small bar and a larger room with a TV that has the ambience of a living room, leading out to the pool and the rooms. The buildings match the characteristic white color of Mykonos. While Mykonos Town is known for parties, the Aeolos was quiet both inside and outside the hotel.

There's a breakfast available for 12 euros - no bargain for me because I am a light breakfast eater and don't drink coffee - but the choices were extensive and it's a better value for most people. I was pleasantly surprised to see that they also serve dinner. One night I had their salad, which was excellent. Everything was fresh, and the salad was large enough that I didn't need anything else.

It's possible to walk down to the town and back up to the hotel. I was offered a ride down both days. One day, I walked back up - not too difficult if you are in good shape, but you will work up a sweat doing so. I popped for a taxi the next day.

All in all, a first-rate experience that I would repeat if I were to return to Mykonos.",April 2019,Aeolos Resort,https://www.tripadvisor.com/Hotel_Review-g662620-d529847-Reviews-Aeolos_Resort-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",hotels,5.0,5.0
Corfu's answer to Paris's Rue de Rivoli,"Archways in front of shops and restaurants, with tables along the way, all facing the Esplanade. A very popular place for food, drink, and hanging out.",April 2019,The Liston,https://www.tripadvisor.com/Attraction_Review-g662629-d4876023-Reviews-The_Liston-Corfu_Town_Corfu_Ionian_Islands.html,"Corfu, Greece",attractions,4.0,4.5
An unexpected surprise worth an hour or two of your visit,"A collector of Asian art donated everything, which gives this museum an outstanding collection of Asian art. The collection is nicely displayed, with explanations in Greek and English, and is separated by different Asian cultures. I thought that the Chinese collection was the most impressive, with the oldest pieces more than 3000 years old. The Japanese selection was very good, and there are smaller displays from India and elsewhere. The accompanying posters show how Greece was tied to these other parts of the world, including mutual influences. Fascinating and educational.

I was very surprised to find such an impressive collection on the edge of a Greek island, especially since it's such a contrast to the local culture. Highly recommended.",April 2019,Corfu Museum of Asian Art,https://www.tripadvisor.com/Attraction_Review-g662629-d196347-Reviews-Corfu_Museum_of_Asian_Art-Corfu_Town_Corfu_Ionian_Islands.html,"Corfu, Greece",attractions,5.0,4.5
Excellent room and service in a waterfront landmark,"One of the advantages of traveling off-season is the ability to find great rates at hotels that would normally cost more than you want to spend for a room. So I ended up in the first-rate Corfu Palace, which is directly across the street from the Ionian Sea.

Because of my flight schedule, I arrived at the hotel early in the morning (9am) and had an early evening (6pm) flight the next day. When I arrived, I was able to check into my room; on departure, the hotel gave me a late checkout (3pm). Extra points to them for this assistance.

My room was spacious, and everything worked well. The WiFi was fast and reliable. Breakfast was very good, with plenty of choices. There's a casino off the lobby, which may appeal to some travelers.

It's about a 10 minute walk to the Old Fort, the Asian Art Museum, and Liston, and slightly less to reach Corfu Town's main shopping area. That made it easy to see the town's major sights. There's a lot to see on the island, and the Corfu Palace makes a good base for that. I'd gladly return to this hotel if I were again on Corfu.",April 2019,Corfu Palace Hotel,https://www.tripadvisor.com/Hotel_Review-g662629-d228902-Reviews-Corfu_Palace_Hotel-Corfu_Town_Corfu_Ionian_Islands.html,"Corfu, Greece",hotels,5.0,4.0
Excellent new hotel with views of Meteora monasteries,"This hotel was chosen by my tour operator for my overnight stay before visiting Meteora. It's very nice, with a relatively large room where everything is new. As part of a tour group, dinner and breakfast buffets were included. These were OK, but nothing special.

The hotel is away from the towns of Kastraki and Kalampaka, so there's not much in the vicinity, and you need a car to get around if you are traveling independently.",April 2019,Grand Meteora,https://www.tripadvisor.com/Hotel_Review-g1070999-d8721425-Reviews-Grand_Meteora-Kastraki_Kalambaka_Trikala_Region_Thessaly.html,"Kastraki, Greece",hotels,5.0,4.0
This is why you came to Athens,"There's nothing like the Acropolis, the second highest hill in Athens (after Lycabettus Hill). It's home to the Parthenon, the Erechtheion, and more. Note that the Acropolis is why *everyone* came to Athens, and that it is mobbed by tour groups by mid-morning, making it hard to get up and down. If you are traveling independently, you should plan to be here not later than 8:30am so that you can see these historical gems in relative peace.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
World-class collection of Greek antiquities,"If you want to see Greek antiquities up close and learn more about the history of the Greek empire, this is the place to go. Unfortunately, Lord Elgin stole many artifacts that are now in the British Museum, but you could still spend endless hours looking at pieces that date to the 7th Century BC.",April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A well-located three star hotel,"The Attalos is a seven story hotel with a roof bar and garden not far from the Monastaraki Metro station, the Plaka area, and the main historic and archeological sites of Athens. I had arranged my trip so that I had three separate stays totaling 6 nights over a 10 day period, with two side trips in between. I packed a small bag inside my suitcase so that I was able to take the things I needed for the side trips and leave the suitcase with the hotel. Very helpful!

I stayed in three different rooms, all quite similar in size and amenities. Even though I was traveling solo, I think that two people could have stayed in the room without too much trouble. Everything worked well in the room, though it took a couple of days' practice to keep the bathroom floor relatively dry when I used the small shower.

It's possible to include breakfast in the room rate, which I did. The breakfast is OK, with plenty of choices, but my desire for freshly squeezed orange juice eventually drove me to eat at the excellent Beneth cafe/bakery next door.

The roof bar is open until midnight and offers a spectacular view of the Parthenon on the Acropolis.

I discovered a laundromat about 3 blocks away, close to Monastaraki, where you can do your own wash or have the attendant do it overnight. That came in handy. There is also an excellent market for fruits and veggies about three blocks north (away from Monastaraki toward Omonia).

As you walk along Athinas Street and around the neighborhood, you can see some effects of Greece's decade of economic crisis. There are some homeless people on the sidewalk and lots of graffiti, unfortunate but not dangerous.

Would I stay at the Attalos again? Absolutely. It's a good value in an excellent location with a helpful staff.",April 2019,Attalos Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d235705-Reviews-Attalos_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Excellent food and service despite late walk-in,"I started walking back toward my hotel from the Münchner Freiheit MVV station and found this restaurant about a block north, opposite the small park. My expectations for a Thai restaurant in Germany weren't high, but I was very pleasantly surprised, especially since I arrived only about 15 minutes before closing.

They have a very small open cooking area, with tables inside and out. I chose the Nua Mun Mun beef dish with a Singha beer. The beef dish was quite large and very well prepared; the quality of the beef was better than I usually find in Thai dishes. I would gladly return. With the Metro (MVV) stop close by, it's not hard to get there from the historic center.",April 2019,MUN MUN - Thai Cooking,https://www.tripadvisor.com/Restaurant_Review-g187309-d10372782-Reviews-MUN_MUN_Thai_Cooking-Munich_Upper_Bavaria_Bavaria.html,"Munich, Germany",restaurants,5.0,4.5
"A New York style deli in the New York, New York hotel","You can work up an appetite for a sandwich just trying to get here if you are not staying in the hotel. From the self parking area, you walk into the hotel and off to the farthest corner, where you will find Greenberg's. I ordered a very lean corned beef sandwich on rye bread - plain - to go. The sandwich was very good, but they couldn't resist putting mustard on the bread. Perhaps they didn't understand ""plain"". It's a bit of a hassle to get here, but the food was good and the sandwich was reasonably priced. (Not everything else was.)

I've been here before, and I would return in the future if I should have to return to Las Vegas.",January 2019,Greenberg's Deli,https://www.tripadvisor.com/Restaurant_Review-g45963-d1939064-Reviews-Greenberg_s_Deli-Las_Vegas_Nevada.html,"Las Vegas, Nevada",restaurants,4.0,4.5
An excellent breakfast and a good value,"Fresh orange juice! Excellent.

Lots of choice with eggs: omelettes, etc., but I went for the blueberry pancakes with fresh blueberries. Real maple syrup was available, so it was easy to eat enough for breakfast to make it unnecessary to eat for the rest of the day.

Service was fast an friendly, and I would not hesitate to return, especially if I were hungry.",January 2019,The Egg & I,https://www.tripadvisor.com/Restaurant_Review-g45963-d449411-Reviews-The_Egg_I-Las_Vegas_Nevada.html,"Las Vegas, Nevada",restaurants,5.0,4.5
"Ugh. A sprawling, smoky, hotel casino","For me, going to Las Vegas is like being in an alien environment, which affects my opinion of everything there. But here I was very generous to the Orleans in my overall rating of the property. It's less than two miles East of the Strip along Tropicana, and the hotel offers a regular shuttle to the strip. Cab fare or ride-sharing to the Strip is less than $10 each way.

The hotel rooms are arrayed along three *long* corridors served by four central elevators. As in the former Soviet Union, you must show a room key to be granted access to the elevator by the armed and uniformed guard. It's a long walk from either the valet parking or self-parking areas to this point, which is not very desirable in a hotel where bellmen are in short supply unless you are easily able to manage your own bags.

My room, as with most rooms in Las Vegas, was designed on the premise that you wouldn't spend much time there. The TV worked and offered 15-20 stations. The bathroom fixtures were old, but the toilet flushed and the shower produced an adequate amount of water pressure with no shortage of hot water.

The hotel promotes its ""high speed Internet"" but the fine print describes that as 1Mb downloading speed. My home DSL service in 1997 was twice as fast as that, so 1Mb is pretty much a joke, and you shouldn't even think about streaming anything here. But that's understandable: they want you in the casino.

I've traveled all over the world, visiting dozens of countries in the past decade, and have never, repeat never, previously found a hotel where there was a charge to print a boarding pass. (I ended up in the lobby of a different hotel, which provided anyone with about 12 minutes of free Internet time and free printing of my boarding pass.)

Finally, there's one big plus: the on-site movie multiplex with about 20 theaters. It's a bit of a hike from the hotel rooms, but nonetheless a useful resource.",January 2019,The Orleans Hotel & Casino,https://www.tripadvisor.com/Hotel_Review-g45963-d91907-Reviews-The_Orleans_Hotel_Casino-Las_Vegas_Nevada.html,"Las Vegas, Nevada",hotels,3.0,4.0
Good but not great,"After seeing the other reviews of this restaurant, I hoped that it would be a real ""find"", especially in a city that is heavily dominated by chain restaurants. The ambience and service were very good, even though it is located in a strip shopping mall.

I had the cream of mushroom soup, which was outstanding, and the scaloppine marsala, which fell short of my expectations because the meat was too tough. It could have used some more pounding and/or trimming. But the price was reasonable, and you could easily do much worse. I wouldn't be in any rush to go back here, but it seems to be popular with the locals.",January 2019,Vincitorio's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g31377-d861176-Reviews-Vincitorio_s_Restaurant-Tempe_Arizona.html,"Tempe, Arizona",restaurants,4.0,4.5
