title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Airport Transfers,"We used them for airport transfers to & from our hotel without the sightseeing tour, and was pleased with the service. Our driver, John, drove us for both transfers and he was very pleasant & on time. He offered us bottled water and had hand sanitizer for us to use on both trips. He gave us an overview of Athens and gave recommendations when asked. Highly recommend",March 2020,Athens Private Airport Transfer with 1 hour Sightseeing,https://www.tripadvisor.com/AttractionProductReview-g562627-d17576502-Athens_Private_Airport_Transfer_with_1_hour_Sightseeing-Spata_East_Attica_Region_A.html,"Spata, Greece",activities,5.0,4.5
Great Museum,It's a must stopover after visiting the Acropolis on the hill. This is where the collection of the artifacts are kept to preserve them for future generations. An excellent display of the history of ancient Athens. I liked that the layout of the 3rd floor is an exact replica of the Parthenon building.,March 2020,Skip the Line: Athens New Acropolis Museum Ticket,https://www.tripadvisor.com/AttractionProductReview-g189400-d12835132-Skip_the_Line_Athens_New_Acropolis_Museum_Ticket-Athens_Attica.html,"Athens, Greece",activities,5.0,4.5
Must visit,"Great area to wander around to shop, eat, drink, and take in vibe. Nice quaint shops on narrow streets, all with the Acropolis in the background.",March 2020,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Majestic,"The city on top of the hill is more than just the Parthenon. There are numerous ruins of structures and architectural wonders to see. Just the walk up the hill, makes you appreciate the enormity of the construction process that took place here over 1000 years ago. How did they do it??",March 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
#1 Site in Athens,How is this the #2 site??? People come from all over the world to see this. It was built on top of a hill over 1000 years ago so people could see it out at sea and afar. This place was always meant to be the #1 site in Athens. I was happy that I got the opportunity to see this architectural marvel in person. I cannot image anyone going to Athens and not taking time to stop here.,March 2020,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
So much Food,"I think this was the first time in my life that I never ate all my french fries!!!
To be fair, we weren't extremely hungry, when we entered but it was 8pm and wanted to eat something before drinking. We ordered greek salads, an eggplant appetizer, and gyros. The volume of food that came out of that kitchen and onto our tables was astounding. The pricetag for that food would have been at least double in NY. The eggplant app must have been 2 whole eggplants cut up & fried. The gyro platter could not fit on a normal plate, so it was placed in front of me on a round silver pizza platter. Must of been over 1.lb of fries. It was all delicious & very reasonably priced.",March 2020,Gioti,https://www.tripadvisor.com/Restaurant_Review-g189400-d10284605-Reviews-Gioti-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Greek Diner,"Postscript or PS, it's the same restaurant. The least expensive meal we had in Greece. And it was great. It reminded me of the Greek Diners in NY. The menu looked the same way. We tried a Greek pizza, a greek salad, and Haloumi, which is a greek grilled cheese (no bread) appetizer, delicious!! Their pizza is not like NY, but for where we were, it was good enough, we enjoyed it.",March 2020,PS,https://www.tripadvisor.com/Restaurant_Review-g189400-d15091809-Reviews-PS-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Greek Diner,"Postscript or PS, it's the same restaurant. The least expensive meal we had in Greece. And it was great. It reminded me of the Greek Diners in NY. The menu looked the same way. We tried a Greek pizza, a greek salad, and Haloumi, which is a greek grilled cheese (no bread) appetizer, delicious!! Their pizza is not like NY, but for where we were, it was good enough, we enjoyed it.",March 2020,Postscript,https://www.tripadvisor.com/Restaurant_Review-g189400-d4697172-Reviews-Postscript-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Great Restaurant,"This restaurant was close to our hotel, and we wanted to try it as soon as we saw it. We were pleased. I ordered the steak and my wife ordered the shrimp. With the exception of my wife's reaction to the heads of the shrimp still being attached, both meals were great. We also had greek salads and a mushroom appetizer, which were both delicious. Highly recommend",March 2020,MIRONI Greek Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d14072280-Reviews-MIRONI_Greek_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Very Good Hotel,"Overall I thought the Stanley was a very good hotel. I was dismayed that the rooftop bar/restaurant was closed, because there was no prior posting of the construction, when we booked. But it did have another restaurant and room service. The hotel offered a complimentary breakfast which was very good with many greek & american food items to choose from. The rooms were clean, and the Metro station was right on the corner. There were many food choices & restaurants in the immediate area, which we ate at a different one each nite. Some reviews questioned the safeness of the are, and that was not my experience. I feel those people are not used to urban settings. It was a densely populated traffic area but not a criminal element one. The only thing to be aware of is the traffic. Lots of small cars & motorcycles racing around the traffic circle with little regard to traffic rules(red lights) made crossing the streets an interesting challenge. But once across the intersection I had no worries.",March 2020,The Stanley,https://www.tripadvisor.com/Hotel_Review-g189400-d233051-Reviews-The_Stanley-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
