title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
An Informal Ruth's Chris?,"On our anniversary trip to Asheville, we purposely packed our business casual clothes for our celebratory dinner at Ruth's Chris. Having dined in our local restaurant in the past, we were aware of the dress code and dared not go without dressing up a bit. We could have left those clothes at home as it was more of a come as you are restaurant; everything from suits (a few, not many) to shorts, jeans, mid-riff shirts, sneakers, etc. Doesn't impact the service we received (which was very good and nice to have our special occasion recognized) or the quality of the food. But again, the ambiance is a bit missing (including the valet staff, but hey I guess Asheville has a different vibe).

The petite fillets were done as ordered, sizzling in butter and a nice taste. The mash potato side was also tasty (enough to share). The only flop on the meal was the shoestring potatoes which were over cooked and overly crispy. But I ate them anyway.

Good bread and we appreciated the complimentary dessert (ice cream and a chocolate lava type cake; would have liked the apple crisp tart, but hey after spending $145 for the dinner not including tip, I won't complain on saving a few dollars).",April 2021,Ruth's Chris Steak House,https://www.tripadvisor.com/Restaurant_Review-g60742-d2456500-Reviews-Ruth_s_Chris_Steak_House-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,4.0,4.5
Very good caramels,Stopped by and enjoyed the smells of this boutique chocolate store. Bought an assortment of caramels which I'm told are made on site. they were very good.,April 2021,Asheville Chocolate,https://www.tripadvisor.com/Restaurant_Review-g60742-d2432765-Reviews-Asheville_Chocolate-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,5.0,4.5
Grand Dame in Asheville,"Spent a nice midweek stay at this Grand Dame nestled above Asheville. This was our first visit and we were immediately taken with the view as you enter the property. It is imposing for sure. It is also a very busy property with people and cars coming and going. The front has a large porch area with rocking chairs so you can sit and enjoy the hustle and bustle.

The grand front lobby has plenty of sitting and plenty of people. You are immediate drawn to the back doors and the views from the back decks of the valley golf course and the waterfall in front of the Spa. It is a sight to behold. Note: the property is open to all so you'll see and hear a lot of tours being conducted for visitors.

Check in is at 4pm and I got the feel that early check in is not welcomed at all. You can call at the front desk, they will check you in however your room most likely won't be ready until 4. They will text you when you can come and pick up your key. That gives you some time to walk around and acquaint yourself with the shops and eateries, the sports complex, etc.

Our room was a standard room in the main lodge (room 555). True to our luck it was the room immediately by the elevator. On the plus side, the rooms re well insulated from the noise and other than the occasional loud guest and welcome/bye bye as people entered and departed the elevator (manned by an attendant, only two riders at a time), we heard very little noise.

The room is of good size, with a king bed, window overlooking the front of the lodge, four nice, soft pillows, plenty of storage (closet, built in draws, separate closet with ironing board, a good size bathroom, large TV with a very quiet mini-fridge in cabinet below, two armed chairs (a bit on the slender size for sitting) and desk. Two robes can be found in the closet (with a safe and key).

Bathroom had some signs of mold behind the sink faucets and the glass door to the tub/shower combo. The rubber molding for the shower glass opening was also coming off. Caution for those with some mobility issues, you may have trouble climbing into and out of the tub (it's deep and no real handles to steady yourself getting in and out). The shower had nice, constant pressure and an adjustable shower head. We were not able to redirect the water from shower to tub, so not sure if that was an issue with us or the facet. Had four nice and thick towels, a hair dryer and shampoo/soap/conditioner accessories.

We did not eat at the lodge (couldn't get reservations last minute). They offered us a free coffee from the marketplace but didn't use those coupons either.

Parking is at a premium if you self park (added charge per day). We ended up having to park near the sports complex and walk (hike) to up hill to the lodge each day. They do offer valet parking which takes most of the nearby spaces. Didn't appear they offered on property shuttle to the parking areas.

Overall was nice to spend our special anniversary occasion (not recognized in any way by the hotel) at the Lodge. I did use their onsite flower shop to order an arrangement which was delivered as promised.",April 2021,The Omni Grove Park Inn,https://www.tripadvisor.com/Hotel_Review-g60742-d93940-Reviews-The_Omni_Grove_Park_Inn-Asheville_North_Carolina.html,"Asheville, North Carolina",hotels,4.0,4.5
Pandemic has taken its toll,Unfortunately the pandemic has appear to have taken its toll with many empty shop spaces. Those that were still open were nice but not like we recalled on our visit a few years ago. Interior was dark but it is conveniently located across the Wall St. parking garage.,April 2021,Grove Arcade,https://www.tripadvisor.com/Attraction_Review-g60742-d1600374-Reviews-Grove_Arcade-Asheville_North_Carolina.html,"Asheville, North Carolina",attractions,3.0,4.0
Nice open setting,Unfortunately they were not doing glass blowing demonstrations when we visit but still they were working on a piece. The exhibit and shop has a nice variety of brightly colored glass items. Worth the walk from the downtown center.,April 2021,Lexington Glassworks,https://www.tripadvisor.com/Attraction_Review-g60742-d7447376-Reviews-Lexington_Glassworks-Asheville_North_Carolina.html,"Asheville, North Carolina",attractions,4.0,4.5
Nice gallery. Free parking nearby,Was our second visit to the gallery while visiting Asheville. The gallery has a very nice collection and appeals to all tastes. The prices are very reasonable. We will cherish the pottery we found on this trip.,April 2021,New Morning Gallery,https://www.tripadvisor.com/Attraction_Review-g60742-d2622164-Reviews-New_Morning_Gallery-Asheville_North_Carolina.html,"Asheville, North Carolina",attractions,5.0,5.0
Those donuts are big,"Stopped by after reading some reviews in anticipation of some great donuts on our recent trip to Asheville. First impression was, wow those are some big donuts. We ordered two Vortex doughnuts (cinnamon sprinkled with a drizzle of chocolate) and one chocolate covered; a small (12oz) drip coffee and one hot chocolate (whole milk).

The pros: those are some big doughnuts and they looked good.

The cons: those big doughnuts has no taste whatsoever. The coffee was terrible (wife actually tossed hers out) and like the donuts the hot chocolate had very little taste to it.

Yeast based, these are light and chewy. I love chocolate but there was no taste to this these. Exceptionally disappointing.

Can't recommend.",April 2021,Vortex Doughnuts,https://www.tripadvisor.com/Restaurant_Review-g60742-d7193778-Reviews-Vortex_Doughnuts-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,2.0,4.0
A good option for lunch when you don't want to wait around too long for a table,"it's a Mellow Mushroom and the food is predictable. The service was very good and it was nice to be able to get in with very little wait which is often not possible at other places in this very busy, foodie town.",April 2021,Mellow Mushroom Asheville,https://www.tripadvisor.com/Restaurant_Review-g60742-d1172827-Reviews-Mellow_Mushroom_Asheville-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,4.0,4.5
Excellent Lunch,"Pleasantly surprised when we stopped in for lunch. First the basket of fried pork rinds were fantastic and addictive. The service was attentive and pleasant. For lunch we ordered a seafood platter with shrimp and scallops panned fried. Excellent, moist and well seasoned. Fries were wonderful (coated and crunchy). The cocktail sauce was superb. Wife had the shrimp croissant sandwich which was also fantastic (maybe a bit too much onion but otherwise top notch).",March 2021,19 Degrees North Seafood and Grill,https://www.tripadvisor.com/Restaurant_Review-g34882-d15122317-Reviews-19_Degrees_North_Seafood_and_Grill-Dahlonega_Georgia.html,"Dahlonega, Georgia",restaurants,5.0,4.0
Disappointing,"Attended here with a large party and unfortunately the food disappointed. The service did not and was top notch. Our server did an amazing job.

So the food. We started with their pretzel. It was ok, could have used a bit more salt and wasn't a big fan of the butter slathered on top (my fault, I should have asked for it not to be put on). For my main, I ordered the wurst sampler substituting another weisswurst for the garlic bratwurst. So it was two weisswurst, a knackwurst and double sauerkraut. I'm seldom disappointed with wurst and love weisswurst. This was by far some of the worse wurst I've had. The weisswurst were grilled, not boiled and were overcooked. The knackwurst was good. The sauerkraut was by far the worse I've ever had in a restaurant. It had little taste and what taste it had was almost inedible. Having lived in Germany and visited many times, I'm love my wurst and sauerkraut. This was not one of those good experiences. Wife had the chicken 'schnitzel' which was a good portion though more like a fried chicken cutlet than a schnitzel. Her red cabbage on the other hand was very good. For dessert, tried the strudel. It was fine.",March 2021,Bodensee Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35004-d2702774-Reviews-Bodensee_Restaurant-Helen_Georgia.html,"Helen, Georgia",restaurants,2.0,4.5
