title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Couple with dog,"Always on the look out gor a dog friendly Pub, i found this place. Regularly go to other pubs in the area but was the first time here.

Beautiful old pub, really lovely and friendly staff and the food..... My partner is Malaysian and was convinced the chef must be asian with the quality of the Asian inspired food options.

As a vegetarian I was well catered for.

Thankyou for a lovely evening. We will be back!!",October 2020,The Bowl Inn,https://www.tripadvisor.com/Restaurant_Review-g1096430-d2239477-Reviews-The_Bowl_Inn-Almondsbury_Gloucestershire_England.html,"Almondsbury, United Kingdom",restaurants,5.0,3.5
Slow and Lactustre,"I'll begin with the good points:

- the poached eggs are nice

And now the bad points:

- Nobody is ever Ever at the 'Wait to be seated sign'
- The coffee machine which normally accompanies the breakfast wasn't working, so you had to play 'hunt the coffee maker'. Today the coffee machine has been replaced by an urn of coffee. This was fine for me as I just take coffe black, but for those fans of Latte and Cappuccino, zilch.
- The buffet is light on the ground for a normal Premier Inn Breakfast.
- If you want a cooked breakfast, be prepared to play 'hunt the waitress'. She's a lovely woman, but she seems to not notice people.",November 2019,Derby Lodge,https://www.tripadvisor.com/Restaurant_Review-g1727851-d3579405-Reviews-Derby_Lodge-Huyton_Merseyside_England.html,"Huyton, United Kingdom",restaurants,2.0,4.0
Iconic and not dissapointing,"Really great experience. Such a beautiful location, you can see why the ancient greeks chose it.

Definitely a must see when in Athens!!",November 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Hidden Gem,"Firstly, a warm welcome from the host, who was very attentive.

The food was really great and extremely inexpensive.

Non glamorous, surprisingly brilliant restaurant!! Would go again if I found myself in Athens!!",November 2019,Aspro Alogo,https://www.tripadvisor.com/Restaurant_Review-g189400-d1227879-Reviews-Aspro_Alogo-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Lovely location,"Took a bus tour from Athens. It took around 1.5 hours. Total cost was about €40 each, which did seem a little steep really. Entry to the site was €8 and was included in the price. We were allowed to roam for 1 hour.

Once there we walked up to the temple ruins, which were interesting but not really any more magnificent than the others we'd seen in Athens itself.

As previous reviews have said, the location is what makes it.

There is a small cafe at the bottom of the hill which we had a drink in.

1 hour was really enough time to be there as there is nothing to do once you've seen the temple.",November 2019,Temple of Poseidon,https://www.tripadvisor.com/Attraction_Review-g562628-d312283-Reviews-Temple_of_Poseidon-Sounio_East_Attica_Region_Attica.html,"Sounio, Greece",attractions,4.0,4.5
Lovely Lovely Lovely,"We didn't know the oublic trabsport routes and didn't manage to get an uber, so we walked up to the funicular. It's a loooooong walk and up hill!!

The funicular is €7 return. I don't think i could have walked as we went for the sunset and had had a very busy day of walking.

There is a restaurant, bar and chapel at the top, but the main attraction is the wonderful views of the city, coastline and isalnds.

It's a lovely place to see the sun set. Take some drinks or get a drink in the bar or from the street sellers.

We stayed until it went dark and this was stunning with the city and sites lit up!!",November 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Very interesting artifacts,"Well worth a visit!! Lots to see!! Very intersting items!!

Very lovely building and grounds, right next to ths hop on hop off bus stop!!",November 2019,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful!!,"It was high on my list of things to do, and it was well worth it!!

Pictures don't do the place justice. Go immediately!!",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
WOW,"We've come a long way from the non meat option being a stuffed portobello mushroom.

I'm vegetarian, my partner is a meat eater. We both loved this place!! Food was sooooooo good and such fantastic value for money. Such lovely, friendly people too!!

I had the veggie meatball tortilla, my partner had the greek salad and Mushroom Gyros. All was great!!

Thanks and keep up the fantastic work!!

P. S, Put a sign on the main street!! You deserve fantastic trade!!",November 2019,Vegan Beat,https://www.tripadvisor.com/Restaurant_Review-g189400-d14142081-Reviews-Vegan_Beat-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Soulless Stay,"This was my first time in Benidorm with my mum and younger sister. It isn't normally the kind of holiday I would go on unless it is to party with friends, but I will try my best to be as unbiased as possible.

Good Points:

- There are 2 pools. A large outdoor and a smaller indoor (adult only) pool. The main pool is a sun trap. There is also a pool bar open from June onwards.
- They have happy hour twice per day (draught lager and cider is 2 for 1).
- There is a mini market in the main building with a good choice of items.
- Staff are friendly.
- Rooms are well equipped

Not so good points:

- It's far from the hustle and bustle - 40 minutes walk and alot of that is uphill. I was very glad I had booked a mobility scooter for my mum.
- Breakfast is nice, but wouldn't waste your time with the evening buffet. The food was vile and the free drinks were all horrible. Well done for ruining draft Pepsi, Orange and 7up!!
- The whole place is just a bit drab. There isn't really an atmosphere. If you're a parent who likes getting pissed and leaving their kids run through corridors until all hours.... This is your place. If you go away to have fun, you won't be impressed.
- Entertainment was the least entertaining I think I've ever seen. It consisted of a woman setting up a karaoke stand and letting kids just walk up and screech whilst she danced like an idiot. I think it would be a No from Simon.
- WiFi is charged. Who even does that in 2019?!
- The gym is also chargeable

All in all I didn't hate the place because I only used it to sleep in. If you want to be close to everything benidorm has to offer then don't stay here. If you would like evening entertainment and decent food, don't stay here.

It may seem cheap for the money but you will quickly rack up a big spend on taxis if you want to leave the place, or you need to be fit!!

I wouldn't stay here again.",May 2019,Terralta Apartamentos Turisticos,https://www.tripadvisor.com/Hotel_Review-g187525-d287291-Reviews-Terralta_Apartamentos_Turisticos-Benidorm_Costa_Blanca_Province_of_Alicante_Valencian_C.html,"Benidorm, Spain",hotels,2.0,4.0
