title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good food very slow service,"Went for our first pub garden lunch since lockdown , food was good but service was very slow , had to wait a very long time to get our drinks ( I had to remind the two girls serving twice ) . This was maybe understandable as we were told they were short staffed but still thought 35 mins was a bit of a time to wait .",April 2021,Barmy Arms,https://www.tripadvisor.com/Restaurant_Review-g528819-d3229288-Reviews-Barmy_Arms-Twickenham_Greater_London_England.html,"Twickenham, United Kingdom",restaurants,3.0,3.5
Yet another wonder of Athens,Breathtaking building built by the ancient Greeks truly another of the must see building when you visit this amazing historic city .,February 2020,Temple of Hephaestus,https://www.tripadvisor.com/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Stunning,"Please go and soak up the history and beauty of the acropolis,so much to see you could easily spend a day seeing the structures at the top as as well as walking the slopes and seeing the other structure including the theatre of Dionysius etc . Also the view of Athens from the top is breathtaking.",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing structure,Truly stunning building at top of the acropolis along we the other two structure are I would say on e of the seven wonders of the modern world .,February 2020,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Do not miss,"This truly is a must see if you visit Athens ,absolutely beautiful stadium which was truly breathtaking . It also has amazing views when you go to the top of the stadium .",February 2020,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great Greek platter,"Very quaint restaurant down a busy street near the acropolis . We had a lovely Greek salad followed by the Greek taster platter , which had some delicious Greek food especially the the lamb with lemon potatoes which was incredible .",February 2020,Liondi Traditional Greek Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d5041914-Reviews-Liondi_Traditional_Greek_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Great museum,"Very airy and modern museum with some amazing artefacts , and ruins underneath . It also has a really great restaurant .",February 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Amazing service,"The staff at this hotel are first rate ,literally nothing is too much trouble . When we arrived I pour room had two separate beds and when we asked if we could possibly changed rooms to one with one large bed the excellently house keeping rapidly did there magic aturned the two beds into one in no time at all . The front desk are very helpful and the free breakfast is very good with some very tasty Greek specialities as well as the normal breakfast fare .",February 2020,Herodion Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228864-Reviews-Herodion_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Awesome,"Definetly one of most beautiful places to visit whilst staying in arizona . Our guide wyatt could not have been more informative or helpful he , took pictures for us and told us the history not only of the canyon and how it was formed but about the Navajo nation . The canyon itself is really stunning And seems to change colour as you walk through it . You are a little bit rushed but not unduly so , you do have time to take the unenviable pictures but you can’t dilly dally whilst doing so . But overall well worth a visit the canton is simply stunning .",October 2019,Antelope Canyon,https://www.tripadvisor.com/Attraction_Review-g60834-d103191-Reviews-Antelope_Canyon-Page_Arizona.html,"Page, Arizona",attractions,5.0,4.5
Great view,"Really great observation deck situated in the Rockefeller centre ,really good views of the big Apple",March 2019,Top of the Rock,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,"New York City, New York",attractions,4.0,4.5
Very nice steakhouse,"Very nice western themed restuarants ,which has a very good menu and great steaks the few peanuts in buckets on your table is a novel touch",October 2019,Texas Roadhouse,https://www.tripadvisor.com/Restaurant_Review-g31377-d7802516-Reviews-Texas_Roadhouse-Tempe_Arizona.html,"Tempe, Arizona",restaurants,4.0,4.5
Very large mall,Large indoor mall with some interesting stores and a few nice restuarants .it also have an aquarium and a a cinema,October 2019,Arizona Mills,https://www.tripadvisor.com/Attraction_Review-g31377-d271168-Reviews-Arizona_Mills-Tempe_Arizona.html,"Tempe, Arizona",attractions,3.0,4.0
Bit of a hike but boy is it worth,"There is paid car park with basic toilets .once you have parked your vechile there is short hike to one of the best views I have ever seen , truly breathtaking. Plenty of vantagepoints to take photos . The hike back on the otherhand is uphill and quite tiring I wouldn't reckon it to anyone who has difficulty walking or has a heart condition . I would say the best times to visit would be sunrise or sunset ,but I would imagine you would need to get there early as the car park gets extremely busy ,and space is limited .",October 2019,Horseshoe Bend,https://www.tripadvisor.com/Attraction_Review-g60834-d621712-Reviews-Horseshoe_Bend-Page_Arizona.html,"Page, Arizona",attractions,5.0,4.5
Great day on lake powell,"Lake powell is a beautiful tranquil place , and there is no better way to explore than to rent paddle boards and kayaks from lake powell paddle boards . They are a very friendly and knowledgeable company . I would recommend them . Next time time we will rent a lot earlier in the day so we could really enjoy lake powell and lower antelope canyon.",October 2019,Lake Powell Paddleboards and Kayaks,https://www.tripadvisor.com/Attraction_Review-g60834-d4228517-Reviews-Lake_Powell_Paddleboards_and_Kayaks-Page_Arizona.html,"Page, Arizona",attractions,5.0,5.0
Amazing canyon,Amazing tour guide wyatt very knowledgable and made the tour fun and very interesting . Not only did he know the best place to take photos he also showed us ho all the amazing canyons and rocks in the area were formed . He also gave us a little insight into the history of the Navajo nations . The canyon really has to be seen to see it in all its glory . One thing I would say in October save yourself some money and just turn up for the tour there was no need to prebook . Defo a must do if you are in the area . We drove up from Scottsdale and spent the night in page .,October 2019,Upper Antelope Canyon Ticket,https://www.tripadvisor.com/AttractionProductReview-g60834-d16741630-Upper_Antelope_Canyon_Ticket-Page_Arizona.html,"Page, Arizona",activities,4.0,4.0
Great setting,"This restaurant is situated right near a lovely beach , food is very good and service is very friendly .",June 2019,Mamabeach,https://www.tripadvisor.com/Restaurant_Review-g1187114-d3279855-Reviews-Mamabeach-Pittulongu_Olbia_Province_of_Olbia_Tempio_Sardinia.html,"Sardinia, Italy",restaurants,5.0,4.0
Great food friendly service,"At every here a few times and found the food delicious on every occasion ,very reasonable prices and good selection from pizzas , pasta and seafood .",June 2019,Bar Bolla,https://www.tripadvisor.com/Restaurant_Review-g1187114-d12934490-Reviews-Bar_Bolla-Pittulongu_Olbia_Province_of_Olbia_Tempio_Sardinia.html,"Sardinia, Italy",restaurants,5.0,4.5
