title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Delicious local meals,"Very delicious local meals in a very nicely decorated restaurant.
They serve food tables and or you can choose to sit on floor to eat.",January 2021,Zhyar Kurdish Restaurant,https://www.tripadvisor.com/Restaurant_Review-g659508-d23087709-Reviews-Zhyar_Kurdish_Restaurant-Sulaymaniyah_Sulaymaniyah_Province.html,"Sulaymaniyah, Iraq",restaurants,5.0,5.0
Nice Cafe and Book Shop,"If you are walking in Salim street, then it worths paying a visit to this cafe to have a cup of tea or coffee and to read or buy some books.",January 2021,Jamal Erfan Cafe & Bookshop,https://www.tripadvisor.com/Restaurant_Review-g659508-d23087710-Reviews-Jamal_Erfan_Cafe_Bookshop-Sulaymaniyah_Sulaymaniyah_Province.html,"Sulaymaniyah, Iraq",restaurants,5.0,5.0
Old cemetery,"Called Zoroastrian cemetery or Baba Shaswar cemetery, located on the to Baba Shaswar water dam, is an old cemetery and worth visiting.",January 2021,Baba Shaswar Cemetry,https://www.tripadvisor.com/Attraction_Review-g659523-d23087240-Reviews-Baba_Shaswar_Cemetry-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
Beautiful old palace,"Beautifully decorated nineteenth century palace that belonged to Majeed Pasha Baban.
One side of the building is still standing and there are beautifully decorated walls.",January 2021,Palace Of Majeed Pasha Baban,https://www.tripadvisor.com/Attraction_Review-g659523-d23066497-Reviews-Palace_Of_Majeed_Pasha_Baban-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
Kimash Old Hamam and Gallery,Easy walk to visit this beautiful small old Hamam located close to old town of Kifri and now serves as a gallery.,January 2021,Kimash Hamam And Gallery,https://www.tripadvisor.com/Attraction_Review-g659523-d23066493-Reviews-Kimash_Hamam_And_Gallery-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
Saray Kifri,"Located in the western part of the city, built by British mandatory authorities in 1919 AD. Served as a court and other government departments till late 1970s",January 2021,Saray Kifri,https://www.tripadvisor.com/Attraction_Review-g659523-d23066494-Reviews-Saray_Kifri-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
Dakhma Tombs,"These located north to Kifri town, some are dating back to Zoroastrian times and some are nineteenth century tombs. They are located as rooms and are probably for families.",January 2021,Dakhma Cemetery,https://www.tripadvisor.com/Attraction_Review-g659523-d23066492-Reviews-Dakhma_Cemetery-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
Beautiful Old Castle,"Located on the south suburbs of Kalar town, lies this castle that was built by Muhammad Pash Beg of Jaff (1866-1874) as a center of his tribe.
It’s octagonal in shape and consists of a basement and two floors with many nicely decorated rooms and now they serve as a museum.
The hill probably served as a garrison or a tower in older times as some excavation revealed different historical levels of Islamic (Umayyid and Abbasid) and Sassanids.
Easy to reach and walk around.",January 2021,Sherwana Castle,https://www.tripadvisor.com/Attraction_Review-g2617313-d23066491-Reviews-Sherwana_Castle-Kalar_Sulaymaniyah_Province.html,"Kalar, Iraq",attractions,5.0,5.0
Town Cultural Museum,"An old post office building of the city transformed by locals to a beautiful cultural museum where old items of agricultural, photography, fabrics and industrial tools are exhibited.
Worth visiting.",January 2021,Town Cultural Museum,https://www.tripadvisor.com/Attraction_Review-g659523-d23066517-Reviews-Town_Cultural_Museum-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
Beautiful old water-mill,"Built in early nineteenth century on the edge of Bawa Shaswar water stream. This beautiful old water-mill consists of few rooms and the chamber where water was allowed in to precess wheat, barley and rice.",January 2021,Water Mill Of Qazy,https://www.tripadvisor.com/Attraction_Review-g659523-d23066520-Reviews-Water_Mill_Of_Qazy-Ba_qubah_Diyala_Province.html,"Ba'qubah, Iraq",attractions,5.0,5.0
