title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Regina Mundi visit,"A rather large church

It is a very large Catholic church in Soweto. To me it had a very cold and eery feel to it especially if you know what went on in the past. Bullet holes in the glass stained windows are a strong reminder of the horrors of the day. The museum up the stairs was stark and i felt more could have been done to it. The church in essence in my opinion would not warrant a visit would it not have had the history behind it. I am glad i saw it this once.",March 2019,Regina Mundi,https://www.tripadvisor.com/Attraction_Review-g312587-d563950-Reviews-Regina_Mundi-Soweto_Johannesburg_Greater_Johannesburg_Gauteng.html,"Soweto, South Africa",attractions,3.0,4.0
Tea and cake!,"A nice place for breakfast or brunch with the ladies.
The place has a nice ambience and the menu will not disappoint.",January 2020,Petits Fours,https://www.tripadvisor.com/Restaurant_Review-g312578-d8372456-Reviews-Petits_Fours-Johannesburg_Greater_Johannesburg_Gauteng.html,"Johannesburg, South Africa",restaurants,4.0,4.0
Tea with friends in a lovely setting!,A nice location to go for breakfast or tea with the ladies! The food is excellent and fresh and served in quaint crockery which adds to the ambience. Service is very friendly.,March 2019,The Silver Spoon Victorian Tea Room,https://www.tripadvisor.com/Restaurant_Review-g319720-d8483475-Reviews-The_Silver_Spoon_Victorian_Tea_Room-Randburg_Greater_Johannesburg_Gauteng.html,"Randburg, South Africa",restaurants,5.0,4.0
Best steak in JHB; the Carvery is not bad either -:),A family restaurant of long long standing in the same location but different ownership. The ambience and quality have remained as we first went there in the 60's. A T-Bone steak and chips cost R1.50 and a plate of salad 35c. A nice family restaurant and good service.,July 2019,Thundergun Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g312578-d2517233-Reviews-Thundergun_Steakhouse-Johannesburg_Greater_Johannesburg_Gauteng.html,"Johannesburg, South Africa",restaurants,5.0,4.5
Always full house... good sign!,"We often pop in for lunch on a Sunday when shopping in Cresta.
The menu is big and variety to choose from and they often have specials. Good value for money. The only complaint is that the orders take long to get to the table.",January 2020,Dominiques Cafe,https://www.tripadvisor.com/Restaurant_Review-g312578-d5431332-Reviews-Dominiques_Cafe-Johannesburg_Greater_Johannesburg_Gauteng.html,"Johannesburg, South Africa",restaurants,4.0,4.0
The night we had Schwarma and Falaffel,"The Service is excellent and clean. Staff very friendly. Very good selection of condiments and the food is really tasty, For a quick meal on a Sunday night or lunch time it is ideal.",January 2020,Anat Cresta,https://www.tripadvisor.com/Restaurant_Review-g319720-d7262560-Reviews-Anat_Cresta-Randburg_Greater_Johannesburg_Gauteng.html,"Randburg, South Africa",restaurants,4.0,2.0
Plaka on Cresta,"Having recently come back from a holiday in Athens and Crete - Chania where the food was superb, we wanted to re live the Greek experience. The night we went shortly after Christmas and New Year the place was empty. Somehow the place lacked atmosphere and the food was good but not exceptional. It is expensive. We would go back but not immediately as there are other places we rate higher.",January 2020,Plaka Restaurant Cresta,https://www.tripadvisor.com/Restaurant_Review-g312578-d940099-Reviews-Plaka_Restaurant_Cresta-Johannesburg_Greater_Johannesburg_Gauteng.html,"Johannesburg, South Africa",restaurants,3.0,4.5
Alitalia flight to Rome - Athens,"The planes are modern, good leg room space and the flight to Rome was smooth and pleasant. Dinner was acceptable.
Breakfasts were too terrible - served by an indifferent cabin crew who don't know how to smile. On the return journey the food all around was shocking and like the cabin crew indifferent. Still, the plane was clean and modern. The flight was smooth and on time.

Why do we fly Alitalia, purely because it is a direct flight to Italy (family in Milan) and at the time the cost was acceptable.",October 2019,Alitalia,https://www.tripadvisor.com/Airline_Review-d8729018-Reviews-Alitalia,World,flights,3.0,3.0
Visit to the Acropolis,An incredible sight to behold especially at night! I wish they would build a cable car to take older folk on a boiling day to the top. We would have loved to visit the museum however in the heat of 32c and the climb we were not prepared to risk it. We viewed it from as close as possible but did not go right to the top. A pity.....,September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Gallini,"A stunning setting, helpful staff and a massive menu. We discovered this gem on our last night in Chania. Wish it was on the first day or we would have come nightly. The family run restaurant is friendly, lots of freebies and the food was excellent. We intend to return to Crete and Gallini is on the map for sure.",September 2019,Gallini,https://www.tripadvisor.com/Restaurant_Review-g189415-d1986777-Reviews-Gallini-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,3.5
STUNNING LOCATION ESPECIALLY AT SUNSET....,Breath taking location especially when the sun sets and the lights of the numerous restaurants and shops light up. A moving setting and lovely to walk along the harbour wall to the light house.,September 2019,Old Venetian Harbor,https://www.tripadvisor.com/Attraction_Review-g189415-d3502361-Reviews-Old_Venetian_Harbor-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.5
