title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Small but great pizza,"Small restaurant , basic table and chairs but who cares when the pizza are fantastic and with really friendly staff.
All fresh crispy bases with lots of choice for toppings . Real liked the combination of sun dried tomatoes with flaked Parmesan and speck with pesto .
Bottle of cote du Rhône was lovely and only 20 e ( and bio)
Try the free home made lemonchel as well .",February 2020,Pizz'Avalanche,https://www.tripadvisor.com/Restaurant_Review-g196706-d9557567-Reviews-Pizz_Avalanche-La_Clusaz_Haute_Savoie_Auvergne_Rhone_Alpes.html,"La Clusaz, France",restaurants,5.0,4.5
Wow,"Stopped in to see the strokkur on our golden circle tour . It’s a 50m walk from the car park and photo tells u everything .

The geysir explodes every 10 mins or so .

There is good facilities on site with nice little restaurant",November 2019,Strokkur,https://www.tripadvisor.com/Attraction_Review-g189957-d523246-Reviews-Strokkur-Geysir_South_Region.html,"Geysir, Iceland",attractions,5.0,4.5
Quick thoughts,"Hotel is very central, good breakfast , helpful staff , comfortable bed , Jamie’s restaurant on site , small but good spa and good website for trips . Art Deco style

Downside - the room we had didn’t have a Bath , pizza in Jamie’s were good but Fried fish and chips special was poor ( this was restaurant )

Overall excellent hotel especially helpful staff and great and quiet location",December 2019,Hotel Borg by Keahotels,https://www.tripadvisor.com/Hotel_Review-g189970-d207775-Reviews-Hotel_Borg_by_Keahotels-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",hotels,5.0,4.5
Iceland in a box,"We went to the concert call to see the short film Iceland in a box . It lasts about 15 mins and you are sat in a room surrounded by videos playing around you .

It’s a great introduction to what to see and do in Iceland",November 2019,Harpa Reykjavik Concert Hall and Conference Centre,https://www.tripadvisor.com/Attraction_Review-g189970-d2108615-Reviews-Harpa_Reykjavik_Concert_Hall_and_Conference_Centre-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",attractions,4.0,4.5
A backpackers delight,"I’d describe this place as a backpackers delight , easy to find , no pretensions, good food and at a good price .

The restaurant is in a metal but very warm shack/ shed right next to the harbour . The food primarily is lobster soup and kebabs .

You order when you enter and find a bench with chairs and Wait for the food to arrive . They also sell beer and soft drinks .

It’s pretty basic but don’t be put off . We had 2 scallop kebabs and a salmon kebab plus potato and vegetable kebabs . For two it was perfect .

The fish was fantastically fresh and excellent portions eg a scallop kebab was 6 fresh scallops , each of a decent size .

We didn’t try the soup , but most people seemed to enjoy it around us

It was very cheap for Reykjavík prices , I’d recommend.",November 2019,Saegreifinn,https://www.tripadvisor.com/Restaurant_Review-g189970-d1209708-Reviews-Saegreifinn-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",restaurants,4.0,4.5
Nice little restaurant in old town,"Nice little restaurant in the old town , particularly thought the atmosphere was good and the staff helpful and friendly .
We tried some of the local dishes , as a starter we had king prawns with pearl barley. The dish had a nice taste balance but I was disappointed we only had 3 shell off prawns .

For the main we went for the pan fried fish ( plokkfifskur) which consisted of a huge fish cake with new potatoes , salad and lovely local bread all on one plate . Very filling and great to try but probably would choose something different next time .

Overall good ( primarily for the service and atmosphere) but not great , perhaps avoid the local dishes . I should it was very busy and the menu had lots of other choice",November 2019,Messinn,https://www.tripadvisor.com/Restaurant_Review-g189970-d10094640-Reviews-Messinn-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",restaurants,4.0,4.5
Perfect sun set,"Just a small bar right on the sea but as every says best sunset view anywhere .

It is a wooden “shack” but better than that , built on the side of the rocks about 5 -10 minute walk around the coastal path from cavtat.

Well worth a visit , but get there early because there are limited seats and even In late sept it was full with 30 mins to sunset .",September 2019,Beach Bar Little Star,https://www.tripadvisor.com/Attraction_Review-g303804-d4742593-Reviews-Beach_Bar_Little_Star-Cavtat_Konavle_Dubrovnik_Neretva_County_Dalmatia.html,"Cavtat, Croatia",attractions,5.0,4.5
Breakfast after a walk with the dog,"The blue tomato has been around for ever in Rock .
We had a great breakfast after our dog walk along the beach . They have a range of offerings from doorstep bacon / sausage / egg sandwiches to both full English and veggie . My choice was the sandwich and very good it was

Coffee is also excellent and everything comes with a view of the camel estuary

Prices are not cheap and the inside is a bit basic ( by the end of the season ) . However dogs are well looked after including doggy sausages .

Well worth a stop after your morning stroll.",September 2019,Blue Tomato Cafe,https://www.tripadvisor.com/Restaurant_Review-g528872-d1166956-Reviews-Blue_Tomato_Cafe-Rock_Cornwall_England.html,"Rock, United Kingdom",restaurants,4.0,4.0
"Nice , good atmosphere, overpriced ?","First visit to Barnaby’s on a friends recommendation .

Overall I enjoyed the food , tapas style , excellent/ fab dishes included the mushroom and scallops dishes . For a larger dish we had the pork chop to share , beautifully cooked , but served on its own for £25 .

The clams however weren’t so good

20 oz t bone for £60 and 2/3 of a pint for £4.65 also were expensive .

Overall enjoyable but a bit hit and miss .

The restaurant only has about 25 covers so I guess they can charge the prices .",September 2019,Barnaby's,https://www.tripadvisor.com/Restaurant_Review-g315948-d14029488-Reviews-Barnaby_s-Padstow_Cornwall_England.html,"Padstow, United Kingdom",restaurants,4.0,4.5
Worth a visit,"The vineyard is about 3 miles outside padstow and easy to find .

You can just turn up and sample various wines at £2 each for 40mls . For a tour of the wine making area / walking tour you have to book .

It’s open Wednesday to Sunday only .

We just turned up and the staff were very friendly and welcoming . The outside area is lovely , surrounded by vines obviously , but also large sunflowers , a really nice spot to try a few wines . They also do some food eg cheese board or cold meats . The Spanish ham was exceptional , worth going just for that .

There are 8 + wines to sample with a wide variety of blends. Personally they didn’t grab me and were quite light ( 11 % alcohol) but not unpleasant. It was however nice to sample English wines especially from different grapes.

The vineyard is well worth a try. You can’t beat sitting in the Cornish sunshine , with a glass of wine and good nibbles in a lovely location .",September 2019,Trevibban Mill Vineyard & Orchard,https://www.tripadvisor.com/Attraction_Review-g315947-d8494783-Reviews-Trevibban_Mill_Vineyard_Orchard-Wadebridge_Cornwall_England.html,"Wadebridge, United Kingdom",attractions,4.0,4.5
Fantastic view and good food,"This is a great place to have dinner and view the bridge, the views are spectacular and I really liked the individual leather table booths .

We visited on a Wednesday and it wasn’t too busy , I think people are still finding it.

I would recommend the restaurant but the main menu and wine list is upper end pricing for Bristol

There is however a fixed price menu with 3 different options per course and less than £25 for 3 courses.

We had a rump steak and the lamb rump off the main menu. Both were very good and well cooked, the special lamb was particularly good.

There is a wide wine list although my first choice wasn’t available. Wine is a bit pricier but you get what you pay for.

Staff were very friendly with a good head waiter who certainly looked after us very well. The atmosphere was nice and relaxed

Overall well worth a visit

Ps the hotel might want to attach the Avon gorge hotel name to the trip advisor restaurant entry (otherwise you only get the hotel when searching )",September 2019,Goram & Vincent,https://www.tripadvisor.com/Restaurant_Review-g186220-d17484444-Reviews-Goram_Vincent-Bristol_England.html,"Bristol, United Kingdom",restaurants,5.0,3.5
Just a drink but a must visit,"We headed to this restaurant / bar for an early drink to see the view and weren’t disappointed.
It’s on the 28 floor with amazing views of Swansea and the marina on one side and the Gower on the other.

They seem to be keen to attract customers with 2 for £10 summer cocktails and offers on other drinks and food .

We only had a drink but it would be a great place to try for lunch while surveying the views .

It really had a classy but nice friendly feel to it . I wish we’d discovered it early on our trip .",August 2019,Grape and Olive,https://www.tripadvisor.com/Restaurant_Review-g186466-d2016672-Reviews-Grape_and_Olive-Swansea_Swansea_County_South_Wales_Wales.html,"Swansea, United Kingdom",restaurants,5.0,3.5
Great steak and great value,"A group of us found this restaurant late on a bank holiday Sunday as it was one of the few places still open at 10pm.
It was a great little find , very friendly , helpful staff and big range of steaks and mix grills to have .
My 10oz ribeye was exceptional and great value at £16 . It was really thick , no excess fat and beautifully cooked on the grill in front of you .

The place is a little way from the main night life area and is a bit basic inside but don’t be put off . I haven’t found a better steak for twice the price in many restaurants I’ve tried .

A really little find.

You can also tell it’s popular and good as there was a steady stream of locals just turning up for a late meal .

Last orders I was told was 230 am.

I’d really recommend .",August 2019,Steak By Night,https://www.tripadvisor.com/Restaurant_Review-g186466-d2078292-Reviews-Steak_By_Night-Swansea_Swansea_County_South_Wales_Wales.html,"Swansea, United Kingdom",restaurants,5.0,4.5
