title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Worth a visit,"Had a quick lunch here on the tables outside. Friendly staff and good falafels. Inside the ppace is really traditional, clean and cozy. Very fair prices and service overall",November 2020,Koz - Anatolische Spezialitaten Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187422-d12669651-Reviews-Koz_Anatolische_Spezialitaten_Restaurant-Jena_Thuringia.html,"Jena, Germany",restaurants,3.0,4.5
Sehr gute Kneipe,"This place might look hidden and dark but once you are inside the atmosphere is very comfy. Girl at the bar was very friendly and talkable, we had some drinks and snacks with some good music. Good pub",November 2020,Die Kneipe,https://www.tripadvisor.com/Restaurant_Review-g187422-d1346093-Reviews-Die_Kneipe-Jena_Thuringia.html,"Jena, Germany",restaurants,4.0,4.5
"Gosh, the cakes :)","Really nice and elegant café in the very center of Jena. Friendly staff. They also offer cakes and sweets to tale away but you can also sit and anjeoy a tasty piece of cake, they really have a lot of choice. It is a bit pricy but worth it.",November 2020,Kaffeehaus Graefe,https://www.tripadvisor.com/Restaurant_Review-g187422-d2515797-Reviews-Kaffeehaus_Graefe-Jena_Thuringia.html,"Jena, Germany",restaurants,4.0,4.5
For potato lovers,"Had been here 8 years ago but came back because of the good memories. Food is good, large variesty of dishes, base ingredient is obviously potato but combined in a lot of different ways.
Fair prices, cozy place and friendly staff. Also very well located into the main square of Jena",November 2020,Kartoffelhaus Nr.1 Inh. R. Hoffman,https://www.tripadvisor.com/Restaurant_Review-g187422-d1346090-Reviews-Kartoffelhaus_Nr_1_Inh_R_Hoffman-Jena_Thuringia.html,"Jena, Germany",restaurants,4.0,4.0
Best currywurst ever,"Always a good idea to come to fritz mitte. Fritz deal is the best option, good fries, tasty currywurst and different types of mayo. Fair prices, cozy modern place. Highly recommended :)",October 2020,Fritz Mitte - Street Food,https://www.tripadvisor.com/Restaurant_Review-g187422-d1347884-Reviews-Fritz_Mitte_Street_Food-Jena_Thuringia.html,"Jena, Germany",restaurants,5.0,4.5
Really good schnitzel,"We had a really good, big and tasty Schnitzel here with traditional potato cucumber salad. Nice lemon in the little package. Staff is friendly and the place is really nice but not that fancy.
Advice: go on Sunday because they have a special offer, since it's Schnitzeltag!",October 2020,Schnitzelei,https://www.tripadvisor.com/Restaurant_Review-g187323-d10798450-Reviews-Schnitzelei-Berlin.html,"Berlin, Germany",restaurants,4.0,4.5
Good pizza and fair prices,"Have been here for the first time and I am positively satisfied. Nice and funny italian staff, alternative place, perfectly located in Kreuzberg. Good prices, overall a good food experience.",October 2020,Il Casolare,https://www.tripadvisor.com/Restaurant_Review-g187323-d802972-Reviews-Il_Casolare-Berlin.html,"Berlin, Germany",restaurants,4.0,4.0
Mhe,"The place is really nice, modern and well equipped, staff was a bit slow in attending and misunderstood my order. Got a maple bbq and was not satisfied with it. Wanted to try the big home made onion rings but they didn't have anymore. Sweet potato fries were too salty. But fair prices and good deals.",October 2020,Brgrs Brgrs,https://www.tripadvisor.com/Restaurant_Review-g187323-d12678322-Reviews-Brgrs_Brgrs-Berlin.html,"Berlin, Germany",restaurants,3.0,3.5
True Italian pizza!,"This place has been a positive discovery, we got a panzerotto and shared a fried pizza (o' cazone), both of them were really delicious! Prices are fair, some of the pizza are even cheaper than the ones offered in other restaurants, and the quality is high! Nice place and location but the staff was a bit overwhelmed and wasn't super fast. Hope it was just an isolated case! In general, a very good experience!",September 2020,L'Antica Pizzeria da Michele,https://www.tripadvisor.com/Restaurant_Review-g187323-d21079557-Reviews-L_Antica_Pizzeria_da_Michele-Berlin.html,"Berlin, Germany",restaurants,4.0,3.5
Typical polish dish,"Small but cozy dumpling place. Prices are fair and staff is fast and really nice. We had the typical meat and ruski pierogi with sour cream and cranberry sauce, they were really good. Great location, a few minutes from the main square",September 2020,Pierogarnia Krakowiacy,https://www.tripadvisor.com/Restaurant_Review-g274772-d5524837-Reviews-Pierogarnia_Krakowiacy-Krakow_Lesser_Poland_Province_Southern_Poland.html,"Krakow, Poland",restaurants,4.0,4.5
Sweet treat,"Amazing place, really nice blond multitasking guy and delicious nutella brownie chimney with softeis. Good location a fair prices",September 2020,Chimney Cake Bakery,https://www.tripadvisor.com/Restaurant_Review-g274772-d7392300-Reviews-Chimney_Cake_Bakery-Krakow_Lesser_Poland_Province_Southern_Poland.html,"Krakow, Poland",restaurants,5.0,4.5
