title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Delicious,Enjoyed lunch at an outdoor courtyard table. The Caliexico bowl was delicious! It's nice to have delicious and healthy! It was our first stop when we arrived on the island.,February 2021,Healthy Habit,https://www.tripadvisor.com/Restaurant_Review-g54273-d12854239-Reviews-Healthy_Habit-Hilton_Head_South_Carolina.html,"Hilton Head, South Carolina",restaurants,5.0,4.5
"Slow service, bad food, go elsewhere","We went yesterday (Thursday) for lunch. When we arrived, only two other tables were filled. We thought it would be safe and quick. Our 3 meals took 35 minutes after ordering. Remember, there were only two other tables seated. When they arrived, my husband's burger had a big hair in it and the fries were cold. Nothing tasted good. There must be better places to eat in town!",December 2020,Hansen's Grill,https://www.tripadvisor.com/Restaurant_Review-g34778-d17421709-Reviews-Hansen_s_Grill-Blue_Ridge_Georgia.html,"Blue Ridge, Georgia",restaurants,1.0,3.5
Best location for Hollywood Studios,"We chose to stay here so we could walk to HS early in the morning to get in the que for Rise of the Resistance. This is the closest walkable hotel to HS and even closer to Epcot. We thoroughly enjoyed the feel of the resort. The common areas are beautifully themed. The rooms are fine but not as special as Wilderness Lodge or Animal Kingdom. However, you don't need to take any transportation to HS or EP...other than your own two feet.",December 2019,Disney's BoardWalk Inn,https://www.tripadvisor.com/Hotel_Review-g34515-d120250-Reviews-Disney_s_BoardWalk_Inn-Orlando_Florida.html,"Orlando, Florida",hotels,5.0,4.5
Amazing experience,"This is a must see for anyone visiting the area. I knew that, but I was still shocked by the size of the area and the enormity of the structures.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great food steps from Magic Kingdom,This restaurant is one of our favorites at Disney. It is very reasonably priced for the quality of food you receive. The quality is better than many other Disney restaurants which are much more expensive. We have always been pleased each time we have dined here.,December 2019,The Wave… of American Flavors,https://www.tripadvisor.com/Restaurant_Review-g34515-d1144648-Reviews-The_Wave_of_American_Flavors-Orlando_Florida.html,"Orlando, Florida",restaurants,5.0,4.0
Valuable visit before Acropolis,I encourage everyone to visit this museum. I chose to visit the day before touring the Acropolis. I'm so glad I did! I learned a vast amount! I toured on my own.,December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Magnificent hotel and location,"I do not have one negative comment about this hotel. It is amazing! The rooms, bathrooms, and common areas are incredible. The photos below show these areas. It is in the best location just minutes from all major sites.",December 2019,"King George, a Luxury Collection Hotel, Athens",https://www.tripadvisor.com/Hotel_Review-g189400-d276262-Reviews-King_George_a_Luxury_Collection_Hotel_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Great views and rooms,"The only downside of this hotel is that it is a bit farther from the city sites than many other higher end hotels However, the views, large rooms, and club level more than make up for it! The breakfast, snacks, and dinner in the club lounge are excellent! The staff is also very accommodating.",December 2019,Hilton Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d198932-Reviews-Hilton_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Excellent Service!,"My husband and I wanted to bike the 100 miles from Key Largo to Key West. I found this company on tripadvisor and the reviews were accurate. I called Patrick months in advance and rented two hybrid bicycles and panniers. We communicated a few times just before the trip. He delivered bikes to our hotel in Key Largo along with helmets, extra tubes, pump, and lock. We did not have a car or extra luggage. We biked Key Largo to Marathon one day. Rested one day. Then biked Marathon to Key West. Patrick picked up our bikes in Key West at our hotel. We flew out of Key West. The bikes were in great condition.",January 2020,Key Largo Bicycle and Adventure Tours,https://www.tripadvisor.com/Attraction_Review-g34682-d2342750-Reviews-Key_Largo_Bicycle_and_Adventure_Tours-Tavernier_Key_Largo_Florida_Keys_Florida.html,"Key Largo, Florida",attractions,5.0,5.0
Unique and Delicious,"After visiting multiple spots in the Keys, we had eaten plenty of seafood. This place had the most delicious and different food. We enjoyed it so much we came back again! The brussel sprouts are outstanding! We can also recommend the burger, truffle fries, mac and cheese, and grilled charcuterie. The key lime pie was delicious as well!",January 2020,Moondog Cafe & Bakery,https://www.tripadvisor.com/Restaurant_Review-g34345-d15196938-Reviews-Moondog_Cafe_Bakery-Key_West_Florida_Keys_Florida.html,"Key West, Florida",restaurants,5.0,4.5
