title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A must stop! Food was delicious,We stopped here one afternoon as it was recommended by one of our Tour Guides. The atmosphere was quaint and welcoming. The food was so good! I wish we had those tomato fritters here!,April 2019,Kantouni Traditional delicacies,https://www.tripadvisor.com/Restaurant_Review-g1097549-d4470011-Reviews-Kantouni_Traditional_delicacies-Pyrgos_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Great tour to learn and see about historical Greece,"It was interesting to know this was pre Pompeii and I had never heard about it! Our tour guide was great! The way she told the history was fantastic. We spent about 2.5 hours walking around. Great stop if in Santorini!

After the tour take the road down and see the beautiful water!",April 2019,Akrotiri Archaeological Site,https://www.tripadvisor.com/Attraction_Review-g1189834-d4126654-Reviews-Akrotiri_Archaeological_Site-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.0
Spectacular Winery! A must if in Santorini,We visited this winery as part of an excursion with our tour. I am so glad we signed up for this as it was one of my top places we saw. The atmosphere was warm and welcoming and it gave our group time to get to know each other and bond. The wine was excellent and I bought a few bottles to take home for family and friends. The different meal options provided were fantastic! It was a great tour that provided a lot of laughs and lovely memories. Highly recommend.,April 2019,Vassaltis Vineyards,https://www.tripadvisor.com/Attraction_Review-g189433-d10336667-Reviews-Vassaltis_Vineyards-Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,5.0
Nice Hotel - Great Location -,"We were hoping that at this hotel we would have some sort of view. We didn't. It was of another wall! We did have our own little hot tub. Unforunatly, it was too cold when we were there to enjoy it. Our room was very nice and clean. The beds were very uncomfortable and my pillow was as thick as a piece of paper. There were additional blankets in the closet. The bathroom was recently renovated. The shower was amazing! The staff was very friendly. Our balconies were right next to our neighbors. Unforunatly, when they were out smoking you were forced to shut your door, since the smoke bothered us.

The hotel bar by the pool had amazing drinks and the views were spectular. The breakfast buffet in the morning was good. It was not my favorite of the trip. They served the same thing each day. The second day, we wanted to enjoy our breakfast outside and the staff seemed to want us too as many felt it was too cold. They did end up unlocking the door but quickly locked it after I had taken two cups of coffee out. I had to ask a staff member to let me out again to gather my belongings to come back inside.

The location was a short walk into town. Lots of stairs!",April 2019,Santorini Palace,https://www.tripadvisor.com/Hotel_Review-g482942-d231228-Reviews-Santorini_Palace-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,3.0,4.0
1/2 day Tour - Worth It,"You take a ferry to the island of Delos. Our Tour Guide was named George. We walked around the ruins of the Santuary of Apollo, The Sacred Cave, the Lion Terrace and the House of Dionysis. The entire tour was breathtaking. Walking around and seeing these ancient ruins is so interesting. The weather when we went was very windy. I am not sure if it is normally like this. I would recommend seeing this site.

Wear comfortable shoes and clothes. We heard in the summer it is very hot and there is hardly anyhere to get shade.",April 2019,Archaeological Site of Delos,https://www.tripadvisor.com/Attraction_Review-g202339-d4297568-Reviews-Archaeological_Site_of_Delos-Delos_Cyclades_South_Aegean.html,"Delos, Greece",attractions,5.0,4.5
Very happy we picked this place!,"It was rather chilly and raining the night we ate here. They had placed their plastic tarps around the outside area and added heat warmers. The staff was friendly and prompt. When I went to order my meal, the waiter recommended another dish that I went with and it was so good!

Highly recommended stopping here!",April 2019,Kadena,https://www.tripadvisor.com/Restaurant_Review-g662620-d2031513-Reviews-Kadena-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,5.0,4.0
Lunch was spectacular along with the view and the staff!,"We were “lured” in by the hostess! Very similar to South Beach in Miami. We had a fantastic seat facing the water. We ordered fun cocktails and had an appetizer and lunch. I got the spinach pie and it was one of my favorite lunches I had!

Would highly recommended going back!",May 2019,Rouvera Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g662620-d2476009-Reviews-Rouvera_Restaurant_Bar-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,5.0,3.5
Cute area to walk around,"We just walked around and took in all the beauty! The day we were there was extremely windy and cold. A lot of the places that would normally have outdoor seating weren’t set up. In addition several sections of the walk ways were blocked off due to the windy and the waves.

Overall highly recommended walking over and checking it out!",May 2019,Little Venice,https://www.tripadvisor.com/Attraction_Review-g662620-d519760-Reviews-Little_Venice-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,5.0,4.5
Great photos from this spot.,"We were walking all around little Venice and walked over to the windmills..Wow! They were so amazing! It was extremely windy the day we went and saw them! Great views and great photo opportunities.

Lots of people walking around and taking pictures!",May 2019,The Windmills (Kato Milli),https://www.tripadvisor.com/Attraction_Review-g662620-d669289-Reviews-The_Windmills_Kato_Milli-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,5.0,4.0
"Good Views, not good location to walk","We stayed here in the beginning of April. The hotel was nice. Our rooms were clean but the rooms didn’t have any personality. No photos or decor on the walls. We had a nice outside porch. The views were nice. Unfortunately it rained heavily so we only sat outside once. We didn’t experience it but a few of our travel companions had flooding in their rooms that came in from under their doors.

The bathroom was fine. There was a giant window in the shower that you could see into the main room. We had to keep the shade down. The shower did overflow as there was no lip to keep the water in.

Beds were not very comfortable. Pillows were very flat.

The hotel is not in walking distance to the town. They do offer a shuttle that runs every two hours that takes you and picks you up. We decided to take it early one morning (8am) before we had an afternoon excursion. I believe we woke the driver up after speaking to the front desk at 8:15 on when the shuttle would arrive. No one could understand why we wanted to go into town as nothing was open. But that was the point! We wanted to walk around when there might not be as many tourist. We also used it late one night, midnight. It arrived on time.

The breakfast buffet was by far one of my favorite in Greece. The variety of food everyday was amazing. Breads, eggs, pies, yogurt, fruits, jams, all of it was so good!!

Overall the hotel was good. The staff was friendly and helpful. The rooms are on different levels. Lots of stairs!!",April 2019,San Antonio Summerland Hotel,https://www.tripadvisor.com/Hotel_Review-g662620-d206782-Reviews-San_Antonio_Summerland_Hotel-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",hotels,4.0,4.0
Something different- ALOT of fun,"What a great tour this was! Unfortunately due to the heavy rains we didn’t tour the farm. But that didn’t take away from what an amazing memory this was. The hosts were so welcoming. We heard about the history of the island and then had our wine tasting which is always fun

We had the demonstration of spinach pie and tzatziki. This was also a lot of fun. They then served us lunch which tasted amazing!

The whole experience was really enjoyable and I would recommended going here if you are visiting Mykonos!",April 2019,Mykonian Spiti,https://www.tripadvisor.com/Attraction_Review-g189430-d6681044-Reviews-Mykonian_Spiti-Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,5.0,4.5
Athens-Mykonos-Ok. Mykonos to Santorini - Worst Experience,"We took this from Athens to Mykonos. We had to board at a ridiculous hour. I believe we had to leave the hotel at 4 am. Luckily we had a tour guide who directed us where to go and where to place our luggage. The boat was delayed and we didn’t leave when we were supposed to. Boat ride to Mykonos was fine. I don’t typically get sea sick so the waves didn’t bother me much. Getting off the boat was chaotic. People running yelling and pushing you.

Now the ride from Mykonos to Santorini. This was the worst experience of my life and I am not being dramatic. Our boat was supposed to leave at 10 am. It was over an hour late. The ride was I believe supposed to take 2 1/2 hours. We were on the ride for over 4. It was a completely full ferry. I had fallen asleep and when I woke up their were multiple passengers already with puke bags. There were employees going up and down the aisles passing out bags. It was so bad, I ended up taking one (even though I didn’t get sick). They were making announcements asking if anyone on the boat had medical experience as passengers were passing out. We stopped for a little bit which helped as the waves were too much and we couldn’t go to the original port we were planning on. Then they started to make announcements that they were figuring out how they could safely get us off the boat. When we were finally getting into port, we were herded to the docking part where our luggage was being held. Everyone there was so sick, some people still puking. When we were on the ramp trying to get to land the ramp was constantly moving (very frightening). Luckily there was man at the end that grabbed my arm and helped me get to land.

I would look for other alternative ways to travel the islands.",April 2019,SeaJets,https://www.tripadvisor.com/Attraction_Review-g189433-d6923012-Reviews-SeaJets-Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,1.0,3.5
One of my Favorite Spots!,"We visited here in the beginning is April. It was drizzling when we arrived but by the time we started our tour the sun came out! Our tour guide Penny was AMAZING!! Truly one of the best we had on our whole trip. Learning about the oracles, Temple of Apollo, and views of Mount Parnassus was so fascinating.

Wear comfortable shoes! Lots of stairs and uneven terrain.",April 2019,Delphi,https://www.tripadvisor.com/Attraction_Review-g189408-d523823-Reviews-Delphi-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,5.0,5.0
