title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lovely food,Good solid food here and staff were very pleasant. We were tired after a long journey and the food here was most welcome. A very busy place. Really good scampi here and freshly cooked,May 2019,Paddy Foley's Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g211860-d1432181-Reviews-Paddy_Foley_s_Restaurant_Bar-Kenmare_County_Kerry.html,"Kenmare, Ireland",restaurants,4.0,4.0
Unpleasant stay,"We stayed here recently and unfortunatley we did not have a nice stay. The proprietor was pleasant on arrivel but after that he was not helpful and was quiet rude at times. The television did not work in the room and he did not come to sort it out when we asked. There were lots of signs on the back of the door about what not to do etc. The were similar signs in the livingroom. There were security cameras on the front door - most unusual in b and b's in Ireland. Breakfast is only served from 8 to 9.30 and again this is unusual in Ireland, especially at weekends. I totally agree with the reviewer who said they felt quite uncomfortable. The Breakfast was not great and there was only preserved fruit not fresh fruit. The eggs were fine, there was butter spread and not real butter. Honey was in a squeezie plastic carton. The room was fine but damp was obviosly a problem around the windows and the sheets were really thin.
They seem to want to just make money and in my opinion give b and b's a bad name",May 2019,Shaminir B&B,https://www.tripadvisor.com/Hotel_Review-g211860-d1069102-Reviews-Shaminir_B_B-Kenmare_County_Kerry.html,"Kenmare, Ireland",hotels,1.0,4.0
Wonderful lunch in this trendy bar,I had to meet someone and we picked here as it had great reviews. We were not disappointed. The food was really good and the place is bright and airy. Parking is nearby,February 2019,Mikey Ryan's Bar & Kitchen,https://www.tripadvisor.com/Restaurant_Review-g212096-d2321446-Reviews-Mikey_Ryan_s_Bar_Kitchen-Cashel_County_Tipperary.html,"Cashel, Ireland",restaurants,5.0,4.0
Home made food in lovely surroundings,We stopped in Cashel on route from Kerry and by chance spotted this restaurant. It was a Sunday morning and it was full of locals having breakfast etc. Always a good sign. We had great coffee and marscapone and raspberry cheesecake which was georgous. I would definitely would recommend here. Staff were lovely and it is obvioulsy well supported by locals. Parking outside was easy and the place is very nicely decorated,May 2019,Ladyswell Restaurant,https://www.tripadvisor.com/Restaurant_Review-g212096-d2227238-Reviews-Ladyswell_Restaurant-Cashel_County_Tipperary.html,"Cashel, Ireland",restaurants,5.0,4.5
Wonderful experience,"Besides the wonderful views, Kerry is beautiful anyway, the Boathouse has great food. From the brown bread, which is the best I have ever had to the wonderful fish dishes, this meal is up there with the best. The staff were lovely and needless the say the views are amazing. I will be back when we are next in Kerry",May 2019,The Boathouse Bistro Dromquinna Manor,https://www.tripadvisor.com/Restaurant_Review-g211860-d3326822-Reviews-The_Boathouse_Bistro_Dromquinna_Manor-Kenmare_County_Kerry.html,"Kenmare, Ireland",restaurants,5.0,4.5
Lovely hotel within easy reach of Galway,This is a good business hotel. Staff were very friendly and the place is really clean. Bar food is very good and there is plenty of parking. There are trains into Galway on a regular basis. We have used the hotel for business meetings and all our needs were catered for,February 2019,Raheen Woods Hotel,https://www.tripadvisor.com/Hotel_Review-g1060660-d576467-Reviews-Raheen_Woods_Hotel-Athenry_County_Galway_Western_Ireland.html,"Athenry, Ireland",hotels,5.0,4.5
Great hotel,"We loved this hotel. Rooms were georgous, really speacious and looked onto a lovely pool area. Food was fantastic and the hotel staff were very helpful. Kata Beach resort is lovely and really family friendly. I travelled with a female friend and we did not want any noisy or seedy places. This was perfect as we wanted a quiet place for a rest. Plenty of local restaurants and shops etc. The beach is across the road and the whole area is great",November 2018,Beyond Resort Kata,https://www.tripadvisor.com/Hotel_Review-g1210687-d1088298-Reviews-Beyond_Resort_Kata-Kata_Beach_Karon_Phuket.html,"Phuket, Thailand",hotels,5.0,4.0
Wonderful museum,This was interesting and really brought the story of ancient Greece to life. Give yourself time here to really appreciate the items on view,April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing place,This was the highlight on a recent trip to Athens. If its wet then bring shoes that dont slip as some of the stones would be dangerous in wet weather. The buildings and history are amazing,April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful place,You enter another world when you visit here. This large estate and hotel bring you back in time to a gracious world,April 2019,Mount Juliet Estate,https://www.tripadvisor.com/Attraction_Review-g211931-d572174-Reviews-Mount_Juliet_Estate-Thomastown_Kilkenny_County_Kilkenny.html,"Thomastown, Ireland",attractions,5.0,4.5
A must if you visit Kilkenny,This has a wonderful history and is really interesting. Lovely cafe on site as well. There are large gardens as well,April 2019,Kilkenny Castle,https://www.tripadvisor.com/Attraction_Review-g186616-d190064-Reviews-Kilkenny_Castle-Kilkenny_County_Kilkenny.html,"Kilkenny, Ireland",attractions,5.0,4.5
Lovely hotel and friendly staff,This hotel is really clean and well maintained. Good parking. The food in the bar was very good and staff were lovely. The room was perfect. It is a bit of a walk into the centre of Kilkenny but the receptionist told me where to park which was great.,April 2019,Newpark Hotel,https://www.tripadvisor.com/Hotel_Review-g186616-d212709-Reviews-Newpark_Hotel-Kilkenny_County_Kilkenny.html,"Kilkenny, Ireland",hotels,5.0,4.5
Lovely hotel,"This is a lovely hotel, clean and breakfast is good. Staff were helpful. There is not a lot in the area regarding restaurants. It is approx 10 mins from underground which is easy to use. We used taxis but found that they were all a different price and one taxi had his hand on the meter and kept upping the price. When I objected he did not seem to care",April 2019,Athens Zafolia Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228892-Reviews-Athens_Zafolia_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Great food,We just came across this place when visiting Strandhill. The food is really fresh and reasonably priced. Staff are very nice as well,March 2018,Shells Cafe,https://www.tripadvisor.com/Restaurant_Review-g315890-d1817068-Reviews-Shells_Cafe-Strandhill_Sligo_County_Sligo_Western_Ireland.html,"Strandhill, Ireland",restaurants,4.0,4.5
Location Location,"This hotel is perfect for visiting Ho Chi Minh City. The hotel itself is clean and the rooms are good with great showers, tea/coffee maker etc. Breakfast was also very good and chef making omelets, fried eggs etc. Great selection.
The location is fantastic as you can walk everywhere. Turn left out of the hotel, then left again and there is a great street market food area. Super food and really cheap. You can walk to nearly everywhere from here. We walked to the Continental Hotel for cocktails on the roof etc. There is a great market just across the road and it is also walking distance to the Saigon market.",March 2018,Avanti Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d15082884-Reviews-Avanti_Boutique_Hotel-Ho_Chi_Minh_City.html,"Ho Chi Minh City, Vietnam",hotels,4.0,4.0
Well worth a visit,"This is certainly worth a visit. It is part of the history of Saigon or Ho Chi Minh city, whichever way you look at it. It will help you understand the American War",March 2018,War Remnants Museum,https://www.tripadvisor.com/Attraction_Review-g293925-d311103-Reviews-War_Remnants_Museum-Ho_Chi_Minh_City.html,"Ho Chi Minh City, Vietnam",attractions,5.0,4.5
