title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Over priced,"Good restaurant, good food, always fresh, good services, crowded all the time, better reserve in advance. Be aware, prices are high.",March 2020,Mounir,https://www.tripadvisor.com/Restaurant_Review-g298263-d8401536-Reviews-Mounir-Broummana_Mount_Lebanon_Governorate.html,"Broummana, Lebanon",restaurants,5.0,4.5
"Somehow expensive, but worth it","Good food, great services, over priced, good summer location, not the best in Broumana. Try it you won't lose the experience.",March 2020,Kasr Fakhreddine,https://www.tripadvisor.com/Restaurant_Review-g298263-d3683353-Reviews-Kasr_Fakhreddine-Broummana_Mount_Lebanon_Governorate.html,"Broummana, Lebanon",restaurants,5.0,4.0
Bad smell,"If you are ready for the cow smell, then you can visit this place. A place for family retreats along with kids, however you had been warned.",March 2020,Ferme Mar Chaaya,https://www.tripadvisor.com/Attraction_Review-g298263-d9834438-Reviews-Ferme_Mar_Chaaya-Broummana_Mount_Lebanon_Governorate.html,"Broummana, Lebanon",attractions,2.0,4.0
Shopping,"Best place in Athens if you like souvenirs shopping, be aware, prices varies from shop to shop, explore it all then decide to purchase the best price.",January 2020,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Historical facts,"Plan ahead for that visit, use one day to appreciate the history behind it. Take a break when you reach the top and enjoy the rest.",January 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Top view,"Worth visiting to see Athens from above, don't expect too much, go for hiking, if you can't then use cable car.",January 2020,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Konstantina and all the staff,"Comfort bed, good location, walkable to most sites such Acropolis and much more, Syntagma Square is 12 minutes walking or 6€ by taxi. BEYOND wonderful staff especially Konstatina. Lovely atmosphere and professional management, welcome and farewell drinks. NICE rooms, enough space, strangely new walk in shower, but very tiny and small toilet room.
Very good value for money, healthy breakfast just what you need, also lunch and dinner.
Finally, there's no doubt that this hotel is the most perfect place to stay while visiting Athens.
Thank you B4B Athens Signature Hotel for making our stay enjoyable.",January 2020,B4B Athens Signature Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d13966134-Reviews-B4B_Athens_Signature_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,5.0
Busy square,"It is where all the crowd gather, people just crowded there, coffee, tea, drink, walk, views, photos, wonderful time",October 2019,Piazza Maggiore,https://www.tripadvisor.com/Attraction_Review-g187801-d246302-Reviews-Piazza_Maggiore-Bologna_Province_of_Bologna_Emilia_Romagna.html,"Bologna, Italy",attractions,5.0,4.5
Great Food,"Whenever you are in Bologna, eat there, lunch, dinner or just a drink, various wine and all are delicious",October 2019,Trattoria Soverini,https://www.tripadvisor.com/Restaurant_Review-g187801-d5959679-Reviews-Trattoria_Soverini-Bologna_Province_of_Bologna_Emilia_Romagna.html,"Bologna, Italy",restaurants,5.0,3.5
Tawouk,"Big and healthy sandwich, cheap price, full belly, multiple food choices, very clean, professional staff",October 2019,Malak Al Tawouk,https://www.tripadvisor.com/Restaurant_Review-g294005-d17721212-Reviews-Malak_Al_Tawouk-Beirut.html,"Beirut, Lebanon",restaurants,5.0,4.0
