title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good outing but no whales,The day was good and the tour was well organized in terms of punctuality and efforts to spot whales. All we saw were baby dolphins in far distance. Nothing like what is shown in pictures of the tour page.,August 2019,Classic Whale Watching from Reykjavík,https://www.tripadvisor.com/AttractionProductReview-g189970-d11457718-Classic_Whale_Watching_from_Reykjavik-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",activities,4.0,4.5
Great way to explore Golden Circle in a day,This trip was perfect for us as we did not want to drive and were pressed for time. The bus was nice and clean and the tour was punctual. Loved the sights of golden circle with our tour guide well knowledgeable.,August 2019,Golden Circle Classic Day Trip from Reykjavik,https://www.tripadvisor.com/AttractionProductReview-g189970-d11448184-Golden_Circle_Classic_Day_Trip_from_Reykjavik-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",activities,5.0,4.5
Easy and convenient way to get South Coast overview,"The South Coast of Iceland is mesmerizing and we were pressed for time. This tour offered us a great way to be part of an organized tour. We thoroughly enjoyed this day trip. Although there is minimum flexibility in such trips, we were expecting so and were therefore not disappointed. This trip offered a good overview of the South Coast and we are planning to do a driving trip so be able to spend more time. The buses were nice and clean, our guide was knowledgebale and fun to be with. The tour was very punctual. Its a fairly long trip of 14 hours but with multiple stops, its not that we had to sit for 14 hours in the bus.",August 2019,South Coast and Jökulsárlón Glacier Lagoon Day Tour from Reykjavik,https://www.tripadvisor.com/AttractionProductReview-g189970-d11448202-South_Coast_and_Jokulsarlon_Glacier_Lagoon_Day_Tour_from_Reykjavik-Reykjavik_Capit.html,"Reykjavik, Iceland",activities,5.0,4.5
Must see in Iceland,You haven't been to Iceland if you haven't visited this place. Loved the huge waterfall and its surroundings.,August 2019,Skogafoss,https://www.tripadvisor.com/Attraction_Review-g608884-d555031-Reviews-Skogafoss-Skogar_South_Region.html,"Skogar, Iceland",attractions,5.0,4.5
Loved our brunch date,This place is a bit pricey but totally worth going on a brunch date. The views are amazing and food pretty good. The service could do better and be more responsive but we were on a lazy brunch date so did not mind the speed of service. The open kitchen and lovely decor makes it a perfect spot for date.,November 2019,Duck & Waffle,https://www.tripadvisor.com/Restaurant_Review-g186338-d3421289-Reviews-Duck_Waffle-London_England.html,"London, United Kingdom",restaurants,5.0,4.0
"Great ambience and service, but limited range for a brunch","Loved the service and ambience. We were here for a Saturday brunch. The staff and the service was par excellence. Loved the way they treat their guests. The food was great too but for a brunch place, the range was fairly limited especially in the starters section.",November 2019,Food Exchange,https://www.tripadvisor.com/Restaurant_Review-g304551-d8843533-Reviews-Food_Exchange-New_Delhi_National_Capital_Territory_of_Delhi.html,"New Delhi, India",restaurants,4.0,5.0
Good views but average food,We went here for a date lunch and were very pleased with the location and ambience. Sitting by the windows offers a romantic dining experience and the service is great. However the food did not match our expectations for a top notch restaurant. It was pretty average.,December 2019,Falaknuma,https://www.tripadvisor.com/Restaurant_Review-g297684-d1197145-Reviews-Falaknuma-Lucknow_Lucknow_District_Uttar_Pradesh.html,"Lucknow, India",restaurants,3.0,4.0
Best way to experience Cotswolds in a Day,This is an impressive tour and we got more than we had hoped for. Our driver John and guide David made the overall experience great. We had sufficient time to explore each of the 4 villages. The lunch in the Swan Hotel was well arranged and delicious.,August 2019,Lunch in the Cotswolds Tour from London,https://www.tripadvisor.com/AttractionProductReview-g186338-d11447349-Lunch_in_the_Cotswolds_Tour_from_London-London_England.html,"London, United Kingdom",activities,5.0,4.0
Lovely Lunch at the best place in Bibury,We ate lunch here as part of an organized tour to Cotswolds. The staff was very welcoming and the food was delicious. The dining hall is grand and has a luxurious feel. We would definitely go back at the hotel on a personal trip.,August 2019,The Swan Hotel,https://www.tripadvisor.com/Hotel_Review-g186282-d193313-Reviews-The_Swan_Hotel-Bibury_Cotswolds_England.html,"Bibury, United Kingdom",hotels,5.0,4.0
Good value for money,Small cosy restaurant. Food is reasonably priced for the location and taste. The place could do better with cleanliness. I guess they rely more on takeaways than sit-in diners.,August 2019,Mudmee Thai Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1134252-Reviews-Mudmee_Thai_Restaurant-London_England.html,"London, United Kingdom",restaurants,3.0,4.0
Good location and No frills Hotel,It's obviously a no frills hotel. The hotel is clean and bed is comfortable - that's what you need pretty much with a budget hotel. The location is also great - direct tram to airport and multiple buses to center where all the action is.,May 2019,Ibis Budget Nice Californie Lenval,https://www.tripadvisor.com/Hotel_Review-g187234-d197209-Reviews-Ibis_Budget_Nice_Californie_Lenval-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_.html,"Nice, France",hotels,5.0,3.5
Easily the best Souvlaki in Santorini,We loved it so much we made sure we had at least 1 souvlaki each day from this place. It's freshly prepared and mouth-watering tasty. The staff is very courteous and you can have a perfect souvlaki with a perfect view of the caldera steps away from the shop.,April 2019,Why Not! Souvlaki,https://www.tripadvisor.com/Restaurant_Review-g635607-d6754212-Reviews-Why_Not_Souvlaki-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Simply the best in Santorini,"When we booked this hotel, we did not know how pleasantly surprised were we going to be! The location is simply perfect - the most photographed 3 bells church is just across the road. We got to see sunrise while lying in our beds. The hotel is conveniently located mid way between Oia and Fira. Breakfast spread is nice and comes with a splendid view. SImply loved every bit of our stay here",April 2019,Santorini Palace,https://www.tripadvisor.com/Hotel_Review-g482942-d231228-Reviews-Santorini_Palace-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.0
Most rude staff and pathetic restaurant,"We wanted to eat a quick meal at 2 PM. The whole restaurant was empty but the staff did not let us sit down and eat. We were running late so to stop further wasting time in searching another restaurant, we decided to take away. At payment, the staff was so so rude - the guy kept saying the owner does not care, why should I. The owner is a millionaire sitting in Manchester and he doesn't give a damn. He kept blabbering like this the whole time. Most pathetic restaurant experience.",May 2019,Indian Foods Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187217-d8372402-Reviews-Indian_Foods_Restaurant-Antibes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_.html,"Antibes, France",restaurants,1.0,4.0
Best in Athens,The whole acropolis area is a must visit when in Athens. Parthenon and surrounding is full of fascinating greek mythology and history.,April 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Walk in the footsteps of history,Acropolis is a must and possibly all you need to do in Athens. The place is remarkable and full of fantasy history. The entry fee is although expensive but totally worth it. Highly recommended for visitors to Athens,April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must Do in Santorini,"Perissa black sand beach is highly underrated. We loved our time here. The water in tranquil and although not suitable for swimming in April, we would easily imagine the beach full of life in high summer. There are nice places to eat and the beach itself is long and clean.",April 2019,Perissa Black Sand Beach,https://www.tripadvisor.com/Attraction_Review-g635608-d1932270-Reviews-Perissa_Black_Sand_Beach-Perissa_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Breathtaking views and lovely wine,The USP of the place is its views. The wine was decent and the service was prompt with courteous staff. Santo Wines is easy to reach with public bus from Fira bus terminal. Definitely worth spending an afternoon.,April 2019,Santo Winery,https://www.tripadvisor.com/Attraction_Review-g1097549-d1162093-Reviews-Santo_Winery-Pyrgos_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Great entertainment and vibe but very average food,The overall ambience and the entertainment is unique and traditional. The service is great but the food was very average. We ordered the vegetarian set menu. Starters were the traditional humus with pita bread. The main course was an aubergine curry which wasn't too good. Even the dessert was a selection of ready made turkish delight and some cake. The food is definitely not worth going back.,April 2019,Kenza Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g186338-d802925-Reviews-Kenza_Restaurant_Lounge-London_England.html,"London, United Kingdom",restaurants,3.0,4.0
Delicious Pad Thai but average thai curry,We stopped over for a quick meal and were surprised with communal seating arrangement - so definitely not a place for a fine dine experience. Pad Thai was mouthwatering delicious but Thai curry which my partner ordered was pretty average. Would definitely go back for the pad thai.,March 2019,Busaba Westfield Stratford City,https://www.tripadvisor.com/Restaurant_Review-g11963623-d2546786-Reviews-Busaba_Westfield_Stratford_City-Stratford_City_Greater_London_England.html,"Stratford City, United Kingdom",restaurants,4.0,4.0
Tasty food but super slow service,We went here for a family dinner. The place is good and the food is authentic indian flavors. The ambience inside is great but the service is not up to the mark. Service is very slow but the food more than compensates for it. Would not mind going back again!,February 2019,House of Flavours,https://www.tripadvisor.com/Restaurant_Review-g186363-d4471854-Reviews-House_of_Flavours-Reading_Berkshire_England.html,"Reading, United Kingdom",restaurants,4.0,4.0
Good place for take away mexican lunches,I usually have my take away lunch from here. The menu is pretty standard and its delicious. Staff is courteous and fairly fast.,March 2019,Chilangos,https://www.tripadvisor.com/Restaurant_Review-g186338-d3844730-Reviews-Chilangos-London_England.html,"London, United Kingdom",restaurants,4.0,3.5
"Lovely location, good food and excellent service",Great location and excellent service - at par with what you would expect from a Michelin star restaurant. We had the vegetarian taster menu and loved most of it barring a couple of options especially the dessert. The last course was their signature dessert which we were not impressed with and therefore only 4 stars. Loved everything else.,March 2019,Galvin La Chapelle,https://www.tripadvisor.com/Restaurant_Review-g186338-d1645957-Reviews-Galvin_La_Chapelle-London_England.html,"London, United Kingdom",restaurants,4.0,4.5
Fascinating architecture and calmness,Baha'i temple in Evanston is one of the few such temples in the world and it is an experience to be here. The peace and calmness is worth experiencing. The temple is beautiful with lots of beautiful landscaping around it.,February 2019,Baha'i House of Worship,https://www.tripadvisor.com/Attraction_Review-g36889-d144248-Reviews-Baha_i_House_of_Worship-Wilmette_Illinois.html,"Wilmette, Illinois",attractions,5.0,4.5
Lovely dinner in a cosy restaurant,First I wish to speak about the place itself - its small and cozy and the decor inside is very traditional. The staff was courteous and the food is flavorful. The menu is reasonably priced so it is great value for money. The meze platter is mouthwatering. There is only 1 good option if you are a vegetarian but my meat loving friends were delighted.,February 2019,Mediterranean Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d1650736-Reviews-Mediterranean_Cafe-London_England.html,"London, United Kingdom",restaurants,4.0,4.5
Burst of Asian flavors at affordable price tag,"This place has a wonderful vibe. So much variety at affordable price tag makes it really worth multiple visits for quick bites. The food hall is very big and although it is very crowded usually, it has a great feel of eating together with friends.",January 2019,BANG BANG Oriental Food Hall,https://www.tripadvisor.com/Restaurant_Review-g186338-d12655633-Reviews-BANG_BANG_Oriental_Food_Hall-London_England.html,"London, United Kingdom",restaurants,4.0,4.0
Great German beer but Cash-Only and limited Vegetarian options,"We had read the reviews and it was written that this place is vegetarian friendly. To our surprise, there was only 1 main course vegetarian option on the menu. My other colleagues had a very good meal though and the beer was very authentically German. We loved the cosy feel inside but it wasn't warm enough so we had to keep our jackets on.",January 2019,St. Vith,https://www.tripadvisor.com/Restaurant_Review-g187380-d2456521-Reviews-St_Vith-Monchengladbach_North_Rhine_Westphalia.html,"Mönchengladbach, Germany",restaurants,3.0,4.0
Good local dining experience,We went here for a business dinner and had a very good time. The service was fantastic. Menu had lots of good options and the beer was very nice. The internal ambience is pretty nice too.,January 2019,Im Dom,https://www.tripadvisor.com/Restaurant_Review-g198390-d4048315-Reviews-Im_Dom-Neuss_North_Rhine_Westphalia.html,"Neuss, Germany",restaurants,4.0,4.0
Decent enough for a couple of night's stay,The rooms were spacious and clean. The breakfast spread is fair and some other advantages include free parking. The furniture in the room was very old and in fact worn out. The carpet is too old and therefore blackish. So good enough for a singles night stay.,January 2019,Best Western Plus Crown Hotel,https://www.tripadvisor.com/Hotel_Review-g187380-d217177-Reviews-Best_Western_Plus_Crown_Hotel-Monchengladbach_North_Rhine_Westphalia.html,"Mönchengladbach, Germany",hotels,3.0,4.0
One of few ways great ways to experience nature in Singapore,"The botanical gardens is vast enough to experience woods in Singapore. Although fairly close to city center, you feel isolated inside and can experience different aspects. It's very quiet so it was pretty good for a peace of mind and good walk with fresh air.",February 2018,Singapore Botanic Gardens,https://www.tripadvisor.com/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html,"Singapore, Singapore",attractions,5.0,4.5
Tasty food but with all the husstle-busstle,"MTR is definitely worth multiple visits for a value Indian meal. The location is convenient and food is very authentic and delicious. The only downside is that the place is generally very crowded and people are waiting in line while you are eating, so its a lot of husstle-busstle.",April 2018,MTR Singapore,https://www.tripadvisor.com/Restaurant_Review-g294265-d4304406-Reviews-MTR_Singapore-Singapore.html,"Singapore, Singapore",restaurants,4.0,4.5
"Great views, Limited menu options, Good Food and Service",First and foremost are the views from L-14. You get possibly the best view in Lucknow. We went for a family dinner and the range of options on the menu were fairly limited. The food itself was well made and at par with what we expected from a restaurant like L-14. I will definitely go back for the ambiance and views but I am not so sure if I will go back for the food itself.,December 2018,L-14 All Day Dining,https://www.tripadvisor.com/Restaurant_Review-g297684-d9599850-Reviews-L_14_All_Day_Dining-Lucknow_Lucknow_District_Uttar_Pradesh.html,"Lucknow, India",restaurants,4.0,5.0
Average variety on menu and below average taste,"We went here for a family lunch. We are vegetarians and were expecting a decent variety of options on both starters and main courses. We were sad to see fairly few options - the same stuff was being repeated. That's not what you go for at a place like open buffet. I have had much much wider range of options are various other places around the world. The food itself was below average in taste. Although we had a good afternoon as a family, food did not definitely contribute to the good times.",January 2019,Barbeque Nation,https://www.tripadvisor.com/Restaurant_Review-g297684-d2347027-Reviews-Barbeque_Nation-Lucknow_Lucknow_District_Uttar_Pradesh.html,"Lucknow, India",restaurants,3.0,4.5
A typical low cost airline,"UIA flights are like any other low cost airline of Europe. No entertainment. On the long haul flight from Kiev to Delhi, they offer food but it is so horrible, it's best to carry your own food. For beverages, the complimentary option is only water or juice. Wine is for money. Overall, not a bad option if you just want to get through your journey with no frills.",December 2018,Ukraine International Airlines,https://www.tripadvisor.com/Airline_Review-d8729176-Reviews-Ukraine-International-Airlines,World,flights,3.0,2.5
Good arctic wilderness fun,We loved our day trip to Ranua from Rovaniemi. The zoo is well maintained with the animals well looked after. Watching Polar Bear is an experience in itself. There are several other interesting animals like white owls and reindeer which added to the experience. The whole tour takes about 3 hours to complete. The walking tour is clearly marked and so it helps to complete it without any assistance. There is a nice cafe at the entrance of the zoo and it serves good lunch options (even for us vegetarians). We simply loved our overall day trip.,November 2018,Ranua Zoo,https://www.tripadvisor.com/Attraction_Review-g798832-d581281-Reviews-Ranua_Zoo-Ranua_Lapland.html,"Ranua, Finland",attractions,4.0,4.5
Absolute Fun in White Snow World,We were first timers to a skiing and absolutely loved our experience here. We took a 90 minute ski school session. The trainer was very very helpful and kept patience with us novices. The slopes are nice for beginners. The ski resort itself is located in the heart of Lapland and its absolutely every bit worth to make a visit to experience the arctic lapland.,November 2018,Saariselka Ski & Sport Resort,https://www.tripadvisor.com/Attraction_Review-g667560-d3747484-Reviews-Saariselka_Ski_Sport_Resort-Saariselka_Lapland.html,"Saariselka, Finland",attractions,5.0,4.5
Good value meal,The cafe is located inside the supermarket and provides for a good value lunch meal. The menu is reasonably priced and taste is good. Not suitable for a fancy dinner but good for a value meal of the day.,November 2018,Cafe / Restaurant Kuukkeli,https://www.tripadvisor.com/Restaurant_Review-g667560-d3730530-Reviews-Cafe_Restaurant_Kuukkeli-Saariselka_Lapland.html,"Saariselka, Finland",restaurants,3.0,3.5
Perfect dinner in the middle of Winter Wonderland,We went for dinner once and loved it so much that we went again the following evening. The place is amazing with real fireplace. The cabin restaurant is romantic and perfect for a dinner date - with white snow outside it makes for a perfect setting to sit by the window and sip red wine with your partner. The food is mouth-watering delicious. We are vegetarians and we found good options on the menu. This restaurant is a must visit on any trip to Saariselka.,November 2018,Restaurant Pirkon Pirtti,https://www.tripadvisor.com/Restaurant_Review-g667560-d3730532-Reviews-Restaurant_Pirkon_Pirtti-Saariselka_Lapland.html,"Saariselka, Finland",restaurants,5.0,4.5
Stunning Finish experience in the heart of Lapland,"We stayed here for 3 nights and couldn't love it more. The location is excellent - close to all restaurants. The ski bus takes you from right in front of the cabin. The log cabins are everything you would ask for in Finland - warm and cosy and the excellent sauna. The check-in experience is a bit troublesome - you need to collect the keys from a supermarket next door. The breakfast spread is not too great either and that's why I give 4 stars. Other than these 2 issues, absolutely loved our stay here.",November 2018,Lodge Kuukkeli Teerenpesä,https://www.tripadvisor.com/Hotel_Review-g667560-d6850075-Reviews-Lodge_Kuukkeli_Teerenpesa-Saariselka_Lapland.html,"Saariselka, Finland",hotels,4.0,3.5
Very pricey for the service,The great part is that the flight takes off from London City airport which is the best part. The service onboard and the flight itself is average - more like any other low cost airline in the UK.,September 2018,Luxair,https://www.tripadvisor.com/Airline_Review-d8729114-Reviews-Luxair,World,flights,3.0,4.0
