title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Incredible food and great value,"This place is amazing, by far my favourite restaurant I’ve been to so far in Athens. The food is Greek with a modern twist and it’s great quality. Highly recommend the zucchini balls and any of the cheese pastries but it’s all good.

I also took part in a cooking lesson with one of their chefs at the hotel and it was awesome, would highly recommend as you get a meal as part of it. You have the bits you cook yourself but also a ton of extra dishes and some wine, was amazing value for money.",November 2020,ERGON House,https://www.tripadvisor.com/Restaurant_Review-g189400-d10472648-Reviews-ERGON_House-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
"Acropolis amazing, walk was surprisingly easy!","So obviously the Acropolis was amazing but the main thing I want to talk about is the walk to the top.

A lot of the reviews make out the walk up to be a bit of a nightmare. I am very very unfit and it was a piece of cake. I was so over prepared, I brought my hiking shoes, gym leggings and a massive bottle of water and honestly It’s a gentle uphill stroll with a few steps here and there. I was honestly shocked when we got to the top.

If you are elderly or disabled I could see this being tough but I think it’s the same as walking up any steep road in Athens because it’s well staggered.

It might be different in the height of summer but it’s honestly nothing to over prep for. Do start from the Acropolis metro side though if you want a longer walk round to the top.",November 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A few exceptional pieces comically odd staff,"Firstly the building itself and the garden inside are beautiful. When we were greeted inside one of the staff specified that we could take pictures but NEVER in funny poses. She then proceeded to demonstrate what a normal pose would be which was very very funny. Overall the staff did seem a bit on edge the whole time which was odd.

The pieces themselves are a mixed bag but they do have the earliest example of an ancient computer which is a must see. On the other hand the vases section must be about a mile long and a lot of the museum is dedicated to ornamental statues found on graves.

Worth a stop though for sure just for a few of the pieces. Didn’t stop at the cafe, looked a bit dingy despite the beautiful garden outside.",October 2020,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Lovely museum and idyllic cafe,"A small but very stylish museum, really well curated with a few really nice collections. Was impressed with the display of the items as it was far superior to how the other museums display/preserve their pieces.

The cafe and the shop are excellent. The cafe had amazing cake and the shop was full of great books in English as well as Greek",October 2020,Athens Museum of Cycladic Art Admission Ticket,https://www.tripadvisor.com/AttractionProductReview-g189400-d21281166-Athens_Museum_of_Cycladic_Art_Admission_Ticket-Athens_Attica.html,"Athens, Greece",activities,4.0,4.5
Great Food Wonderful Atmosphere,"This place was wonderful, it is tucked away next to the beautiful church. The food was great and the service was extremely friendly. The man who plays the piano is very good too. Would highly reccomend.",January 2019,Cafe Wien,https://www.tripadvisor.com/Restaurant_Review-g295393-d1498684-Reviews-Cafe_Wien-Sibiu_Sibiu_County_Central_Romania_Transylvania.html,"Sibiu, Romania",restaurants,5.0,4.0
Beautiful & Unique Hotel,"If you want to experience the best of Sibiu this is a great place to stay. It is situated in the beautiful old town, a stones throw away from the main square. The building is a beautiful restored house and the rooms are massive. The staff went out of their way to make sure we had a lovely time despite us arriving early. Great value too, would highly reccomend.",January 2019,Artisans Boutique Villa,https://www.tripadvisor.com/Hotel_Review-g295393-d14947794-Reviews-Artisans_Boutique_Villa-Sibiu_Sibiu_County_Central_Romania_Transylvania.html,"Sibiu, Romania",hotels,5.0,5.0
Best Ribs of my life,"The food in this place is truly exceptional. Can not reccomend highly enough, it's casual food but it feels very gourmet because the meat is so great. Service was great and the staff were very friendly. 5 stars.",January 2019,Benjamin Steakhouse & Bar,https://www.tripadvisor.com/Restaurant_Review-g295393-d8122543-Reviews-Benjamin_Steakhouse_Bar-Sibiu_Sibiu_County_Central_Romania_Transylvania.html,"Sibiu, Romania",restaurants,5.0,4.5
Interesting buildings but not lots to see,"Overall I would say this was a pleasant day out, but it feels like more of a park than a museum. There are lots and lots of buildings to look at here but not really any exhibits per say. All the buildings are locked and some were full of storage equipment for the park. It wouldn't take much for this museum to fill some of the house interiors and then it would be excellent.

There are also lots of great market stalls and a lovely cafe so you can easily make an afternoon of it.",September 2018,"Muzeul Naţional al Satului ""Dimitrie Gusti""",https://www.tripadvisor.com/Attraction_Review-g294458-d318261-Reviews-Muzeul_National_al_Satului_Dimitrie_Gusti-Bucharest.html,"Bucharest, Romania",attractions,3.0,4.5
Impressive building,This was one me and my partner went to to tick it off a list of things you have to see in Bucharest. It is absolutely huge and very impressive but I wouldn't say it was particularly pretty. We tried to get closer but there were a lot of very big busy roads and roadworks in front. Its quite hard to get to on foot.,September 2018,Palace of Parliament,https://www.tripadvisor.com/Attraction_Review-g294458-d318176-Reviews-Palace_of_Parliament-Bucharest.html,"Bucharest, Romania",attractions,3.0,4.0
Full of hookers,Don't go here. My husband is half Chinese and as soon as we parked I got shouted at by an aggressive group of prostitutes who i assume wanted me off their turf. I assume that's not true of every part of the complex but there were a lot of aggressive hookers.,September 2018,Dragonul Rosu,https://www.tripadvisor.com/Attraction_Review-g7644757-d7598581-Reviews-Dragonul_Rosu-Dobroesti_Ilfov_County_Southern_Romania.html,"Dobroesti, Romania",attractions,1.0,3.5
