title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
What is not to like?,"Not to be missed. It is a must-see of our ancient civilization. By going in October, it was not as crowded. Would not want to walk on the marble walkways when wet.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Small but comfortable,"We stayed at this hotel twice, once for a night when we landed in Athens and once for a night before leaving. The room the second time was somewhat more spacious and the bathroom nicer, but both nights, the bed was comfortable and the room clean. Staff are very accommodating and pleasant. Although we got only a box breakfast that was not great the first morning, the next time we stayed, the breakfast was plentiful and good. The elevators are very small and so difficult to fit both of us and our luggage. We had to make two trips. The lobby is also very small and extremely crowded when there is a busload of people with their luggage. However, staff handled the situation remarkably well and were very accommodating. Bring your own dryer. There is one in the room, but not a type we are used to. Museum across the street.",October 2019,Museum Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d227377-Reviews-Museum_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
"Rooms fine enough, grounds lovely","We were there for one night only. The room was fine, although I would say it was more a 3 star than a 4 star. There is a need for some upkeep and it may come as tourism in Egypt increases and money becomes available for upkeep. However, the grounds were lovely and certainly well-maintained when we were there. I am surprised at the review in which the reviewer says the grounds were not clean and surprised there was any loud music. Not the case when we were there. The pool looked inviting, but we didn't have time to make use of it. For an hour, however, we sat out on the lawn in lawn chairs reading. That was relaxing after a long flight. The food was good. We had no complaints about the service.",October 2018,Oasis Hotel,https://www.tripadvisor.com/Hotel_Review-g294202-d305083-Reviews-Oasis_Hotel-Giza_Giza_Governorate.html,"Giza, Egypt",hotels,3.0,3.5
The spot to eat in North Bay,"This is my third time to this restaurant in 2 months. The other two times were for a delicious lunch, but this time, for the Sunday brunch. I had smoked salmon and it was delicious. Two others had a couple of different egg dishes and one other, the French toast. Everyone enjoyed their meal. Service was excellent and very friendly. Yes, it was a tad chilly inside, but these December days have been very very cold.",December 2017,White Owl Bistro,https://www.tripadvisor.com/Restaurant_Review-g155000-d5110272-Reviews-White_Owl_Bistro-North_Bay_Northeastern_Ontario_Ontario.html,"North Bay, Canada",restaurants,5.0,4.0
A must experience,"Delicious food - healthy and filling. Wonderful service - friendly and quick. Nice ambiance. Just a great experience all round. Bit expensive, but worth it.

The location has changed from Main Street to 375 Foran Street, off Main Street West near the court house. More convenient location with ample parking.",December 2017,gd2go,https://www.tripadvisor.com/Restaurant_Review-g155000-d4849877-Reviews-Gd2go-North_Bay_Northeastern_Ontario_Ontario.html,"North Bay, Canada",restaurants,5.0,4.0
Impressive staff,"The staff at this hotel were most impressive, from check-in to the person on the night shift who went out of his way to provide us with some paper plates. Rooms were clean and fresh; bed was comfortable; the outside of the hotel looked very nice; and location excellent. All around, a good stay. Would recommend to others.",October 2017,Days Inn by Wyndham Guelph,https://www.tripadvisor.com/Hotel_Review-g154989-d188211-Reviews-Days_Inn_by_Wyndham_Guelph-Guelph_Ontario.html,"Guelph, Canada",hotels,4.0,3.5
Surprised to find the bedspread dirty,"We often stay at a Comfort Inn when travelling and need to stay a night and are generally satisfied with the Comfort Inn as a stop-over and some even more than a stop-over. But not all Comfort Inns are equal. This one had a bedspread on the bed that had a burn hole in it and dirty spots. I mentioned it to the housekeeper who did change it in that she removed it and replaced it by a rather ratty blanket. The rest of the bed was clean and very comfortable. I mentioned it the next morning to staff when checking out, but their response was basically asking if the housekeeper removed the bedspread. I think they said they were sorry, but it certainly wasn't a sorry I would remember and no discount was given. Check-in and check-out was very perfunctory. I also feel there had been smoking either in the room or nearby previously. The rest of the room was very clean. Not sure if we will treat this as an aberration or find another hotel in Cambridge when we visit again in a couple of weeks.",October 2017,Comfort Inn Cambridge,https://www.tripadvisor.com/Hotel_Review-g154985-d182821-Reviews-Comfort_Inn_Cambridge-Cambridge_Region_of_Waterloo_Ontario.html,"Cambridge, Canada",hotels,3.0,3.5
Great food and lovely surprise,"Doesn't seem from the outside that it is a great little restaurant, but it is! I was pleasantly surprised. Four of us went for brunch. I had French toast - best I have ever tasted. Busy place with few tables, so suggest you make a reservation. Server was friendly. And unlike other reviewer, we did not find the service slow, but just right. Rest of menu looks good and restaurant is licensed. We are going back for dinner.",August 2017,Dinner Bell,https://www.tripadvisor.com/Restaurant_Review-g940812-d3469761-Reviews-Dinner_Bell-Bonfield_Northeastern_Ontario_Ontario.html,"Bonfield, Canada",restaurants,5.0,4.0
Overpriced for what you get,"Overpriced for what you get. Noisy. People in the rooms besides ours decided to get together outside for a couple of hours, smoking practically outside our window and keeping us awake until way after midnight. But the worst was the window cleaner who decided he would clean the windows in the morning around 10:30 - some may have been cleaned even earlier. Maybe a peeping Tom - not sure - but it seemed that way. I complained to the receptionist about the noise and the window cleaner. She gave us a discount of $10.00 as a result. She said it was the best she could do. She and the receptionist who checked us in were very nice. Not a lot of choice of where to stay in the area so maybe that's why we pay so much for an old motel room. (And no breakfast on weekends!! Strange rule.)",September 2017,Red Pine Inn & Conference Centre,https://www.tripadvisor.com/Hotel_Review-g182201-d182799-Reviews-Red_Pine_Inn_Conference_Centre-Alliston_New_Tecumseth_Ontario.html,"Alliston, Canada",hotels,2.0,3.0
Don't hesitate to book here,"Lovely spacious room overlooking one of the ""lagoons"". Very clean and bed extremely comfortable. Service very friendly and front desk very accommodating over the mix-up in the room reserved. We managed to work out a deal that benefited both of us. We had an upper floor room, but if you are concerned about carrying your luggage up to one because there are no elevators, staff will help - and there are not that many stairs to climb anyway. The ground floor rooms have a patio with a picnic table. The picnic tables need refinishing, but that is a minor point. It is the only hotel in Lagoon City, so if you plan to go, book early.",August 2017,Lagoon Harbour Resort & Hotel,https://www.tripadvisor.com/Hotel_Review-g3349138-d1830084-Reviews-Lagoon_Harbour_Resort_Hotel-Brechin_Ramara_Ontario.html,"Brechin, Canada",hotels,4.0,3.5
