title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Wow food in a cozy restaurant,"This is the type of restaurant that could be dropped in San Fran and it would fit in perfectly. The small house with a couple of outdoor tables on the porch, a few more inside, the kitchen visible from all tables, the decor, the incredible food. We very much enjoyed the banter with the host and waitstaff. Very personable group. The four of us all had different soups, salads and entrees and we were all impressed with the presentations, flavors and portion sizes. This place is a gem. Highly recommend.",September 2020,Cooks' House,https://www.tripadvisor.com/Restaurant_Review-g42758-d1182837-Reviews-Cooks_House-Traverse_City_Grand_Traverse_County_Michigan.html,"Traverse City, Michigan",restaurants,5.0,4.5
"Great home base for ""Wining"" in Leelenau","My wife and I spent one night here in early September. We stayed in the Betelgeuse suite. Very large and well-appointed room with a comfortable king sized bed. The only drawback to the room was the rather skinny shower. Let's just say she fit alot better than I did in it! We were greeted warmly by the check-in person. Easy to get the bags up the the room and parking is right next to the building. We very much enjoyed the afternoon snack and free half carafe of wine apiece. The tasting room and restaurant were less than 100 yards from the steps of the Inn which made getting a few drinks and dinner easy as could be.
We walked a couple of the paths through the woods and vineyard and walked amongst the horses as well. It is a very pastoral, relaxing setting.
The breakfast was incredible. Homemade pumpkin creme brulee french toast with a fruit compote, chantilly cream and bacon. WOW!
Strongly recommend that if you can get a room here, do it as it is quite close to all the wineries you would want to visit on Leelenau and the setting, rooms and food are wonderful.",September 2020,The Inn at Black Star Farms,https://www.tripadvisor.com/Hotel_Review-g42743-d258470-Reviews-The_Inn_at_Black_Star_Farms-Suttons_Bay_Leelanau_County_Michigan.html,"Suttons Bay, Michigan",hotels,4.0,5.0
Beautiful house and wonderful host,"We stayed one night in the Library and Wedding Suite. It is in the basement. Very mild musty smell. The room(s) themselves are massive. Very comfortable leather couch in the library area. Wine glasses and ice bucket available. New flat screen tv with too many movie choices to count. Bathroom was clean and all in good working order. The bed was comfortable. Temp in the room was spot on. Breakfast was a pleasant experience. Good quiche and yummy banana nut bread along with numerous other pastries and fresh fruit. We definitely recommend this place as a pleasant, low stress alternative to hotels in the area.",October 2019,Old Northside Bed and Breakfast Inn,https://www.tripadvisor.com/Hotel_Review-g37209-d76305-Reviews-Old_Northside_Bed_and_Breakfast_Inn-Indianapolis_Indiana.html,"Indianapolis, Indiana",hotels,4.0,4.5
Lovely wine tour,"My wife and I were fortunate enough to have this 3 winery tour recommended to us by our concierge. Iliana picked us up at our hotel and took us on a tour of 3 wineries with an incredible amount of information shared throughout on the wines, vineyards, history of not just the wine production on the island but the island itself and people of the island.
We got the best tables at each winery (Gavalos, Gaia and Sigalas) and received tastings of at least 4 wines at each stop. Gaia was our favorite due to its setting and wines.
It was so wonderful to get a better understanding of each wine and the people behind each wine. This was so much better than going on our own and trying to understand the wines by reading about them. She shared so much of the backstory on each it actually made us appreciate the wines that much more.
We highly recommend a half day with Iliana if you want to really learn about Santorini and its wine culture.",October 2019,Santorini Wine Trails,https://www.tripadvisor.com/Attraction_Review-g482942-d6936769-Reviews-Santorini_Wine_Trails-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,5.0
Great view and service. Decent food,"Dinner here with my wife. Incredible view of the caldera. Good wine list. Attentive waitstaff.
Food was hit and miss. Santorini salad and shrimp risotto were decent and octopus appetizer was quite good . They did not have the trofie with cuttlefish so I went with the squid with lentils. I just found the flavor lacking though the lentils were good texture wise. Tough to know if the good is the standard but with all the other choices available, we wouldn’t return here.",October 2019,Character Italian Restaurant & Lounge Bar,https://www.tripadvisor.com/Restaurant_Review-g482942-d3464422-Reviews-Character_Italian_Restaurant_Lounge_Bar-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,3.0,4.5
Perfect lunch spot,"Upon arrival in Santorini, we had some time to kill as our room was not yet ready. Our concierge recommended Aktaion for lunch. Very quaint little place right on the path to Fira from Imerovigli. 6 tables outside and maybe 5 inside. We got a table outside to enjoy the weather and view. Nice wine list with mostly local Greek wines.
We had a Greek salad, octopus appetizer and loukoumades with a bottle of recommended Rose. All were wonderful. Nikos, our waiter, was on the ball and very friendly. We were glad we got to get here and recommend anyone else do as well.",October 2019,Aktaion,https://www.tripadvisor.com/Restaurant_Review-g635607-d1787767-Reviews-Aktaion-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Wow,"Wow as far as the view, wow as far as the service and wow as far as the food. We were about 20 minutes late for our 6:30 our reservation as we thought it was booked for 7. They still had our table on the rail for us. So nice.
They have a wonderful wine list with a great range of choices. We had a crab appetizer that was phenomenal and monkfish and amberjack for dinner. Both of which were among the best we have ever had.
Our waitress and assistants as well as the sommelier were very helpful and friendly. We recommend a dinner at La Maison if you have the chance.",October 2019,La Maison,https://www.tripadvisor.com/Restaurant_Review-g635864-d1775748-Reviews-La_Maison-Imerovigli_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
As good as it gets,"My wife and I were blessed to spend 4 incredible days at the Vasilicos this month. Fiorela is the concierge who made all our plans beforehand including a winery tour, sunset cruise, dinner reservations and airport transfers. She was quick to respond to my emails with all the information we needed and recommendations that did not disappoint. Our private airport transfer was waiting for us even though our flight from Athens was over an hour delayed.
I booked Efta because of its privacy and availability of the private plunge pool. There are about 50 more steps to take compared to the other rooms but once you get there, it’s completely worth it. You are basically all alone with a full view of the caldera from the patio and pool. Nothing in front or below you other than the cliff. Just breathtaking. The king bed was very comfortable. Take advantage of the pillow menu before you arrive. Plenty of room in the room for the two of us. The safe and hairdryer work well. The window in the bathroom allows for a caldera view while showering.
We did the bread and breakfast option so breakfast on the patio every day was an experience. Fresh fruit, pastries, charcuterie, jams, yogurt, honey, coffee, juices and eggs to order brought down by Adi with his smiling face and lovely personality.
As mentioned we did a winery tour, sunset cruise and 2 dinners out (La Maison was our favorite). These are all covered in separate reviews. We walked into Fira a couple of times (15 minutes) as well as out to Skaros Rock (30 minutes). Bring good walking/hiking shoes if you plan to do the latter. The paths into the towns are mostly cobblestone, rather irregular with many slopes/steps so make sure your dinner shoe wear is appropriate.
We did a dinner at the hotel on our last night. It would have been on our patio but it was incredibly windy that whole day and evening so we moved it up to the reception area which worked out well. We were able to pick our appetizers and mains a couple of days beforehand. The shrimp saganaki and white grouper were very good but the stars were the octopus appetizer and the scallops. Absolutely incredible. Topped off by one of their winery’s wines and a chocolate volcano cake? It was perfect.
Checkout was a breeze and our early transfer back to the airport was waiting for us. It was so nice to have such a well handled 4 days by such kind, professional people. We can not recommend the Vasilicos high enough.",October 2019,The Vasilicos,https://www.tripadvisor.com/Hotel_Review-g635864-d7732273-Reviews-The_Vasilicos-Imerovigli_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,5.0
Incredible in every way,"GB is a high end restaurant with high end prices that deserves to be noted as one of the best in Athens. Without the setting it would be wonderful but when you add the view of the Acropolis, it becomes an over the top experience.
The waitstaff and mature d’ ensure you will be treated as honored guests from your arrival forward. We experienced nothing but smiles and helpful insight from all of them.
The bar and wine list is extensive.
We had the Greek salad and calamari starters, mullet, sea bass and pork cheeks for mains and le Macao for dessert. Each and every dish was presented beautifully and was an experience of flavor.
We recommend GB as highly as possible.",October 2019,GB Roof Garden,https://www.tripadvisor.com/Restaurant_Review-g189400-d1048185-Reviews-GB_Roof_Garden-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Cool little place,"Good setting though there is no view of “the sights” here. They’ve created a pleasant rooftop setting in the center of the tourist area that provides a respite from the hustle downstairs. The waitstaff was too notch. Wine selection was high quality. We had the seafood saganaki and octopus starters. Both were quite good. Our mains were the sea food pasta, sea bass and lamb. All were prepared well and we had no complaints. If you want a bit of a break from the hustle and bustle of the tourist scene and don’t mind not seeing the Acropolis for one meal, this is a great option.",October 2019,Balcony Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d10689208-Reviews-Balcony_Restaurant_Bar-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
