title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
An great place with amazing ocean views,"We really love this place! The accommodations are spacious, clean and well serviced. All of the aspects of our room were functioning very well, i.e., lighting, a/c, and a kitchenette.
We especially liked the quiet, private location.",April 2021,Lindbergh Bay Hotel and Villas,https://www.tripadvisor.com/Hotel_Review-g147405-d150597-Reviews-Lindbergh_Bay_Hotel_and_Villas-Charlotte_Amalie_St_Thomas_U_S_Virgin_Islands.html,St. Thomas,hotels,5.0,3.0
A touch of modernism,Dining at this restaurant and bar was a pleasant change from all of the local restaurants in Lubang Probang because of the environment. The Restaurant is next to the 5 star Avina Hotel and it is modern and very clean.,February 2020,Main Street Bar and Grill,https://www.tripadvisor.com/Restaurant_Review-g295415-d12080930-Reviews-Main_Street_Bar_and_Grill-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,5.0,4.5
One of the most beautiful spas in Lubang Prabang,"Having had dozens of spas over the years, the spa at this hotel is super! I tried four different types over a two week period and always went back.",March 2019,The Spa at Kiridara Luang Prabang,https://www.tripadvisor.com/Attraction_Review-g295415-d8124570-Reviews-The_Spa_at_Kiridara_Luang_Prabang-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",attractions,5.0,5.0
We had a delicious and unique dinner,We had a delicious and unique meal of Laotian food here very authentic. It’s a small place but outdoors and the staff was very accommodating. Our entire meal including appetizers main courses and drinks was under $10 amazing,February 2020,Phonheuang Cafe,https://www.tripadvisor.com/Restaurant_Review-g295415-d12097729-Reviews-Phonheuang_Cafe-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,5.0,4.5
Another good place to have a meal,Another good place to have dinner. We sat at a roundtable a few steps above the sidewalk watching the people go by. There’s also a bar inside as well as a garden setting in the back,February 2020,Tangor,https://www.tripadvisor.com/Restaurant_Review-g295415-d3641007-Reviews-Tangor-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,4.0,4.5
We spontaneously stopped here,"We spontaneously stopped here for dinner one evening. What drew me in, was that it was a hot night and a sign outside said, “air conditioned”. (Make sure you go to second floor). We ordered Pad Thai, and it was delicious.",February 2020,Le Bistro Ban Vat Sene,https://www.tripadvisor.com/Restaurant_Review-g295415-d2015252-Reviews-Le_Bistro_Ban_Vat_Sene-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,5.0,4.5
Add this place to your dining experience in LP,"Creative Local cuisine. This restaurant is a training restaurant for marginalized youth. You would never know it, because the dishes that are served are excellent. They must have a very good supervisor.",February 2020,Khaiphaen,https://www.tripadvisor.com/Restaurant_Review-g295415-d7312429-Reviews-Khaiphaen-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,5.0,4.5
Great spot,We recommended this restaurant to our friends and they loved it. All of the dishes are made from fresh ingredients and taste wonderful.,February 2020,Bamboo Restaurant,https://www.tripadvisor.com/Restaurant_Review-g295415-d3617600-Reviews-Bamboo_Restaurant-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,5.0,4.5
Every night!,Local vendors set up their wares every night. We strolled through the market place buying locally made products as gifts and for ourselves.,February 2020,Luang Prabang Night Market,https://www.tripadvisor.com/Attraction_Review-g295415-d1727836-Reviews-Luang_Prabang_Night_Market-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",attractions,5.0,4.0
Excellent restaurant,We have not returned to this place twice because the food was so good. It offers local dishes all of which were excellent.,February 2020,Tamarind,https://www.tripadvisor.com/Restaurant_Review-g295415-d1575596-Reviews-Tamarind-Luang_Prabang_Luang_Prabang_Province.html,"Luang Prabang, Laos",restaurants,5.0,4.5
