title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lovely Sunday Lunch,Went for a late Sunday lunch and were impressed with both the service and the quality of food both on the traditional lunch and a vegetarian choice.,March 2020,The Old Shades,https://www.tripadvisor.com/Attraction_Review-g186338-d5915099-Reviews-The_Old_Shades-London_England.html,"London, United Kingdom",attractions,4.0,4.0
Limited Availability,"Although the staff were lovely and coffee good, there was limited availability of food. Pre packed sandwiches and one or two cakes, but it would have been great to have been able to purchase a Welsh cake or a Tregroes waffle, all prepacked and good with a coffee.

A few Welsh offerings are always great for visitors to Wales",February 2020,Eve's,https://www.tripadvisor.com/Restaurant_Review-g190755-d8817355-Reviews-Eve_s-Hay_on_Wye_Powys_Wales.html,"Hay-on-Wye, United Kingdom",restaurants,3.0,4.0
Smashing Lunch,"Who expects to find a great cafe in an exceptional bookshop - certainly worth a visit on both counts.

Everything seemed to be cooked fresh and not reheated",February 2020,Richard Booth s Bookshop Cafe,https://www.tripadvisor.com/Restaurant_Review-g190755-d2104059-Reviews-Richard_Booth_s_Bookshop_Cafe-Hay_on_Wye_Powys_Wales.html,"Hay-on-Wye, United Kingdom",restaurants,5.0,4.5
Always a Pleasure - so much to see,"We always adore a trip to the National Museum in Cardiff - there’s so much to see from dinosaurs to an amazing art collection. We just keep going back time and time again.

Parking can be an expensive problem for busier times.",December 2019,National Museum Cardiff,https://www.tripadvisor.com/Attraction_Review-g186460-d187965-Reviews-National_Museum_Cardiff-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",attractions,5.0,4.5
Always a pleasure,"Took grandchildren on a dismal Saturday afternoon and as always, it was a real pleasure. We wanted the children to see the new parts in the main building - they loved it.

Restaurant was OK although a few more healthy options, instead of chips, would have been good.",January 2020,St Fagans National Museum of History,https://www.tripadvisor.com/Attraction_Review-g186460-d187984-Reviews-St_Fagans_National_Museum_of_History-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",attractions,5.0,4.5
Great experience - amazing decor!,"Had a great experience with a lovely waitress.

The food was good with excellent vegetarian menu.

The ladies loos were something else - worth a visit, just to have a look!",January 2020,The Ivy Cardiff,https://www.tripadvisor.com/Restaurant_Review-g186460-d19451444-Reviews-The_Ivy_Cardiff-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",restaurants,4.0,4.0
Wonderfully surprised!!,"Popped in for lunch this week and was surprised at how busy they were for such a dismal day (weatherwise). The place was buzzing.

Lunch was fab and my fellow diner loved the coffee. Service was good with staff being lovely.

Who could ask for more - thank you",November 2019,Whitmore+Jackson,https://www.tripadvisor.com/Restaurant_Review-g552070-d8651857-Reviews-Whitmore_Jackson-Barry_Vale_of_Glamorgan_South_Wales_Wales.html,"Barry, United Kingdom",restaurants,5.0,4.5
On the Rocks - ‘Wish You Were Here’,"Had a wonderfully relaxing experirence with great food. The views across to Sully Island were amazing especially as night was approaching and it was high tide.

The food was very good, with plenty of choice especially for vegetarians and presentation was good.

Service was great, not rushed, whilst the overall experirence was just excellent.",October 2019,On the Rocks,https://www.tripadvisor.com/Restaurant_Review-g609086-d13360396-Reviews-On_the_Rocks-Penarth_Vale_of_Glamorgan_South_Wales_Wales.html,"Penarth, United Kingdom",restaurants,5.0,4.5
Ticked off my Bucket List,"Somewhere I had always wanted to go and I wasn't disappointed.

There were a lot of tourists, as one would expect, but everything ran smoothly.

It's certainly worth pre booking your entry ticket as there were questions.

A lovely morning spent at the Acropolis that will never be forgotten.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
What an Experience!!!!,"We went for lunch before returning to the airport and were com.pletely blown away by both the food, view and the lovely staff.

Lots of good vegetarian choices that were incorporated into the Traditional Greek menu.

We had the best seat in the house and savoured every moment - thank you Mina.",September 2019,GH Attikos Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d695906-Reviews-GH_Attikos_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Best Ice Cream Ever!,"So yummy and such a choice. I thought only I put whipped cream on ice cream, but these guys do too.

Worth a visit - skip pudding in a restaurant and go for these masterpieces.",September 2019,DaVinci Gelato Kifissia,https://www.tripadvisor.com/Restaurant_Review-g1026500-d12887108-Reviews-DaVinci_Gelato_Kifissia-Kifissia_Attica.html,"Kifissia, Greece",restaurants,5.0,4.5
Creative Greek Cuisine,"Excellent home made sauces and chutneys to accompany your meal were brought in really cute labelled bottles.

Dinner was superb - the crispy smoked cheese pasta starter was plentiful and soooo tasty. My friend had a dirty Mac & cheese that she also found excellent.

Wine choices good",September 2019,Fine Mess Smokehouse,https://www.tripadvisor.com/Restaurant_Review-g189400-d17185700-Reviews-Fine_Mess_Smokehouse-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Ticked off my wish list,"Certainly worth pre booking your tickets - we booked ours wit the hop on hop off bus tour - saves waiting.

A victim of it’s own success, the Acropolis is certainly worth a visit - couldn’t go to Athens and pass it by,",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Can only say - AMAZING!,"After arriving at our booked hotel, only to find it had bee cancelled (part of the Thomas Cook fiasco) we were advised to book Sir Athens - how glad we were to have such a lovely experience.

Elena, the lovely lady who looked after us, could not have been nicer. We were given excellent tips on where to go, where to eat and everything Athens.

Our room was excellent with a window overlooking the historic courtyard and although the building, itself, was historic, the interiors were modern and beautifully designed and equipped.

Next trip to Athens - guess where we’ll be staying!",September 2019,Sir Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d14142041-Reviews-Sir_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,5.0
Absolutely Appalling!!,"This used to be a reasonable, budget, restaurant, how times have changed.

It had to be the most disappointing experience for a number of years.",August 2019,Walston Castle Beefeater,https://www.tripadvisor.com/Restaurant_Review-g675080-d3173878-Reviews-Walston_Castle_Beefeater-Wenvoe_Vale_of_Glamorgan_South_Wales_Wales.html,"Wenvoe, United Kingdom",restaurants,1.0,3.5
Lovely little gem,"This is certainly worth a visit.

Good food, lovely staff and a great setting. We were a large party, with children, and we were looked after exceptionally well. Loved the menu.",June 2019,Cobbles Kitchen and Deli,https://www.tripadvisor.com/Restaurant_Review-g9978051-d8873338-Reviews-Cobbles_Kitchen_and_Deli-Ogmore_Vale_of_Glamorgan_South_Wales_Wales.html,"Ogmore, United Kingdom",restaurants,4.0,4.0
Wonderfully Different,"Loved the small plates for Indian food, a big change from mountains of endless rice so common in many restaurants.

Food was well spiced, but not over the top, with a lovely choice including good vegetarian choices and unusual fish dishes.

Really enjoyed the interaction with the barmanwho was able to give recommendations according to individual palates.

Thank you to my friend for this recommendation.",March 2019,Kricket Soho,https://www.tripadvisor.com/Restaurant_Review-g186338-d12032472-Reviews-Kricket_Soho-London_England.html,"London, United Kingdom",restaurants,5.0,4.5
Smashing Mother’s Day Sunday Lunch,"We had a lovely Sunday Lunch for Mother’s Day with plenty of choice for the kids, vegetarians and traditional lunch.

Staff and service great, especially as they were so busy.

Excellent value for money.",March 2019,Star Inn,https://www.tripadvisor.com/Restaurant_Review-g3446576-d3454209-Reviews-Star_Inn-Dinas_Powys_Vale_of_Glamorgan_South_Wales_Wales.html,"Dinas Powys, United Kingdom",restaurants,4.0,4.5
Would liked to have spent longer,"Loved this place, but could have stayed much longer.

Plenty to see and do as well as shopping (which was expensive). The design factor was breath-taking.",February 2019,The Dubai Mall,https://www.tripadvisor.com/Attraction_Review-g295424-d1210327-Reviews-The_Dubai_Mall-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",attractions,4.0,4.5
Wished we had gone again,"Visited the Aquarium on the last night of our stay - big mistake - should have gone at least twice, it was amazing!

So peaceful and interesting. Lovely to see families lying on cushions just soaking up the splendour of another world. Who needs WiFi when you have all of this.",February 2019,The Lost Chambers Aquarium,https://www.tripadvisor.com/Attraction_Review-g295424-d2148295-Reviews-The_Lost_Chambers_Aquarium-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",attractions,5.0,4.5
Always a Pleasure,"Always good to fly Virgin, they know how to look after customers.

Loved the afternoon tea. And lunch was smashing.

Cabin crew were helpful, kind and courteous.

Entertainment was excellent x thank you Virgin.",February 2019,Virgin Atlantic Airways,https://www.tripadvisor.com/Airline_Review-d8729182-Reviews-Virgin-Atlantic-Airways,World,flights,5.0,4.0
A Rug Shop in Disguise,"An extremely disappointing visit I assumed, quite incorrectly, that we were going to see some art, but the group we were with were ushered into a room where the sales patter began.

I have seen this guise many times in various countries, and this was a rug shop that also sold other, over priced, bric a brac upstairs.

Couldn’t wait to get out into the fresh air

Buyer (or visitor) beware!,",February 2019,Miraj Islamic Art Centre,https://www.tripadvisor.com/Attraction_Review-g294013-d12286732-Reviews-Miraj_Islamic_Art_Centre-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,"Abu Dhabi, United Arab Emirates",attractions,1.0,3.0
First & Last Time!,"Sadly, our Virgin flight (Premium Economy) to Dubai was cancelled due to technical issues and the lovely Virgin staff got us onto an Emirates flight (Economy) we thought great as they have won a number of awards. How wrong we were.

We were on a A380 plane - Emirates doesn’t have a Premium Economy section so we were herded into a very crowded Economy class.

My husband’s seat was broken and he had to sit bolt upright all night and there was very little leg room.

To compound the trip from hell, there were no vegetarian options on the in flight dinner menu and one was unable to order in advance. A very caring Steward did manage to find a fruit platter for me. How can an airline not have a non meat or fish option on their flight? My husband’s chicken concoction looked and tasted foul and the barley salad starter was equally disgusting.

I think all of the good reviews that Emarites receive are from customers that are fortunate to fly either Business or First Class, certainly not from the overcrowded, cheap seats.

Thank you for getting us to our destination on time Emirates, but we won’t be flying with you again. Take heed future travellers!",February 2019,Emirates,https://www.tripadvisor.com/Airline_Review-d8729069-Reviews-Emirates,World,flights,2.0,4.0
