title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Awesome Burgers!,"We made the drive out to Coral Bay twice, once specifically to visit Skinny Legs and the other, because we were in the area and it happened to be lunchtime, to eat at Skinny Lags again! It's a open air restaurant and small chickens run around (don't feed the chicken is the rule), so be prepared for that. But it's a great place to take a break from sun and surf, and have a few drinks and eat really good burgers. Make the trip - enjoy the hair-raising, hairpin-turning drive - it's worth it!",February 2020,Skinny Legs Bar and Grill,https://www.tripadvisor.com/Restaurant_Review-g2053566-d1046641-Reviews-Skinny_Legs_Bar_and_Grill-Coral_Bay_St_John_U_S_Virgin_Islands.html,St. John,restaurants,4.0,4.5
Good BBQ!,"Spent time on the island with family - all of us are from Texas, so we know BBQ! Uncle Joe's was as good as some from home. My brother-in-law and I stopped around 11:30 to place an order and were told the grill hadn't been fired up yet so beware, island time applies! We were still able to order and walked around the city to wait. (Stopped in The Tap Room at Mongoose Junction to cool our heels for a while.) We eventually staggered back to Uncle Joe's around 1:00 and had just a 20 minute or so wait while our order finished cooking. We took the food back to the villa and couldn't resist sampling while driving. Had a selection of chicken and brisket, and sides. All very tasty!",February 2020,Uncle Joe's Barbecue,https://www.tripadvisor.com/Restaurant_Review-g147409-d1046646-Reviews-Uncle_Joe_s_Barbecue-St_John_U_S_Virgin_Islands.html,St. John,restaurants,4.0,4.5
"Just One Word, WOW!","Spent one entire day at Truck Bay Beach, and could have spent more! The beach was beautiful - white sand and crystal clear blue-green water. The snorkeling was fantastic - nurse and lemon shark, barracuda, sea turtles, octopus, and a huge variety of colorful fish. A conveniently short drive up the coast from the city. Take it, you won't be disappointed.",February 2020,Trunk Bay Beach,https://www.tripadvisor.com/Attraction_Review-g147411-d147590-Reviews-Trunk_Bay_Beach-Virgin_Islands_National_Park_St_John_U_S_Virgin_Islands.html,St. John,attractions,5.0,4.5
Dock to Villa Delivery!,"Star Fish picked us up from the St. John dock area, and they were waiting for us when we arrived. Our driver sorted our luggage, got us all seated (there were 7 of us) in the open-air mini-bus, and took us right to the door of our villa. Wonderful service for a reasonable price.",February 2020,Star Fish Tours & Taxi,https://www.tripadvisor.com/Attraction_Review-g147410-d7218144-Reviews-Star_Fish_Tours_Taxi-Cruz_Bay_St_John_U_S_Virgin_Islands.html,St. John,attractions,4.0,5.0
Wonderful Experience!,"Vacationed with several family members, one of whom made us a reservation at Morgan's Mango. Our experience was excellent - from the wait staff to drinks to our meal and dessert - we had a wonderful time!",February 2020,Morgan's Mango Restaurant,https://www.tripadvisor.com/Restaurant_Review-g147410-d1046366-Reviews-Morgan_s_Mango_Restaurant-Cruz_Bay_St_John_U_S_Virgin_Islands.html,St. John,restaurants,5.0,4.5
Cool Your Tastebuds!,"Stopped in to get something cool after walking the city for a while. What a tasty, eclectic selection of ice pops! Tried several throughout our stay. Like every single one of them!",February 2020,Irie Pops,https://www.tripadvisor.com/Restaurant_Review-g147409-d16948802-Reviews-Irie_Pops-St_John_U_S_Virgin_Islands.html,St. John,restaurants,4.0,5.0
"Great beer, good food","Okay, so I'm not allowed to shop with my wife. Learned this lesson long ago; we're both good with the arrangement. Anyway, while she shops I find a place to hang my hat and drink a beer or three. While in St. John, The Tap Room was the place for me! They have a very nice selection of craft brews - something for every taste. During our stay on the island I tried almost all of them, and liked every single one! In addition to the beer, The Tap Room has a nice food menu. I highly recommend any of the pizzas. If you stay for any length of time on St. John (and who wouldn't?!) you should make a stop here for even more rest and relaxation.",February 2020,The Tap Room,https://www.tripadvisor.com/Restaurant_Review-g147410-d3292885-Reviews-The_Tap_Room-Cruz_Bay_St_John_U_S_Virgin_Islands.html,St. John,restaurants,4.0,4.5
Wow!,"If you're ever in Greece there is no way you cannot see this. It is just plain awesome, and I do not use that word lightly.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
"Great food, relaxing atmosphere","While visiting Athens with a tour group, my mother and I had some free time to get dinner. Alexandra was rated at 4.5 stars and the food was every bit of that and more. My mother had a salad that was filled with fresh vegetables and covered with a tasty dressing. I had the linguini with spinach, tomatoes and olives. The noodles were perfectly cooked and the sauce was just right - not so much tomato that it drowned out everything else.

There was only one waitress and she was busy, which means it took her a little bit to get to us. Not her fault by any means, but that's the only reason I didn't give this restaurant a solid 5 stars. (She was as sweet as she could be.)

I highly recommend Alexandra's.",March 2018,Alexandra Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1152271-Reviews-Alexandra_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
A Place to Sleep,"Went to Jacksonville on business and had a reservation here. First time to visit so I didn't know quite what to expect. Check-in was quick and easy. The room, although it appeared to have been recently renovated, was nothing special. I've stayed in other Hampton Inns and I'd rate this one slightly below average just on the room alone. It was relatively small and would have been cramped with another person in the rooms. Had booked a king-bed room but none were available at check-in so I had a 2-queen room. (The bed was comfortable.) Very few amenities. If you're a coffee drinker that's about it. Oh, the wi-fi? Agonizingly slow. Otherwise that's about it. The free breakfast was okay. Again, nothing special. So if you're looking for a place to sleep and not much else...this is the place for you. Unless you have kids playing football in the hallway after midnight!",July 2017,Hampton Inn Jacksonville,https://www.tripadvisor.com/Hotel_Review-g36177-d596433-Reviews-Hampton_Inn_Jacksonville-Jacksonville_Illinois.html,"Jacksonville, Illinois",hotels,3.0,4.5
