title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Hallway room,"So again managed to have an interesting room in a hotel. It was a small room on the first floor in the main corridor with two doors and someone living on the other side.
However, after getting used to the room and my neighbours long telephone conversations I could clearly hear, the hotel was nice.

Breakfast was lovely with everything freshly served, coffee was really good and morning service just lovely and friendly.
I loved that they had fresh cold water every day in the room and free apples in the main hall promoting healthier choices.

Location was excellent and having a courtyard facing room, sleep quality was nice (until 6am when the staff woke up and started taking things from the maintenance room just across the hall).",November 2019,Hotel Wettstein,https://www.tripadvisor.com/Hotel_Review-g188049-d506840-Reviews-Hotel_Wettstein-Basel.html,"Basel, Switzerland",hotels,3.0,4.0
Perfect,"Totally recommend! Fantastic place with fantastic history!
Taking a guide helps, however experiencing it alone is totally possible as well.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Sleeping in an aeroplane,"My room was next to the main ventilation of the building. No further comments are probably needed, nevertheless.

I asked to change the room because after travelling for 12 hours I could not stand the constant loud ventilation system noise, but I was told the hotel is full. Also it was not possible to turn it off like some hotels do.
Unfortunately the ventilation system of the conference room was as loud as in the room, so by the end of my stay I had a terrible headache from this aeroplane like hotel.

My room was small near to the elevators that were equipped with noise alerts that I could hear clearly throughout my stay. There were plastic cups in the bathroom (hard to say why they can't use regular cups and care for the environment?), no conditioner and no view.
Breakfast and dinner was totally average. Coffee was totally terrible.
They of course had a little bit better coffee if you agreed to pay over 5 euros for a small cup.

Only nice thing about the hotel was the rooftop terrace bar. There I would go again but only to sit outside and have a nice drink. Otherwise not.",October 2019,Titania Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228891-Reviews-Titania_Hotel-Athens_Attica.html,"Athens, Greece",hotels,2.0,3.5
Best food in Tartu,"This is the best place to eat in Tartu!
Excellent food, good wine and lovely service.
It may be reasonable to make a reservation in advance, as many people seem to love this place :).",August 2019,La Dolce Vita,https://www.tripadvisor.com/Restaurant_Review-g274959-d793069-Reviews-La_Dolce_Vita-Tartu_Tartu_County.html,"Tartu, Estonia",restaurants,5.0,4.5
Excellent spa hotel in Estonia,"We went there for a romantic weekend and booked a deluxe room.
When we arrived nice cold bubbly with a fruit platter and candles (electric) were waiting for us. The room was definitely fun, as it had see through glass between the room and the bath. If looking for romance this is definitely a feature to appreciate. (You could of course block the view with a curtain if necessary).

Our room faced the courtyard and had no view, but probably this is something you can discuss before booking.

The spa is just the best I have been to in Estonia. I love the saunas there and believe that they probably have the best choice in Estonia. I definitely recommend to participate in the rituals that are just lovely and refreshing experiences.

At 21:30 we had booked a romantic dinner in their restaurant, that was also just perfect! Food was great, service was excellent and atmosphere really lovely and chick.

As the hotel is located in the middle of the city this is also the best place if you would like to explore Tartu and go shopping.

Thank you!",August 2019,V Spa & Conference Hotel,https://www.tripadvisor.com/Hotel_Review-g274959-d11697330-Reviews-V_Spa_Conference_Hotel-Tartu_Tartu_County.html,"Tartu, Estonia",hotels,5.0,4.5
Relaxing spa hotel,"I really enjoyed my stay there. Having travelled for 6 hours I was happy to land at the relaxing spa area right after checking in. The pool and sauna area is truly cosy and appealing.
The hotel has excellent location when you are travelling by bus, as the bus station is just across the street. Also the old town, nice cafes and shops are really close.
The room and lounge was chic and clean. However the breakfast area was strangely old fashioned and out of the context. Breakfast itself was just ok. However coffee was horrible. My recommendation for all hotels is - please buy some good quality coffee beans! It is not that expensive and means the world to a traveller.
So does a lovely breakfast area.
I really would recommend updating this area.",May 2019,Wellton Centrum Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g274967-d4828375-Reviews-Wellton_Centrum_Hotel_Spa-Riga_Riga_Region.html,"Riga, Latvia",hotels,4.0,4.5
"Location, breakfast, location :)","So this hotel has very many nice features:
1. Adorable, delicious breakfast!!!! (try the scrambled eggs and pancakes even if you are not a morning eater!:)
2. Perfect location!
3. Lovely and chic interior
4. Bike rental
5. Lovely staff

It also has some features that might not be exactly my cup of tea:
1. Rooms are facing courtyard and all the windows of other rooms. Unfortunately it is not the best feature as I really appreciate a nice view and my privacy when in hotel.
2. The rooms are not soundproof. I could hear my neighbour unzipping his briefcase.
My other neighbour was unfortunately ill with a bad cough that lasted through 3 nights.

But when you want just a bed for a little while, a perfect location and absolutely delicious breakfast, then this hotel is an excellent choice!

There is one remark for the hotel staff. One morning I witnessed an incident between a guest and a staff member at the breakfast area. I did not understand the issue, but the guest was truly rude and threatened the staff member with horrific threats. Staff remained polite and the girls from front desk and breakfast area solved the situation quickly by removing the involved staff member from breakfast area.
However considering how agressive the guest was I would recommend the hotel to have a policy to remove these kind of guests from the hotel. No matter the issue.
The safety of staff and other guests must be a priority for the hotel.",April 2019,Hotel Van De Vijsel,https://www.tripadvisor.com/Hotel_Review-g188590-d13879807-Reviews-Hotel_Van_De_Vijsel-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",hotels,4.0,4.0
Yes please!,"So I had a lovely-lovely experience with Clarion I'd like to share.
Having a somewhat strange travelling schedule I arrived at Helsinki airport at 6 am with work duties only late in the evening.
The thought of spending the whole day wondering the dark, cold and snowy streets of Helsinki was really not appealing at 6 am. So I decided to take a chance with this new hotel wishing I could try out their breakfast and lovely spa area.
At first the receptionist told me that spa was only for guests ;(...... BUT! immediately another lovely girl at the reception offered me to take a room for a day with everything included. I just loved the idea!
For a very reasonable amount of money I enjoyed their luxurious breakfast, lovely sauna and outdoor pool on 16th floor (accompanied by snowfall) and had a really nice beauty sleep in the middle of the day.
I also really enjoyed that they had good quality Rituals soaps and shampoos in the room as well as in the sauna area, good bed and lovely view from the room.
At 16 pm I checked out as good as new and was ready for my work thing.
What a lovely hotel that is open for new style of customer care!",January 2019,Clarion Hotel Helsinki,https://www.tripadvisor.com/Hotel_Review-g189934-d9810206-Reviews-Clarion_Hotel_Helsinki-Helsinki_Uusimaa.html,"Helsinki, Finland",hotels,5.0,4.0
Soupe à l'oignon gratinée,"We were looking for an authentic feel of Paris and by chance we decided to try cafe Valentin. Turns out it was exactly what we were looking for.
The place is a little dated, but perfect in its own way and feeling. And somehow it makes you feel as a part of the city when drinking wine and eating their lovely soupe à l'oignon gratinée.",January 2019,Cafe Valentin,https://www.tripadvisor.com/Restaurant_Review-g187147-d7079573-Reviews-Cafe_Valentin-Paris_Ile_de_France.html,"Paris, France",restaurants,4.0,3.5
Sweet scent of Paris,"This is a really sweet place if you are looking for an authentic experience.
It is a small hotel with small and tastefully decorated rooms that cater to all your needs.
I just loved that we were provided with fresh bottled water every day and that complimentary snack bar was open until late at night. It was modest, but enough for a quick sugar boost. Overall this hotel made us feel very welcome in Paris.
For our delight conference centre, Arc de triomphe and the Eiffel Tower were within walking distance, as were shopping street and Seine.
Just lovely!",January 2019,Hotel Regent's Garden - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d198109-Reviews-Hotel_Regent_s_Garden_Astotel-Paris_Ile_de_France.html,"Paris, France",hotels,4.0,4.5
