title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Highly recommended,"Great accommodation in the most amazing setting. Very comfortable and so well fitted out. Everything we needed was at hand.
Great walking tracks, campfire, amazing views.
Lovely for groups or extended families.",September 2020,Upalinna Station,https://www.tripadvisor.com/Hotel_Review-g4892263-d17756598-Reviews-Upalinna_Station-Flinders_Ranges_South_Australia.html,"Flinders Ranges, Australia",hotels,5.0,5.0
Amazing view,"Go at sunset amazing views day and night
Good service very attentive
Food good with a number of extras",September 2019,SENSE Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d12484364-Reviews-SENSE_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Too crowded,"They let way too many people in at any given time so extremely uncomfortable
Been to much more interesting ruins and less crowded",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Excellent,"This is a hidden gem tucked away from the usual tourist tracks, but not far. Really interesting food",September 2019,Mani Mani,https://www.tripadvisor.com/Restaurant_Review-g189400-d695929-Reviews-Mani_Mani-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Excellent,"Found this fabulous little place
Saw sign in Broke took a quick left
Food was great
View picturesque
The service was lovely",March 2019,Mount Broke Wines & Restaurant,https://www.tripadvisor.com/Attraction_Review-g580467-d5994430-Reviews-Mount_Broke_Wines_Restaurant-Broke_New_South_Wales.html,"Broke, Australia",attractions,5.0,5.0
Where’s the mini bar,"Ordinary hotel nothing special
Good location although there are better on the esplanade. There was no mini bar. For the price pretty disappointing. On the TV a mini bar menu comes up with individual prices but when asked the only option is s package deal.",September 2018,Hilton Darwin,https://www.tripadvisor.com/Hotel_Review-g255066-d4096329-Reviews-Hilton_Darwin-Darwin_Top_End_Northern_Territory.html,"Darwin, Australia",hotels,3.0,4.0
Good place for road trip,"Driving from San Francisco to Seattle this was a great place to stop over. We just walked in no booking. Helpful reception, very clean and comfortable. Walking distance to great pub and away from highway.",January 2018,Quality Inn Eureka - Redwoods Area,https://www.tripadvisor.com/Hotel_Review-g32363-d84638-Reviews-Quality_Inn_Eureka_Redwoods_Area-Eureka_Humboldt_County_California.html,"Eureka, California",hotels,4.0,3.5
Good food,Great little find. Comprehensive menu. Great drinks selection. Service was good. This place has a really good upbeat vibe and solid pub food,February 2018,Lost Coast Brewery & Cafe,https://www.tripadvisor.com/Restaurant_Review-g32363-d520373-Reviews-Lost_Coast_Brewery_Cafe-Eureka_Humboldt_County_California.html,"Eureka, California",restaurants,4.0,4.0
Via Rail you suck,"The trip across Canada was a highlight of our trip. We broke trip in two parts. First train arrived in Jasper 36 hours late and the 2nd train 29 hours late. We ended up travelling through the Rockies in the dark both times. Via Rail do not keep you informed on what is happening, offer you inadequate meal vouchers if you are in the station and all they say it is because of freight trains. Even if you love train travel this trip is stressful and impacts on you trip SIGNIFICANTLY. I would recommend flying and driving over this trip or try Rocky Mountaineer.",January 2018,VIA Rail Canada,https://www.tripadvisor.com/Attraction_Review-g155025-d2230208-Reviews-VIA_Rail_Canada-Quebec.html,"Quebec, Canada",attractions,1.0,3.5
Solid pub food,Popular large tavern. Extensive food and drink menu. We went Sunday night for $10 pizza and $5 beer. Good deal,January 2018,Yaletown Brewing Co,https://www.tripadvisor.com/Restaurant_Review-g154943-d710749-Reviews-Yaletown_Brewing_Co-Vancouver_British_Columbia.html,"Vancouver, Canada",restaurants,4.0,4.0
Bad night,Recommended by locals. Ordered pizza for delivery to jasper park lodge. Told 20 mins delivery time. Waited over an hour and 2 phone calls later we got cold pizza. I’d try somewhere else,January 2018,Jasper Pizza Place,https://www.tripadvisor.com/Restaurant_Review-g154918-d759255-Reviews-Jasper_Pizza_Place-Jasper_Jasper_National_Park_Alberta.html,"Jasper, Canada",restaurants,2.0,4.0
Do with a guide,Great experience to walk on floor of canyon. Pay for the tour as you get much more out of it than self guiding,January 2018,Maligne Adventures,https://www.tripadvisor.com/Attraction_Review-g154918-d2256953-Reviews-Maligne_Adventures-Jasper_Jasper_National_Park_Alberta.html,"Jasper, Canada",attractions,5.0,4.5
