title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
BEWARE ..,"I booked Hughes on 3 occasions through booking.com requesting a 0-6month child car restraint, without issue. The total cost was stated each time and paid directly to booking.com.
The first 2 occasions were great, the driver was punctual, friendly and very helpful with our suitcases and baby stuff.
3 days prior to the third pick up, we received a text message stating an extra charge for baby seat hire was required before they would confirm the transfer. On calling Hughes they demanded $44 for the next transfer and return trip, when asked why this extra cost was not clearly stated on booking the service and why on the previous 2 occasions was this ""extra"" charge not requested. Basically the woman on the phone said the driver was expected to collect it ...again this was never stated, she wanted to know if I was paying the extra fee NOW over the phone, otherwise the transfer would not go ahead.Not wanting to be stranded at the airport with a 4month old baby, I reluctantly paid.
I contacted booking.com to make a complaint about the hidden costs not being clearly stated, they in turn told me these types of hidden costs from suppliers is absorbed by booking.com and I should not have been contacted directly or been forced to pay the hire fee for the car seat, they promptly refunded me the extra charge.
Hughes Limousines ... dodgy, dishonest, money grabbing!",May 2021,Hughes Limousines,https://www.tripadvisor.com/Attraction_Review-g255093-d15639757-Reviews-Hughes_Limousines-Adelaide_Greater_Adelaide_South_Australia.html,"Adelaide, Australia",attractions,3.0,4.5
Quick trip,"We stayed in the accessible room for 3 nights, the room was very basic, bathroom was a good size with plenty of room for a wheelchair. The location is very central, close to the main street pubs, clubs and restaurants.",November 2020,Huskisson Beach Motel,https://www.tripadvisor.com/Hotel_Review-g528968-d1370625-Reviews-Huskisson_Beach_Motel-Huskisson_Jervis_Bay_Shoalhaven_New_South_Wales.html,"Huskisson, Australia",hotels,3.0,3.5
Accessible cruises,"Took the wheel chair accessible whale watching cruise, unfortunately no whales were spotted and the ocean was very choppy, so in some parts a bumpy ride.
The staff were very friendly and helpful making sure any distressed or ill passengers were looked after.
Despite everything we would come back again",November 2020,Jervis Bay Whale Watching Tour,https://www.tripadvisor.com/AttractionProductReview-g528968-d11476957-Jervis_Bay_Whale_Watching_Tour-Huskisson_Jervis_Bay_Shoalhaven_New_South_Wales.html,"Huskisson, Australia",activities,4.0,4.5
Dinner,The club was very busy for a Wednesday evening with no social distancing between tables. Meals were of club standard,November 2020,Club Jervis Bay,https://www.tripadvisor.com/Restaurant_Review-g528968-d755709-Reviews-Club_Jervis_Bay-Huskisson_Jervis_Bay_Shoalhaven_New_South_Wales.html,"Huskisson, Australia",restaurants,3.0,3.5
Fish and chips,"Had lunch here, everything was absolutely delicious, fresh. Service was friendly and efficient, the prices were very reasonable",November 2020,World Famous Fish N Chips Huskisson,https://www.tripadvisor.com/Restaurant_Review-g528968-d755726-Reviews-World_Famous_Fish_N_Chips_Huskisson-Huskisson_Jervis_Bay_Shoalhaven_New_South_Wale.html,"Huskisson, Australia",restaurants,4.0,4.0
Dinner,"Visited on a Tuesday night, everything was COVIDSafe and socially distanced. Staff were friendly. We ordered seafood marinara, which was lovely however the salt & pepper squid was extremely chewy and basically inedible.",November 2020,The Huskisson,https://www.tripadvisor.com/Restaurant_Review-g528968-d755711-Reviews-The_Huskisson-Huskisson_Jervis_Bay_Shoalhaven_New_South_Wales.html,"Huskisson, Australia",restaurants,3.0,3.5
Athens,"Great historical site, spoilt by the sheer volume of tourists visiting. Was very hard to take in the whole site as you were crowded in. Also very slippery",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Athens,"Very interesting place to visit, our guide was very knowledgeable. Would of liked to have more time to look around.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Athens,"Great Hotel, our travel company Greek Med Travel arranged our accomodation, friendly staff who were happy to help with whatever you required, happy hour on the roof top bar was lovely with a great view of the Acropolis, the hotel had a central location.",September 2019,The Athenian Callirhoe Exclusive Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d286943-Reviews-The_Athenian_Callirhoe_Exclusive_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Greek Family Trip,"La Maltese was the perfect destination for our family, we booked the family villa to sleep 6. We had 2 seperate villas each with kitchen facilities. The villa was on 3 levels, the villas, the sun baking level and the the private pool. The walk into Thira was around 30 minutes but there were local buses to catch. There were a few eateries in the area also.",October 2019,La Maltese Estate & Villa,https://www.tripadvisor.com/Hotel_Review-g635864-d585310-Reviews-La_Maltese_Estate_Villa-Imerovigli_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,4.0
50th Birthday Break,"Stayed 8 nights, rooms were clean, air conditioned & serviced daily. The resort was centrally located close to town, the atmosphere was relaxed, staff were friendly and helpful. There were 2 eating options within the resort, the poolside bar and treetops restaurant, the meals were average but on expensive side for what you got, unfortunately the chef did not know the difference between a medium rare steak and a well done steak! After 9.30pm both eateries were closed with no where within the resort to purchase alcohol.",October 2018,Travelodge Resort Darwin,https://www.tripadvisor.com/Hotel_Review-g255066-d255549-Reviews-Travelodge_Resort_Darwin-Darwin_Top_End_Northern_Territory.html,"Darwin, Australia",hotels,4.0,3.5
Cage of Death,"I bought a cage of death experience for a 50th Birthday gift for my friend, once overcoming our fears the whole experience was awesome. The staff were professional and we felt safe in their hands. The rest of the cove was impressive with daily shows and educational information about the wildlife under their care. The price included all day entry.",October 2018,Crocosaurus Cove,https://www.tripadvisor.com/Attraction_Review-g255066-d1627688-Reviews-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,"Darwin, Australia",attractions,5.0,4.0
