title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Views and more views,We weren’t up for the entire length of the trip so we only did the 1 mile portion to Imerovigli. This well trodden stone path is on the caldera edge so you have views forward towards Oia and back to Fira almost the entire way. It’s crowded when the ships come in but once you’re away from the shops you duck the crowds.,October 2019,Hiking Trail Fira - Oia,https://www.tripadvisor.com/Attraction_Review-g189433-d2368798-Reviews-Hiking_Trail_Fira_Oia-Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,5.0
Lodging at its finest,"When we arrived for our 3 day visit the owner met us at the door and insisted on carrying our bags up the stairs. I was embarrassed as she was over 60, but before I could object up went the bags.
This was but a portend for the incredible hospitality she provided through our stay. Our room was on the top floor with a very large totally private outdoor balcony with a view up to the castle. Room was spotless. Breakfast was made to order. The owner makes fresh spanakopita daily. The location is perfect, in old town but a bit away from the hustle.
I’ve travelled widely but this may be the most pleasant proprietor and inn I’ve ever stayed at. Couldn’t recommend it more highly.",October 2019,Aetoma Hotel,https://www.tripadvisor.com/Hotel_Review-g319780-d626052-Reviews-Aetoma_Hotel-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",hotels,5.0,5.0
Best quick bite,If you’re looking for an under 5 Euro quick bite this is the place to go. It is a hole in the wall with about 5 stools. When I went For a take out they patiently explained the souvlaki or gyro options. Delicious.,October 2019,Lucky's Souvlakis,https://www.tripadvisor.com/Restaurant_Review-g482942-d1340062-Reviews-Lucky_s_Souvlakis-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
What a setting!,"I didn’t realize that the setting was so spectacular. Be aware that to reach the stadium you’ll be walking uphill on well graded paths and steps. Bring water and sensible shoes or sneakers.
Also, you’ll appreciate it more if you do a little reading beforehand so you understand the background.",October 2019,Delphi,https://www.tripadvisor.com/Attraction_Review-g189408-d523823-Reviews-Delphi-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,5.0,5.0
Must do,"Even if you’re not a museum goer this is a must do. But be sure to bring a guidebook or listen to the Rick Steves audio guide, which is free. It provides an excellent overview in chronological order of the impressive antiquity.",October 2019,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Loved it,"Walk in the footsteps of Aristotle, Plato and Pericles. But read up or listen to rick steves' excellent audio guide so you know what you’re looking at.",October 2019,Ancient Agora of Athens,https://www.tripadvisor.com/Attraction_Review-g189400-d198709-Reviews-Ancient_Agora_of_Athens-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must see,Even if you’re not a Greek history buff this is a must see. We bought a small group tour from Athens Walking Tours which was worthwhile. Group was about 15 and we walked up the hill with the guide. Tour lasted about 2 hours. Be sure to wear good footwear as the trek up is very slippery and rocky.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A highlight of Miami Beach,If you enjoy walking then check this out. It is a paved wide trail that follows the ocean side of Miami Beach. You can hop off it any time and walk on the sand or duck into a hotel or retract. It is nicely designed and changes from pavement to wood.,January 2019,Miami Beach Boardwalk,https://www.tripadvisor.com/Attraction_Review-g34439-d2475470-Reviews-Miami_Beach_Boardwalk-Miami_Beach_Florida.html,"Miami Beach, Florida",attractions,4.0,4.5
Highlight of our Havana trip!,"We booked this tour for 6 of us three months before we arrived based on reviews we read on Trip Advisor.
All our emails were promptly answered and the operator told us we didn't have to pay until the tour was over. We booked a Havana Highlights tour for 6 hours. The private tour cost was 240CUC for the 6 of us. If you didn't want a private tour the cost would be less. Finding the guide was easy as the meeting spot was ten minute walk from the ship terminal.
Our English speaking guide, Xuri, was tremendous! I would highly recommend her. She was university educated and very personable and spoke great English. From 10AM to 12:30 we walked around old Havana and she answered all our questions. We then loaded into a comfortable van (that seated the 6 of us, our guide and the driver.) They brought us to a very nice restaurant for lunch. The lunch was great with Cuban delicacies, but the patrons were either rich Cubans or other tourists.
After lunch we were driven around the area to see places we couldn't walk to. The tour ended about 4PM.
FerTours was great and I have nothing but superlatives for this company and their guide.",January 2019,Fertours 2 Havana,https://www.tripadvisor.com/Attraction_Review-g147271-d7986028-Reviews-Fertours_2_Havana-Havana_Ciudad_de_la_Habana_Province_Cuba.html,Cuba,attractions,5.0,5.0
A highlight of our Havana trip,"Let's remember that the US sponsored an invasion of Cuba in the early 1960's. It's called the Bay of Pigs. The invasion was poorly planned and failed.
So this museum is the Cuban government's celebration of Castro's rise to power. It is full of military equipment and portray's Castro and Che Guevara as full fledged Cuban heroes. If you are interested in history and the Cuban's view of their revolution then this is a must-see. Whether you are a fan of the gov't or not it is worth a visit to get a feel for how things are there.",January 2019,Museum of the Revolution (Museo de la Revolucion),https://www.tripadvisor.com/Attraction_Review-g147271-d147980-Reviews-Museum_of_the_Revolution_Museo_de_la_Revolucion-Havana_Ciudad_de_la_Habana_Provinc.html,Cuba,attractions,5.0,4.0
