title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Make the effort to visit now,"We wanted to just see the Ancient Greek section, so we booked up a slot. We spent about 90 minutes and it was excellent. Although there were a lot of people it was not so full and you were able to see all the exhibits with time and space.

To visit now is a great experience and helps to keep our cultural life vibrant.",October 2020,The British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-The_British_Museum-London_England.html,"London, United Kingdom",attractions,4.0,4.5
Local taverna to our flat,"It was recommended by our landlady, great sea view, as are most of the restaurants in Parikia in Paros. Busy place with favourful local dishes, service was good, altogether an enjoyable dinner.",September 2020,Taverna Mouragio,https://www.tripadvisor.com/Restaurant_Review-g642171-d4578174-Reviews-Taverna_Mouragio-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",restaurants,4.0,4.0
Interesting museum about the heroine,"A simple and well preserved museum of this important woman in the fight for independence, especially as the island was the centre of the action.",September 2020,Bouboulina's Museum,https://www.tripadvisor.com/Attraction_Review-g189496-d1822757-Reviews-Bouboulina_s_Museum-Spetses_Saronic_Gulf_Islands_Attica.html,"Spetses, Greece",attractions,3.0,4.5
A great walk to it at the far end of town,"Recommended as a good place as well as being the oldest restaurant - it was delightful. The various fish dishes were delicious we would suggest you go there without fail.
Very busy with tourists and locals.",September 2020,Patralis Psarotaverna,https://www.tripadvisor.com/Restaurant_Review-g189496-d1799370-Reviews-Patralis_Psarotaverna-Spetses_Saronic_Gulf_Islands_Attica.html,"Spetses, Greece",restaurants,5.0,4.5
Moving to finally see it.,"Finally saw this temple, which is so well known, especially as daily l see the church in Central London, UK, based upon it.",September 2020,Erechtheion,https://www.tripadvisor.com/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Home of the Olympics,Located on a main road near the park it is moving to see the home of the Olympics. A vast structure only for sport. The original cathedral to sport.,September 2020,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Recently opened Modern Art Museum,"The well-funded museum is a marvellous example of a wealthy couples' collection of modern art - some exquiste Van Goghs, Picassos, Degas etc. through to Jackson Pollock and Greek painters.

The museum building is itself an interesting design.

The cafe was a great place to eat, better than the usual museum cafes.",September 2020,Basil & Elise Goulandris Foundation,https://www.tripadvisor.com/Attraction_Review-g189400-d19309950-Reviews-Basil_Elise_Goulandris_Foundation-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
See it after the Parthenon,"A very modern, beautifully executed museum which recreates the Acropolis. You can study the whole structure within the museum and really appreciate the complexity of the building. The museum is flooded with light and so you can see the details clearly.
The cafe is a good place to take a break.",September 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"If you have 1 day, you must see the Acropolis","Go early in the morning when it opens, avoid the crowds and breather antiquity. The whole complex was much larger than we anticipated and there was lots to see, notwithstanding the ravages of time and the Venetian bombardments and Elgin's appropriations.

For us the Parthenon was awe-inspiring and so much larger then we expected.

It is really one of the best sights to see in the world",September 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Central Venice, good place","From Strada Nuova it seems small but it is long and has a large garden at the back. All the diners were well spaced and most of the tables were taken.

There is a good value lunchtime dinner plus a wide range of pizzas. Roberto has had it for over 30 years l believe. We opted instead for an antipasto di pesce, It was excellent, fresh and varied, it was so satisfying that we decided not to have a primo nor secondo. l had a great semi freddo, freshly prepared.

All in all good value whether you want something simple or more complicated.",August 2020,Le Campane,https://www.tripadvisor.com/Restaurant_Review-g187870-d1320341-Reviews-Le_Campane-Venice_Veneto.html,"Venice, Italy",restaurants,4.0,4.0
Good local trattoria,"We enjoyed a dish of different pastas, with a couple of fritto misto for the five of us.
The pasta was tasty, but the crab one had some tough bits in it, but otherwise good.
The fritto was good as well.",August 2020,Trattoria al Diporto,https://www.tripadvisor.com/Restaurant_Review-g187870-d1739355-Reviews-Trattoria_al_Diporto-Venice_Veneto.html,"Venice, Italy",restaurants,3.0,3.5
Highest quality all around,"The lunchtime meal was excellent, both the starters/ pastas were fine, delicate and flavourful, whilst not being insubstantial. The main courses were superb, I had the fritto, it was light.
The service was very good and the attention was just right.",August 2020,Al Covo,https://www.tripadvisor.com/Restaurant_Review-g187870-d696435-Reviews-Al_Covo-Venice_Veneto.html,"Venice, Italy",restaurants,5.0,4.5
"Wonderful garden, spacious feel, good food","A group of ten celebrated a birthday at lunchtime on a sunny day. It was risotto with Gho fish, ice cream and white wine.
Superb",July 2020,Villa 600,https://www.tripadvisor.com/Restaurant_Review-g1647571-d1731139-Reviews-Villa_600-Torcello_Veneto.html,"Torcello, Italy",restaurants,4.0,4.5
"Good position, good food",We have been a few times and the food is always good. The last time was a very sunny evening for an early meal. The pasta was excellent,July 2020,Trattoria Alla Maddalena,https://www.tripadvisor.com/Restaurant_Review-g2642447-d1811677-Reviews-Trattoria_Alla_Maddalena-Mazzorbo_Veneto.html,"Mazzorbo, Italy",restaurants,4.0,4.5
A completely different Venetian experience,"We know the island well and we spent three days there. We stayed at Lato Azzurro and ate at La Bacan, the first is the only place to stay and the latter is the only place to eat. Very simple.

With the free bikes you can discover the island but remember nowhere to eat.

You can enjoy the beach where all the Venetians go in their boats.

It is very busy over the weekends, so you will enjoy it better during the week.",July 2020,Isola di Sant'Erasmo,https://www.tripadvisor.com/Attraction_Review-g187870-d2259303-Reviews-Isola_di_Sant_Erasmo-Venice_Veneto.html,"Venice, Italy",attractions,5.0,4.5
