title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
WORST VALENTINES DINNER EVER,"We had waited a long time to go to this restaurant since it is an hour away from our home, but having heard good things about the place we decided to try it on Valentine’s Day. I am not sure there was anything i really liked about the restaurant but i will try to explain why this place should be ashamed of themselves for charging $180 (without tip) for two people. First, we are not in New York City. There is no premium on space out in the country. That being said I am not entirely sure why there were so many tables so close to each other that we were literally having a romantic dinner with our neighbors. Since i go to New York restaurants all the time, i usually dont mind it, but since all their tables weren’t filled i wondered why they had to try to eek out the last dollar to make people uncomfortable. The server was quiet, pretty much said nothing to us and knew nothing about the menu, which i didnt realize would be streamlined from their regularly menu for a “special dinner.” There were four appetizers and four entree choices. I am usually a fish eater but the only fish item on the entree list was cod, something i solely reserve for fish and chips, certainly never a nice dinner out. Nothing on the menu looked especially appetizing, but eventually i chose the Armenian stuffed herb bread and “duck stew.” My husband chose the oyster and shrimp in cucumber broth and the lamb chops. Prior to getting the appetizer we were served a small stale roll with four olives (we each could have 2). I was starting to question this place but reserved judgement. Then the appetizers came out. A hard dough flatbread came out with a reduction of some herb in the middle, it was edible but really not enjoyable enough to eat the whole piece of bread. It seemed like a rustic peasant dish, cheap to make and easy to cook in advance. My husband’s broth and fish was just sad looking. The broth was extremely bland. It tasted like cucumber juice and there were a few oysters and undercooked shrimp with no flavor floating in it. This did not bode well for the entree but we had no idea how bad it was going to get. My husband thankfully had the lamb. There were three lamb chops. They were well cooked and although they were tender they had no taste and the sauce served with them tasted like plain yogurt. The rice on the sauce was dry, tasteless and inedible. Absolutely no vegetable was offered anywhere. As for the duck stew, for the first time in my life i actually wanted to send the food back to the kitchen. The burnt, hard, tasteless shell of rice was stuffed with “pulled duck”. I thought I might crack my teeth on the rice. And the duck? It was just mashed up duck meat. There was pomegranate juice,sauce, on the plate and that helped with the flavor but there was nothing else on the plate. Again, no vegetable anywhere. This dish was so bad I wondered why the chef would make it except that it seemed that they were serving dishes that could be cooked ahead of time in the kitchen and plated quickly. Unfortunately, this one sat for way too long waiting to be served. I am the biggest fan of duck meat, but this was not a stew and it certainly was not an elegant presentation of duck. I also cant fathom why the chef cant cook rice? My husband’s was dry and tasteless and mine was burnt and hard. Yikes! And after serving us this disgusting rice, the chef had the nerve to offer as one of his two desserts rice pudding! Between the crowded tables, the horrible food and the lifeless server, who never even noticed i took two bites of food and left the rest untouched, we skipped the dessert and went elsewhere to try to salvage our valentines dinner. Maybe it was a bad night because they strayed from their normal menu, or maybe they were trying to make as much money as they could by stuffing in as many tables as possible and serving rice, no vegetables, and precooked food, but whatever the reason i feel like i deserve an apology from this restaurant for ruining our dinner. Actually, we laughed so hard at how horrible everything was, I’m not sure it actually ruined our night out, although an apology would still be appropriate. I have no idea what others see in this restaurant, but it was seriously bad the night we went there.",February 2020,Serevan,https://www.tripadvisor.com/Restaurant_Review-g29808-d1488555-Reviews-Serevan-Amenia_New_York.html,"Amenia, New York",restaurants,1.0,4.0
"Great breakfast, bit of a wait","Great breakfast, bit of a wait, 45 min for 1 person on a Sunday morning. Service is very pleasant and the food is excellent. I had the eggs Benedict special with pork cheeks and it was really quite nice. The portions were generous and the pork cheeks were well cooked and tasty. The hollandaise was nice and lemony and the poached egg cooked perfectly. The biscuit it was served on was was also really nice. I had the grits and i think they could definitely have cooked longer, and who doesn’t add cheese to their grits to make a decadent Sunday breakfast more decadent??? Thats my only complaint, the grits could have been better!! I would return, it was really a great place to sit and eat and enjoy!!",January 2020,Over Easy Cafe,https://www.tripadvisor.com/Restaurant_Review-g60742-d444122-Reviews-Over_Easy_Cafe-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,5.0,4.5
"Nice hotel, very minimalist","This was our first time staying at an AC by Marriott. It is antiseptically clean in a good way although the air kind of smelled like hospital clean throughout. It is immaculate and new. And has a small,but very clean gym. The service was efficient, but not overly friendly. Our room was a minimally appointed box, not too comfortable, but not uncomfortable. The couch was very hard, it being minimalist furniture. The bathroom was nice and the shower was exceptional! Really nice hair products in the room. great location and parking underneath make this ideal for a stay in Asheville especially if you want to walk around the shops and galleries downtown.
There was a lot of partying and music in the hotel. Lots of young people, dont know if that is just the location, or the bar on the 9thfloor, or if we are just getting older but we would have liked it a bit quieter especially at night. We wish they had a coffee shop downstairs in the lobby so we could have coffee in the room (the stuff in the room tasted like brown water) but there are quite a few shops just across the street and down the street so we just ran out each morning.
I would probably stay there again just for the location and cleanliness of the place.",January 2020,AC Hotel Asheville Downtown,https://www.tripadvisor.com/Hotel_Review-g60742-d10806731-Reviews-AC_Hotel_Asheville_Downtown-Asheville_North_Carolina.html,"Asheville, North Carolina",hotels,4.0,4.0
"Gorgeous, pleasant ambiance","Let me start by saying the restaurant is gorgeous, really beautiful renovated barn that has a really nice ambiance. I also like that all the food is meant to be shared so you can try a lot of different things. It ends up being quite expensive, considering the casual surroundings, but it is all very interesting. I also give the chefs credit for putting together some pretty unusual combinations of foods, ones that you wouldn’t often times find next to each other. Some of these combinations worked, others not so much, but overall a really nice meal.
We started off with the Bacalao to compare with the fish cakes from last nights Benne on Eagle, and in my opinion they just really couldn’t measure up to Benne’s. I just tasted potato and salt cod, separately. We also had the red shrimp with olives that was delicious! The roasted mushrooms were a big hit amongst all of us, and some of us really liked the squid which i thought just tasted undercooked and slimy. The pork cheek appetizer was disappointing because there was a teaspoon of pork cheek, which was very good and the rest was sort of a pork shank which was really nothing too interesting and mildly overlooked. As for the entrees we shared the steak and the whole trout. The meat eaters at the table loved the steak, although the grated potato underneath seemed like it was way undercooked and still hard. The trout was grilled and it was amazing. There is nothing better than a whole trout perfectly cooked. There were lots of shallots on the plate and it had a sort of heavy handed onion sauce with vinegar that could have been a bit lighter to enhance the mild taste of the fish. I would order it again though and ask if they had a different sauce for it. I do want to mention the charred broccoli with anchovies. The broccoli had great flavor but i wasnt quite sure how the anchovies fit in with the dish. For dessert we had the chocolate ice cream with espellete pepper which was a little too mild for the people i was sharing with, and the gateau basque was like a shortbread with very dense pastry cream baked on top. The desserts weren’t quite as outstanding as most of the dishes, but otherwise it really was a very good meal. Oddly, we ordered espresso and it was so acidic it tasted salty, so we didnt drink it, hopefully someone in the kitchen noticed it came back untouched.

I would visit this restaurant again as i think it will probably get better the longer it is open. The service was really good and as i said it really is a very nice place to gather and enjoy food.",January 2020,Forestry Camp,https://www.tripadvisor.com/Restaurant_Review-g60742-d19055984-Reviews-Forestry_Camp-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,4.0,3.5
"Some things were great, others could definitely use some work","On the whole, this restaurant is very very nice. I like the variety of food choices and i like that it is a southern soul food restaurant and has so many flavors in each dish. I wish that every dish could be of similar quality, because it would be an amazing restaurant, but that just wasnt the case at our table. We started with the deviled egg spread, the fish cake, the cabbage pancake and the ribs. I’m usually a rib girl, but even though these were fall off the bone they just were kind of bland, mushy and uninteresting. The deviled egg spread however had an amazing consistency and the fish cakes were incredibly flavorful and wonderful. The cabbage pancake however took over the show, it is truly a grand example of what can be done with a seemingly bland vegetable. As for the entrees, The oxtail was outstanding, truly superb as was the scallop and shrimp purloo (which others at the table loved). The trout with spoon bread was fairly run of the mill although the sauce underneath the trout was pleasant, although extremely subtle. The pork dish was dry and far less interesting. My biggest complaint with the restaurant, aside from the few dishes that failed, was that 2 out of 4 desserts, the ones we picked, were sold out by 9 on a Friday night. We got talked into the hummingbird cake and i have to say it was one of the more disgusting creations I have ever had for dessert. It had banana pudding middle and a sicky sweet frosting. I love ending a meal with a gorgeous decadent dessert and this restaurant just fell short completely in that category. I really did like so many things, maybe if we are lucky, the chef will read this review and take care to taste some of the things Ive remarked on. It really could be a great restaurant with some extra effort.
The location is wonderful and the service and ambiance were all very nice!!! Would love to go back and see some things changed for the better.",January 2020,Benne On Eagle,https://www.tripadvisor.com/Restaurant_Review-g60742-d15635781-Reviews-Benne_On_Eagle-Asheville_North_Carolina.html,"Asheville, North Carolina",restaurants,4.0,4.5
"Fun, really fun","I wasnt sure what to expect, i thought the place might be cheesy and the desserts might be awful but actually the dessert was very good and the service was great!! We spent a bunch of time just reading through the hilarious menu and then ordered an apple dessert with vanilla ice cream. First of all, it was huge, second of all, it was beautiful and third, it actually tasted really good. No one rushed us and we had a wonderful time just eating and talking and relaxing in our “own little booth.” Go, you wont regret it until you step on the scale the next day!!!",September 2019,Better Than Sex - A Dessert Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60814-d15121258-Reviews-Better_Than_Sex_A_Dessert_Restaurant-Savannah_Georgia.html,"Savannah, Georgia",restaurants,4.0,4.5
"Nice, romantic restaurant","Nice, romantic restaurant with pleasant service and good food. We started by ordering wine and although the waitress did not know the first thing about wine the mature d’ helped us out by sending two different wines to our table to choose from. The wine list by the glass is not superb, but it is all drinkable. That being said, the dinner was excellent. The biscuits sent out from the kitchen were pleasant. We tried the meatloaf, stuffed with foie gras (or chicken liver I’m not quite sure), was interesting and quite good if you are a meat lover but the star of the evening was the shrimp and grits. I have eaten a lot of shrimp and grits in my life but i think this may have been the best one that i have ever tasted. It was definitely satisfying and creamy. I liked the restaurant but there was something missing for the high cost of the dinner, maybe it needed a little more excitement in the menu or the wine list or the service. It just seemed really pricey for what it was. It is a beautiful restaurant and i would most likely go back again.",September 2019,a.Lure,https://www.tripadvisor.com/Restaurant_Review-g60814-d2662397-Reviews-A_Lure-Savannah_Georgia.html,"Savannah, Georgia",restaurants,4.0,4.5
Nothing special but fun to sit out and people watch,"This is a very popular spot and we thought it might be good since this group also owns chive restaurant which is awesome. Unfortunately it is fairly ordinary, Coming from New York, we have a lot of noodle shops from various ethnic cuisines and this food just seemed fairly bland. The bill was almost as much as chive and no where near as good. Skip this one, you wont miss much.",September 2019,Flying Monk Noodle Bar,https://www.tripadvisor.com/Restaurant_Review-g60814-d6692485-Reviews-Flying_Monk_Noodle_Bar-Savannah_Georgia.html,"Savannah, Georgia",restaurants,2.0,4.5
It was so good we went twice in one weekend!!,"It was so good we went twice in one weekend!!! Chive is part of a group of restaurants owned by the same group but we fell in love with this one. The mussels here are simply irresistible. They are plump and tender and the sauce is sweet and curried. We also had the octopus which was good but wasnt our favorite. At lunch time, which is easier to get a table and less expensive, we had the salmon salad which was outrageous and the snapper risotto which i cannot recommend highly enough. If i had another day i might have gone back for more of that delicious risotto. Nice place to hang out, day or night. It does get very crowded on weekends so get there early.",January 2020,Chive Sea Bar & Lounge,https://www.tripadvisor.com/Restaurant_Review-g60814-d4366680-Reviews-Chive_Sea_Bar_Lounge-Savannah_Georgia.html,"Savannah, Georgia",restaurants,5.0,4.5
Fish cheeks is awesome,Fish cheeks is awesome although impossible to get a reservation. We decided to walk in and wait and it was well worth the effort. We started with some awesome fried chicken that had an amazing sauce on it. Then we ordered some pork cheeks which were simply amazing and i would come here and wait in line just for them. We also had tiger prawn karee which were delicious. Crab fried rice which was also amazing and steamed fish. It was all delicious but i would be neglectful if i did not include a comment about the service which was excellent. This was a crowded lively restaurant but was neither too loud nor too rushed. It was absolutely perfect Thai food and we will certainly be back to try more of their food!!! I think fish cheeks far surpasses uncle boons and somtum der. This is my go to Thai place!!,January 2020,Fish Cheeks,https://www.tripadvisor.com/Restaurant_Review-g60763-d11696889-Reviews-Fish_Cheeks-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
