title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Fun time,"This was our first time doing an escape room and we did the fort room. We had fun, 2 adults and 11 year old. It was very challenging especially since some of the props/clues with numbers had worn off. I'd say we maybe got halfway through in the hour allotted time.",July 2020,Mind Thrill Escape Rooms,https://www.tripadvisor.com/Attraction_Review-g42424-d12685600-Reviews-Mind_Thrill_Escape_Rooms-Mackinaw_City_Cheboygan_County_Michigan.html,"Mackinaw City, Michigan",attractions,4.0,3.5
New pirate ship ferry,They just unveiled a new pirate ship ferry over to Mackinac Island. Kids loved it and it has water cannons that spray water outside of the boat. Staff all dressed in pirate costumes.,July 2020,Star Line Mackinac Island Ferry,https://www.tripadvisor.com/Attraction_Review-g42424-d1473600-Reviews-Star_Line_Mackinac_Island_Ferry-Mackinaw_City_Cheboygan_County_Michigan.html,"Mackinaw City, Michigan",attractions,5.0,4.5
Everything was okay,"We enjoyed the casual lincoln log type atmosphere. Service was slow, but I feel that's to be expected right now with Covid and extra precautions. We had steak, salad, and the mac n cheese with pulled pork, food was average. Out of everything I'd say we enjoyed the macaroni with pulled pork the best.",July 2020,Dixie Saloon,https://www.tripadvisor.com/Restaurant_Review-g42424-d616833-Reviews-Dixie_Saloon-Mackinaw_City_Cheboygan_County_Michigan.html,"Mackinaw City, Michigan",restaurants,3.0,3.5
Easy to get to,"Short walk to the waterfall , 800ft to falls. Very cool to see and plenty of parking and restrooms. Everyone enjoyed these falls.",July 2020,Munising Falls,https://www.tripadvisor.com/Attraction_Review-g42497-d2254273-Reviews-Munising_Falls-Munising_Upper_Peninsula_Michigan.html,"Munising, Michigan",attractions,5.0,4.5
Great breakfast sandwiches,All of us were stoked with the great breakfast sandwiches freshly made. We also enjoyed the cinnamon roll and coffee. Was very quaint with old books and art,July 2020,Falling Rock Cafe & Book Store,https://www.tripadvisor.com/Restaurant_Review-g42497-d1862098-Reviews-Falling_Rock_Cafe_Book_Store-Munising_Upper_Peninsula_Michigan.html,"Munising, Michigan",restaurants,5.0,4.5
Great time,"We visited 3 waterfalls and this was our favorite! Easy to walk, giftshop, trout pound where you can feed fish, and a gnome scavenger hunt with a prize for kids. Everyone enjoyed this.",July 2020,Horseshoe Falls,https://www.tripadvisor.com/Attraction_Review-g42497-d7034567-Reviews-Horseshoe_Falls-Munising_Upper_Peninsula_Michigan.html,"Munising, Michigan",attractions,5.0,3.5
We loved it,"4 adults and 1 child, we all loved it so much! You get to see the shipwrecks so good! So many great pictures!",July 2020,Glass Bottom Shipwreck Tours,https://www.tripadvisor.com/Attraction_Review-g42497-d1223688-Reviews-Glass_Bottom_Shipwreck_Tours-Munising_Upper_Peninsula_Michigan.html,"Munising, Michigan",attractions,5.0,4.5
Great spot,This is a great spot in kaanapali. The food is decent and the mai tais are a must! Late night happy hour is a plus.,August 2019,Monkeypod Kitchen,https://www.tripadvisor.com/Restaurant_Review-g609129-d2027364-Reviews-Monkeypod_Kitchen-Wailea_Maui_Hawaii.html,"Maui, Hawaii",restaurants,4.0,4.5
One of the best massage experience,What a great experience. I did an 80 min massage with Ginger and it was exceptional. The massage was in an outdoor enclosed lanai which was soothing. A variety of techniques were used including hot stones and hot towels. My areas of concern were addressed and I am one happy camper. Will definitely be back.,January 2020,The Spa at Black Rock,https://www.tripadvisor.com/Attraction_Review-g29220-d106161-Reviews-The_Spa_at_Black_Rock-Maui_Hawaii.html,"Maui, Hawaii",attractions,5.0,4.5
Always a favorite,There is usually a wait but always worth it because the food never disappoints. Will always stop here in Oahu since we don't have one on Maui.,January 2020,The Cheesecake Factory,https://www.tripadvisor.com/Restaurant_Review-g60982-d569297-Reviews-The_Cheesecake_Factory-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",restaurants,5.0,4.5
