title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
What a Hilton should represent,"I really liked this Hilton hotel. Stayed here for only one night unfortunately but I moved into the city centre for the rest of my stay in Istanbul. It's a great place for concert goers to the VW Arena, which is where I was working. Great staff and amenities.",July 2019,Hilton Istanbul Maslak,https://www.tripadvisor.com/Hotel_Review-g293974-d14142109-Reviews-Hilton_Istanbul_Maslak-Istanbul.html,"Istanbul, Turkey",hotels,5.0,4.5
Modern concert venue,Worked here last summer on a show and great staff but the backstage facilities could be upgraded somewhat,June 2019,Congresium Ankara,https://www.tripadvisor.com/Attraction_Review-g298656-d8677871-Reviews-Congresium_Ankara-Ankara.html,"Ankara, Turkey",attractions,5.0,4.0
What a great city,Having never visited Ankara before now I was intrigued to be there for 24 hours back last summer. The modern look and architecture was a joy and driving around this city was a pleasure. The Hilton was no exception with great staff and service.,June 2019,Ankara Hilton SA,https://www.tripadvisor.com/Hotel_Review-g298656-d294604-Reviews-Ankara_Hilton_SA-Ankara.html,"Ankara, Turkey",hotels,5.0,4.0
Great location for a business trip,"I stayed here for 2 nights last year on business. The staff were great and the room very comfortable. They have a nice little bar down in the reception area and although I didn't eat in their restaurant, I remember the breakfasts were fab. Would return here.",June 2019,Renaissance Izmir Hotel,https://www.tripadvisor.com/Hotel_Review-g298006-d4263293-Reviews-Renaissance_Izmir_Hotel-Izmir_Izmir_Province_Turkish_Aegean_Coast.html,"Izmir, Turkey",hotels,5.0,4.5
Check out the Herodian theatre if you can,"This theatre, the oldest in the world, 5000 capacity and originally with a wooden roof, dates back 2000 years and built id 161AD",June 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Back in time,"The floor of this place is like no other place I have ever visited. The ruins of another age beneath your feet, and the exhibits inside take you to times you cannot imagine, just beautiful and thank goodness because Athens itself isn't the greatest city on the planet",June 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Walk to the Acropolis and Museum in minutes,"Great location for a concert at the Herodian Theatre which is where I was working for this trip. The hotel staff were fantastic and the breakfast room in the basement excellent. Had an early departure, 5.00am but the staff still let us have a coffee and a sandwich.",June 2019,Divani Palace Acropolis,https://www.tripadvisor.com/Hotel_Review-g189400-d230391-Reviews-Divani_Palace_Acropolis-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Great location for the city,"Loved this hotel, staff were great, and a fab bar on the roof with a small pool. Loads of restaurants surrounding the hotel to chose from and the water a stone's throw away. It's a shame there isn't a beach too!",June 2019,Electra Palace Thessaloniki,https://www.tripadvisor.com/Hotel_Review-g189473-d228914-Reviews-Electra_Palace_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,"Thessaloniki, Greece",hotels,5.0,4.5
Disappointing hotel for a weeks holiday,"You can see from the photo that the first few minutes after we were shown to the room we had booked for our 5 day holiday I was absolutely livid, angry, upset. I demanded a new room, and the only one on offer was the best suite in the hotel. So a few hundred euros later we had a decent room, but still I've got a complaint about it. It is situated behind the bar, the bedroom door is NOT thick enough to prevent you hearing the chatter at the bar.
Thank goodness the weather was good and the beach at the bottom of the road was fabulous
The hotel staff were lovely, the food there was great but guys you have no real idea how to treat your guests if you think putting them in rooms looking out over a building site is acceptable. We won't be back",May 2019,Azur Hotel,https://www.tripadvisor.com/Hotel_Review-g562635-d14987171-Reviews-Azur_Hotel-Vouliagmeni_East_Attica_Region_Attica.html,"Vouliagmeni, Greece",hotels,2.0,4.5
Perfect for a concert night,"Working at Cardiff Arena as I have a few times, this hotel is so convenient at midnight to just stroll over the road and fall into bed. The inner rooms I'd avoid as some of them connect into the Atrium and the bar there doesn't close early!",May 2019,Park Plaza Cardiff,https://www.tripadvisor.com/Hotel_Review-g186460-d550059-Reviews-Park_Plaza_Cardiff-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",hotels,3.0,4.5
